,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8
1969-04-01,30.30133,11.832581,25.131256,30.146973,30.005463,28.428253,29.21225,21.144104
1969-05-01,30.232086,18.90802,28.531311,30.941223,30.90738,29.414764,30.302856,25.156372
1969-06-01,29.521423,23.816559,31.006866,29.238403,28.406189,29.347107,30.15622,28.302094
1969-07-01,28.93637,25.299957,32.501007,27.999084,26.16394,28.48056,28.723602,30.276184
1969-08-01,28.97586,26.194702,33.466003,26.866394,24.87796,26.850525,28.462097,32.088257
1969-09-01,28.75589,24.59082,32.560486,27.70578,26.052673,27.248932,29.44809,31.573975
1969-10-01,28.831268,20.638031,31.562164,28.64975,27.94165,27.999573,29.449646,29.352234
1969-11-01,28.292358,17.81842,28.616425,28.60257,27.744232,28.092896,28.539001,24.500061
1969-12-01,28.139069,14.625519,25.249207,27.725769,26.587463,26.125488,27.324799,20.724182
1970-01-01,28.313873,12.191467,22.857422,27.60257,26.778656,25.295074,26.456299,17.866425
1970-02-01,28.37741,10.360779,22.363068,28.080902,26.546722,24.529022,26.771423,17.610199
1970-03-01,29.026733,10.718231,22.878082,28.805115,27.772003,25.407684,28.663574,18.74353
1970-04-01,29.921417,13.312927,25.656677,30.164703,29.780884,27.936768,29.34491,22.26596
1970-05-01,29.68689,18.466156,28.44455,30.60379,30.071198,28.84076,29.881104,26.292053
1970-06-01,29.14862,22.770142,30.902863,29.058228,27.924377,29.529846,29.980804,28.717285
1970-07-01,28.872253,26.284302,32.66693,27.693481,26.070435,28.83612,29.34906,31.028381
1970-08-01,28.834564,27.945557,33.443848,27.253357,25.16748,28.222961,29.103699,32.836365
1970-09-01,28.684235,24.661255,33.59778,27.153137,25.669586,28.01477,29.201843,32.070282
1970-10-01,28.21054,21.427063,31.277893,27.973969,27.277649,28.046295,29.53656,28.520996
1970-11-01,28.480194,19.671783,28.767395,27.571045,27.501831,27.118011,28.539612,24.830688
1970-12-01,28.600037,17.427338,25.940277,27.078766,26.392242,25.996582,27.338593,21.194092
1971-01-01,28.501099,13.9982605,22.794342,26.817596,25.967163,24.291077,26.544312,18.226562
1971-02-01,27.990173,10.9296875,21.924164,26.942596,25.6875,24.384949,26.848724,17.08017
1971-03-01,28.43341,10.925232,23.075989,27.848358,26.674286,25.268951,27.547424,18.483032
1971-04-01,29.883698,13.151306,25.399414,29.422668,28.596466,27.230194,28.475403,21.796692
1971-05-01,29.160767,19.014221,28.75064,30.192017,29.606964,29.115814,29.260101,26.298248
1971-06-01,29.033783,23.712433,30.674286,28.565826,27.355194,29.720123,29.427612,28.551483
1971-07-01,28.660706,26.095154,31.919525,27.419434,25.498749,28.521362,28.387451,30.87442
