,vo1000_cluster1,vo1000_cluster2,vo1000_cluster3,vo1000_cluster4,vo1000_cluster5,vo1000_cluster6,vo1000_cluster7,vo1000_cluster8,vo1000_cluster9
1986-12-01,-0.0013696771929971874,-2.4577511493142345e-07,-0.0006068286893423647,-0.0009457305168325547,-0.0007004229701124132,-9.53839696084681e-06,0.006965532520553097,0.0029637360057677142,-0.0029877883207518607
1987-01-01,-0.001125002139209149,-1.5541432483078233e-06,0.0015005771274445578,-0.0002731335825956194,-0.0012354314094409347,7.260821945263496e-07,0.0016480422345921397,0.006622363434871659,-0.002517852590244729
1987-02-01,-0.0012407600782656423,-1.1714951686850967e-06,-0.0017822814697865397,0.0006983633284107782,0.0015146211808314547,-1.1999641286923612e-06,0.008237459405791014,0.006701362144667655,-0.00752026098780334
1987-03-01,-0.0009036835763254203,-6.68562855496471e-07,-0.0015391393390018493,9.20722413866315e-05,-0.00011539668776094913,-6.18994152073807e-07,0.00627564440947026,0.001903473457787186,0.000323487984132953
1987-04-01,-0.0007891435719405612,-1.0371368605349043e-06,0.005664716081810184,0.0009162335118162446,0.0006271962774917483,-5.916405748297272e-07,0.007788040966261178,0.00014266770449467003,0.0021992818801663816
1987-05-01,-0.0008026413828095732,-3.6790607916421696e-07,0.0043498170271050185,0.001700918801361695,-0.0033613890991546214,-5.2497222657246906e-06,0.011709915270330384,-0.0019157028873451054,0.0006719623343087733
1987-06-01,-0.0008697719143431945,-5.007154303214556e-07,-0.003239379293518141,0.005098220572108403,-0.0016822159523144364,-5.628373936499413e-06,0.01540181547170505,0.0005692632839782164,2.0657172683513636e-05
1987-07-01,-0.00118413505939922,-4.469050527639253e-07,-0.0005384820269682677,0.005725081427954137,-0.0030585586500819772,-5.995798185445015e-06,0.01632435159990564,-0.0033701668144203722,0.0015058438293635845
1987-08-01,-0.00105049609070799,-5.809124810405678e-07,0.00015934492694213986,0.004055911995237693,-0.0029462042220984586,-5.224054599780852e-06,0.011240309686399996,-0.0004533379978965968,0.0006008630862197606
1987-09-01,-0.0006468939318438061,-7.643844557110133e-07,-0.001958713255589828,0.0017602489606360905,-0.0004559718945529312,-6.230811938898991e-06,0.009190717537421733,0.0010230702173430473,0.0039407761505572125
1987-10-01,-0.0002719872099987697,-2.6400922749381904e-07,0.0009589929504727479,0.001878802322607953,0.0022256146621657535,-9.40563492307684e-06,0.008499034447595477,-0.002624940862006042,-0.0017796483007259667
