,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv850_cluster9
1970-12-01,-0.48928386,0.40297812,-0.5222869,0.20076875,0.12847629,-0.1794215,0.2510592,-0.08015034,0.12755954
1971-01-01,-0.66681457,0.3669495,-0.26747438,0.17059052,0.20917132,-0.10307417,0.21133068,-0.16727948,-0.010077071
1971-02-01,-0.9792039,0.2867648,-0.4125843,0.24170585,0.32808083,-0.12193265,0.039300583,0.3924301,-0.091413476
1971-03-01,-0.54718524,0.39444557,-0.5527996,0.17087841,0.25077525,-0.15086822,0.39444557,0.08479138,-0.010364985
1971-04-01,-0.5441621,-0.23493986,-0.23997831,0.21420984,0.18498631,-0.13186572,0.3429085,-0.047506213,-0.019722272
1971-05-01,-0.35514498,0.103218034,-0.14266261,0.11430285,0.063485526,-0.24904776,0.22068796,0.0054703713,0.19204028
1971-06-01,-0.105521396,0.26070833,-0.08695078,0.2873406,0.043475438,-0.30231228,0.26488316,-0.2650271,0.43518573
1971-07-01,-0.2208319,0.17620488,0.21838465,0.1703026,0.21766487,-0.19117653,0.09688388,0.3049035,0.4528926
1971-08-01,0.14712527,0.2002459,-0.049665548,0.118333675,0.071259305,-0.12711513,0.23738714,0.16958284,0.31512457
1971-09-01,-0.097459696,0.18426654,-0.105377436,0.05355246,-0.2713613,-0.010364985,0.11185551,-0.16425633,0.120637015
1971-10-01,-0.1644003,0.17001466,0.0023033142,0.18556216,0.005182481,-0.100626804,-0.15633863,-0.11257534,0.1846984
1971-11-01,-0.18081152,0.31224537,-0.9026181,0.19895029,0.33786997,-0.3629187,-0.039732467,0.17332572,0.14338239
1971-12-01,-0.66494304,0.53912354,-0.4305791,0.19794257,0.046642445,-0.4003478,-0.14510985,0.2512071,0.09602015
1972-01-01,-0.69037145,0.040377975,-0.40601572,0.17939925,0.045902014,-0.27225542,0.1306037,0.1354701,-0.00605011
1972-02-01,-0.6724841,0.12836781,-0.12139702,0.11140118,0.20452037,-0.118634984,0.27317613,-0.15927601,-0.01617751
1972-03-01,-0.53648794,0.07707329,-0.21359558,0.104956485,0.008022976,-0.13691688,0.21135965,0.21951418,-0.03340721
1972-04-01,-0.42929548,0.48045856,-0.5784442,0.13047218,0.18347654,-0.15059543,0.3118443,-0.3349926,0.16309023
1972-05-01,0.19570827,0.017098188,-0.29698202,0.19610286,0.34051663,0.022622203,-0.03143432,-0.01893959,0.16387935
1972-06-01,-0.23845372,-0.0026304722,-0.11850347,0.06694589,0.5091309,0.016440535,0.24831805,-0.12771015,0.2734392
1972-07-01,-0.1751905,0.31315953,-0.033801794,0.13244507,0.061158847,-0.010521936,-0.00065763,0.1220546,0.44060668
1972-08-01,-0.1782155,0.1277102,-0.14112568,0.18926361,0.12639494,-0.08036141,0.14770183,-0.2501594,0.48953372
1972-09-01,0.04169321,0.0136785265,-0.14112563,0.15546179,0.14941172,0.04761181,0.08904199,0.13283964,0.31000298
1972-10-01,-0.1062717,-0.24016352,-0.06036968,0.191631,-0.024463559,-0.0549772,0.2299046,0.2708087,0.24660823
1972-11-01,-0.01617751,0.27896324,-0.15230522,0.26147047,-0.04432372,-0.12547424,0.016703606,-0.022885252,-0.029198408
1972-12-01,-0.5162332,0.24581906,0.023148298,0.1398104,0.16098586,-0.07799397,0.17177084,0.29382545,0.031565856
1973-01-01,-0.55697036,0.36748132,-0.26608807,0.1817322,0.04307828,-0.13920793,0.067595504,-0.34060934,-0.051250696
1973-02-01,-0.31747723,0.33368355,-0.7280369,0.1864417,0.36041704,-0.116075896,0.31110555,0.19364452,-0.059007548
1973-03-01,-0.50253385,0.31623062,-0.28658834,0.23145923,-0.16040082,-0.119815804,0.09959257,-0.076876044,-0.19779995
1973-04-01,-0.67900246,0.3230179,-0.17702267,0.19045866,-0.12923484,0.01509819,-0.16386369,-0.04529453,-0.12410978
1973-05-01,-0.40778932,0.1376843,0.16885027,0.10956566,0.115937375,-0.07064283,0.3838261,0.2899127,0.15278247
1973-06-01,-0.64451206,0.011081219,-0.17619157,0.035736967,0.025763845,-0.13616063,0.13214368,0.1494581,0.28146327
1973-07-01,-0.025763845,0.0699503,0.0486189,0.12217057,0.42261043,-0.14073165,0.11676848,0.30778116,0.38493425
1973-08-01,0.2930985,0.36277178,-0.15970825,0.0162063,0.18034703,-0.06648739,0.04764929,-0.0045710085,0.31927794
1973-09-01,-0.06454816,0.27079755,-0.12203206,0.11870768,-0.0630245,0.014267084,-0.009973121,-0.37690037,0.12715712
1973-10-01,-0.27758485,0.19059718,-0.06662589,0.17425236,-0.19572225,-0.23963162,0.12646458,-0.13546804,0.16995838
1973-11-01,-0.5518453,-0.07410574,-0.15292099,0.2896357,0.097653344,-0.24752697,-0.035459947,0.22744226,0.13768429
1973-12-01,-0.5242807,0.012881899,-0.7528311,0.28146327,0.35238314,-0.4084819,-0.012881899,0.70199597,-0.02590238
1974-01-01,-0.65936995,0.2128675,0.11885218,0.2012208,0.03732548,-0.23700276,0.28485233,0.09724269,0.04841087
1974-02-01,-0.6954326,0.456746,-0.46951523,0.25777033,0.28443137,-0.21300784,0.27937979,-0.1630534,-0.03185294
1974-03-01,-0.51133096,0.26197997,-0.30982953,0.1122571,-0.08882344,-0.2969199,0.3009893,0.016698265,0.04742863
1974-04-01,-0.45015088,0.25356072,-0.47049752,0.18494353,-0.041815758,-0.29734093,0.3116537,0.100470066,0.114502214
1974-05-01,-0.56703854,0.17049043,-0.016978836,0.1254473,-0.041394807,0.027923942,0.049673773,-0.079983175,0.11913283
1974-06-01,-0.49028283,0.115203835,0.11211677,0.08292991,-0.00449028,-0.23026733,0.06581072,0.47344416,0.35529366
1974-07-01,0.18340003,0.40356427,-0.13990037,0.1399004,0.25748968,-0.2642251,0.13653266,-0.22212866,0.4427139
1974-08-01,-0.20711431,0.2218481,0.005472541,0.26268157,0.029467463,-0.057952724,-0.009120882,-0.14649543,0.41338673
1974-09-01,-0.15098578,0.09766364,-0.07324777,0.0030870675,0.32414237,-0.03985126,-0.009401512,-0.112537764,0.12937626
1974-10-01,-0.19294186,-0.03564162,-0.5725111,0.25664777,0.24191406,-0.0016838551,0.052480172,-0.035080336,0.27783626
1974-11-01,-0.3182488,0.2659089,-0.18550482,0.2503333,0.11885216,-0.11534415,0.05079632,0.36834353,0.05402373
1974-12-01,-0.47077817,0.46207818,-0.38504177,0.1821371,0.37578058,-0.18452254,0.113099,0.13232303,-0.045885086
1975-01-01,-0.75258553,0.26482093,-0.09529801,0.21166882,0.42696172,-0.19864926,0.0959691,0.231668,0.005234671
1975-02-01,-0.67728674,0.3331402,0.117981575,0.20388393,-0.019462252,-0.19932032,0.1599932,-0.113418005,-0.117847346
1975-03-01,-0.12106867,0.34535444,-0.60131675,0.15999322,0.0057715895,-0.023757387,0.2362316,0.07945969,-0.06778236
1975-04-01,-0.23207064,0.2036155,-0.16992569,0.16053014,0.21757457,-0.08563395,0.28978637,0.09422419,0.07207747
1975-05-01,-0.055433847,0.3948826,-0.19489102,0.13771228,0.15006073,0.0924793,0.14804737,-0.45930934,0.080801964
1975-06-01,-0.24857998,0.08536551,-0.1463025,0.14227585,-0.145363,-0.1409336,0.18482438,-0.25878093,0.35756868
1975-07-01,0.030871153,0.098250866,0.2344867,0.10724378,0.39904344,-0.14120205,0.19583063,0.26280767,0.3127384
1975-08-01,0.29099435,0.46709427,-0.0876473,0.1316723,-0.087915756,-0.12885356,0.059057903,-0.1629461,0.29220235
1975-09-01,-0.078520134,0.17167056,-0.02912631,0.004295087,0.06751392,0.047917463,0.115162894,0.17865014,0.14979228
1975-10-01,0.12831669,0.24334535,0.12482691,0.1854955,-0.033555605,-0.038253427,-0.1688519,-0.19690438,0.20549461
1975-11-01,-0.1746234,0.12831669,-0.32562375,0.2589152,-0.026978731,-0.062010765,-0.05932634,0.24495606,0.12335048
1975-12-01,-0.28723615,0.28280675,-0.4544773,0.24978805,0.21636662,-0.54829884,-0.3497838,0.34401223,0.0044293404
1976-01-01,-0.5728677,-0.029769802,-0.4338078,0.20074506,0.57528144,-0.2680624,0.22582142,0.16547719,-0.03406095
1976-02-01,-0.57300174,0.1705729,-0.2507637,0.17687556,0.14066906,-0.14643526,0.2267601,0.016494084,0.080995336
1976-03-01,-0.41583866,0.12860021,-0.13986447,0.14884906,0.21133885,-0.23601289,0.29380924,-0.17191394,-0.049214054
1976-04-01,-0.4958953,0.13007526,-0.41342488,0.21777554,0.27905846,-0.16896376,0.12484547,-0.017432773,0.041838646
1976-05-01,-0.26095515,0.26350304,-0.0147508085,0.07858156,0.069731094,-0.069865175,0.14750807,-0.10245104,0.028428823
1976-06-01,0.15796772,0.3035984,-0.06396486,0.118542835,-0.2272965,0.038620293,-0.020785231,-0.039558984,0.37520686
1976-07-01,-0.1536766,0.044654705,0.118945144,0.17727788,0.23963356,-0.10580351,0.10955825,0.2832155,0.39827177
1976-08-01,0.386337,-0.19283327,0.1381212,0.09936679,-0.07791107,0.017432773,0.22287126,0.04572749,0.27516958
1976-09-01,0.23319685,-0.44078094,0.076436,0.118140556,0.2262237,0.0010727883,-0.017566865,0.01153245,0.2209939
1976-10-01,-0.2742309,-0.013141608,-0.17754607,0.2297103,0.14563069,-0.0608806,0.13396415,-0.09829402,0.054309785
1976-11-01,-0.49334747,0.40604943,-0.46907562,0.17070706,0.30105057,-0.13409825,0.15541987,0.05390749,-0.049214054
1976-12-01,-0.6690162,-0.072010756,-0.48369235,0.16909787,0.23789024,-0.19095588,0.29126137,0.17392544,-0.0765701
1977-01-01,-0.52882355,0.16420856,-0.37265906,0.14645623,0.25283122,-0.06629362,0.44505507,-0.32508856,-0.10138212
1977-02-01,-0.565299,0.5027499,-0.09999523,0.15117171,0.17225257,-0.12357245,0.0776662,0.07544718,-0.10165949
1977-03-01,-0.22412243,0.41149217,-0.011095142,0.20817319,0.015533209,-0.13036823,0.19083694,-0.00083214045,-0.09347681
1977-04-01,-0.4426973,0.45559543,-0.33895746,0.2764085,0.17252992,-0.11844091,0.03980391,0.08709709,0.110674344
1977-05-01,-0.004854107,0.41024393,-0.29305118,0.18501197,-0.25754666,0.030511713,0.21829748,-0.15824488,0.25865617
1977-06-01,-0.6074606,0.047015764,-0.05103775,0.12329508,0.28847447,-0.1044333,0.16615018,0.0006934166,0.34811097
1977-07-01,0.18570542,0.28861314,-0.16462459,0.22481589,0.40178388,-0.11927309,0.19430418,-0.19624586,0.43839794
1977-08-01,-0.18043518,0.22537065,-0.14659493,0.14936873,0.14243427,-0.044103302,0.044935443,0.08252034,0.35046872
1977-09-01,-0.38999528,0.18542805,-0.054782413,0.060468685,0.07600188,0.0022190332,0.11857964,0.22703493,0.19388811
1977-10-01,-0.15228121,0.15158777,0.2020708,0.1578288,0.33784795,-0.018723104,-0.011511231,0.037030123,0.1913917
1977-11-01,-0.5124582,0.05603062,-0.28916788,0.25505024,0.015117156,0.028154004,-0.18709233,0.22745104,-0.0045767548
1977-12-01,-0.35074607,0.16545677,0.030927753,0.21829751,0.14936876,-0.06518416,0.17946438,0.0656002,-0.00416069
1978-01-01,-0.3145543,0.18919769,-0.58294284,0.1980355,0.49316984,-0.06488772,0.28513384,0.5093337,-0.09616872
1978-02-01,-0.35851043,0.36141762,-0.15163723,0.26501632,-0.4143278,-0.032095004,0.18582541,-0.27908695,-0.12931031
1978-03-01,-0.3901403,0.37548822,-0.36165017,0.20815234,-0.027792454,-0.12419369,0.33734637,-0.043142222,-0.036630154
1978-04-01,-0.40862975,0.31932202,-0.4447948,0.13849694,0.038955916,-0.11291392,0.060934007,0.08244695,0.008837747
1978-05-01,-0.4187467,0.38316315,-0.287227,0.125124,0.33816037,-0.021512955,0.08302836,-0.19826798,0.13291515
1978-06-01,-0.23675875,0.02535038,-0.03418815,0.15710269,0.26873738,-0.004418886,0.12791485,-0.2875758,0.36827844
1978-07-01,-0.075818636,0.12500767,0.059422277,0.18105766,0.33641607,-0.09395927,-0.024420118,-0.039653637,0.4331662
1978-08-01,-0.05291023,0.36409217,-0.084074974,0.15814927,-0.027211,-0.011163473,0.058840822,-0.13268258,0.36095247
1978-09-01,0.12128649,0.46072602,-0.15093954,-0.01953609,-0.14896268,0.0776792,0.22850247,-0.21675754,0.09826186
1978-10-01,-0.20896634,0.23629364,-0.1822205,0.13791546,-0.020815229,-0.0009302914,0.022559524,-0.15233494,0.12907772
1978-11-01,-0.3100191,0.37048793,-0.056515098,0.2980416,0.044421338,-0.08547036,-0.14093891,0.08930782,0.097680435
1978-12-01,-0.70178735,0.21082692,0.004186249,0.19373286,0.10407617,-0.16396356,-0.048026215,-0.074772045,-0.059538554
1979-01-01,-0.6408561,0.16686948,-0.2971526,0.24688351,0.25312996,-0.019482994,0.063803,0.26844868,-0.058002733
1979-02-01,-0.24718094,0.22695437,-0.38579267,0.2598226,0.019631673,-0.1805522,-0.049376678,-0.1631513,-0.07391633
1979-03-01,-0.55519044,0.12611881,-0.21788213,0.22576459,0.15021226,-0.18040343,0.05086396,0.45004186,0.029596258
1979-04-01,-0.37820774,0.4638733,-0.32392308,0.14188366,-0.068710946,-0.0016359806,0.07822935,0.013087797,-0.0026770593
1979-05-01,-0.30905056,0.14961734,0.12002107,0.17341337,-0.057407856,-0.008626056,-0.039560854,0.05919256,0.07495741
1979-06-01,-0.26339197,0.020375326,0.104107514,0.2657716,0.18248558,-0.12031853,0.12135961,-0.3616992,0.36393008
1979-07-01,-0.12805223,0.27142316,-0.020077895,0.1392066,0.14604798,-0.15809467,0.06469538,0.1488738,0.31009164
1979-08-01,0.0559206,0.30696845,-0.15006354,0.16419241,0.033611845,-0.089681186,0.08655796,0.05800276,0.3966496
1979-09-01,0.36601225,-0.039560854,-0.17817256,0.033909302,0.18352666,-0.0022308708,0.04075066,-0.052648652,-0.08075766
1979-10-01,-0.623604,-0.030339908,-0.059936143,0.22204645,0.14084253,0.083286,0.20048133,0.008328629,0.118236385
1979-11-01,-0.17698276,0.4973364,-0.4326411,0.2751413,0.06796732,-0.16448987,-0.3086044,0.34340605,0.063059404
1979-12-01,-0.49004894,0.5300559,-0.40527564,0.1914091,0.13682702,-0.26101238,-0.062910676,-0.10842053,0.04357643
1980-01-01,-0.45556432,0.49598703,-0.32917586,0.17570418,0.23458663,-0.11709122,0.15374115,0.017516518,-0.1034822
1980-02-01,-0.4620319,0.2468482,-0.047159873,0.19739772,0.14147954,-0.06979666,0.38253388,-0.34184164,-0.05322329
1980-03-01,-0.45219573,0.18298028,-0.27635682,0.19200802,0.116417505,-0.048642017,0.21868703,-0.068044946,-0.11197098
1980-04-01,-0.5839739,0.1519895,-0.3173185,0.21760908,0.043117583,0.006737113,0.03826686,-0.25089043,-0.049854707
1980-05-01,-0.39169636,0.27595258,-0.25075573,0.25830132,-0.23189178,0.05982566,0.25937924,-0.22488518,0.09795779
1980-06-01,-0.3814559,0.19564609,-0.010375166,0.22596312,0.44801873,-0.0036380528,0.19173852,0.007815075,0.5721165
1980-07-01,-0.08731308,0.26220885,-0.033685617,0.18944791,0.5052842,-0.019941885,0.15374117,-0.05901718,0.3766052
1980-08-01,-0.04715996,0.2468482,0.10307799,0.11399212,-0.07788114,0.025466328,0.06238576,-0.25870553,0.32782847
1980-09-01,-0.24765667,0.07424311,0.075321056,0.058074005,0.10267377,0.032203447,0.2068297,-0.41258144,0.36636478
1980-10-01,-0.20507804,0.109141394,-0.21909125,0.2626131,-0.043387055,0.029643346,0.083675064,0.18958263,0.101191595
1980-11-01,-0.19847567,0.40840444,-0.30829078,0.2604572,-0.17529996,-0.23526034,0.013339495,-0.12679267,0.004177022
1980-12-01,-0.50205046,0.35006094,-0.5481324,0.24091955,0.00741086,-0.22636732,0.17664738,0.044330288,0.08394456
1981-01-01,-0.44388166,0.39836615,-0.69217354,0.10667248,0.22828197,-0.21658602,0.43035382,0.02170086,-0.05608406
1981-02-01,-0.66074955,0.24237347,-0.2561831,0.25280112,0.09892225,-0.1362646,-0.14218302,0.38836128,0.054674912
1981-03-01,-0.6008608,0.20855407,-0.03734236,0.24054155,0.044529058,-0.15796547,0.27929315,-0.30846253,-0.15359716
1981-04-01,-0.67103636,0.1700842,-0.34129563,0.23560953,0.14556494,-0.10272689,-0.15542898,-0.0023955344,0.15401983
1981-05-01,-0.34059113,-0.045938205,0.13513727,0.09821768,-0.08497162,0.03522873,0.36609668,0.28337964,0.031001281
1981-06-01,-0.6407396,0.39216596,-0.061861612,-0.087226294,0.008032131,-0.043119907,0.03212862,-0.15683822,0.4321857
1981-07-01,-0.18008919,0.44148612,-0.17191605,0.16515216,0.42499906,-0.054675005,0.051433943,-0.28957996,0.43458122
1981-08-01,-0.11681833,0.3679286,-0.15627451,0.06482077,0.14486046,-0.010004997,0.095822096,-0.051715754,0.2591423
