,r300_cluster1,r300_cluster2,r300_cluster3,r300_cluster4,r300_cluster5,r300_cluster6,r300_cluster7,r300_cluster8,r300_cluster9,r300_cluster10
1979-07-01,17.804165,57.81784,21.040077,27.644575,67.75209,54.68709,42.725544,46.11031,24.683716,32.990303
1979-08-01,29.446978,56.7694,31.747711,45.18969,68.23909,54.10463,49.71188,41.617245,20.494827,19.362259
1979-09-01,19.588772,68.63549,13.919453,32.380333,73.656006,53.056194,58.03141,32.996773,16.42405,39.583473
1979-10-01,39.29386,29.048962,47.32701,45.41944,50.82665,56.406982,45.00039,25.118946,28.231894,19.357403
1979-11-01,49.642307,45.6411,51.040222,32.440197,29.154129,62.213825,43.52158,44.396893,22.730843,13.539234
1979-12-01,30.906374,60.985798,49.438442,33.16504,39.98149,48.644028,24.470146,58.4634,20.3751,18.001556
1980-01-01,22.90624,60.564487,57.596874,21.341763,39.20124,50.99022,18.134586,36.53348,21.364578,21.55851
1980-02-01,16.270252,48.201866,60.062553,19.738174,21.682365,28.186348,11.702309,22.76446,16.739597,12.777885
1980-03-01,75.40094,67.410706,35.881615,26.876099,29.643267,69.29785,10.033535,37.32061,28.833324,24.710278
1980-04-01,28.872437,48.72825,49.49419,32.223022,35.066784,53.097374,50.823994,56.539223,29.48845,32.030724
1980-05-01,42.996723,49.805454,39.105087,37.657948,50.69851,55.351196,43.092873,26.462164,30.151722,22.270672
1980-06-01,26.900543,49.890198,33.98143,30.417356,66.31557,60.523746,46.190865,19.568691,21.835552,22.176151
1980-07-01,14.855705,50.318798,33.06719,44.491123,68.29887,55.127934,52.838257,48.092678,13.571533,42.801163
1980-08-01,19.539356,50.515987,27.198772,33.48764,67.05869,63.45388,48.14483,46.568943,16.995453,35.75939
1980-09-01,24.289824,48.363205,27.239513,47.70482,68.42761,56.940117,56.01284,33.896687,16.071434,17.63591
1980-10-01,46.35383,47.70319,30.49721,42.038483,49.287224,54.30984,58.170513,34.589294,19.37313,18.258442
1980-11-01,43.034206,53.729683,43.182507,40.15459,24.830872,54.930744,48.113865,45.449368,28.22546,17.626133
1980-12-01,30.964924,43.386215,53.46079,35.847393,31.773235,32.4414,16.726559,53.34997,16.446259,23.085503
1981-01-01,16.696774,50.19011,62.6171,20.034096,21.319992,28.11306,5.515648,43.417057,17.307198,14.101631
1981-02-01,27.32918,58.07894,57.792072,18.578083,23.26635,45.958828,5.407238,50.893932,19.417,22.77267
1981-03-01,33.696953,53.70756,48.111996,23.489838,25.749746,57.883804,20.142506,39.40593,28.801872,23.07288
1981-04-01,45.336727,52.249878,39.392586,27.032307,20.224232,55.2036,52.7619,55.852386,27.119034,27.070667
1981-05-01,32.48444,41.927685,44.86807,35.18132,47.68336,68.29939,49.546326,29.594091,26.348497,29.382278
1981-06-01,29.999374,50.023327,20.817978,42.102806,73.44631,65.826004,40.90197,18.678154,33.153236,18.017693
1981-07-01,16.775162,55.71896,32.124187,48.82749,66.653244,55.762325,49.287815,46.532562,21.333336,37.43122
