,vws_u250-50_cluster1,vws_u250-50_cluster2,vws_u250-50_cluster3,vws_u250-50_cluster4,vws_u250-50_cluster5,vws_u250-50_cluster6,vws_u250-50_cluster7,vws_u250-50_cluster8,vws_u250-50_cluster9
1990-12-01,-12.449151039123535,8.593732833862305,-20.193822860717773,-15.17678451538086,14.060274124145508,-7.172721862792969,-2.234628677368164,-26.253259658813477,-14.619335174560547
1991-01-01,-18.09293556213379,2.846639633178711,-28.549877166748047,-10.715436935424805,11.714088439941406,-17.97733497619629,-4.079700469970703,-31.571521759033203,-24.444488525390625
1991-02-01,-17.498882293701172,6.041682243347168,-23.914657592773438,-5.344873428344727,9.38764762878418,-12.178092956542969,-4.6336164474487305,-25.907146453857422,-20.634519577026367
1991-03-01,-12.038409233093262,11.259716033935547,-21.98318099975586,-16.458486557006836,15.886911392211914,-12.84760570526123,1.5461444854736328,-37.25516891479492,-25.101158142089844
1991-04-01,-23.630475997924805,16.720191955566406,-29.93065071105957,-10.346160888671875,19.76110076904297,-3.228759765625,-4.365488052368164,-26.89937400817871,-16.898406982421875
1991-05-01,-23.70754051208496,7.469017028808594,-25.411029815673828,-18.35945701599121,15.8387451171875,-7.245843887329102,-8.326377868652344,-16.222469329833984,-11.640233993530273
1991-06-01,-23.535747528076172,-2.4805736541748047,-26.56220817565918,-5.421939849853516,5.751077651977539,-12.38520622253418,-12.801046371459961,-14.462787628173828,-13.263442993164062
1991-07-01,-19.528295516967773,-3.9881820678710938,-15.935077667236328,-15.07931900024414,4.471454620361328,-8.877082824707031,-16.96584129333496,-16.66399574279785,-10.041105270385742
1991-08-01,-20.942787170410156,-2.8707237243652344,-15.440568923950195,-15.031152725219727,4.188877105712891,-10.479419708251953,-18.53767204284668,-19.234481811523438,-5.444416046142578
1991-09-01,-15.281618118286133,-7.7419586181640625,-25.012853622436523,-5.476528167724609,-4.4842987060546875,-12.534523010253906,-17.75416374206543,-11.990242004394531,-9.43902587890625
1991-10-01,-8.568817138671875,-5.6884613037109375,-24.590595245361328,-4.013874053955078,-0.4334983825683594,-15.663738250732422,-10.474601745605469,-17.53099250793457,-8.596111297607422
1991-11-01,-13.136604309082031,-15.544929504394531,-29.641653060913086,-6.062555313110352,-12.7047119140625,-29.139114379882812,-11.20191764831543,-26.024351119995117,-14.374484062194824
1991-12-01,-22.95293426513672,-18.43170738220215,-33.409873962402344,-9.504851341247559,-13.76276969909668,-32.46260452270508,-11.795970916748047,-30.76714515686035,-16.445640563964844
1992-01-01,-15.155548095703125,-15.43960189819336,-26.335947036743164,-9.979255676269531,-22.25042724609375,-38.53894805908203,-11.238834381103516,-41.056488037109375,-26.587541580200195
1992-02-01,-19.143678665161133,-15.40551471710205,-23.42722511291504,-11.044054985046387,-8.154809951782227,-27.665325164794922,-16.481678009033203,-24.55695152282715,-25.970735549926758
1992-03-01,-19.536483764648438,-22.881839752197266,-28.947629928588867,-5.1486968994140625,-14.559844017028809,-32.99906539916992,-10.479190826416016,-34.73423385620117,-30.640596389770508
1992-04-01,-29.68941879272461,-16.864744186401367,-36.46940612792969,-5.893733978271484,-8.661237716674805,-28.436330795288086,-15.808063507080078,-17.257553100585938,-27.998077392578125
1992-05-01,-29.45893096923828,-19.62088966369629,-27.782194137573242,-7.114358901977539,-6.843288421630859,-18.98785400390625,-18.210351943969727,-14.946157455444336,-24.93677520751953
1992-06-01,-12.931800842285156,-17.999343872070312,-28.525606155395508,-16.76248550415039,-10.263309478759766,-14.916938781738281,-13.801822662353516,-21.04116439819336,-15.084127426147461
1992-07-01,-19.166400909423828,-16.90532684326172,-16.97349739074707,-8.274925231933594,-8.69045639038086,-12.31662368774414,-19.89196014404297,-16.049915313720703,-3.944305419921875
1992-08-01,-18.27690315246582,-16.7008056640625,-14.976995468139648,-9.352712631225586,-9.911083221435547,-12.594181060791016,-22.310483932495117,-20.705167770385742,-8.232723236083984
1992-09-01,-15.588933944702148,-16.243070602416992,-19.75723648071289,-8.685586929321289,-12.816558837890625,-13.54049301147461,-17.415002822875977,-15.976872444152832,-7.981130599975586
1992-10-01,-12.376680374145508,-25.73862075805664,-18.57556915283203,-10.386670112609863,-12.49679183959961,-16.207361221313477,-11.52613639831543,-18.109718322753906,-19.651731491088867
1992-11-01,-8.571964263916016,-21.044410705566406,-26.058387756347656,5.098381042480469,-11.881610870361328,-26.769336700439453,-8.052549362182617,-30.4831485748291,-7.075401306152344
1992-12-01,-10.896346092224121,-11.295646667480469,-28.192855834960938,-5.27855110168457,-7.336732864379883,-33.09320831298828,-4.6649932861328125,-36.1772346496582,-14.477062225341797
1993-01-01,-13.048364639282227,-14.217964172363281,-31.92612648010254,0.8969497680664062,5.787568092346191,-23.881467819213867,-7.008288383483887,-28.694631576538086,-17.81505584716797
1993-02-01,-22.53681755065918,-4.275613784790039,-27.294212341308594,-10.193309783935547,-0.9403247833251953,-21.841257095336914,-6.329767227172852,-30.538103103637695,-28.302701950073242
1993-03-01,-16.651653289794922,3.4142942428588867,-18.78016471862793,-16.705875396728516,8.919920921325684,-7.277836799621582,-5.3429670333862305,-28.415786743164062,-28.858837127685547
1993-04-01,-24.948822021484375,0.3222198486328125,-21.5686092376709,-7.15545654296875,8.955551147460938,-13.217222213745117,-1.8651580810546875,-23.534461975097656,-23.6413516998291
1993-05-01,-22.4097900390625,5.002158164978027,-21.599592208862305,-17.02189826965332,20.155799865722656,-3.8186187744140625,-2.7621078491210938,-14.235003471374512,-22.378807067871094
1993-06-01,-16.442520141601562,7.629489898681641,-17.836742401123047,-16.76938819885254,14.636228561401367,-2.0557022094726562,-9.58759880065918,-17.816604614257812,-15.289962768554688
1993-07-01,-17.49903106689453,12.994144439697266,-12.763322830200195,-16.967679977416992,15.509943008422852,-2.9278640747070312,-9.451272964477539,-13.175395965576172,-6.853372573852539
