,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10,mgu600_cluster11,mgu600_cluster12
1971-08-01,0.029722596,0.5382725,1.2258114,1.0971226,0.27991486,0.42950782,0.60065764,0.31257707,0.48927957,-0.58138657,0.6519367,0.046706773
1971-09-01,-0.035928346,0.4278744,1.5530866,0.64932406,0.16625023,0.2590111,-0.11007156,0.92140007,-0.18094826,0.5350067,1.6105721,0.3628769
1971-10-01,0.39717215,-0.11693077,1.3613594,-0.6594492,0.2054451,1.7320751,0.118563846,0.8711004,-0.61698836,1.6448673,2.1351264,0.21753006
1971-11-01,1.5034405,0.21132469,0.47262192,0.2044651,-0.44093934,1.7542855,0.5108368,0.5549303,-0.57452774,2.380746,2.1357796,-0.42297515
1971-12-01,2.1589699,0.32041627,0.6137222,0.33609352,-0.60914916,1.0445364,1.4377892,0.6346264,-0.12346306,2.527726,1.5658247,-1.1222725
1972-01-01,1.8288097,0.79705584,0.46910936,0.033569336,-0.13800697,0.7916044,1.4231087,-0.24474029,-1.1126646,1.6316974,0.4972275,-1.1206982
1972-02-01,1.807004,0.9126835,-1.4357332,-0.62289697,0.058818053,0.8306252,1.6675625,-0.13054733,-2.0213313,1.4606953,0.7732418,-1.2836673
1972-03-01,1.6328455,1.2974392,-0.46767503,-0.6401123,0.2854828,1.291414,1.6147696,0.15952568,-1.3137938,1.335886,-0.53596115,-0.7012253
1972-04-01,0.5270668,0.15120545,0.3302416,-0.030700112,0.4863247,0.6352345,0.46767503,-0.42004663,-1.3235487,0.900346,0.9333414,-0.56895673
1972-05-01,0.6570404,-0.061113358,0.43754864,-0.34745675,-0.034430314,1.007653,0.0453331,0.034716986,-0.9118227,1.2868233,1.4328642,0.002008438
1972-06-01,0.16210823,-0.065417096,0.68458426,-0.14202404,0.17674103,1.3427721,-0.15034446,-0.058818053,-0.4131607,1.2891185,1.8643873,0.18477479
1972-07-01,-0.2054325,-0.37299234,1.2245624,0.6326523,-0.26195526,-0.39221573,-0.042463683,0.35032576,0.037299346,0.35032576,1.1204113,0.7534447
1972-08-01,-0.13427734,0.45533752,1.3823665,1.0440916,-0.09324799,-0.391642,-0.34286577,1.3817928,0.82459986,-0.027257156,0.7801277,0.36696702
1972-09-01,0.12509613,-0.14087638,0.9542864,0.31790408,-0.36782798,1.2125118,-0.35577697,0.73422086,-0.8923122,0.66880417,1.0885636,0.28691712
1972-10-01,-0.25793839,-1.3671601,0.76606846,0.6917574,-0.05279274,1.6520687,-0.094969556,0.61199415,-1.0988928,1.346502,1.7714262,-0.17874947
1972-11-01,1.63055,-0.359507,0.6240448,-0.11017609,-0.38848573,1.9771458,-0.057383347,0.9428097,-0.7170059,2.6166842,2.434205,-0.10415115
