,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11,sst_cluster12
1981-02-01,22.711273,9.889282,28.547302,18.32962,12.620697,15.54538,26.424408,20.097229,24.273834,4.084503,16.315918,7.9417114
1981-03-01,23.149078,9.87442,28.354034,19.106781,11.087372,14.059204,26.980133,20.983612,24.635254,5.0734253,15.745331,8.598938
1981-04-01,23.86679,10.314789,28.835419,19.565094,12.402832,15.142975,28.321747,22.00534,25.914307,7.64386,16.084198,10.101013
1981-05-01,25.342712,11.929657,29.146606,21.947418,14.883545,15.960632,28.90924,23.866272,26.793,10.483459,17.581146,12.858063
1981-06-01,27.588135,13.037994,29.354736,23.554047,16.276428,18.622345,29.130188,26.817596,28.546265,14.518555,20.656555,16.838318
1981-07-01,28.204865,17.413513,29.477264,27.399994,20.23413,22.753815,29.2117,27.911621,28.899994,20.642181,24.382507,21.653137
1981-08-01,28.01004,22.800964,29.362946,27.661438,24.370728,25.397064,29.018951,27.69168,28.773895,22.659485,25.812805,24.344055
1981-09-01,28.263794,22.070435,29.648468,26.62793,24.80597,25.882019,28.829254,27.965942,28.50528,20.094666,26.598694,22.004303
1981-10-01,26.877075,18.811493,29.55365,24.824402,21.71518,23.620178,28.934875,26.375183,27.63684,16.206207,24.407623,19.268799
1981-11-01,26.250092,15.092194,29.598755,23.075256,19.33133,21.158447,28.831299,25.452423,27.616333,10.629059,23.232635,15.719696
