,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6
1977-08-01,-0.94190294,0.347818,0.60399246,2.797755,2.0182617,1.0494678
1977-09-01,-1.1358032,0.20239182,2.299913,1.319796,0.6832512,1.1757866
1977-10-01,-0.019460678,-0.19566956,0.063690186,0.34357148,2.6296847,1.4280689
1977-11-01,1.1142191,0.6963428,0.109687805,0.42424545,0.9988701,0.75614053
1977-12-01,0.8042618,-0.93694896,1.9782784,-1.3268731,-0.41292268,0.16347083
1978-01-01,2.2098174,-0.41455308,0.42543563,-1.3109947,-1.349083,0.23431262
1978-02-01,2.3686318,0.21628837,-1.2368577,-1.4048557,-1.3779907,1.4204991
1978-03-01,0.8773972,0.09216042,0.08807983,-1.4439647,0.68933487,1.6650143
1978-04-01,0.23873368,0.25675774,-0.8569927,-0.6315216,1.7789396,3.064429
1978-05-01,-0.66859055,-0.061893843,-0.3859871,-1.0083268,1.8928654,2.1836307
1978-06-01,-1.492255,0.8916801,1.3558849,1.7547944,0.6529468,1.673516
1978-07-01,-0.71892166,0.48018798,0.39244765,2.7685623,-0.27954292,0.8641346
1978-08-01,-3.569102,0.3383766,1.1916279,1.6119626,1.0865444,0.98078
1978-09-01,-2.7784245,1.0059464,1.5646919,0.36320153,2.75734,0.9869019
1978-10-01,-0.17003822,0.47576675,0.33021393,0.7076988,1.9683625,1.561631
1978-11-01,-0.15031357,-1.0790622,-0.0870594,0.20200539,0.6379833,1.1253128
1978-12-01,-1.299092,-0.063934326,1.0617187,0.15813598,0.30028763,0.84543
1979-01-01,-0.115953065,-0.7935362,1.3394089,-1.8564415,-1.1164215,1.4657676
1979-02-01,-1.6283996,0.7733189,0.0011894226,-1.3150284,1.6171019,1.8579277
1979-03-01,-0.49176064,0.83516085,-0.34399414,-2.1579196,0.34875184,1.9697186
1979-04-01,-1.6667535,0.6817455,-0.4658943,-1.5302852,1.3096768,2.462371
1979-05-01,1.081041,0.7510201,-1.6037223,0.33358842,2.8491788,1.2921352
1979-06-01,-1.0866897,0.6523113,1.6997553,0.34161606,0.37223968,2.3098478
1979-07-01,-1.1749928,0.29196435,1.5915325,1.5386102,0.92049026,0.8152405
1979-08-01,-1.7651651,0.33626443,1.2014538,0.95824945,0.17720032,1.0046307
1979-09-01,-1.7818148,0.7676697,1.720865,0.23963661,2.2420597,0.8396206
1979-10-01,1.367059,0.5800632,0.7754,0.33953476,2.9116158,1.4523885
1979-11-01,1.4390093,0.43051338,0.66777194,-2.312226,2.2661424,1.5677474
1979-12-01,1.5133384,-0.041921616,-0.36837426,-0.3573738,-0.95260084,0.4569746
1980-01-01,-0.09318771,-0.3835558,0.13809356,0.28766632,-3.699152,1.3177979
1980-02-01,3.4796882,0.054697417,-0.24377365,-1.3421081,-4.5638413,1.3225247
1980-03-01,-0.7019474,-0.59457934,1.7162094,-3.621833,1.676706,1.5406382
1980-04-01,0.9193859,0.99265325,-0.1627411,-2.6133113,3.6920617,1.3262386
1980-05-01,-0.520974,0.7245693,-0.31028825,-1.5879074,2.7740269,2.8449302
1980-06-01,-2.5471344,0.22148971,1.9441147,1.8607181,0.37443963,2.3637974
1980-07-01,-3.264951,0.13843116,0.28631592,2.113271,0.41529387,1.5784538
1980-08-01,0.20899734,0.42305908,0.8575981,2.8938878,-2.2618308,0.5483227
1980-09-01,-1.9873323,0.8900116,1.5852063,1.4852657,2.3087628,1.1526932
1980-10-01,1.8249285,0.3295334,-0.39334717,-1.0034574,2.862487,1.355951
1980-11-01,2.9418323,0.5716198,-0.25626642,0.06651459,2.1179976,-0.04355526
1980-12-01,1.9137275,-0.0317379,-1.0044708,0.6708851,-3.1525178,0.3237942
1981-01-01,3.8272507,0.024225617,-0.14315033,-1.2611908,-3.154445,0.21802902
1981-02-01,0.62619096,-1.2828467,0.07965012,-0.90478325,-1.7262452,0.8251327
1981-03-01,1.8308556,0.4562458,-0.114888,-3.7321842,1.2472427,0.18315887
1981-04-01,0.34906635,0.37255782,-1.1863117,-0.19086723,1.2134739,1.4847248
1981-05-01,0.8552311,0.41880646,-0.93157804,-0.51717603,1.9596908,1.4707773
1981-06-01,0.5263527,0.56672823,-0.20444794,2.502927,4.5162077,0.31749994
1981-07-01,-2.5010922,0.06570206,0.30942535,1.8121357,0.21986428,1.0615139
1981-08-01,-1.5713494,0.6170143,1.2839477,1.647329,0.57884103,0.94809496
1981-09-01,-1.511887,0.2172943,2.2048812,-0.360812,3.8184419,0.7741127
1981-10-01,-1.6730229,0.69666445,2.0925632,0.20371361,1.5063813,1.9402367
1981-11-01,1.4792194,1.0130638,1.5089508,-0.79797095,3.009459,1.8308551
