,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7
1970-01-01,0.00016182621327480152,4.0155238821171224e-05,7.153157886695345e-06,8.635217863211067e-05,3.5354767925466645e-05,0.00010586182673611098,4.81693344798549e-05
1970-02-01,0.00014165226954020678,4.890977652394213e-05,2.2113268325641835e-06,8.331526074396941e-05,2.7652336654022756e-05,0.00012050650012789223,4.992867068931527e-05
1970-03-01,0.0001619884786787369,4.159766831435263e-05,3.385389143896527e-06,9.410384280977733e-05,2.665692412776087e-05,0.00011839908764605357,4.341563264493196e-05
1970-04-01,0.00015214781530038823,4.118996730539948e-05,3.5531170199291138e-06,8.288649153154419e-05,4.0085686515678886e-05,0.000116527886382515,5.294887723238414e-05
1970-05-01,0.0001408884556786645,5.236140714259818e-05,4.386348465508807e-06,8.124212511073874e-05,3.165008303196872e-05,0.00012641930365100293,4.6465789733879044e-05
1970-06-01,0.00014742146872560538,4.534599065664224e-05,7.659216308915664e-06,8.198162225996885e-05,3.896975434983295e-05,9.81842568539575e-05,5.077724856277104e-05
1970-07-01,0.00013982681261878166,4.6293047489598393e-05,4.7344521748448685e-06,7.957448305001445e-05,3.1818244144019176e-05,0.00010501905805694888,6.366219521969952e-05
1970-08-01,0.0001404527875055219,4.845263174502179e-05,2.5992083306925413e-06,7.75930913027414e-05,3.027129664320348e-05,0.00010545760610597734,6.689943617366386e-05
1970-09-01,0.000130342347787634,5.0720485887723044e-05,2.6695353545105522e-06,7.431873218964178e-05,3.633230798917722e-05,0.00010952597839828088,6.283618408292367e-05
1970-10-01,0.0001485051706411122,4.638509199139662e-05,5.746327113466459e-06,8.66298455084503e-05,4.1516956544536e-05,0.00011671612432933816,5.27997973680999e-05
1970-11-01,0.00014439401205717806,4.931911462335847e-05,6.19351246076922e-06,8.425578963230079e-05,3.510496361402557e-05,0.00012877072841324403,5.583903086227489e-05
1970-12-01,0.00016121360074196543,4.4450120185501873e-05,3.4329450895513774e-07,8.364797989144085e-05,3.2029981643883694e-05,0.0001181141069194056,5.9673214237003764e-05
1971-01-01,0.00014831111045731675,4.295372491469607e-05,1.6899866750463845e-06,7.474653622401612e-05,3.240288427988679e-05,0.00010443945252775864,6.649845686176611e-05
1971-02-01,0.00015196455356162336,4.992836693418212e-05,1.5753176819049734e-06,8.239116958028883e-05,4.210491276941919e-05,0.00013865979815578475,5.266207250492417e-05
1971-03-01,0.00015877818758969033,4.667738903663121e-05,1.479125666778798e-06,8.33310673906639e-05,3.3151928958021944e-05,0.0001237452176250166,5.764989759278509e-05
1971-04-01,0.00016574156775494062,4.8735601012595e-05,4.185148119849265e-06,8.774963023416622e-05,3.566122840685934e-05,0.00011812436190117501,4.6954552186611815e-05
1971-05-01,0.00016210584102996757,4.943649400956929e-05,5.6134862184673855e-06,8.342148972513649e-05,3.5360310493178626e-05,0.00012042970788656329,5.3411135560754625e-05
1971-06-01,0.0001433508591689465,4.570935925585218e-05,5.773225023838915e-06,8.002656502459122e-05,3.38980801946794e-05,0.00010114496756116596,5.8301073263102605e-05
1971-07-01,0.00013955777542414292,4.968119174009189e-05,5.326608259011941e-06,7.81583441160049e-05,3.2221682618803566e-05,0.00010188468877458945,6.089194518600517e-05
1971-08-01,0.00013973827691867002,4.866032031713985e-05,5.385253367105338e-06,7.796810009773365e-05,2.957068879956804e-05,0.00011320518991988995,6.44514016009686e-05
1971-09-01,0.00013402415557749688,4.615940633811988e-05,5.444395632682996e-06,8.096756165305494e-05,3.5511202797494536e-05,0.00011278573782754323,6.116421087603786e-05
1971-10-01,0.00013513946748663864,4.8953461373457685e-05,6.186185442936182e-06,8.17780068134699e-05,4.155669254638875e-05,0.00011945396764994651,5.24048545254617e-05
1971-11-01,0.0001541083278540995,4.7920519136823714e-05,4.19698069534839e-06,8.331201626082921e-05,3.666631991840333e-05,0.00013208218832623284,5.238563762678955e-05
