,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7
1975-08-01,2.8388415e-05,-2.2684006e-05,7.5359145e-05,-9.027111e-05,-1.0587755e-06,-5.335649e-05,6.488968e-05
1975-09-01,3.4166955e-05,-2.2014032e-05,9.063459e-05,-9.408998e-05,4.6682544e-08,-4.436207e-05,5.1004445e-05
1975-10-01,3.6277375e-05,-3.2323278e-05,8.797982e-05,-8.575716e-05,1.4703801e-06,-4.8214428e-05,5.407796e-05
1975-11-01,2.7157334e-05,-2.3186487e-05,9.341499e-05,-8.4107334e-05,4.8621296e-06,-5.384222e-05,5.0535462e-05
1975-12-01,2.9611121e-05,-2.6645233e-05,8.684085e-05,-7.373947e-05,8.714491e-06,-5.2979627e-05,6.972188e-05
1976-01-01,2.533128e-05,-2.7324004e-05,9.2320755e-05,-8.611062e-05,1.1154334e-06,-4.4759305e-05,6.249495e-05
1976-02-01,3.648448e-05,-2.3429526e-05,8.245657e-05,-8.40811e-05,2.6055714e-06,-5.167978e-05,6.780644e-05
1976-03-01,1.9955802e-05,-2.623611e-05,8.28771e-05,-8.121052e-05,3.8854487e-06,-5.07473e-05,7.213973e-05
1976-04-01,2.595293e-05,-2.7835955e-05,8.246571e-05,-8.949314e-05,3.4009208e-06,-5.0975847e-05,6.996394e-05
1976-05-01,2.6583726e-05,-2.2588461e-05,8.522659e-05,-8.357829e-05,-5.301263e-07,-6.507277e-05,7.927047e-05
1976-06-01,3.3293934e-05,-3.435418e-05,8.041791e-05,-8.2746374e-05,2.1951564e-07,-5.1634066e-05,6.811726e-05
1976-07-01,2.463649e-05,-3.3549684e-05,8.6716725e-05,-8.381598e-05,2.0661973e-06,-6.5639564e-05,6.481701e-05
1976-08-01,3.1492968e-05,-2.211308e-05,7.27478e-05,-8.4428495e-05,1.6182385e-06,-6.5255605e-05,4.8535163e-05
1976-09-01,2.9445164e-05,-2.3018136e-05,7.951286e-05,-8.569009e-05,2.3313114e-06,-5.7411795e-05,6.490843e-05
1976-10-01,3.1081578e-05,-2.1500568e-05,9.26133e-05,-8.760076e-05,5.677277e-06,-5.330705e-05,5.662581e-05
1976-11-01,3.2050626e-05,-2.9618637e-05,9.443255e-05,-8.919146e-05,4.817928e-06,-5.2731106e-05,6.322631e-05
1976-12-01,2.5770092e-05,-2.8466751e-05,9.0638634e-05,-6.955451e-05,7.917057e-06,-4.621288e-05,7.410526e-05
1977-01-01,1.6707385e-05,-3.5063713e-05,9.060792e-05,-8.509912e-05,1.1128806e-05,-6.0814138e-05,7.281292e-05
1977-02-01,1.6853242e-05,-2.6749683e-05,8.9830006e-05,-8.150123e-05,2.9120201e-06,-4.655226e-05,5.3502663e-05
1977-03-01,2.5766916e-05,-3.2211337e-05,8.817692e-05,-8.103124e-05,2.1989254e-06,-5.3261825e-05,7.7326484e-05
1977-04-01,1.9738032e-05,-2.862966e-05,8.597282e-05,-8.2830185e-05,2.8633985e-06,-5.6341094e-05,7.090053e-05
1977-05-01,3.6463327e-05,-2.9666888e-05,9.071326e-05,-8.7351844e-05,7.64634e-07,-5.48987e-05,6.414235e-05
1977-06-01,2.8748946e-05,-2.0137359e-05,7.74481e-05,-8.979095e-05,-1.9966319e-07,-6.208636e-05,6.774833e-05
1977-07-01,2.59695e-05,-2.991809e-05,7.491175e-05,-9.562536e-05,1.9234103e-06,-5.4031643e-05,5.483161e-05
1977-08-01,2.8141196e-05,-2.8710692e-05,7.28454e-05,-8.107176e-05,2.1584092e-06,-6.3625994e-05,6.9766065e-05
1977-09-01,3.1358224e-05,-3.0801355e-05,8.330682e-05,-8.559342e-05,3.1470154e-06,-5.2119252e-05,5.005874e-05
1977-10-01,2.9494455e-05,-2.550177e-05,8.83795e-05,-8.441844e-05,3.090292e-06,-5.4833872e-05,5.594987e-05
1977-11-01,2.5345544e-05,-2.9180686e-05,8.550282e-05,-8.7562534e-05,6.57473e-06,-4.4477805e-05,6.394787e-05
1977-12-01,2.6950005e-05,-3.4269586e-05,9.301461e-05,-8.921561e-05,5.6104327e-06,-5.4833872e-05,4.9823746e-05
1978-01-01,2.3969522e-05,-3.2484124e-05,9.071432e-05,-7.8682526e-05,8.465566e-06,-5.4973505e-05,5.431977e-05
1978-02-01,1.049375e-05,-2.7975184e-05,8.772821e-05,-7.9601334e-05,3.5737903e-06,-6.002692e-05,5.864155e-05
