,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10
1972-05-01,1014.45526,1008.92755,1014.23773,1010.99615,1022.8815,1012.541,1011.3861,1012.63354,1021.95654,1014.5377
1972-06-01,1013.8097,1009.4356,1014.74963,1011.633,1020.1392,1006.6346,1005.5659,1014.37714,1021.4241,1014.8546
1972-07-01,1020.5366,1008.9657,1016.48444,1010.75555,1015.0521,1013.5666,1010.7818,1015.12463,1020.57166,1015.28827
1972-08-01,1018.5518,1009.90564,1016.6432,1011.65424,1014.0172,1008.4482,1011.77045,1015.5108,1018.0556,1015.53204
1972-09-01,1023.8052,1008.7126,1018.0925,1011.11743,1021.4372,1015.33264,1015.45764,1015.52893,1020.2586,1015.52893
1972-10-01,1021.8734,1009.32,1016.99756,1011.29486,1017.9175,1018.5174,1018.43994,1014.32025,1015.57263,1015.3539
1972-11-01,1020.5679,1008.41693,1016.62445,1010.5355,1015.392,1018.8218,1020.70166,1012.4679,1014.0222,1014.7883
1972-12-01,1019.8748,1008.19885,1016.15265,1010.30115,1013.7966,1018.17377,1005.76154,1011.11615,1013.111,1013.1947
1973-01-01,1021.2534,1007.41345,1016.4426,1009.8063,1016.1649,1020.5139,1016.99384,1010.1587,1012.0776,1011.875
1973-02-01,1022.1512,1008.8513,1016.4903,1010.45123,1018.0047,1020.1127,1015.7777,1008.43976,1011.5265,1012.3265
1973-03-01,1021.25085,1009.1459,1016.073,1010.64166,1016.85815,1021.41425,1015.8929,1010.17413,1014.76685,1012.6872
1973-04-01,1019.74927,1009.1755,1015.90186,1010.71686,1019.7403,1014.6582,1011.9618,1012.2595,1017.77185,1013.902
1973-05-01,1020.10046,1010.03906,1017.3732,1012.3747,1017.9256,1011.3593,1009.4854,1013.0647,1019.45544,1015.62213
1973-06-01,1022.11194,1010.27313,1018.66187,1012.91034,1016.2157,1017.9822,1019.5371,1013.7457,1018.97186,1016.5057
1973-07-01,1022.4334,1010.40625,1019.54486,1013.38495,1022.5538,1013.5174,1020.4625,1013.5251,1019.5461,1017.2761
1973-08-01,1024.769,1010.5696,1020.0657,1013.97595,1015.91406,1020.5982,1021.0393,1014.65045,1019.0105,1018.08826
1973-09-01,1026.5715,1011.5619,1020.5744,1014.49164,1017.9854,1025.3279,1018.62463,1014.9193,1018.83167,1017.83813
1973-10-01,1024.9388,1010.30396,1019.43744,1013.201,1018.95776,1024.7922,1021.2039,1012.6203,1015.88257,1016.48
1973-11-01,1023.771,1009.2687,1018.82007,1012.956,1011.29626,1018.424,1015.22986,1009.17865,1010.8184,1015.3977
1973-12-01,1024.4514,1009.2802,1018.795,1013.01,1016.02466,1019.4201,1016.17,1008.68475,1011.2564,1015.2614
1974-01-01,1021.2328,1008.6197,1017.48065,1012.01056,1017.71155,1022.85425,1014.7805,1005.77094,1006.5595,1012.5832
1974-02-01,1021.81024,1008.44995,1017.0616,1011.5086,1013.25903,1022.8713,1019.4586,1005.6853,1010.0326,1012.2238
1974-03-01,1021.56976,1009.87976,1017.6213,1012.2701,1016.26276,1021.68115,1019.0348,1007.6524,1012.2463,1013.7237
1974-04-01,1019.62976,1008.73724,1016.3164,1011.19476,1016.6703,1018.83234,1016.98,1010.146,1014.7765,1013.7753
1974-05-01,1018.15576,1010.0081,1017.13696,1012.5968,1016.707,1013.90295,1016.5106,1012.28094,1018.0295,1015.9278
1974-06-01,1023.6727,1009.78534,1019.94763,1012.7265,1013.5437,1017.07983,1013.64624,1012.8413,1018.346,1016.7491
1974-07-01,1023.4716,1010.3097,1020.05164,1013.61096,1009.2644,1020.0245,1009.1957,1014.13794,1018.1422,1017.38416
1974-08-01,1020.3416,1010.5094,1016.9943,1013.0879,1011.192,1012.14166,1009.6495,1014.0443,1016.9542,1016.26404
