,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7,abs_vo500_cluster8,abs_vo500_cluster9,abs_vo500_cluster10,abs_vo500_cluster11
1985-02-01,1.1336531333474322e-05,-7.217912389434303e-05,7.164309285695293e-05,-8.33862874542876e-05,-3.8875193398701455e-05,4.7168773149182506e-05,0.00011327090735019712,-1.62521052447973e-05,-5.680177245353984e-05,0.007464140799129382,2.376881058084121e-05
1985-03-01,8.98589038601725e-06,-7.370182743472621e-05,7.115396001298766e-05,-8.319977793262853e-05,-3.66217940661928e-05,5.2208351090402253e-05,0.0001068822146064465,-1.8170480617800092e-05,-5.941486503008963e-05,0.00682378959027119,2.5713960587570325e-05
1985-04-01,9.896134779320156e-06,-7.676490129609688e-05,7.37850378175129e-05,-8.614088630788407e-05,-3.1764396397562265e-05,5.5150555702063926e-05,0.00010447322136162409,-1.744897593839233e-05,-5.867523992261087e-05,0.00504746385558974,2.5883386674999758e-05
1985-05-01,1.0026307570502233e-05,-7.908196448932904e-05,7.303868978793647e-05,-8.858232646087678e-05,-2.7353965616266183e-05,5.3142593969823786e-05,0.00010453388656626319,-1.3125266534109718e-05,-5.9808439189171956e-05,0.004404784340295009,2.755523899906505e-05
1985-06-01,7.933746775673324e-06,-7.723003782754508e-05,6.774632188964134e-05,-9.149561395003859e-05,-2.5651387909749538e-05,5.351213324254124e-05,0.00010156311985650176,-1.306824606107452e-05,-5.8350698412726193e-05,0.0033119609724963084,3.2409844001857126e-05
1985-07-01,7.056677833755355e-06,-7.973956570274179e-05,6.976243699771731e-05,-9.321051706769028e-05,-2.6037703033923037e-05,5.6888269351805896e-05,9.438450403982612e-05,-1.3311561659145052e-05,-5.5585445815977393e-05,0.0019054730728385039,3.2712341635487974e-05
1985-08-01,5.886751896153751e-06,-7.60543917168592e-05,7.092053053785424e-05,-9.194437719700971e-05,-2.499464310370757e-05,5.8892971785760224e-05,9.17100010951004e-05,-1.3931649090856377e-05,-5.569891695446656e-05,0.0020262645193724893,3.2074864327683296e-05
1985-09-01,8.045289186976325e-06,-7.868764043520742e-05,6.932317859370078e-05,-9.154532655921517e-05,-2.6675104601199038e-05,5.453955220053268e-05,9.767916110520075e-05,-1.2308800037438388e-05,-5.55695792472828e-05,0.003017745439137798,3.217107274565288e-05
1985-10-01,9.593573510915586e-06,-7.930778853361901e-05,6.983733437121358e-05,-9.073976371484827e-05,-2.6690972977055516e-05,5.297355115048545e-05,0.00010059655552821143,-1.3575484028818102e-05,-5.782018503866416e-05,0.0038773101550759748,3.1012688278894945e-05
1985-11-01,1.206645418566797e-05,-7.725314843693316e-05,7.160930231691145e-05,-8.789114167020484e-05,-3.239861044953021e-05,4.8821914540233344e-05,0.00010655803762220002,-1.605675536228009e-05,-5.789590125088296e-05,0.006163850775919855,2.7189591102711666e-05
1985-12-01,1.1849534161282832e-05,-7.512505155326862e-05,7.165398352272085e-05,-8.81222736004892e-05,-3.2639312835733335e-05,4.529122055497613e-05,0.00010966946945378083,-1.5380384302393648e-05,-5.7363667619849553e-05,0.006102984480094165,2.5256677297777945e-05
1986-01-01,1.3903486838484747e-05,-7.276716826690685e-05,7.590986255840309e-05,-8.258468926437578e-05,-3.860241023452862e-05,4.68852571926122e-05,0.00011068139912339149,-1.468742520427337e-05,-5.817701205386937e-05,0.0066239022999070585,2.181830185566356e-05
1986-02-01,1.0615765066825472e-05,-7.386461918480888e-05,7.57207978081935e-05,-8.24129499366735e-05,-3.7577507245642024e-05,4.860400870463557e-05,0.00011517151128902319,-1.3437452792659624e-05,-5.811143948720463e-05,0.006255041080294177,2.0456523955706193e-05
1986-03-01,1.2067646749339547e-05,-7.213665233950213e-05,7.569115720133282e-05,-8.252185468837542e-05,-3.482975569278241e-05,4.8631825186682605e-05,0.00011172778528598344,-1.4189526954337112e-05,-5.8886415252808144e-05,0.006406211468856782,2.0129055065203326e-05
1986-04-01,8.45002445977557e-06,-7.534313565393401e-05,7.422347942159683e-05,-8.548723060960824e-05,-3.1477697964452304e-05,5.221019984508695e-05,0.00010909835766188991,-1.590257850310711e-05,-5.878367125965236e-05,0.005435683851828799,2.554319459239463e-05
1986-05-01,6.2934120503294e-06,-7.442773149493855e-05,7.29027356498682e-05,-8.931797477701792e-05,-2.8466278625115674e-05,5.276048051944764e-05,0.00010569288894927047,-1.4617474381200243e-05,-5.850701764781566e-05,0.004482868826016784,2.927378946547334e-05
1986-06-01,7.239859251688421e-06,-8.199284354836573e-05,6.913561557632075e-05,-9.346689954067447e-05,-2.4193049732960958e-05,5.36677998752566e-05,0.00010162939891188746,-1.2315356327090006e-05,-5.809762228358865e-05,0.00332819290633779,3.1473410006181914e-05
1986-07-01,7.455145236019577e-06,-8.21618510685592e-05,6.948628182734436e-05,-9.369967672831321e-05,-2.4721302379739296e-05,5.65632242135259e-05,9.449309558718355e-05,-1.2570922686663439e-05,-5.66193887458381e-05,0.001666597745497711,3.324383421772608e-05
