,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8,mgv500_cluster9,mgv500_cluster10
1970-01-01,0.05749347,-0.5490037,-0.020299505,-0.046623398,0.06102953,-0.03470564,-0.2709658,-0.0669229,0.18426724,-0.12611894
1970-02-01,-0.17811188,-0.18596974,0.19526818,-0.08591279,-0.050552346,-0.26114345,0.21111496,0.048194982,0.3188988,-0.23298606
1970-03-01,-0.06744678,0.3786187,-0.2635008,-0.13829863,-0.5486108,-0.23036675,-0.14052503,-0.09141332,-0.13633417,0.351509
1970-04-01,0.096258976,0.03169341,-0.10123567,0.024359416,-0.10516457,0.11446307,-0.1432753,-0.496094,0.2507972,-0.23508148
1970-05-01,-0.13397677,-0.11682043,-0.30108768,0.097437665,0.068494484,-0.31588668,0.012572599,0.08656762,0.13371487,-0.06286307
1970-06-01,-0.03116951,0.20548344,-0.41332436,0.17431392,0.15113315,0.0903656,0.29637295,-0.18204084,0.48954573,-0.48967677
1970-07-01,-0.17012306,0.13135758,-0.33395976,0.30030188,-0.36434355,-0.26638204,0.34928262,0.096389964,0.19710176,-0.22630689
1970-08-01,0.11105804,-0.13345298,0.18754129,0.3017425,0.19683981,0.13332196,-0.080543235,-1.1911232,0.065351345,0.24320126
1970-09-01,-0.025145149,0.10843871,0.18086216,0.08329348,0.21412714,-0.21857993,-0.20836473,-0.3501994,-0.40808573,0.46060258
1970-10-01,0.03601526,-0.31562474,0.15820524,0.097044766,0.41620556,0.12598796,-0.45510206,0.08944883,0.33972222,-0.10215237
1970-11-01,0.18531492,-0.39656085,0.20404288,-0.29558712,0.0023573874,0.636881,-0.12808338,-0.1802073,0.21753223,-0.35164
1970-12-01,0.16265802,-0.062732026,0.1436682,0.09324682,0.25341654,-0.22814038,-0.25145206,-0.07124476,0.55607575,-0.18793428
1971-01-01,0.3125333,-0.44972548,-0.14582972,-0.11012807,0.59483546,-0.07932098,-0.20989108,-0.18829736,0.35514492,-0.41287223
1971-02-01,-0.071115375,-0.011228728,-0.11545451,-0.13848782,0.34031725,0.13244157,-0.08997389,-0.513499,0.049233723,-0.20082173
1971-03-01,-0.4795248,-0.20096572,-0.13618448,-0.22255945,0.29626602,0.28690875,-0.2604204,0.29583415,0.16627176,-0.28143844
1971-04-01,-0.22227147,0.05859103,0.26718646,-0.15533093,0.17447738,0.20269318,-0.22011216,-0.15763426,0.31929934,-0.3476591
1971-05-01,-0.121500745,0.24804005,0.0716912,0.1502924,-0.19866233,0.20701191,0.14251867,-0.66868603,0.04765017,-0.010652912
