,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10
1969-07-01,-3.3076782,3.1247864,3.4970398,2.4243774,-6.023712,-12.273621,-9.049957,-7.2738037,-1.6212463,-0.07733154
1969-08-01,-3.9607544,2.9660034,3.6766663,2.0343323,-6.4675903,-12.453949,-9.608704,-8.7595825,-1.8759155,-0.8986206
1969-09-01,-4.773224,3.2713318,3.4169312,1.3182678,-6.5016785,-13.016693,-9.17157,-9.0997925,-1.9130859,-1.3034363
1969-10-01,-4.3482666,3.4229736,3.5404053,1.3088989,-6.2321167,-12.265106,-9.004547,-8.0903015,-1.325592,-1.314331
1969-11-01,-3.1759338,3.6385193,3.7261963,1.7710571,-6.1734924,-10.247284,-8.603912,-7.5912476,-0.1194458,-1.2736511
1969-12-01,-2.4794312,3.3715515,4.0176086,1.616394,-4.9442444,-9.324158,-6.484009,-5.4128723,1.4574585,-0.97143555
1970-01-01,-1.3490906,3.3335571,4.044342,1.0240173,-4.4184875,-8.214172,-4.6059875,-3.9840698,1.9321289,-0.36349487
1970-02-01,-0.43307495,3.364685,3.7025146,0.8412781,-3.3268738,-7.6737366,-4.3093567,-2.6439514,1.8206787,0.22088623
1970-03-01,-0.29541016,3.2280579,3.374237,1.1478577,-3.497589,-8.404907,-4.4439087,-4.036865,1.8565674,0.7852173
1970-04-01,-0.5580139,3.4768372,3.175171,1.6270447,-3.6940613,-10.079803,-5.301605,-5.392517,0.27572632,1.144043
1970-05-01,-2.6017761,3.5086365,3.7705383,2.1412964,-4.176758,-11.142578,-6.5704956,-6.506958,-0.5644531,1.0740662
1970-06-01,-4.5174255,3.2191162,3.7728882,2.1792908,-4.733856,-11.801453,-7.559967,-7.2603455,-1.422699,-0.10702515
1970-07-01,-5.511566,3.0421753,3.841278,1.3204651,-5.203705,-12.498596,-8.465271,-7.7467346,-1.6471863,-1.0603638
1970-08-01,-6.0253296,3.1601562,3.6374817,1.1130371,-5.9881287,-11.747284,-8.404083,-9.530182,-1.4279175,-1.5586243
1970-09-01,-5.690155,2.9927063,3.8930664,0.9145813,-5.995453,-12.4039,-8.591156,-9.392883,-1.144928,-2.0298157
1970-10-01,-5.574341,2.9246216,3.820343,0.66363525,-6.467987,-12.017944,-8.410278,-8.366364,-0.59780884,-2.1252747
1970-11-01,-5.0417786,3.1116333,3.7532043,0.18789673,-6.3259583,-10.613922,-7.4974976,-7.7831726,0.5014343,-2.1939697
1970-12-01,-4.080139,3.2266235,3.838745,0.18664551,-5.60141,-8.477631,-5.858673,-6.0890503,1.3008728,-1.7432251
1971-01-01,-2.6236877,3.0558777,4.059967,-0.009735107,-4.2330933,-7.2176514,-4.321045,-4.0220947,1.7503662,-1.1679688
1971-02-01,-1.1521912,2.8537598,3.584076,-0.15304565,-3.4059448,-6.2793274,-3.731079,-2.8124695,2.0725403,-0.5108032
1971-03-01,-0.23892212,2.7896118,3.439911,-0.19296265,-3.2358398,-6.4664917,-3.6049805,-3.2808228,1.7376099,0.26705933
1971-04-01,0.124572754,2.7716675,3.3764954,0.73779297,-4.211426,-8.005402,-4.680359,-5.1433716,0.4897461,0.53570557
1971-05-01,-1.6013184,3.178955,3.6577759,1.3605347,-5.315216,-10.106842,-6.4868164,-7.3767395,-0.50631714,0.28875732
1971-06-01,-2.7257996,2.727478,3.8827515,1.3641663,-5.3175354,-12.079254,-7.9072876,-8.234894,-1.3491211,-0.12713623
1971-07-01,-3.499115,2.866333,3.9539185,2.0401306,-6.2410583,-12.127167,-8.517517,-9.051697,-1.9885254,-1.0254822
1971-08-01,-4.743866,2.7037048,4.0744324,1.9797974,-6.5336304,-11.471008,-8.744873,-10.096344,-1.5873413,-1.6461487
1971-09-01,-5.38443,2.7727356,3.4294434,1.1228333,-6.3830566,-11.054108,-8.282501,-9.944794,-0.9322815,-1.7347412
1971-10-01,-5.135559,3.0828552,3.6387634,0.93240356,-6.269623,-11.35672,-7.5588074,-8.818359,-0.48034668,-2.1544495
1971-11-01,-4.4865417,3.4556885,4.218628,0.58377075,-5.7786865,-10.68692,-7.1029663,-6.972046,0.9899597,-2.1878357
1971-12-01,-3.6268616,3.5019836,4.0751953,0.46307373,-4.518799,-9.049988,-5.7052,-5.353363,1.3125,-1.8633118
1972-01-01,-1.5794983,3.4563599,3.791626,0.56015015,-3.3733826,-7.953491,-4.52594,-3.3384705,1.5826111,-0.83154297
1972-02-01,0.14602661,3.4808044,3.3961487,0.86865234,-2.3771667,-7.251404,-4.156708,-2.881256,1.3043213,0.24261475
1972-03-01,0.94641113,3.23526,3.3935852,1.3007812,-2.7097473,-7.282196,-4.6667175,-2.9393005,1.4590759,0.7852478
1972-04-01,0.3378601,3.3866577,3.5827332,2.2828674,-3.3771057,-8.090179,-5.460327,-4.2704773,0.28189087,1.0556946
1972-05-01,-0.28549194,3.3137512,3.6116943,2.9172668,-3.832611,-10.051178,-6.999542,-6.2386475,-0.6920166,0.84698486
1972-06-01,-0.95544434,3.1383057,3.2416077,3.1177368,-4.514984,-11.10611,-8.693848,-6.8861084,-1.7875671,0.29135132
1972-07-01,-1.2988892,3.072235,3.374939,3.486847,-5.8115845,-11.38501,-9.178894,-7.489258,-1.5518799,-0.13964844
1972-08-01,-1.8635864,3.222992,3.0240479,3.9417725,-5.925293,-12.285431,-9.574738,-8.317932,-1.8401489,-0.28442383
1972-09-01,-2.7660828,3.3625793,2.9211426,3.5524292,-5.829712,-13.117615,-9.798157,-8.592499,-2.097992,-0.9975586
1972-10-01,-2.8106384,3.7254639,3.5992126,3.3945312,-6.075592,-13.097595,-9.397461,-8.838867,-1.7011108,-1.0803528
1972-11-01,-2.412323,3.8641052,3.7579346,3.3026428,-5.838928,-12.379852,-8.270782,-7.9178467,-0.39752197,-0.7609863
1972-12-01,-1.0297852,4.069702,3.4556274,3.0065613,-5.011139,-10.390869,-6.3927917,-7.1206665,0.6861267,-0.5630188
1973-01-01,-0.3296814,3.7280579,3.8702698,2.865448,-4.552429,-8.148987,-5.2106934,-5.44223,1.4620667,-0.20199585
1973-02-01,-0.1404419,3.486206,3.579895,2.1464233,-3.7947693,-7.32724,-3.9171143,-4.115143,2.028473,0.37313843
1973-03-01,0.13568115,3.3191528,3.6249695,2.0846863,-3.7802734,-8.059845,-4.7147217,-4.600647,1.7080078,1.0448914
1973-04-01,-0.8345337,3.1547241,3.5309448,1.964447,-4.2311096,-9.810181,-5.3078003,-5.699524,0.9411621,0.8363037
1973-05-01,-2.0589294,3.319641,3.7016907,2.3686829,-4.621521,-11.036499,-6.506439,-7.280731,0.22210693,0.6920166
1973-06-01,-3.5076294,3.1568298,3.691803,1.6447144,-4.6566467,-11.252686,-8.027008,-7.8357544,-0.34310913,0.22387695
1973-07-01,-4.83255,3.213501,3.6304626,1.8581543,-6.0718384,-10.915466,-8.607727,-8.27182,-0.98791504,-1.0922852
1973-08-01,-6.0447693,2.8886414,3.6357117,0.8309021,-6.0107727,-11.7413025,-9.142303,-8.381622,-0.88946533,-1.7685852
1973-09-01,-6.373749,2.5091553,3.7814941,0.5305481,-6.5611267,-12.223175,-8.723236,-8.712555,-1.0179749,-2.3572693
1973-10-01,-5.644287,2.7920227,3.71286,0.5109558,-6.320984,-12.667999,-8.244263,-8.8272705,-0.60165405,-2.5341492
1973-11-01,-5.1441956,2.6105652,3.7823792,0.18484497,-6.1801147,-10.892212,-6.866028,-7.236908,0.50231934,-2.1753235
1973-12-01,-3.8527527,2.5690308,3.9685059,-0.09988403,-5.227478,-8.598816,-4.9561462,-4.872162,1.7272949,-1.8440247
1974-01-01,-2.3136597,3.0671082,3.7714539,-0.5461731,-4.3733826,-6.4140015,-3.5906982,-3.3302917,2.2692566,-1.4365234
1974-02-01,-0.46246338,2.9545593,3.9697266,-0.25836182,-3.5231323,-5.8222046,-3.4761353,-3.3572083,2.317749,-0.6435547
1974-03-01,0.042877197,2.7741394,3.8269958,0.03112793,-3.4681091,-5.7666626,-3.624237,-3.945343,1.8960266,0.47851562
1974-04-01,0.2296753,2.7803345,3.421051,1.0402527,-3.855957,-7.9645996,-4.7712708,-4.8775024,1.2169495,0.5899353
1974-05-01,-0.61550903,2.7378845,3.3668518,1.6062012,-4.1309204,-9.747131,-6.3604736,-6.23468,0.28805542,0.81521606
1974-06-01,-1.808075,2.824768,3.7728882,1.9221802,-5.7826233,-10.956848,-8.122772,-7.940216,-0.68914795,0.009338379
1974-07-01,-3.5894775,2.7438354,3.6929321,1.8265686,-6.4523926,-10.801361,-8.373566,-8.733826,-1.129364,-0.7798767
1974-08-01,-4.719574,2.995514,3.8868408,2.0694275,-6.436157,-10.816925,-8.748901,-8.543823,-1.3828125,-1.5037231
1974-09-01,-5.2562866,2.5077515,3.5395508,1.6942444,-6.367401,-11.332123,-8.768738,-8.980682,-1.100647,-2.0551453
1974-10-01,-5.2230225,2.6433105,3.6966553,0.8782654,-6.104065,-11.873505,-8.026733,-8.114838,-0.39486694,-2.0942993
1974-11-01,-4.6322937,2.860077,3.9291077,1.0857544,-6.1516113,-10.640076,-6.911255,-7.013092,0.4978943,-1.9847107
1974-12-01,-4.283478,2.8344421,4.0297546,0.6979065,-5.4444885,-8.915344,-5.8615417,-5.647644,1.5339355,-1.6280823
1975-01-01,-2.1575623,3.0696106,3.8432922,0.88342285,-3.8755798,-7.5511475,-4.602112,-4.135376,2.1497803,-1.2825012
1975-02-01,-0.9343567,3.1136475,3.3206482,1.2532349,-3.2139282,-6.495819,-4.246887,-3.564209,2.348938,-0.53408813
1975-03-01,0.34347534,2.8974304,3.3726807,1.0610657,-3.1448975,-6.9397583,-4.184021,-3.3693237,2.1275024,0.17468262
1975-04-01,0.190979,2.7241821,3.3102112,1.3856812,-3.677887,-8.661316,-5.107849,-4.4836426,1.2729797,0.8090515
1975-05-01,-1.6425781,3.19516,3.4431458,1.4257202,-4.468567,-10.3350525,-6.2987976,-7.195526,0.508728,0.39038086
1975-06-01,-2.900299,3.068512,3.8030396,1.5814819,-5.063385,-10.661591,-8.077942,-8.858215,-0.079956055,-0.15304565
1975-07-01,-3.4382935,2.4965515,3.7775269,1.4526978,-5.660797,-11.522095,-8.834717,-9.819153,-0.6938782,-0.58828735
1975-08-01,-4.7538147,2.7439575,3.7411194,1.2800598,-5.5939636,-11.61319,-8.810791,-9.138458,-1.2215576,-1.201294
1975-09-01,-5.5606995,2.5664673,3.2703857,0.6461792,-5.963806,-11.85434,-8.621948,-8.720947,-1.2694092,-1.9709473
1975-10-01,-5.4286804,2.6574707,3.27182,0.35766602,-5.8628845,-12.087677,-7.646454,-8.577148,-0.35424805,-2.2547302
1975-11-01,-4.772003,2.9162292,3.52771,0.64089966,-5.796509,-9.77005,-6.483917,-7.6140137,0.42025757,-2.1119995
1975-12-01,-3.891388,2.9760132,3.5724182,0.27072144,-4.9158936,-8.036072,-5.2643127,-5.762665,1.4093018,-2.0319214
1976-01-01,-1.7809753,2.7192078,3.9673157,-0.37075806,-3.481079,-6.930542,-3.1160889,-3.4139404,2.07724,-1.4353638
1976-02-01,0.17376709,2.889801,3.453186,0.16235352,-2.9783325,-5.5720215,-2.3328857,-2.9032288,2.4124146,-0.35528564
1976-03-01,0.95928955,2.70813,3.3128052,0.66741943,-3.494629,-6.0122375,-3.8854675,-3.4244995,2.2874756,0.26312256
1976-04-01,0.6262207,3.0234985,3.0946045,1.725647,-3.6904602,-7.5934143,-5.1638184,-4.8008423,1.3894958,0.57650757
1976-05-01,0.5264282,3.0291138,3.37323,2.4851074,-4.255188,-9.283447,-6.9353943,-6.2039185,0.21862793,0.43344116
1976-06-01,-0.30996704,2.8824158,3.3528137,2.6909485,-4.8792725,-10.035797,-8.373474,-7.5569763,-0.67248535,0.2564087
1976-07-01,-1.3034058,2.9292297,3.2325745,2.944641,-5.1735535,-10.551361,-9.200836,-7.205841,-1.6793213,-0.39144897
