,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8,vo500_cluster9,vo500_cluster10
1993-05-01,2.0317280035273465e-05,1.9654144838854084e-05,-8.18767855687636e-06,4.228384771409494e-06,2.8932403107649986e-05,-7.95609064798962e-06,-2.0808997840248866e-05,1.3580456327742597e-05,5.108177315481622e-07,-8.423154877863663e-06
1993-06-01,2.7998130733094243e-05,1.7711951003031e-05,-2.8669823627246336e-05,5.879047425163192e-06,-1.1056279576719549e-05,-6.075580715142719e-06,-1.0939883347753878e-05,2.440141315673827e-05,-5.459745270028097e-06,-2.0068533283042947e-05
1993-07-01,4.74969200164052e-06,1.908412824835312e-05,8.568172739210746e-06,5.3369162352854995e-06,2.0476429860784926e-05,-1.0680568225528878e-05,-1.9781996423006875e-05,1.418023884980357e-05,-4.574579034769241e-06,-7.629608070111806e-06
1993-08-01,7.677137528115072e-06,2.5345595050192272e-05,-1.0672006883143897e-07,5.2567038083227825e-06,-1.686622888221543e-05,-2.3518498607306502e-05,-7.2573480761013605e-06,1.2894686765970877e-05,-3.6061768520829157e-07,-1.840345038754794e-05
1993-09-01,1.1905662050945592e-05,2.1083048992604625e-05,-5.875445923366998e-06,6.005156114696638e-06,-1.6409198492924176e-05,-2.3969445084812424e-05,2.4220938891965873e-06,-5.2806415494290245e-06,-6.249789728165276e-06,-3.5597998668471028e-06
1993-10-01,1.5798772131680686e-05,1.6580744081723134e-05,-1.8146925463548137e-05,2.823945717466997e-06,-7.35726760322822e-07,-7.5409959086456766e-06,-1.1320971999227544e-05,9.327942507297847e-06,-2.8408994591121552e-06,-9.358374287470584e-06
1993-11-01,2.2865586036252605e-05,1.100167709903402e-05,5.899223146520348e-06,2.797334171042349e-06,2.3500861475027207e-05,-5.9498179597092035e-06,6.297836451171622e-07,7.37697648998749e-06,3.2810951531494292e-06,1.472415778362819e-05
1993-12-01,1.5196758678291306e-05,8.26450613043134e-06,1.8824598050236495e-05,1.7586423224058941e-06,1.4992074490940219e-05,-2.6438910868249087e-06,7.35714517456169e-06,-1.966254054812972e-06,2.2432644832613072e-07,1.2430633835090423e-05
1994-01-01,1.2241060959591904e-05,9.373907767653959e-06,2.289804494163642e-05,9.61321401508725e-07,2.3546673136562195e-05,5.318085315403591e-06,-1.00888651662931e-06,7.941915620384471e-06,9.83737477740347e-06,1.348565532748143e-06
1994-02-01,7.236522013963532e-06,6.911899368324335e-06,2.658287081026679e-05,7.940122666726627e-08,1.860569847684184e-05,-1.5414635432100466e-06,1.1954095195202779e-05,8.396898465434788e-06,2.4066963533186936e-06,1.0308193382640568e-05
1994-03-01,9.951810791943277e-06,1.248560865444673e-05,3.3766972428060804e-08,2.550281791489683e-06,2.5343650701291732e-05,-1.9226856455867135e-05,2.1857638848974092e-05,2.102363915972611e-05,-1.3384009052556807e-06,-2.645662118101637e-05
1994-04-01,1.2371376467151751e-05,1.279553591564383e-05,-1.2508782876668394e-05,4.015956438308238e-06,1.3919380266584499e-05,-2.767359913364157e-06,-2.9225072482898996e-06,5.8360025637479595e-06,3.571207685126865e-06,-3.971527899711174e-06
1994-05-01,8.800965011993534e-06,2.21694142584692e-05,-6.200491245383293e-06,5.158863949760784e-06,-3.792053669051463e-06,-1.2279685248738961e-05,-8.20748681961273e-06,4.097651640222466e-06,4.519300489391753e-07,-3.3965619650189183e-06
1994-06-01,1.5086577897620534e-05,2.2095040775062456e-05,5.8461854577116255e-06,6.20420724533105e-06,2.3244113187750124e-05,-1.6603295460218256e-05,-2.777340924104353e-06,2.068546466814171e-05,-6.726250231539862e-06,-9.685392727148539e-06
1994-07-01,1.4326455994246361e-05,2.2967464948343903e-05,-9.745902692278227e-06,6.8740769101873665e-06,5.159643023944227e-06,-1.4503845039741205e-05,-6.897832000711852e-06,9.57027412238988e-06,-2.246353212533656e-06,-2.014943578825086e-05
1994-08-01,1.4682309753906977e-05,1.8249306628241635e-05,-1.6657971476282303e-06,7.634574760150018e-06,2.7811368206378326e-05,-7.367588526659659e-06,-1.9738342272926516e-05,9.617124468214958e-06,-3.884917470548482e-06,-1.2621180408482009e-05
1994-09-01,2.37196776526058e-05,2.8022340201358828e-05,-3.175692957787154e-05,4.6743250907873904e-06,-2.6558433835982047e-05,-1.9710313975324492e-05,-1.873701254034562e-05,1.5528918798476555e-05,-4.5315211784988856e-06,-1.8860171954097146e-05
1994-10-01,2.6146671468205287e-05,1.7327213938746698e-05,-1.6877874158025305e-05,4.532719252620921e-06,-1.5849590536990117e-05,-1.5631627972123086e-05,-9.826157621685988e-06,7.829172992452575e-07,-3.0288243186243395e-06,-1.4222700555749794e-05
