,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10,mgu600_cluster11
1973-01-01,0.036315154,0.7610256,0.4829281,0.7049602,0.1095829,1.5653747,0.62404746,-0.055428695,-0.43323365,0.36697426,1.8711872
1973-02-01,-0.039182283,1.7010791,-0.33034077,0.8804836,-0.10416718,0.39182168,1.4551551,0.2554802,-0.435145,-1.2025421,0.7960669
1973-03-01,0.33257025,1.3334677,0.37079734,0.74700946,0.41507608,0.5440906,1.5054867,-0.34945375,-0.33734894,-0.16755943,1.3111689
1973-04-01,0.22394332,2.0126252,1.2547846,-0.22362499,0.22362518,0.92731094,0.8763424,-1.1761019,-1.3691458,1.0719345,1.4242556
1973-05-01,-0.10512276,1.1295933,2.2423027,0.36060333,0.3271553,0.7447796,0.65590286,-0.4510727,-0.5571512,0.27268258,0.78364336
1973-06-01,-0.09620323,1.570472,2.6159668,1.3710572,0.3405342,-0.2774605,-0.23477478,-0.99165916,1.111117,0.42144698,0.36824837
1973-07-01,-0.25484353,0.3370308,1.5437133,0.15800285,0.3494541,0.42144737,-0.6724674,-0.16023293,1.170368,0.8855804,0.40456352
1973-08-01,0.16978951,1.064608,1.5468986,1.5940447,0.5100052,0.43546334,-1.1557148,-0.5705307,0.63232994,0.7734493,0.4252697
1973-09-01,0.0025485992,1.6284485,1.512495,1.1729162,0.23190728,0.5093681,-0.9384605,0.28383178,1.4650307,0.3908661,0.34467545
1973-10-01,0.034085084,0.9798725,1.2891884,0.6428423,0.06976318,0.88494337,0.2162983,-0.245924,0.85882205,-0.10002594,0.23891564
1973-11-01,-0.031218339,1.4924263,0.8855804,0.49152908,0.2774605,0.42877388,0.8021191,-1.1617672,0.67342377,0.17010804,1.1407425
1973-12-01,0.18093872,0.6441164,-0.3242882,0.13347435,-0.008919525,0.28733557,1.4745872,-0.02261734,-0.16086979,-0.9276298,1.0700232
1974-01-01,0.14299126,-0.5298893,-1.1541198,2.65898,-0.017093277,0.8609058,1.3168342,2.0127249,1.3040146,-0.36290208,1.535759
1974-02-01,-0.07396126,0.25935668,-0.31129342,1.8135235,-0.15581092,0.9056114,0.8576187,1.1002105,-0.24850884,0.37013358,1.5939415
1974-03-01,0.22319794,1.0114577,-0.5072079,2.0396798,-0.14726448,0.62423056,0.58051145,-0.00558815,0.484198,0.046020128,1.5495647
1974-04-01,0.38328248,2.189574,0.2951866,1.4128193,0.36191598,0.13214341,1.2714714,-0.5213429,0.15679741,-0.23963356,1.0896919
1974-05-01,0.28302422,1.4075596,1.2859348,1.1896216,0.47795257,0.22155419,0.6820847,0.08710937,1.0075128,-0.73007697,0.90199506
1974-06-01,-0.08579407,1.0370972,2.5429432,0.49668884,0.3283867,0.28039438,-0.2748062,-0.532848,-0.03648758,0.4039913,0.35731354
1974-07-01,-0.071331024,0.49077225,1.5058457,0.6623619,0.39840317,0.97792816,-1.2704856,-0.47006303,0.68372804,1.4894097,0.58642846
1974-08-01,0.13773194,0.56276095,1.3161767,1.0413704,0.5144394,0.47565156,-0.96576613,0.20544739,0.35928613,1.210659,0.66170424
1974-09-01,0.059497833,1.5952561,1.9078648,1.2395862,0.31556663,-0.16830254,-0.68833005,0.18506661,0.6054939,0.8789856,0.8546604
