,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5
1995-10-01,21.0134941813855,69.3685139017708,36.25101914854862,36.14364020350806,74.17565279228744
1995-11-01,22.874817303720228,54.85371940526236,43.08468450879837,30.024565879744713,78.68316751777928
1995-12-01,25.703622065613427,44.26579467674515,50.76675885461371,30.628450823954058,79.99797073313565
1996-01-01,26.093288771421438,38.78543458069936,54.51875951792627,28.627268730189265,82.4126474881093
1996-02-01,26.987283535069658,38.271059441218696,54.971133860771964,28.180953902427596,81.94787225057912
1996-03-01,28.47827677083263,38.88365221564542,53.332534499232544,28.88274786849616,80.22210764330488
1996-04-01,25.315368381751036,55.63093955165177,45.48967472640923,30.32093189380787,79.66845186049757
1996-05-01,22.400540051575764,65.07697885967731,36.4513698714731,35.29261489508529,73.0135958852166
1996-06-01,18.66619306452134,72.61246753859558,31.423172929361797,39.846090580076485,67.99195945460932
1996-07-01,18.97608961613533,72.61505683391948,25.81176864726661,43.49760935362742,64.29682284890616
1996-08-01,18.512367624725023,73.23964457457804,26.92396138281031,44.483027345805056,70.00798260254717
1996-09-01,18.18506668183218,71.32674639190229,29.280636877222445,39.0502895008434,71.26663309395116
1996-10-01,19.265806633708387,66.2264034079578,36.61624177154404,34.135468094437215,77.08458250939252
1996-11-01,23.250903390270615,55.68072784275444,42.449393507611056,31.972838379317263,78.35565674740612
1996-12-01,25.14294522031368,42.447301595678596,49.93345192195054,29.55024475200409,77.56367933710548
1997-01-01,27.155123449939342,38.05222410823383,53.65754328501064,28.42443909307923,79.16528441977263
1997-02-01,26.00746534274936,38.95667460981026,55.26561181106909,28.249807004575377,85.69272190233403
1997-03-01,31.06090733749231,44.014061753135444,52.561652606912794,30.153076608574352,76.17212593357429
1997-04-01,26.581922616925617,55.98785919733527,44.61041993624426,33.91162358550512,75.37696749665017
1997-05-01,26.340986865614525,62.633537898380524,36.98881132185726,35.97926965064874,68.46391481418547
1997-06-01,21.665257978604327,71.09146489123277,31.15170354800374,41.421951653580074,62.91147403146738
1997-07-01,17.267231710229364,75.2690097308043,28.34289833034635,41.01744359591192,63.74667427468538
1997-08-01,20.123828158659094,74.59207222566033,28.060393910771527,43.48947390161379,63.66285723309185
1997-09-01,22.129184152015764,74.25103025266378,34.22911391664513,41.573480676721644,66.55776635356916
1997-10-01,24.900705839110906,70.01623651390138,40.85894486294734,36.260061296148336,69.48032189049198
1997-11-01,27.04072427584638,59.11860226425591,44.33144325632686,34.00508893459333,73.84358783100927
1997-12-01,27.65236791854911,45.69469711575748,51.8796210866338,28.597660963784165,76.30795070103237
1998-01-01,30.373803967010602,35.01463477383557,57.1849669041655,28.19231001214949,73.5814484250902
1998-02-01,31.45009720614212,31.345010383395746,55.86121520653968,28.152935593216508,74.54862562920961
1998-03-01,32.4856419876785,33.00693518145544,55.71782321673338,28.203500304559267,75.24256088408917
1998-04-01,29.305757205791537,44.3587885876722,45.60955714751787,29.840262698806097,75.45936812594088
1998-05-01,24.530338086058936,58.993986553272514,37.78465253889828,35.291302741978704,72.92483763837339
1998-06-01,17.731385165019844,67.750471414971,32.782397248819805,37.77603226478654,72.1429634727909
1998-07-01,18.51700053495519,75.82036579447396,29.32267595299691,41.4472603075432,65.94500620895842
1998-08-01,17.33485097291148,73.78607368160105,29.384082315214012,42.17905102354108,69.69845033563253
1998-09-01,17.81005347888775,73.75725509668285,32.564448241161124,39.345471160580416,72.11012729378635
1998-10-01,18.647542626800007,69.69530362170944,37.46018730471487,34.05561967329545,74.86489634973266
1998-11-01,21.994725890638094,57.838478892123874,45.038660331691865,30.64457825940065,80.67752039709757
1998-12-01,22.284299609570354,49.395345752784074,49.71536927159057,29.05630875918199,81.33823039919831
1999-01-01,24.457890929647796,42.770642322311524,55.07935451285187,27.61458592784124,81.77384601478957
1999-02-01,27.411872375382682,38.63531325972448,57.28635403072887,28.151774550929215,80.19759853020855
1999-03-01,29.27921305065749,42.84068158611873,55.37870261701233,29.48967249706538,82.53619995624125
1999-04-01,26.84333085188816,54.091728371198215,47.65387051843207,31.821021905250422,80.23429946645946
1999-05-01,23.44298428730156,64.77089113702264,36.59881711540736,35.29458081280744,75.57513468289297
1999-06-01,17.23191399887771,70.93059471785732,32.623941053724074,38.35200582690512,72.61667980308152
1999-07-01,15.595110064971818,77.58857009862965,29.431357191282537,42.023273429485286,69.19176729018507
1999-08-01,15.83893303227672,76.79032583870416,27.70602115066597,42.8430035780576,67.17923820216791
1999-09-01,16.685022202330064,75.5946482406443,32.96758262565852,40.95514483724781,71.76508285674542
1999-10-01,19.82139617101544,72.55373480254286,37.10259343476574,35.27066458756675,75.73421389557595
1999-11-01,22.821546838357786,55.53638575722371,44.60597230714533,31.393911830503935,78.29910544461983
1999-12-01,23.015656190759994,46.54076420120907,50.18522194148179,29.535299615827874,80.8619198212988
2000-01-01,25.387544367965116,41.031131404338815,53.75133993379738,29.261017487908052,79.7099617232516
2000-02-01,27.267346827629115,40.949811270789546,57.0936361235888,27.57935482243496,78.76472283043339
2000-03-01,27.108249532310193,40.784120791541895,55.450950502814734,27.806315566554215,80.46636423003238
2000-04-01,28.19516452538513,52.114401991981744,47.987597512557365,30.51049126519097,81.14094148046551
2000-05-01,21.432195485256948,63.38481501203689,36.55269691227797,33.88058851865004,72.40101697040951
2000-06-01,16.74483849515552,70.62771826547781,31.413717868616764,38.364365702927714,72.2731542745698
2000-07-01,17.9832605342139,73.39747473718282,29.231964633069232,41.67424776738741,69.04285532295506
2000-08-01,16.744067842160128,74.73775532875494,29.05952256891225,43.074194140707206,71.38648302452113
2000-09-01,18.26787275426528,73.50378855700625,32.74122781283118,40.58577322397971,72.91046281985666
2000-10-01,19.24691604495461,67.98259543445161,38.984320944200185,34.35877880263409,79.55688147053766
2000-11-01,22.84100575430583,54.78400936775888,44.911144667142175,32.07187639743792,78.14397336636668
2000-12-01,24.186759011555708,43.610479766004865,52.03634313403758,28.551257098162615,79.64447376339935
2001-01-01,25.234979411722467,39.29491491333206,55.44747023304482,28.09501705747662,83.31784853507514
2001-02-01,26.29436572117789,37.09358821232083,55.7990792620877,27.62303246392144,83.81894767482416
2001-03-01,27.283758770635796,41.68078485918586,54.51754796665346,29.802649912208018,81.04561587108726
2001-04-01,26.156881853783418,52.70196552987616,46.5654689634862,29.22260284423828,78.22166709012764
2001-05-01,21.39247899236976,64.79480316805106,36.39352032956521,36.448729672415894,74.35581549457538
2001-06-01,18.44004454497235,70.0473674112626,32.54500718394737,39.41990990430016,71.82023121273004
2001-07-01,18.026319424586312,75.24212384339863,29.21928717951069,43.00059129092027,69.8263123978016
2001-08-01,16.92912405337429,75.13844074267816,26.837601896893283,43.14185685180253,63.81862488299906
2001-09-01,21.16891224079066,74.46879134958722,33.21811650365992,40.61510259454901,74.2647367458407
2001-10-01,22.197074296152714,67.6256380745812,35.78388038772104,35.23849101981732,73.13991432570144
2001-11-01,22.576021653145652,53.652733999094664,43.47238797243401,32.49069496437355,80.56372202115995
2001-12-01,25.603179865642403,47.81221114642423,50.30809411018953,31.106524483523387,79.97640755485459
2002-01-01,27.41099756894227,38.187779097348404,53.60305982854869,28.860360861627342,77.3014011573158
2002-02-01,26.932336219866794,38.379683718689066,54.012515405902946,27.840854888813265,80.58568251093361
2002-03-01,28.054344942825473,41.54213699761241,52.44492372589796,29.54025371307476,80.95231800776384
