,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11,msl_cluster12
1967-06-01,1023.1303,1024.0162,1022.53094,1011.7349,1014.4726,1023.41907,1022.17615,1023.41766,1010.6001,1016.8264,1018.55835,1022.6122
1967-07-01,1021.3468,1022.4119,1020.4558,1011.88654,1018.7978,1022.6028,1022.1203,1019.0569,1010.923,1015.6459,1018.35156,1016.8068
1967-08-01,1019.19977,1025.1249,1020.0865,1012.6223,1024.5685,1022.3561,1020.2221,1022.22986,1011.3228,1021.97516,1020.4986,1014.77875
1967-09-01,1017.89374,1024.1998,1020.6161,1013.37476,1013.10486,1023.6309,1014.5059,1020.6365,1011.70593,1016.1334,1016.98096,1013.9334
1967-10-01,1017.0941,1021.1705,1019.8455,1012.68396,1020.81274,1019.21576,1022.383,1019.5966,1010.4992,1016.2619,1017.8219,1020.9093
1967-11-01,1013.28546,1021.907,1017.50336,1011.72546,1017.4243,1018.2703,1014.02783,1019.31445,1008.9153,1020.1082,1014.82306,1010.94916
1967-12-01,1011.7327,1020.82367,1016.6813,1011.5826,1016.54346,1019.6228,1013.7463,1017.6985,1008.7861,1014.995,1012.8211,1010.8686
1968-01-01,1009.7805,1024.1254,1015.8416,1010.28436,1014.8406,1021.51776,1014.08203,1016.97943,1005.9407,1019.5055,1009.4321,1015.81445
1968-02-01,1012.4634,1019.79175,1016.2946,1011.62036,1014.9393,1018.8572,1017.9341,1018.2346,1008.15326,1014.11206,1009.95807,1018.30896
1968-03-01,1014.88776,1024.4231,1018.5659,1011.5366,1022.20825,1026.2578,1019.11334,1021.3803,1008.50037,1020.69904,1013.9718,1017.20557
1968-04-01,1014.4906,1020.96173,1014.3396,1011.4093,1013.6691,1017.56195,1008.52185,1016.8234,1009.83923,1017.4582,1011.1981,1013.2469
1968-05-01,1017.01666,1020.5581,1015.8817,1011.91595,1012.97284,1015.3028,1012.937,1013.80646,1010.40173,1013.82794,1013.86945,1010.6092
1968-06-01,1021.84906,1017.8847,1016.8162,1012.6838,1012.5921,1023.45276,1009.50146,1018.95734,1012.0798,1011.5438,1017.25854,1010.4611
1968-07-01,1022.67346,1020.6247,1019.8769,1012.5828,1015.4917,1019.37524,1013.53314,1022.1668,1011.7205,1020.4372,1015.8717,1015.71783
1968-08-01,1015.901,1018.51654,1019.6114,1013.4201,1009.6489,1015.69354,1012.6272,1015.36646,1012.0547,1010.2135,1015.25275,1012.975
1968-09-01,1018.7548,1018.44,1015.60974,1012.8097,1011.8887,1015.14966,1013.9203,1013.98755,1011.8265,1014.85846,1016.3691,1016.905
1968-10-01,1016.6875,1022.5188,1018.0822,1012.1649,1016.41486,1023.92,1014.2037,1022.9589,1011.2096,1017.1011,1017.4675,1016.23596
1968-11-01,1012.2458,1020.2519,1017.4696,1011.9495,1009.777,1019.2171,1012.3868,1017.9684,1010.43463,1013.3306,1014.85846,1012.4319
