,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10,ssta30_cluster11,ssta30_cluster12
1970-11-01,-6.3259583,-1.8230896,1.0205688,-5.0417786,0.5014343,3.7532043,-10.561249,-9.503845,2.901886,-2.6237488,-8.503784,-1.0983582
1970-12-01,-5.60141,-1.1786194,1.1335144,-4.080139,1.3008728,3.838745,-8.751923,-7.910431,2.4615784,-2.1533813,-6.84375,-1.3604431
1971-01-01,-4.2330933,-0.72821045,1.1984253,-2.6236877,1.7503662,4.059967,-6.998749,-5.9294434,2.3275146,-1.3503113,-4.7830505,-1.0770569
1971-02-01,-3.4059448,0.3554077,1.4306335,-1.1521912,2.0725403,3.584076,-5.579132,-5.3523254,1.7656555,-0.6699219,-3.7928467,-1.0380554
1971-03-01,-3.2358398,0.32043457,1.5024109,-0.23892212,1.7376099,3.439911,-6.439331,-5.5533447,1.4682922,0.14996338,-4.2592163,-0.49191284
1971-04-01,-4.211426,-0.3651123,1.3811646,0.124572754,0.4897461,3.3764954,-8.366608,-6.7799377,1.6919861,0.6271057,-5.885559,0.6958008
1971-05-01,-5.315216,-2.4788818,1.1851196,-1.6013184,-0.50631714,3.6577759,-10.113739,-8.6041565,2.0617065,-0.037872314,-7.614929,1.1203918
1971-06-01,-5.3175354,-2.9985657,1.1472168,-2.7257996,-1.3491211,3.8827515,-12.012054,-10.084442,2.601471,-0.64401245,-8.013031,0.6980591
1971-07-01,-6.2410583,-3.3088684,0.9490967,-3.499115,-1.9885254,3.9539185,-12.076294,-11.102844,3.4958496,-1.786438,-9.100616,1.125
1971-08-01,-6.5336304,-3.7210083,0.8833313,-4.743866,-1.5873413,4.0744324,-10.932892,-11.509064,3.2289734,-2.620575,-10.488678,0.9633789
1971-09-01,-6.3830566,-3.2339478,1.0052185,-5.38443,-0.9322815,3.4294434,-11.467194,-11.136139,2.4234009,-2.7141113,-10.536743,0.09158325
1971-10-01,-6.269623,-2.561615,0.8211975,-5.135559,-0.48034668,3.6387634,-11.256897,-10.412933,3.131775,-2.994995,-9.593658,-0.2609253
1971-11-01,-5.7786865,-1.7475586,0.94696045,-4.4865417,0.9899597,4.218628,-10.212067,-9.319672,3.2155151,-2.8939514,-7.8614807,-0.47564697
1971-12-01,-4.518799,-1.1033325,1.304596,-3.6268616,1.3125,4.0751953,-9.05838,-7.608612,3.1911926,-2.444397,-5.9705505,-0.66207886
1972-01-01,-3.3733826,-0.42025757,1.5094604,-1.5794983,1.5826111,3.791626,-7.579529,-6.19693,3.541504,-1.268158,-3.8334656,-0.7339783
1972-02-01,-2.3771667,0.6390991,1.8284607,0.14602661,1.3043213,3.3961487,-7.63208,-5.882202,2.5903015,-0.10122681,-3.3346252,0.046539307
1972-03-01,-2.7097473,0.36151123,1.8077087,0.94641113,1.4590759,3.3935852,-7.2056885,-6.2185974,2.3974,0.6408081,-3.6929932,0.68862915
1972-04-01,-3.3771057,-0.40628052,2.0906067,0.3378601,0.28189087,3.5827332,-8.166229,-6.941437,2.9987793,1.1130981,-4.8577576,1.9959106
1972-05-01,-3.832611,-1.5844116,2.0191345,-0.28549194,-0.6920166,3.6116943,-10.076538,-8.566742,3.4332886,0.68722534,-6.5150757,2.24057
1972-06-01,-4.514984,-2.8616943,1.566803,-0.95544434,-1.7875671,3.2416077,-10.74646,-10.202698,3.0775757,-0.19979858,-7.31604,2.6959534
1972-07-01,-5.8115845,-3.3625183,1.7613525,-1.2988892,-1.5518799,3.374939,-10.584442,-10.570557,3.7910156,-0.85461426,-8.448608,3.2214355
1972-08-01,-5.925293,-4.1438293,1.6997986,-1.8635864,-1.8401489,3.0240479,-11.412628,-10.978851,3.9221802,-0.9788513,-8.965454,3.1852112
1972-09-01,-5.829712,-4.5944214,1.4194641,-2.7660828,-2.097992,2.9211426,-13.273041,-11.501648,3.8986816,-1.8148804,-9.097046,2.3893433
1972-10-01,-6.075592,-4.161194,1.2156677,-2.8106384,-1.7011108,3.5992126,-13.581116,-11.032562,4.4284973,-1.9622498,-8.993347,2.3562622
1972-11-01,-5.838928,-3.364502,1.7545776,-2.412323,-0.39752197,3.7579346,-12.027374,-9.7404175,4.2022095,-1.5166016,-7.846588,2.44516
1972-12-01,-5.011139,-2.0890808,2.035736,-1.0297852,0.6861267,3.4556274,-10.850006,-7.74765,4.030945,-1.0474854,-6.8294373,2.323639
1973-01-01,-4.552429,-1.0014954,2.3751526,-0.3296814,1.4620667,3.8702698,-8.1188965,-6.4810486,3.357666,-0.64907837,-5.3509827,2.409607
