,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10,abs_vo850_cluster11
1969-03-01,-1.726009e-05,-2.0880148e-05,-2.8857297e-05,6.538416e-05,-3.094571e-05,-4.5441662e-05,-8.712424e-05,-2.2848157e-05,-8.3404884e-05,-1.7864973e-05,-4.8520767e-05
1969-04-01,-2.8020948e-05,-1.72962e-05,-2.8171204e-05,2.2024775e-05,3.1543088e-05,-4.6470803e-05,-8.656453e-05,-2.4689782e-05,-0.00010470993,-3.0395235e-05,-5.6347664e-05
1969-05-01,-1.4660158e-05,-2.0112804e-05,-2.1608166e-05,-8.501504e-05,2.8600094e-05,-4.118065e-05,-0.000101785,-2.458145e-05,-9.945589e-05,2.0339672e-05,-4.7338155e-05
1969-06-01,-1.2583818e-05,-1.9742676e-05,-3.0337816e-05,-8.245121e-05,6.474647e-05,-3.754254e-05,-8.717841e-05,-2.3759936e-05,-9.300118e-05,2.5990927e-05,-6.163782e-05
1969-07-01,-1.9923222e-05,-1.6402473e-05,-1.8123525e-05,-0.00011281994,7.993986e-05,-3.8147387e-05,-9.672054e-05,-2.1214166e-05,-8.9074194e-05,4.821292e-06,-5.047975e-05
1969-08-01,-1.45157155e-05,-2.2622464e-05,-2.9651723e-05,-0.00010280838,3.9063038e-05,-4.476459e-05,-9.704553e-05,-2.2920378e-05,-9.1647045e-05,2.0601472e-05,-4.78437e-05
1969-09-01,-1.9977391e-05,-1.835243e-05,-2.8306617e-05,-8.30651e-05,6.6109635e-05,-4.1632025e-05,-8.242088e-05,-2.458145e-05,-7.964941e-05,1.9324712e-06,-5.6374745e-05
1969-10-01,-1.7612167e-05,-1.829826e-05,-3.2396107e-05,-5.981009e-05,4.611357e-05,-4.989225e-05,-9.196301e-05,-2.4762003e-05,-8.4443054e-05,1.5428677e-05,-5.5156026e-05
1969-11-01,-1.4163639e-05,-1.475946e-05,-3.1664873e-05,-4.9816575e-05,2.6605012e-05,-4.8646445e-05,-7.937859e-05,-2.2884267e-05,-8.489443e-05,-1.3535623e-06,-5.0416555e-05
1969-12-01,-1.3170609e-05,-1.2574788e-05,-2.955242e-05,6.8047295e-05,-1.7684222e-05,-4.9504062e-05,-8.167159e-05,-2.3633553e-05,-8.332363e-05,-2.2757917e-05,-4.7157606e-05
