,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6,mgv250_cluster7,mgv250_cluster8,mgv250_cluster9,mgv250_cluster10,mgv250_cluster11
1970-03-01,-0.0064172745,0.27201355,0.17614742,-0.6828495,-0.46151924,-0.3016115,0.43755278,-0.014930153,0.42969495,-0.09259198,0.21962766
1970-04-01,0.1261189,0.53420466,0.23665309,-0.15977684,-0.15493116,-0.21897283,0.28052625,0.48365235,0.59719867,0.40507355,0.38215476
1970-05-01,0.6317733,0.22093734,0.49137917,-0.85965174,-0.6126524,-0.63910735,0.08918686,0.7685004,0.17562361,-0.29270592,-0.023573637
1970-06-01,0.5390504,0.16514638,-0.013227272,-0.28772926,-0.59850836,-0.58043516,0.13829863,0.56694585,0.07412586,-0.640417,-0.02187109
1970-07-01,0.5623619,0.2682155,-0.0116558075,-0.84524566,-0.640286,0.0736021,0.90142936,0.016239595,0.43152848,-1.3062412,-0.07307825
1970-08-01,1.3562695,0.20234036,0.0116558075,0.41450292,-0.65128696,-0.07072087,-0.028681183,-0.74807006,-0.54219353,0.07491179,0.19959006
1970-09-01,0.4951772,0.15414535,0.098485276,0.51691735,-0.05945792,0.59837735,-0.28537187,-0.072423555,-0.751606,-0.43532643,0.38294053
1970-10-01,0.56485045,0.2661201,0.46243602,0.11092703,-0.536431,-0.52412045,0.04832592,0.10883157,-0.82612485,0.027240658,-0.29034853
1970-11-01,0.1974947,-0.018335056,1.0296438,-0.2420226,-0.9826275,-0.44383907,0.26376265,0.73536634,-0.8913452,-0.30645734,0.15872908
1970-12-01,0.5344666,-0.045051765,0.44017202,-0.20391193,-0.37613028,-0.6138312,0.74112874,-0.03693204,-0.42078924,0.30423087,0.035360433
1971-01-01,1.558348,0.43590555,0.8376929,-0.30994207,-0.20470858,-1.2482618,0.27352065,-0.044195175,-1.3183694,1.000366,0.26833814
1971-02-01,1.4086312,0.23220463,0.8677802,-0.21320215,-0.755637,-0.8392765,-0.27726358,-0.07888911,-0.9669673,0.30763873,0.20960322
1971-03-01,0.45821896,0.23911469,1.2790688,-0.50586927,-0.98841727,-1.4021533,0.67746735,0.91341496,-0.6296733,0.31699592,-0.16224094
1971-04-01,-0.1849865,0.3157004,0.69416654,0.3125333,-0.33283144,-0.60332894,0.4468463,1.2393364,-0.90794456,0.05225687,0.07802534
1971-05-01,-0.060750294,0.28777248,0.44195175,-0.0629097,-0.35514498,0.11315115,0.14151096,0.64478886,0.13704824,-0.60879934,0.17001466
1971-06-01,0.47923678,0.35226578,0.34722728,-1.1490747,-0.12006116,-0.99460745,1.103008,0.13891968,-0.14741325,-1.0115945,1.013034
1971-07-01,-0.32563353,0.5106198,-0.24530487,-0.34060517,-0.59972996,0.5058692,1.192694,0.56474817,0.6836576,-0.9337131,0.46426526
1971-08-01,0.16468823,0.37947387,-0.16094533,0.16742344,-0.39099056,-0.21852855,0.6701256,0.03397417,0.06607685,-0.07327473,0.048082054
1971-09-01,-0.23997836,0.25336647,0.23450795,-0.15014842,-0.19276008,0.2503434,-0.117469884,0.6450769,-0.5319257,0.34046122,0.12869865
1971-10-01,-0.2765438,0.011804581,0.23393221,0.4160393,-0.75635654,-0.018858528,0.08882217,0.27884713,0.011660623,-0.6095191,-0.15605071
1971-11-01,0.4610982,0.32937643,0.26833814,-0.18988091,-0.66350347,-0.7087063,1.1292083,0.7085624,-0.56978667,0.540563,0.13244161
1971-12-01,1.7093601,-0.065069124,0.95228374,0.30562332,-0.18225117,-0.11415901,1.0418258,0.527319,-1.2114084,0.90967196,-0.49435252
1972-01-01,0.66814387,0.22780022,0.5399076,-0.2138586,-0.5433272,-0.7648144,0.6786658,0.25160617,-0.44350022,0.5545069,-0.30408436
1972-02-01,0.32749575,0.37563357,0.9613115,-0.7667871,-0.4490243,-0.13205047,0.22069779,0.7433758,-0.5606884,0.12244926,0.24016352
1972-03-01,1.1099342,0.38944373,0.8946288,0.38299903,-0.24516138,-1.1376859,0.5089993,0.17374372,-0.53964454,0.21938267,0.6826115
1972-04-01,0.3189466,0.6709059,0.4774335,0.11258469,-0.16006513,-0.81913376,0.47677574,0.3814207,0.5450371,0.6436804,-0.563845
