,mgu500_cluster1,mgu500_cluster2,mgu500_cluster3,mgu500_cluster4,mgu500_cluster5,mgu500_cluster6,mgu500_cluster7,mgu500_cluster8,mgu500_cluster9,mgu500_cluster10,mgu500_cluster11
1974-03-01,0.14693566,-0.17356186,-0.3218128,-1.0311806,-0.11307792,-0.39708823,0.026626205,-1.6800648,-0.99633676,-1.2691705,0.34449348
1974-04-01,0.22319794,0.033200454,-0.73369294,-0.39478722,-0.40727884,-0.2981453,0.06903038,-0.35829982,-0.9049538,-1.7918282,1.2747586
1974-05-01,-0.10946274,0.8056816,-0.8687954,-0.8993656,-0.6755104,-1.5084751,0.8927914,0.10946198,-1.3651556,0.25639802,0.4007042
1974-06-01,-0.4792675,0.5522423,-1.4972992,-1.0111287,-0.4598728,-1.5985435,1.9778812,0.8684662,-2.7066433,-1.0696404,1.0752285
1974-07-01,-0.12261047,1.3030285,-1.437144,-0.46447524,-0.24390678,0.04930725,0.13806038,0.28433895,-2.7168336,0.3579712,1.0762146
1974-08-01,-0.13477325,1.6817081,-1.1110585,-0.04634895,-1.437473,-0.65151423,1.6031456,0.9979803,-2.4627366,-1.4387877,1.7740778
1974-09-01,-0.21004944,0.7018078,-0.97332686,0.49701786,-0.7853012,-0.71627104,0.6370506,0.6873442,-2.2155423,-0.22089672,1.3707434
1974-10-01,-0.09532738,0.7570318,0.16797371,-0.41056576,-0.25968513,-0.36290208,0.61995757,-0.20117398,-1.3717296,-1.4565384,0.67156583
1974-11-01,-0.21859589,0.74322546,-0.8086403,-0.18802528,0.16731605,0.77576864,0.5479685,-0.47630882,-0.9148151,0.22714272,0.09335518
1974-12-01,-0.45428428,-0.22878608,-0.911528,-0.60680884,0.31688157,-0.08776703,0.062127303,-1.1373556,-0.39544487,-0.7859589,0.15548249
1975-01-01,-0.0443367,-0.5472418,-0.16911277,-0.752141,0.26950377,-0.53299063,-0.42309913,-0.7268055,-0.21629982,0.3952301,0.7964775
1975-02-01,-0.04180336,-0.38224563,-0.62103045,-0.35406035,0.029452134,-0.61469686,-0.44083366,-0.1868475,0.120659254,-1.0564806,-0.0405365
1975-03-01,0.14979477,-0.3873129,-0.608363,-0.9193535,-0.74897385,0.15897903,-0.34614295,-0.5225399,0.08614006,-0.72015494,-0.6302147
1975-04-01,-0.10070763,-0.6812023,-0.94025534,-1.1353366,-0.3109905,-0.36071092,-0.21693344,-0.38477954,-0.34044266,-1.8725929,-0.3489933
1975-05-01,-0.5035385,-0.29040566,-1.0637646,0.42911607,-0.6416157,-1.333902,-0.46458548,0.8218128,-0.90446913,0.5136725,0.051620483
1975-06-01,-0.652383,0.58714485,-1.7459167,-1.5688865,-0.19381484,-1.6534427,1.4694455,0.8632992,-2.552528,1.2442783,1.5147324
1975-07-01,-0.42151564,-0.366728,-1.2540958,-0.5709938,-0.3394924,-1.2797476,1.1594054,-0.17196313,-2.2488217,-1.5156822,0.25936967
1975-08-01,-0.30402297,0.8164288,-0.3220745,-0.5108223,-0.3683117,-0.8709,-0.24416848,-0.81959593,-2.0369556,-1.2699301,1.2221098
1975-09-01,-0.48865396,0.45033437,-0.59727895,-0.20901585,-1.2331944,-1.0431798,0.15549545,-0.069038585,-1.7592175,-1.1879075,0.20584908
1975-10-01,-0.2682373,0.33695906,-0.02153473,-0.79996073,0.46046868,-0.053520583,0.5548422,-1.2122921,-1.6578764,-0.47091943,0.29040566
1975-11-01,-0.17513008,-0.74865705,-0.22770043,-0.06397152,0.035152815,-1.180307,-0.10767479,-0.2894554,-0.37654534,-1.3361187,-0.3664112
1975-12-01,-0.30180663,-1.5777538,-0.17006263,-1.0092938,-0.4243656,-0.15834579,-0.20996627,-1.4197251,-0.076955795,-1.0634477,-1.4713457
1976-01-01,-0.0030273437,-1.0704167,0.25128898,-1.474094,0.050123215,-0.19073753,-1.284702,-0.9375399,0.21630363,-2.199367,-1.2053124
1976-02-01,0.16685295,-0.57322156,0.15339737,-1.7775246,-0.057860564,-0.998428,-0.019847488,-1.6930885,-0.80769044,-0.9287937,-0.5197342
1976-03-01,0.058869552,0.15877953,0.14229584,-1.893918,0.2711361,-0.39257583,-0.9032272,-1.5077336,-0.2321144,-0.71383554,0.19107361
1976-04-01,0.2479248,0.099909976,-0.7548763,-1.1165034,0.32125968,0.07535286,0.47162932,-0.28930187,-1.2900842,-0.4332798,0.89919055
1976-05-01,-0.325296,-1.1972389,-0.90154535,-0.7972622,-0.67010385,-0.32092324,1.032404,0.79019773,-1.6106716,0.2916565,0.50055945
1976-06-01,-0.8312378,0.08645439,-1.222805,-0.13220406,-1.2978214,-1.1874832,0.38416594,1.4323807,-1.8458134,0.47432023,1.2268419
1976-07-01,-0.3797924,-0.2052023,-1.5104249,0.6233444,-1.0640252,0.23413257,1.0364406,1.195893,-2.3413265,0.24691562,1.2567809
1976-08-01,-0.5106522,1.1588895,-1.9204934,1.4596287,-1.4851948,0.60988885,0.90827334,0.83964807,-2.1297328,-0.36801872,1.5807317
1976-09-01,-0.15171508,1.3775479,-2.1048393,1.401432,-1.8582596,-0.5903776,1.4212795,1.7014984,-2.1657271,-0.19981995,2.235698
1976-10-01,0.3162136,1.1218857,-1.3977314,-0.15978889,-1.1023747,-0.6539568,0.09015465,1.1350054,-1.6015888,0.65631163,1.0058285
1976-11-01,-0.4538002,1.225496,-1.1326504,-0.24018784,-0.44875413,-0.7447842,-0.11302948,-0.33538836,-1.6826603,-1.0963194,1.0445143
1976-12-01,-0.041376878,-1.1114575,-0.8070175,-0.35624504,-0.3781109,-1.2631725,-1.0492237,-0.01715622,-0.2825737,-1.0707535,0.8275379
1977-01-01,-0.5052727,-0.5643631,-0.21513024,0.20451507,-0.86052096,-0.8552135,-0.9921467,0.20699196,0.21902275,-1.2504448,-0.65883654
1977-02-01,-0.4805046,-0.83787614,-0.43556824,-1.5685406,-0.33401793,-0.42778358,0.4543213,-1.2564602,-0.44724464,-0.89979666,0.030075837
1977-03-01,0.124549106,-0.3361412,-0.52756464,-1.6584141,-0.3591404,-0.40407676,0.3534786,-1.2235539,0.17267036,-1.698397,-0.40018463
1977-04-01,0.0063690185,-0.28801996,-0.5190727,0.55480975,-0.7338489,-1.580217,1.1757863,-0.15851708,-1.5653559,-1.7514721,0.8247841
1977-05-01,-0.02830658,0.6814817,-1.1538486,0.27634335,-1.6994587,-1.5720791,0.33437195,1.2309841,-1.8898205,-0.56860924,0.90651953
1977-06-01,-0.6549446,1.0162075,-1.5310345,0.65954435,-0.7430485,-1.5618175,0.98648566,0.78303146,-2.4467533,-0.05909004,1.4945892
1977-07-01,-0.5763931,1.4549601,-2.1070743,0.8474293,-0.24449845,-0.8920124,0.6885586,-0.29297352,-2.6831136,-1.9018509,1.5841087
1977-08-01,-0.49642792,0.73951036,-2.1615639,0.7041267,-0.81310767,-1.7581947,1.071759,1.0742362,-1.9857094,-1.5282036,1.5345728
1977-09-01,-0.36904755,1.5536792,-2.2429454,2.4888592,-1.9276806,-1.4960048,1.1566792,1.8222386,-2.0451534,-0.42919922,2.2203002
1977-10-01,0.10862656,-0.3354332,-1.8855743,0.93624115,-1.3077656,-1.5604023,0.16134796,1.1057274,-0.88139725,0.3616169,0.34887925
1977-11-01,0.050597765,-0.64256,-1.3343033,0.50916517,-0.58948517,-1.5766785,0.0693512,0.5636555,-0.00530777,-1.1669407,0.14047126
1977-12-01,0.19036254,-0.6775898,-0.48864326,-0.03715248,-0.38284722,-0.36940116,-0.51978034,-0.9238575,-0.36303252,0.16347083,-0.133395
1978-01-01,-0.19214325,-0.6349228,-0.49175033,-1.0749813,0.74646837,0.5757496,0.50807416,-1.169183,-0.22138977,-0.5818707,-0.7865971
1978-02-01,-0.4352974,-0.8083618,0.12514839,-0.5482033,0.35912055,-0.591053,0.16731758,-0.542762,-0.3149109,-0.5356205,0.53426015
1978-03-01,-0.1441925,-0.41285285,-0.36966324,-1.1848263,-0.14963341,-0.507394,0.42203483,-0.35742036,-0.24315453,-0.4312168,-0.2553974
1978-04-01,-0.23397294,0.1809208,-0.99608344,-1.1586403,-0.7570103,-1.4011151,0.7893173,-0.16425705,-0.9335098,-1.0164887,0.9144657
1978-05-01,-0.59071314,-0.028906632,-0.4903904,-0.21662903,-0.66484946,-1.5504084,1.4092767,0.69987714,-1.1123902,-1.250461,0.7811554
1978-06-01,-0.8046204,2.513845,-1.2052307,0.9712585,-0.698177,-0.31593132,1.2599831,0.20472603,-2.7791047,0.47950783,1.8666794
1978-07-01,-0.3512985,0.9372505,-1.3041935,0.6713108,-1.3242576,-2.2206988,-0.073796466,0.94371223,-2.233622,-0.7542896,1.9037479
1978-08-01,-0.35878068,0.70871943,-1.5884968,0.39346847,-0.4152336,-1.0079864,0.92636794,0.85665244,-2.0173333,-1.4347824,1.3385407
