,mgv200_cluster1,mgv200_cluster2,mgv200_cluster3,mgv200_cluster4,mgv200_cluster5
1974-03-01,0.35024205,0.07577354,-0.4117028,1.6882061,0.3133376
1974-04-01,0.36020488,0.07352839,-0.17820814,0.5212938,0.45099282
1974-05-01,0.49729887,-0.09219112,0.077738,0.273767,0.04532385
1974-06-01,0.74903536,-0.059075307,0.22928505,0.9310322,-0.35417098
1974-07-01,0.5520242,0.05837369,-0.7122712,0.039149664,-0.4935102
1974-08-01,0.7149373,-0.124184415,-0.34743565,-0.47681198,-0.5779837
1974-09-01,0.15337124,0.117308594,-0.20402727,-0.75156105,-0.055286597
1974-10-01,0.13779557,-0.08812181,-0.09289274,1.206062,-0.23293345
1974-11-01,0.6802778,-0.55076134,-0.77359164,0.27601224,0.16389534
1974-12-01,0.43134785,-0.7386516,-0.8065671,1.8006035,0.33971804
1975-01-01,0.32320786,-0.25797567,-0.49997878,1.8031448,0.054896973
1975-02-01,0.15851669,-0.065232135,-0.41595548,0.799966,0.14549713
1975-03-01,0.33676416,0.008321762,-0.0075164796,0.9371414,0.1981124
1975-04-01,0.2901891,-0.039192963,0.55017805,0.26535788,-0.27716947
1975-05-01,0.73164684,0.07328548,-0.44441065,0.13932295,-0.14589986
1975-06-01,0.62319505,0.32978463,-0.3347509,1.2686708,0.06523218
1975-07-01,0.74023706,-0.077446416,-0.21730623,0.31502017,-0.38172874
1975-08-01,0.46561784,0.439176,-0.4281698,-0.41045237,-0.31944954
1975-09-01,0.4405182,0.4685707,-0.33515358,-0.14657097,0.047380544
1975-10-01,0.37501764,0.074090816,-0.13449092,0.3599847,0.1319407
1975-11-01,0.19864929,-0.15408735,-0.4747449,-0.23623157,0.41461325
1975-12-01,0.7299019,-0.040803622,-0.21153466,1.5675845,-0.021207165
1976-01-01,0.62905484,0.35120326,-0.29474792,1.8736207,-0.13356185
1976-02-01,0.33417273,-0.07348583,-0.2585414,1.1321914,0.056857657
1976-03-01,0.258005,-0.07831345,-0.06543994,0.81236714,0.1648067
1976-04-01,0.88089144,-0.37560922,-0.27168304,0.40940195,-0.14026678
1976-05-01,0.5956644,-0.19578345,-0.22246894,0.5369294,0.015957689
1976-06-01,0.5916414,-0.043850135,-0.110094644,1.3574765,-0.40430632
1976-07-01,0.3324295,-0.1758028,-0.16561131,0.121358916,-0.3355139
1976-08-01,0.76462823,0.13128214,-0.5613352,-0.52807885,-0.24674082
1976-09-01,0.2641735,-0.5850706,-0.22890568,-0.58104765,-0.20610905
1976-10-01,0.30333018,0.105937615,0.0061685564,0.5516801,-0.0758996
1976-11-01,0.033524554,-0.20356111,-0.264844,0.5562395,0.15515168
1976-12-01,-0.13946219,-0.10285334,-0.5052821,1.7007681,0.08542061
1977-01-01,0.17419425,-0.23951702,-0.82062656,2.1760404,0.4715448
1977-02-01,0.4349307,0.24034914,-0.6462937,1.5684412,0.082936384
1977-03-01,0.49123865,0.117192745,-0.4922095,1.5839744,-0.10512676
1977-04-01,0.6566955,-0.31870884,-0.53450984,-0.035781957,-0.1214921
1977-05-01,0.90675277,-0.38763753,-0.047709227,0.7320039,0.16989478
