,zgv850_cluster1,zgv850_cluster2,zgv850_cluster3,zgv850_cluster4,zgv850_cluster5
1975-11-01,-0.048991226,-0.55581534,0.08643933,-0.008321786,-0.31918105
1975-12-01,0.06912458,-0.80936164,0.44132358,0.0161067,-0.27180055
1976-01-01,0.056991745,-1.1741642,0.7470613,0.12001793,-0.37681606
1976-02-01,-0.07469271,-1.2036657,0.6215453,-0.0044252397,-0.056053065
1976-03-01,0.09762352,-0.6029057,0.6454148,0.023467189,-0.5333087
1976-04-01,-0.07402222,-0.069328785,0.6542653,-0.0528347,-0.2901886
1976-05-01,-0.15193331,-0.009789174,0.6113539,-0.020651132,-0.20677948
1976-06-01,-0.22810109,0.11063105,0.6533266,0.022260297,-0.20235428
1976-07-01,-0.14697167,0.19417424,0.75215703,0.014750791,-0.14992185
1976-08-01,-0.3584446,0.037145216,0.68121904,0.015823578,-0.09024811
1976-09-01,-0.1220294,-0.14415559,0.64031905,0.055784844,-0.24271779
1976-10-01,0.07710649,-0.29099315,0.21053424,0.02373538,-0.2203234
1976-11-01,0.09936681,-0.67411184,0.47028255,0.10097599,-0.26940337
1976-12-01,0.0061685084,-0.87217504,0.57917035,-0.04626388,-0.5355884
1977-01-01,0.015810633,-1.2401627,0.8013487,0.047431864,-0.69289345
1977-02-01,0.06310377,-0.74309903,0.8331087,0.031205177,-0.45212823
1977-03-01,0.043271165,-0.4321569,0.68068874,-0.026351023,-0.32120523
1977-04-01,0.017336205,-0.1712817,0.6020517,-0.0538116,-0.36725014
1977-05-01,-0.21566239,0.29027742,0.37792927,-0.003883311,-0.32106647
1977-06-01,-0.16268294,0.047431864,0.49706364,0.012343371,-0.24783845
1977-07-01,-0.16684362,-0.01955524,0.7135582,0.045906283,0.102352954
1977-08-01,-0.0803013,0.042716406,0.59789103,0.045351494,-0.21760407
1977-09-01,-0.18903396,-0.07267337,0.39373988,0.023438549,-0.018168354
1977-10-01,-0.092505984,-0.082797706,0.44852227,0.038833104,0.043132447
1977-11-01,-0.06310378,-0.4578145,0.42022958,-0.058527015,-0.251583
1977-12-01,-0.10013392,-0.9812292,0.6580823,-0.11580585,0.05242467
1978-01-01,-0.021745522,-1.0001779,0.7427201,0.0005814314,-0.043142222
1978-02-01,-0.04360733,-0.91714954,0.82144594,0.09302898,-0.17210364
1978-03-01,-0.058724545,-0.6308528,0.589106,0.056631397,0.04221189
1978-04-01,-0.13245001,-0.014652061,0.5327072,-0.034885872,0.10058756
1978-05-01,0.053724237,-0.06232942,0.4080484,0.045235347,-0.6129447
1978-06-01,-0.2682723,0.17896453,0.5946878,-0.0077911615,-0.33653232
1978-07-01,-0.2185018,-0.09047069,0.4693312,0.042560767,0.043374777
1978-08-01,-0.1638473,0.3592082,0.5653837,0.04895649,-0.07477202
1978-09-01,-0.11942595,-0.0388396,0.28420353,-0.0006977081,-0.32001972
1978-10-01,-0.01976866,-0.3033908,0.29118073,-0.07442317,-0.15268378
1978-11-01,-0.02558297,-0.3817677,0.33071804,0.09663387,-0.44281793
1978-12-01,0.10919279,-1.1599551,0.60631645,-0.008023751,-0.20582664
1979-01-01,0.042535342,-1.1024984,0.62405014,0.06722371,-0.12418537
1979-02-01,-0.015467405,-1.3113085,0.7460046,0.08194747,-0.08982991
1979-03-01,0.063208126,-0.5336253,0.6598929,-0.0002974391,-0.15809469
1979-04-01,-0.024242174,-0.0737676,0.64710253,-0.010708207,-0.15898705
1979-05-01,0.07123928,0.013385248,0.5006083,0.020375323,-0.37419215
1979-06-01,-0.10113301,0.6096238,0.2556583,0.037032533,-0.09220953
1979-07-01,-0.2242773,0.24985802,0.63208133,0.05160756,-0.08254242
1979-08-01,-0.16716692,-0.10217409,0.5037316,0.0759985,0.048484374
1979-09-01,-0.13608338,-0.020077873,0.19958897,0.11303101,-0.104702376
1979-10-01,-0.08358345,-0.18203941,0.39055187,-0.012492895,-0.03480165
1979-11-01,0.030339886,-0.509978,0.34221625,-0.04313025,-0.34355474
1979-12-01,-0.07302399,-0.93964463,0.5966847,0.009964573,-0.27216676
1980-01-01,-0.0024253665,-0.9396939,0.7937679,0.048103057,-0.48507294
1980-02-01,-0.024927353,-1.2240006,0.76681936,-0.02236725,-0.24725237
1980-03-01,0.09943994,-0.60674536,0.82758826,0.033685617,-0.22407666
1980-04-01,0.0070066093,-0.45798963,0.7401403,-0.04527347,-0.1443092
1980-05-01,-0.08071075,0.15751395,0.63881403,0.02910437,-0.33038855
1980-06-01,-0.35545063,0.16290364,0.6687268,0.02775693,-0.023445178
1980-07-01,-0.19443338,0.11210574,0.7515935,-0.028161192,0.19241223
1980-08-01,-0.2243462,0.14255753,0.54745865,0.07639899,-0.089199446
1980-09-01,-0.11520481,0.0033685684,0.41702795,0.00094320776,-0.038401604
1980-10-01,-0.00821929,-0.15778343,0.39951143,-0.011587858,0.022097755
1980-11-01,-0.052684307,-0.8800031,0.2546633,-0.04096172,-0.30478746
1980-12-01,-0.11520481,-1.2130864,0.6374666,-0.055648636,-0.6795062
1981-01-01,-0.12555513,-1.4261987,0.79222304,-0.034524154,-0.1531744
1981-02-01,-0.048192836,-0.7093652,0.7689721,0.056084108,-0.52659863
1981-03-01,-0.039315272,-0.9656893,0.59945154,0.0063411715,-0.5088433
1981-04-01,-0.08623991,-0.24843283,0.38948852,-0.04030161,-0.5254713
1981-05-01,-0.066230014,0.030719375,0.2790113,-0.0025364875,-0.35397798
1981-06-01,-0.062143423,0.047065545,0.57211417,0.051292993,-0.55886817
1981-07-01,-0.22419548,0.33058614,0.55083597,-0.0054956437,-0.0032410622
1981-08-01,-0.11287274,0.08933997,0.43035382,0.05411129,-0.13584185
1981-09-01,-0.15937467,0.06622992,0.36708313,0.0155006405,-0.1817801
1981-10-01,-0.1044179,-0.26703352,0.3872339,-0.021841813,-0.37173328
1981-11-01,-0.1558518,-0.7288114,0.3769471,-0.09215827,0.09497657
1981-12-01,-0.086662576,-0.7290932,0.654972,-0.0005636692,-0.35059604
1982-01-01,0.027676582,-1.3375248,0.6642383,0.0380553,-0.40623388
1982-02-01,0.07650981,-1.1243618,0.7157327,-0.017297864,-0.7708198
1982-03-01,-0.061340928,-0.7822629,0.73329675,0.02009213,0.13026628
1982-04-01,-0.014370536,-0.14596744,0.6132761,-0.009846496,0.3035111
1982-05-01,0.0010644436,0.07877185,0.39944777,0.030870056,-0.3907989
1982-06-01,-0.20052227,0.013306046,0.7508608,0.069989845,-0.3221396
1982-07-01,-0.17923257,-0.03246679,0.8204514,0.056816865,-0.00452404
1982-08-01,-0.18828067,0.081832245,0.87553847,0.079836346,-0.11323452
1982-09-01,-0.18867986,-0.013705254,0.47795352,-0.029140282,-0.20411496
1982-10-01,0.034329604,-0.29526138,0.39039966,0.07384863,0.009181166
1982-11-01,-0.07012291,-0.6032965,0.67155665,0.15554781,-0.071852684
1982-12-01,0.0191607,-0.782396,0.5410242,-0.088485286,-0.45732912
1983-01-01,-0.022535253,-0.9668701,1.0092579,-0.040778063,-0.28397113
1983-02-01,-0.005633819,-0.69416654,0.81247675,0.06894715,-0.12971191
1983-03-01,-0.027364248,-0.5321273,0.4389011,-0.08209274,-0.16619757
1983-04-01,-0.053521253,-0.09362866,0.52032316,-0.005231428,0.2462782
1983-05-01,0.09537245,-0.16928276,0.7488951,-0.05700884,-0.27417907
1983-06-01,-0.20013459,0.07337375,0.6882645,0.021730429,-0.41663408
1983-07-01,-0.26291138,-0.082897566,0.7014101,0.032595657,-0.17987975
1983-08-01,-0.21663363,0.16150272,0.7019466,0.014486981,0.15640545
1983-09-01,-0.17022172,-0.12877293,0.5413829,0.09027519,0.15761271
1983-10-01,-0.028034944,-0.2716304,0.4771305,0.023340082,-0.11737116
1983-11-01,-0.0749834,-0.49269065,0.4519125,-0.06103301,-0.22776711
1983-12-01,-0.03527841,-0.79959947,0.58658755,0.08705588,-0.4468152
1984-01-01,0.072030686,-1.0906745,0.55356175,-0.029051041,-0.8323988
1984-02-01,0.046826564,-0.4301943,0.75890887,0.035683703,-0.4304596
1984-03-01,0.14074504,-0.5437454,0.5137658,0.039530657,-0.5551536
1984-04-01,0.026000023,-0.19685733,0.3502044,0.0009285688,-0.39809218
1984-05-01,-0.13835727,-0.36943913,0.5172148,0.013000011,-0.38177586
1984-06-01,-0.20256142,-0.0019897937,0.6607455,0.015653074,-0.5008985
1984-07-01,-0.027459215,0.19685733,0.48153105,0.0065000057,-0.24806142
1984-08-01,-0.06314292,0.051204134,0.44452086,0.01658163,0.018571472
1984-09-01,-0.1099695,-0.024806142,0.20746958,0.05995927,-0.41255146
1984-10-01,0.043112278,-0.40658203,0.3559085,-0.02042861,-0.7128782
1984-11-01,-0.124959305,-0.47556168,0.36784726,0.002387762,-0.09325524
1984-12-01,0.02852044,-1.1428072,0.66963327,0.0084898,-0.46534738
1985-01-01,0.11162152,-1.4244779,0.6341707,-0.04758954,-0.5800309
1985-02-01,0.1044029,-1.1065905,0.8836147,0.008421743,-0.6567623
1985-03-01,-0.006817603,-0.8556759,0.7145115,0.011897397,-0.03595953
1985-04-01,0.053872418,-0.30959937,0.46707258,0.008956457,-0.38178575
1985-05-01,-0.23567514,-0.02660203,0.62695205,-0.03662791,-0.3267102
1985-06-01,-0.11523086,0.23861608,0.8480563,0.003876686,-0.62895715
1985-07-01,-0.046520103,0.21094462,0.59821117,0.072587445,0.0800734
1985-08-01,-0.19730945,0.14865048,0.5337782,0.05440712,0.04277716
1985-09-01,-0.20466176,-0.008020711,0.42696905,0.07071593,-0.19196233
1985-10-01,-0.021388555,-0.35518372,0.4875254,-0.09892206,-0.3454252
1985-11-01,-0.013768887,-0.6419241,0.22457986,-0.039167784,-0.7129074
1985-12-01,0.06443302,-1.283046,0.5927304,-0.014704633,-0.2511819
1986-01-01,-0.09992544,-1.1388392,0.9722967,0.076466955,-0.013479042
1986-02-01,0.018792728,-1.096847,0.50338584,0.0044065714,-0.24754544
1986-03-01,-0.032919668,-0.78294384,0.75430113,-0.0014256537,-0.20503512
1986-04-01,-0.038622297,-0.12299515,0.812753,-0.007517092,-0.25985795
1986-05-01,-0.05015714,-0.065839335,0.46917015,0.0,-0.30742306
1986-06-01,-0.19907328,0.14969377,0.5084404,0.034863733,-0.116385266
1986-07-01,-0.20283183,0.22732718,0.77114975,0.045232154,-0.19453716
1986-08-01,-0.12480961,-0.055341333,0.6988302,0.038103867,-0.06337686
1986-09-01,-0.16148783,0.055470943,0.5039042,0.05741501,-0.30690464
1986-10-01,-0.0071282745,-0.1993325,0.2800764,0.053526856,-0.2279752
1986-11-01,0.08165115,-0.46567076,0.47305828,0.007646692,-0.33930588
1986-12-01,-0.011534845,-0.910864,0.7007743,0.0060914396,-0.26102448
1987-01-01,0.028952813,-1.0578915,1.0094883,0.13006496,-0.42716545
1987-02-01,0.07557428,-0.48373485,0.8486889,0.20935115,-0.36228147
1987-03-01,0.073050186,-0.3950947,0.49917635,0.11878079,0.039643098
1987-04-01,-0.029398251,0.010096383,0.8114214,0.012175036,-0.10541797
1987-05-01,-0.14966382,0.026428735,0.52159625,-0.0031180144,-0.6862561
1987-06-01,-0.1492184,0.21885364,0.77370846,0.076168194,0.0044542314
1987-07-01,-0.20949964,-0.03162539,0.5738598,-0.011878085,-0.086264566
1987-08-01,-0.06532945,0.086264566,0.6225599,0.007869219,-0.33139843
1987-09-01,-0.017223215,-0.03162539,0.4380042,-0.045285176,-0.40296388
1987-10-01,-0.040088512,-0.21098442,0.26384187,0.027765011,0.00014848709
1987-11-01,0.006384468,-0.4121694,0.4584939,0.01870798,-0.40400323
1987-12-01,0.06369619,-1.0200301,0.5725235,-0.085819125,-0.4452796
1988-01-01,0.033896863,-1.4289562,0.74342597,-0.018982243,-0.24554887
1988-02-01,0.11036817,-1.1938475,0.6814625,0.037964486,-0.108063176
1988-03-01,0.16582343,-0.9923645,0.6048556,0.049218226,-0.7069529
1988-04-01,-0.10277529,-0.17395869,0.50696146,0.021287251,0.09138594
1988-05-01,-0.12921484,0.05450616,0.4296766,-0.015999317,-0.23131223
1988-06-01,-0.28486925,0.28785214,0.29937705,0.035930675,-0.26832753
1988-07-01,-0.09206388,0.44052362,0.52092695,0.0420321,-0.14168887
1988-08-01,-0.10616497,0.34683266,0.1857548,-0.034168053,-0.1604
1988-09-01,-0.031320702,-0.022100752,0.11985926,-0.047726773,-0.05003176
1988-10-01,-0.041896522,-0.23483744,0.13707891,0.0054234983,-0.26412433
1988-11-01,-0.080267765,-0.42628694,0.32052872,-0.018982243,-0.25327736
1988-12-01,-0.035388328,-1.3486884,0.6138044,0.058302592,-0.49814826
1989-01-01,0.08075793,-1.1122681,0.7743472,0.05467242,-0.56649673
1989-02-01,0.020368153,-1.2490085,0.7587435,0.12554406,-0.31874377
1989-03-01,-0.09183536,-0.9021543,0.5507739,-0.008218741,-0.105533265
1989-04-01,-0.07920949,-0.21702209,0.70323735,0.005360043,-0.42344323
1989-05-01,-0.17318887,0.2163074,0.717769,-0.0064320504,-0.30766636
1989-06-01,-0.11017861,-0.06491604,0.6608335,-0.036448278,0.048835944
1989-07-01,-0.070990756,0.17497554,0.6866808,-0.10005407,-0.2252408
1989-08-01,-0.24441786,0.111607954,0.54172146,-0.052885722,-0.3076664
1989-09-01,-0.18783963,0.045381676,0.18188404,-0.012864113,-0.015722752
1989-10-01,-0.08587976,-0.12756898,0.52171063,0.005002701,-0.39771503
1989-11-01,0.040736295,-0.67274463,0.34947464,-0.003454256,-0.6943039
1989-12-01,0.08206816,-1.4701996,0.5709039,0.043952346,-0.46942043
1990-01-01,-0.02684151,-1.1366398,0.839812,0.048183776,-0.1994128
1990-02-01,0.03692345,-1.1577203,0.5915607,0.014533699,-0.15397863
1990-03-01,0.00039280654,-0.5584344,0.7747377,0.038363717,-0.02029481
1990-04-01,0.03351916,-0.14638445,0.6665861,0.004058957,-0.34723753
1990-05-01,-0.14874128,-0.093356095,0.7337553,0.040851474,-0.20320985
1990-06-01,-0.2716885,0.08877339,0.7147699,-0.018330812,-0.10369988
1990-07-01,-0.12582777,0.15253834,0.60989153,-0.057741977,0.0555161
1990-08-01,-0.19666319,0.16170374,0.5702185,-0.049755,-0.2054358
1990-09-01,-0.1385284,0.009820068,0.45407987,-0.03430476,0.06402683
1990-10-01,-0.06677644,-0.105009235,0.2557145,-0.07410874,-0.111817814
1990-11-01,-0.012962485,-0.31672984,0.4072054,-0.03247168,-0.38062575
1990-12-01,-0.0010474802,-0.8212193,0.45119923,-0.11692425,-0.04412482
1991-01-01,0.08923201,-1.52882,0.5350623,-0.037935983,-0.3961836
1991-02-01,0.02226677,-0.66338485,0.85009587,-0.07356282,-0.2823756
1991-03-01,-0.08840732,-0.8428386,0.49267292,-0.009401512,0.017153645
1991-04-01,0.04981159,-0.21557534,0.69604284,-0.025895428,-0.28221074
1991-05-01,-0.18555646,0.09104636,0.4639736,-0.032657932,-0.5541952
1991-06-01,-0.2873238,0.09022166,0.69356877,-0.07224331,-0.25351134
1991-07-01,-0.106220745,0.3011787,0.70115596,-0.0102262255,-0.11974583
1991-08-01,-0.21722475,0.31453878,0.66338485,-0.038100936,-0.062346935
1991-09-01,0.008906704,-0.072408244,0.6239644,-0.025565565,-0.21524549
1991-10-01,0.04123476,-0.086922884,0.3838132,0.029524088,-0.0249058
1991-11-01,0.07587197,-0.4771687,0.443851,-0.009071636,-0.7509675
1991-12-01,-0.02672013,-1.2118073,0.62165534,0.08345916,-0.18110308
1992-01-01,0.060624458,-1.1324593,0.781694,0.09180655,-0.6010251
1992-02-01,0.02194792,-1.042125,0.71825916,-0.03305571,-0.0001338482
1992-03-01,-0.08819318,-0.641709,0.82599133,0.1464087,-0.0927433
1992-04-01,-0.02930851,-0.16474326,0.67409563,-0.07708539,-0.3962671
1992-05-01,-0.071866065,-0.14801465,0.679315,0.016594771,-0.383821
1992-06-01,-0.17344213,0.045501787,0.84044486,0.020341968,-0.16394038
1992-07-01,-0.15189567,0.2936204,0.66446,-0.013650537,-0.22202197
1992-08-01,-0.0994348,0.09608908,0.7329804,0.019271363,0.21131563
1992-09-01,-0.1357024,-0.052862376,0.3958656,0.0024089336,-0.08136787
1992-10-01,-0.099836275,-0.2542747,0.5762668,-0.0073605776,-0.10933814
1992-11-01,0.13128605,-0.41353098,0.46719632,-0.19191049,-0.5824229
1992-12-01,-0.020609636,-1.0291436,0.66713655,-0.045769446,-0.20355359
1993-01-01,-0.07707138,-0.95039254,0.5997408,-0.010098219,-0.4180891
1993-02-01,-0.019500017,-0.890848,0.8115711,-0.061517835,0.1753839
1993-03-01,0.0031339407,-0.28971416,0.8419819,0.050491046,0.03296423
1993-04-01,0.034241058,0.03458929,0.64419615,0.057803534,-0.21194637
1993-05-01,-0.13278565,0.1208303,0.26731238,0.030642843,0.15994637
1993-06-01,-0.07579465,0.17515174,0.658589,-0.05292859,-0.37224102
1993-07-01,-0.21508026,0.050026752,0.69631225,-0.03516965,-0.3644642
1993-08-01,-0.18524995,0.105276726,0.68853545,-0.027508926,-0.09622321
1993-09-01,-0.03238392,-0.10191069,0.35320526,-0.039812468,-0.035053562
1993-10-01,-0.005803585,-0.15588388,0.4912141,-0.07068749,-0.22216062
1993-11-01,-0.02158928,-0.5381069,0.45256233,-0.04224999,-0.15216962
1993-12-01,-0.02066071,-0.9846336,0.76734793,0.04445534,-0.09227677
