,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1974-05-01,1016.84686,1012.918,1019.7432,1015.26556,1013.46686
1974-06-01,1020.4062,1012.69525,1020.3702,1015.31647,1013.8351
1974-07-01,1021.527,1013.95667,1026.1147,1015.97675,1015.8884
1974-08-01,1022.4378,1012.6382,1023.1905,1015.4992,1016.4094
1974-09-01,1021.6655,1011.8041,1023.5016,1016.783,1015.53796
1974-10-01,1018.42615,1011.08276,1021.3374,1018.3562,1022.1987
1974-11-01,1015.5862,1010.1175,1018.829,1020.00134,1019.6325
1974-12-01,1015.93195,1011.6744,1022.7347,1025.432,1018.7447
1975-01-01,1020.2981,1012.61084,1021.92206,1024.1016,1020.02826
1975-02-01,1017.54974,1013.3235,1014.6499,1019.2388,1017.089
1975-03-01,1015.88226,1013.0793,1017.9497,1015.8484,1015.75836
1975-04-01,1014.13513,1012.25244,1022.7835,1015.1101,1017.7975
1975-05-01,1017.8425,1012.2386,1021.7539,1014.68726,1013.4972
1975-06-01,1018.6811,1013.51514,1022.6686,1017.15125,1015.75635
1975-07-01,1024.5409,1013.3159,1022.81805,1015.683,1014.7344
1975-08-01,1017.7048,1012.62885,1021.81476,1015.3875,1017.11597
1975-09-01,1020.743,1011.948,1024.4967,1018.1981,1016.2372
1975-10-01,1019.92377,1010.7648,1017.3837,1019.41724,1018.29987
1975-11-01,1019.52936,1010.51086,1020.98444,1020.5416,1020.2919
1975-12-01,1016.68353,1010.5538,1018.4638,1017.76636,1021.4688
1976-01-01,1021.5731,1012.1593,1022.90454,1021.8858,1022.762
1976-02-01,1021.1119,1012.8117,1021.42944,1018.96405,1020.3183
1976-03-01,1020.05804,1012.13586,1022.7503,1018.2395,1017.82947
1976-04-01,1016.9143,1012.19696,1023.6217,1014.1591,1017.44836
1976-05-01,1021.57623,1013.3815,1024.1477,1015.00024,1014.17267
1976-06-01,1022.82806,1013.40186,1022.1281,1016.2656,1015.26904
1976-07-01,1020.0359,1014.7042,1021.0767,1015.9394,1016.59924
1976-08-01,1020.39594,1013.3063,1017.9188,1016.48883,1016.355
1976-09-01,1019.2015,1012.22534,1016.50244,1016.62506,1015.5787
1976-10-01,1016.96857,1009.7611,1021.40356,1014.9336,1017.3275
1976-11-01,1015.89435,1010.5591,1021.6379,1021.06323,1020.90533
1976-12-01,1017.8504,1011.2954,1018.702,1015.3357,1020.22327
1977-01-01,1010.3109,1012.5444,1017.3878,1017.28827,1020.52954
1977-02-01,1016.45514,1013.5062,1015.8441,1021.94653,1020.18854
1977-03-01,1016.07104,1012.8604,1018.5341,1021.4288,1016.8289
1977-04-01,1020.4342,1012.29315,1022.6231,1017.0468,1019.1417
1977-05-01,1017.8374,1012.4964,1023.1611,1015.40283,1015.9186
1977-06-01,1019.00885,1013.36774,1022.5403,1016.545,1015.24274
1977-07-01,1022.22986,1013.3552,1027.2389,1015.37854,1017.1199
1977-08-01,1022.58966,1012.5416,1024.6637,1014.5948,1016.2888
1977-09-01,1017.3586,1012.4998,1019.2566,1017.8312,1014.5148
1977-10-01,1019.59064,1011.4607,1020.3555,1016.6146,1017.76294
1977-11-01,1022.4338,1010.9715,1014.88226,1019.7236,1016.8999
1977-12-01,1017.2263,1012.71906,1014.8237,1019.06104,1018.33154
1978-01-01,1021.2271,1013.73834,1029.3729,1021.1105,1021.77094
1978-02-01,1006.4322,1012.6153,1005.4911,1015.04,1019.80347
1978-03-01,1017.3308,1012.8619,1025.3068,1022.0222,1017.64667
1978-04-01,1014.4668,1011.2143,1018.43445,1014.76807,1015.4332
1978-05-01,1021.6103,1011.92346,1022.89795,1016.0171,1013.33844
1978-06-01,1022.60345,1013.5197,1027.1696,1016.70685,1016.177
1978-07-01,1021.509,1012.54596,1023.25525,1016.0251,1014.9613
1978-08-01,1021.37103,1013.43506,1020.14136,1016.0411,1016.26636
1978-09-01,1016.9275,1011.9175,1021.37244,1018.53845,1015.37726
1978-10-01,1017.32404,1010.9651,1016.1964,1017.73737,1018.1239
1978-11-01,1018.2572,1010.67847,1022.8793,1023.8404,1018.66174
1978-12-01,1015.8631,1012.34204,1011.7569,1018.08185,1019.74945
1979-01-01,1015.2011,1012.4437,1014.8899,1014.98883,1020.7238
1979-02-01,1010.87537,1013.5529,1011.1443,1018.41815,1021.2321
1979-03-01,1016.7844,1012.2483,1023.28046,1019.0005,1018.8143
1979-04-01,1015.93665,1012.1754,1019.26416,1017.8606,1016.20435
1979-05-01,1021.22687,1012.1655,1022.90283,1017.7554,1015.26587
1979-06-01,1022.3239,1013.37885,1022.79987,1016.7324,1017.4749
1979-07-01,1023.0561,1014.3035,1026.8063,1017.59235,1016.3536
1979-08-01,1020.7816,1012.0708,1023.4632,1014.7795,1016.5468
1979-09-01,1019.2746,1011.7428,1020.7891,1017.9532,1013.4332
1979-10-01,1018.3007,1011.00555,1019.983,1014.22833,1015.69086
1979-11-01,1020.17554,1009.79456,1018.50085,1021.10205,1020.1368
1979-12-01,1016.94,1011.71216,1021.5161,1023.89,1022.365
1980-01-01,1014.3748,1013.1052,1016.18506,1018.25604,1019.106
1980-02-01,1013.1356,1013.04553,1021.0644,1020.26654,1020.7229
1980-03-01,1015.4109,1012.83203,1019.4596,1016.71204,1016.483
1980-04-01,1017.7664,1012.3562,1017.0363,1015.0974,1014.4414
1980-05-01,1015.52734,1012.7,1019.4051,1015.3638,1013.7986
1980-06-01,1023.01587,1013.7905,1028.7079,1017.11835,1015.92163
1980-07-01,1023.77124,1013.5414,1025.3502,1016.17017,1015.3425
1980-08-01,1018.64685,1013.04553,1020.1283,1016.74927,1016.1983
1980-09-01,1020.2866,1011.9631,1024.7809,1018.2394,1016.02325
1980-10-01,1018.1154,1011.95435,1018.46204,1018.9218,1017.4955
1980-11-01,1012.2351,1011.42865,1013.24756,1018.7261,1019.7035
1980-12-01,1018.0206,1011.3879,1025.8932,1024.8159,1022.6956
1981-01-01,1014.0691,1012.5081,1029.3655,1026.0344,1021.5784
1981-02-01,1021.928,1011.5582,1023.0856,1020.2291,1021.4447
1981-03-01,1005.6657,1012.3683,1008.6905,1017.69696,1015.75055
1981-04-01,1021.6657,1010.95447,1023.13416,1015.2134,1019.6354
1981-05-01,1019.03827,1011.91565,1021.2922,1016.307,1013.4254
1981-06-01,1018.0857,1013.3508,1020.8928,1016.1094,1015.1381
1981-07-01,1021.29626,1013.7915,1027.7366,1016.58,1015.7685
1981-08-01,1019.6108,1012.572,1023.9981,1016.3197,1014.8972
1981-09-01,1016.12,1012.546,1020.341,1017.9186,1016.3463
1981-10-01,1018.6422,1011.1741,1023.413,1018.3147,1018.58167
1981-11-01,1014.7866,1010.04846,1017.9945,1023.07086,1018.2795
1981-12-01,1016.44147,1011.4177,1018.2135,1018.7753,1019.21
1982-01-01,1017.03046,1012.6779,1015.4091,1021.45154,1019.96545
1982-02-01,1021.40955,1012.5571,1020.698,1020.14813,1020.6241
1982-03-01,1020.9324,1012.35876,1025.4862,1018.5977,1017.94635
1982-04-01,1020.8987,1012.5187,1019.3284,1014.01373,1016.86884
1982-05-01,1017.3622,1012.40265,1023.74896,1017.28107,1015.8899
1982-06-01,1019.3543,1013.83044,1020.272,1016.9494,1013.3996
1982-07-01,1022.7622,1013.5997,1025.1876,1016.8159,1016.29016
1982-08-01,1021.6565,1013.42126,1026.8888,1015.98724,1016.6573
1982-09-01,1022.225,1012.0776,1020.63135,1017.45776,1016.2799
1982-10-01,1014.67896,1011.3462,1020.1613,1018.24133,1018.4024
1982-11-01,1021.609,1010.9352,1024.4352,1020.5135,1020.6361
1982-12-01,1021.335,1011.5439,1026.9502,1026.5151,1020.20764
1983-01-01,1019.80963,1012.1267,1027.053,1030.6383,1019.27563
1983-02-01,1011.79706,1012.26294,1017.9794,1019.3296,1015.2082
1983-03-01,1015.22626,1011.7199,1024.5787,1020.4227,1011.459
1983-04-01,1016.5443,1011.24304,1019.6169,1016.2134,1012.84454
1983-05-01,1022.22345,1011.2263,1022.53,1016.27374,1014.88885
1983-06-01,1020.2672,1012.8285,1024.4702,1016.8489,1014.6774
1983-07-01,1021.9394,1012.97565,1025.5742,1016.1619,1017.44214
1983-08-01,1022.2736,1013.92224,1026.1925,1016.6311,1016.4074
1983-09-01,1018.83984,1012.5811,1018.68365,1017.67474,1017.79614
1983-10-01,1019.43945,1011.5708,1024.1019,1021.21704,1018.82446
1983-11-01,1014.7109,1012.68585,1009.2579,1017.428,1016.04175
1983-12-01,1021.82886,1012.96344,1020.53516,1021.35266,1021.1951
1984-01-01,1022.4916,1012.3477,1033.7672,1026.0962,1022.8011
1984-02-01,1021.0107,1011.8105,1024.4283,1022.1033,1017.17456
1984-03-01,1016.7656,1012.20844,1017.1791,1015.48157,1015.79694
1984-04-01,1013.3855,1012.40454,1014.95917,1014.35034,1012.24713
