,r1000_cluster1,r1000_cluster2,r1000_cluster3,r1000_cluster4,r1000_cluster5,r1000_cluster6,r1000_cluster7,r1000_cluster8
1967-08-01,159.4842764047476,111.5539619514534,499.47829246520996,304.51175983135516,772.2550201416016,128.20685000820015,1101.6045379638672,86.176669958866
1967-09-01,149.34036548321063,111.4844073046435,454.3832302093506,299.41098139836237,668.4529876708984,127.5406174987327,888.7580871582031,81.28604310931581
1967-10-01,134.2825962946965,111.60812377929686,397.74391651153564,275.49767127403845,563.5459136962891,125.16236632834864,834.2597961425781,76.39053036468198
1967-11-01,132.99041161170373,112.30884930035015,422.48544692993164,311.17339501014123,642.9499053955078,120.67211820879055,1188.2596588134766,70.95210528132891
1967-12-01,123.93153263972356,110.7534563219225,352.81519889831543,284.7157698411208,651.3887023925781,113.40406578005725,1503.6367797851562,70.1299802221433
1968-01-01,121.81220421424278,109.52103073532516,384.9464416503906,292.1828049879808,624.750862121582,108.39728435487237,1467.6727294921875,66.338356095131
1968-02-01,117.2739762526292,108.85982341594523,342.29514598846436,289.06895564152643,534.6157836914062,106.65313487744513,1093.4334564208984,66.05267765546085
1968-03-01,123.77730149489182,112.72576821816934,339.906907081604,300.9117419903095,437.8137969970703,118.53745438670384,765.3173828125,75.22394970209912
1968-04-01,128.7984848022461,111.28377141179264,348.5039234161377,292.3699892484225,402.31822967529297,119.9682978273348,531.6236877441406,77.62306290443497
1968-05-01,146.77678621732272,112.13604351421733,389.8939847946167,308.25072068434497,405.55469512939453,124.59730191995169,451.42784118652344,82.17738758433948
1968-06-01,159.26727881798377,111.68462392446156,377.8148412704468,311.5785452035757,430.1934814453125,124.86600803054925,563.4445190429688,86.78162699998028
1968-07-01,165.99750518798828,112.49565949311126,477.73661613464355,306.5644777738131,630.4111862182617,127.17441820916328,986.4625549316406,89.80556449504815
1968-08-01,161.02284651536206,112.64077607575837,463.90085220336914,314.0992971567007,667.5301361083984,129.00055164599237,1106.7290496826172,85.3315025869042
