,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5
1977-04-01,-1.1028969,0.09730415,0.15993194,-0.1043808,0.34923285
1977-05-01,-1.0473446,0.5254421,-0.0325531,-0.31208038,-0.14294854
1977-06-01,-1.3569485,1.1004196,-0.08031998,-0.4235382,-0.015568924
1977-07-01,-1.3074121,0.927042,-0.020876313,-0.7671089,-0.45856705
1977-08-01,-0.8431835,0.9900238,-0.014507294,-0.7388031,-0.29226607
1977-09-01,-0.6252224,0.8608753,0.11464157,-0.39240035,-0.2427288
1977-10-01,-0.7253574,1.0583137,0.21654586,-0.5990387,-0.525441
1977-11-01,-1.3686249,0.48652038,0.1415329,-0.20628509,0.17585488
1977-12-01,-1.1496025,-0.1362255,0.1425949,-0.30606538,0.9178421
1978-01-01,-1.2647445,-1.0351925,-0.07685737,0.59717447,0.5550049
1978-02-01,-0.9369106,-1.0348526,0.032307435,-0.065294646,0.30096778
1978-03-01,-1.3198369,-0.7444271,0.0013603211,0.8172035,0.18772201
1978-04-01,-1.1195316,0.08365898,-0.01802368,0.049990844,0.19826432
1978-05-01,-0.91548574,0.3873474,-0.073796846,-0.4050316,0.07991791
1978-06-01,-1.1361958,0.30844918,-0.29076537,-0.2210495,0.41965446
1978-07-01,-0.6770924,0.4434597,-0.2992672,-0.3951683,0.26832047
1978-08-01,-1.1589806,1.1651016,0.14487305,-0.2220703,-0.11052513
1978-09-01,-0.9491531,0.8107422,0.14827347,-0.107804105,-0.113585666
1978-10-01,-0.9984646,1.0559368,0.13603058,-0.057813264,-0.11086502
1978-11-01,-1.0382534,0.79407847,0.12650833,-0.035367966,0.7716335
1978-12-01,-1.142997,-0.50331306,-0.02890625,0.21152763,0.90188295
1979-01-01,-1.0287132,-0.958844,0.008324814,0.07849159,0.067193605
1979-02-01,-1.2915405,-0.6969086,0.01248703,0.027353287,0.49116594
1979-03-01,-0.9496273,-0.3315075,0.013379288,0.10019531,0.17244339
1979-04-01,-1.185696,0.65141946,0.09722252,0.09276237,0.25539437
1979-05-01,-1.4494154,0.6603386,-0.16203728,0.09454651,0.384132
1979-06-01,-1.0081984,0.9722233,-0.2241764,-0.23993377,-0.2235817
1979-07-01,-0.8066181,1.0296055,-0.16946983,-0.6026596,-0.52476275
1979-08-01,-1.2267258,0.90948945,0.061841965,0.054409027,-0.41921538
1979-09-01,-1.3985742,0.58957785,0.094249345,0.134684,-0.5298172
1979-10-01,-1.0551745,0.6870972,0.16173974,-0.337751,-0.36956367
1979-11-01,-0.74388444,0.66836625,0.16619949,-0.7620209,0.19355278
1979-12-01,-1.6061008,0.4156479,0.10703392,-0.040732194,0.97162855
1980-01-01,-1.2695156,-1.1027229,-0.12188683,0.69046783,0.26875916
1980-02-01,-1.0227028,-1.2695156,-0.02295952,0.6222652,-0.09723969
1980-03-01,-1.1972615,-0.46526414,-0.1630787,0.3234566,0.5408947
1980-04-01,-1.1975987,0.20764694,0.005064392,-0.20055619,0.0952137
1980-05-01,-0.7897331,0.8184326,-0.11952362,-0.34067613,-0.27686232
1980-06-01,-0.9254631,1.1182537,-0.23499528,0.049295045,-0.26707116
1980-07-01,-1.2337261,0.6773003,-0.22689171,-0.07495499,-0.17118187
1980-08-01,-1.0679462,0.9774593,-0.0628006,-0.5047676,-0.52738917
1980-09-01,-1.4423857,0.86874044,0.07191696,-0.42204666,-0.29779586
1980-10-01,-1.1368244,0.508144,0.10297928,-0.028699493,-0.046593856
1980-11-01,-1.502485,0.49058646,0.12830201,-0.10703087,0.33324814
1980-12-01,-1.5143025,0.5196236,0.03984108,-0.04321747,0.81640625
1981-01-01,-1.5280373,-0.68895686,0.057627104,0.39421386,0.61114156
1981-02-01,-1.4307686,-1.1176732,-0.12039299,0.79063034,0.0932312
1981-03-01,-1.224118,-0.43826026,0.1383789,-0.051387023,-0.2785923
1981-04-01,-0.89634097,0.49955788,-0.03450241,-0.8574333,0.31493035
1981-05-01,-0.6199505,0.49845657,-0.120392606,-0.38173372,-0.120025635
1981-06-01,-0.97819364,0.56379163,-0.1681099,-0.25803757,-0.11195107
1981-07-01,-1.2002602,0.93414766,-0.088092044,-0.31749955,-0.20922013
1981-08-01,-1.0262772,0.96241033,0.04918442,-0.58214414,-0.34833223
1981-09-01,-1.1800721,0.90698546,-0.0,-0.3751274,-0.34649736
1981-10-01,-1.1385952,0.7873268,0.084789276,-0.11048279,-0.1607689
1981-11-01,-1.122078,0.4687252,0.14278336,0.46799088,0.7682396
1981-12-01,-0.9022137,-0.40008658,0.054323576,0.12736663,0.19270249
1982-01-01,-1.577873,-0.6881558,0.055000685,0.08767738,-0.0012939454
1982-02-01,-1.1679558,-0.8195103,-0.018117905,0.50438845,-0.07053032
1982-03-01,-1.0372483,-0.5008297,-0.03526535,0.3164158,0.5441834
1982-04-01,-1.004895,0.58689004,0.01488266,-0.6263607,0.5393303
1982-05-01,-0.9356588,0.74639165,-0.118413165,-0.17535515,-0.22420844
1982-06-01,-1.0385425,1.0783371,-0.09479523,0.034617998,-0.17729644
1982-07-01,-1.2174565,0.85833436,-0.1805317,-0.29668006,-0.3041218
1982-08-01,-1.2346036,1.0518074,0.015206146,-0.30120963,-0.16273728
1982-09-01,-1.1061609,0.7722748,0.030412292,0.08444214,-0.24167976
1982-10-01,-1.0754255,0.52865374,0.006470871,-0.37432823,-0.25979766
1982-11-01,-0.9521591,0.22420883,0.30347443,-0.61924285,-0.2853569
1982-12-01,-1.0615135,0.033000566,0.07667732,-0.46879998,0.35815126
1983-01-01,-1.0685253,-0.58241767,0.023101425,-0.011063004,-0.1955494
1983-02-01,-1.1179817,-0.7808956,-0.09891357,0.020498658,-0.39467734
1983-03-01,-0.4825283,-0.8336056,-0.06637611,0.3240715,-0.33415833
1983-04-01,-0.82124174,-0.538818,-0.012363816,-0.06539993,-0.39305076
1983-05-01,-1.2520357,0.01626854,-0.028307343,-0.33415833,0.06539993
1983-06-01,-0.7278595,0.88924444,-0.01073761,-0.4782982,-0.32179374
1983-07-01,-1.423507,0.915274,-0.012689209,-0.4467369,-0.47374305
1983-08-01,-0.9360981,0.940979,-0.09077911,-0.62341464,-0.5694027
1983-09-01,-0.78024465,0.6601818,0.15975876,-0.5781876,-0.5869732
1983-10-01,-1.2081105,0.65692824,0.1587822,-0.31365967,-0.0029285431
1983-11-01,-1.0395668,0.51474,0.18774071,0.07353477,0.49391633
1983-12-01,-1.2155937,0.20465966,0.058241654,-0.20010415,0.69629824
1984-01-01,-1.3513466,-0.6715218,-0.23664132,0.3895584,0.30583495
1984-02-01,-0.9427597,-1.2101921,-0.22384071,1.0219857,0.22764626
1984-03-01,-1.5208702,-0.709232,-0.020411681,-0.016260529,0.17575112
1984-04-01,-0.63761675,0.53694075,0.08925934,-0.59506303,0.3594593
1984-05-01,-1.0925633,0.93480265,-0.046013642,-0.46497995,0.06746368
1984-06-01,-0.9783945,1.1119378,-0.08960571,-0.36672515,-0.3286682
1984-07-01,-0.79364777,0.6933174,-0.0176445,-0.3234787,-0.3086025
1984-08-01,-1.1178192,0.95348436,-0.031482697,-0.065042116,-0.46048203
1984-09-01,-0.70300484,0.46497917,0.15291747,-0.49161834,0.057430647
1984-10-01,-1.1216247,1.0012283,0.107595064,-0.8154438,-0.038748167
1984-11-01,-0.9026276,0.6580288,0.14219284,-0.1895897,0.4203495
1984-12-01,-1.483506,0.052241135,0.15326309,0.40547293,0.7016209
1985-01-01,-1.3011849,0.018291855,0.023216248,-0.21528092,0.49669456
1985-02-01,-0.8255962,-0.66167337,-0.17658691,0.9518803,0.13543014
1985-03-01,-1.4777718,-0.62438583,0.060151674,-0.20683822,0.8861
1985-04-01,-1.1063061,0.74117243,0.071057126,-0.022161102,0.3637268
1985-05-01,-0.036935426,0.78092194,-0.026382446,-0.45131683,-0.16849633
1985-06-01,-1.0415812,0.80800784,-0.098143004,-0.29724273,0.18784371
1985-07-01,-0.5009159,0.8829342,-0.105530545,-0.24342194,0.14070663
1985-08-01,-1.1210804,0.95961916,0.042916108,-0.074926,-0.5009155
1985-09-01,-1.0176609,0.69086915,0.075278476,-0.32538453,-0.4224724
1985-10-01,-1.0556519,0.5339813,0.1167862,0.025679016,-0.11537933
1985-11-01,-0.7777561,0.47699547,0.09251404,0.33206788,0.6208683
1985-12-01,-1.0436916,0.31201705,0.091458894,-0.0021102906,0.6824276
1986-01-01,-0.9711235,-0.9098457,-0.07393341,0.29639894,0.2980644
1986-02-01,-1.2575321,-0.71368945,-0.08891983,0.12355499,0.23845176
1986-03-01,-1.4733372,-0.50487787,0.067272566,-0.5395134,0.43460768
1986-04-01,-0.9504757,0.30172768,0.0915844,-0.3550125,0.25110665
1986-05-01,-1.5133015,0.745327,-0.039297484,-0.48156586,-0.35634536
1986-06-01,-0.56848717,0.7200165,-0.10856857,0.15685806,0.048622895
1986-07-01,-0.82159233,0.7842922,-0.0073272707,0.012322235,0.08825378
1986-08-01,-1.2931664,0.97944945,0.04629135,-0.09324875,0.10557137
1986-09-01,-1.1383064,0.7083607,0.09824447,0.05894699,-0.17084579
1986-10-01,-0.71102524,0.506876,0.061278533,-0.13887481,-0.079594806
1986-11-01,-0.7879559,1.1199894,0.06227646,-0.08026085,0.8092697
1986-12-01,-0.90318525,0.22346497,0.13254699,-0.5644905,0.33936042
1987-01-01,-1.2717285,-1.4924637,-0.0143379215,0.2117321,-0.13637581
1987-02-01,-1.4894623,-1.2473873,-0.032677077,0.51349294,0.1360424
1987-03-01,-0.69021416,-0.5545055,-0.04801483,-0.5938511,-0.24941063
1987-04-01,-1.2934017,0.5014893,-0.013337326,-0.14337806,-0.0036678314
1987-05-01,-1.41744,1.0543277,-0.047014616,-0.0066688536,-0.18772507
1987-06-01,-0.94629383,0.9589645,-0.15371437,-0.1577156,-0.33043593
1987-07-01,-1.146356,0.8902763,-0.094696045,-0.44347113,-0.13537522
1987-08-01,-1.3000705,0.8539314,-0.022673797,-0.26008072,-0.4931534
1987-09-01,-1.4611206,0.8139194,0.09336205,-0.16038322,-0.42246437
1987-10-01,-1.0433239,0.30576172,0.049015425,-0.20706443,-0.4354683
1987-11-01,-1.1736977,0.59818614,0.16738549,0.12070389,0.39212188
1987-12-01,-0.984639,-0.13937645,0.060685348,0.47614783,0.66687393
1988-01-01,-1.6658043,-0.6527069,-0.02769661,0.0073410035,0.47284546
1988-02-01,-0.6837406,-0.549929,-0.051722717,0.31367263,0.38241386
1988-03-01,-0.9196625,-0.88128775,0.05772934,-0.59597856,0.272295
1988-04-01,-1.6437801,0.3870861,0.08976402,0.04438133,-0.10344543
1988-05-01,-1.1635933,0.58162993,-0.17151909,-0.02068901,-0.034370422
1988-06-01,-0.5659462,0.91932905,-0.03003273,-1.000417,-0.18419953
1988-07-01,-1.2683737,1.1992989,-0.009343338,-0.120463565,-0.43747407
1988-08-01,-0.91398966,0.7821808,-0.030366134,-0.32034683,-0.6153332
1988-09-01,-0.41278037,0.8666054,0.109451674,-0.48652688,-0.5736214
