,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8
1968-10-01,0.15317288,0.1926693,-0.24306631,-0.011183595,-0.10560713,0.09414043,-0.24363258,0.7504336
1968-11-01,0.5155781,0.19804883,-0.33494172,0.066818476,0.006795096,0.12670027,-0.37075752,0.71221113
1968-12-01,0.76190037,0.19819033,-0.089044094,-0.071773216,-0.038363982,-0.024065971,0.10277586,0.40997094
1969-01-01,1.3033773,-0.06056585,-0.20001881,-0.004542434,0.26270443,0.11144118,-0.8093113,1.0146296
1969-02-01,1.2472025,-0.044667315,0.06450262,-0.1965362,0.0031796931,-0.24120352,-0.022106552,0.7814509
1969-03-01,0.6250397,-0.34038013,-0.029525852,-0.042093277,0.1220402,0.04027629,-0.22924176,1.0898826
1969-04-01,0.97344476,-0.12855104,-0.14808352,-0.019986724,0.19608195,0.15459435,-0.33417207,1.0324965
1969-05-01,0.5949081,-0.3818678,-0.04905834,0.53297955,-0.07161915,-0.013324499,-0.37520552,0.77085197
1969-06-01,0.56629074,0.3391688,-0.056174826,0.30752316,0.40185452,-0.5042108,-0.14308684,0.25028846
1969-07-01,-0.04648433,0.19153953,-0.0333112,0.052238047,-0.021349454,0.12733975,-0.46953684,0.6854542
1969-08-01,-0.019986738,0.23696391,-0.056023408,-0.039519213,0.006813669,-0.25255957,0.18109192,-0.39155826
1969-09-01,0.2463516,0.22227669,0.064351216,0.09281717,0.31236845,-0.02922306,-0.2799657,0.3058576
1969-10-01,0.018321157,0.19365935,-0.051026724,0.08358089,0.024529194,0.20955786,-0.31797075,0.9642085
1969-11-01,0.94437313,-0.21849135,-0.2642185,0.011053276,-0.18018343,0.15050617,-0.39928037,0.39382952
1969-12-01,0.67758054,-0.017715503,-0.4227496,0.19895884,0.19471924,0.08479216,-0.38050503,0.92635477
1970-01-01,0.9705788,-0.0026192903,-0.28825313,-0.125857,0.10830774,-0.20941243,-0.18321949,0.43244514
1970-02-01,1.1862775,-0.12808338,-0.3486278,0.056838654,0.10935545,0.12520216,-0.2945394,1.014452
1970-03-01,0.9265746,-0.046230506,-0.22041345,0.08237674,0.22303274,-0.04164674,-0.035229445,0.29964703
