,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8
1986-02-01,-1.9052065401283896e-05,7.030684048254852e-07,-7.746170272834466e-06,0.008581229485571384,0.013945715909358114,2.1640870121094245e-05,-7.18737880607734e-07,0.026717351283878088
1986-03-01,-2.0441157810341265e-05,6.073784522038137e-06,-2.921654543440257e-05,0.007876870222389698,0.017963256686925888,2.442946727872671e-05,-4.33751689016413e-05,0.0264496891759336
1986-04-01,-1.3656262824444513e-05,3.4366565726263153e-06,-2.054661568503694e-05,0.0044983040424995124,0.015929556684568524,8.399961188843008e-06,-1.8660959820128763e-05,0.020261119061615318
1986-05-01,-3.892474460583397e-06,4.466908139984081e-06,-7.2328345725379354e-06,0.003683074828586541,0.01316984707955271,-7.744082116308467e-06,-5.2736415968049696e-05,0.014764443039894104
1986-06-01,5.720102477468128e-06,1.1330457764306847e-06,-1.5168179743341172e-05,0.0013806203241983894,0.008823415555525571,-1.5066211744851898e-05,-8.264406367230456e-06,0.0035804063372779638
1986-07-01,4.257268555256603e-06,-2.544950321007382e-06,1.1074510309429441e-05,-0.00044271196202316787,-0.001321466697845608,-7.270578710934691e-06,8.537874954037341e-07,-0.003696303247124888
1986-08-01,4.834069566345005e-06,-1.540205076451969e-06,-2.394949823220876e-06,-0.00022665865344606573,-0.002260030305478722,-7.742815644936249e-06,3.871627412967754e-06,-0.0013529563148040324
1986-09-01,-3.65630948773435e-07,-6.038046145575013e-07,-9.278038695421336e-06,0.0010038390428235289,0.004365020868135616,-1.0391357818662073e-06,-2.6754013887488654e-06,0.0009982635674532503
1986-10-01,-6.345677257043061e-06,6.384881541640414e-07,-1.8698405516001264e-05,0.005044122735853307,0.012631902063731104,-7.4846373839439675e-06,-2.1500645977003165e-05,0.01582109252922237
1986-11-01,-1.300049176321874e-05,4.5686768529351806e-06,-4.852961345542489e-05,0.005519965270650573,0.018281651136931032,1.0107580692420015e-05,-4.539333764487543e-05,0.019752912339754403
1986-12-01,-1.7618476492718274e-05,1.7627741895583988e-06,-1.7916989755966434e-05,0.005331027932697907,0.01636428787605837,1.5115733731363434e-05,-4.55838464684068e-05,0.017441929958295077
1987-01-01,-1.559777279739095e-05,1.5193055893875195e-06,-1.685775584649361e-05,0.005830380177940242,0.017387329717166722,7.746193659841083e-06,-1.8328636286195175e-05,0.02037174708675593
1987-02-01,-4.863229447056615e-06,-2.0840042123131344e-06,-2.1330492277879136e-05,0.004713418456958607,0.014026349526830018,6.601342950792363e-06,-2.5442183799056624e-05,0.014420469233300537
