,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7,r50_cluster8,r50_cluster9
1971-01-01,3.7203522,7.7522545,10.330307,3.1033096,4.1835556,5.9450836,1.7931519,7.9230003,6.0921593
1971-02-01,3.5901833,7.285671,7.9246902,2.8869247,4.7972183,5.684742,2.1261864,7.262005,5.399044
1971-03-01,3.4701538,5.8605576,5.1387024,2.7668953,3.4549408,4.4929237,2.0010872,5.273945,4.6230927
1971-04-01,3.09655,4.8969574,3.8758812,2.171833,3.7812119,4.1159363,2.144783,4.159889,4.729595
1971-05-01,4.0280266,4.4506607,3.1692429,1.9858742,3.2351723,3.8184013,2.1921158,3.7321854,4.587593
1971-06-01,4.2241287,3.9840736,2.7381554,2.0213737,3.0221672,3.0897865,2.2107124,3.4515572,3.9046211
1971-07-01,3.3281517,3.0458336,2.655323,1.8404884,2.4355545,2.697586,1.860775,2.957924,3.1489563
1971-08-01,2.5352936,3.083023,2.6874428,1.7136993,2.415268,2.758442,1.4973106,2.7719688,2.6620827
1971-09-01,2.8362083,3.6983757,3.2470055,1.7491989,2.5657234,3.1895294,1.4043312,3.3196983,3.155716
1971-10-01,2.9274979,4.151436,3.6949959,1.9858742,2.912281,3.5732765,1.3553085,3.7034454,3.5867996
1971-11-01,2.7973251,4.9375305,4.3018913,2.1058998,3.8539047,4.3407745,1.6545296,3.9570274,4.374584
1971-12-01,3.2926483,5.297611,4.9104805,2.4524574,4.5994263,4.917244,1.8100586,4.675499,4.748192
1972-01-01,3.5422173,5.897274,5.377178,2.3963852,4.063938,5.82251,1.5626068,5.273159,4.939972
1972-02-01,3.6478615,6.3686104,6.248337,2.7604523,5.408058,6.1524467,1.8324051,6.1150627,5.183769
1972-03-01,3.4820824,5.5120773,5.7136154,2.3362503,4.618164,6.097183,1.6146164,5.5510864,4.48814
1972-04-01,2.8222122,5.0293655,5.6892357,2.5264091,3.76651,4.881462,1.8226547,4.8327026,4.1484528
1972-05-01,2.4175148,4.8018227,5.5462112,1.7121353,3.0318756,3.9485435,1.6958809,3.997303,3.6251106
1972-06-01,2.259861,4.718933,5.2942886,1.8015251,2.947361,3.9095345,2.063198,3.8493996,3.0822601
1972-07-01,2.5004044,3.966423,4.883087,2.0046883,3.0172462,3.5568466,1.5853615,4.1468277,2.7263184
1972-08-01,2.2354813,4.5417747,5.79813,2.059948,3.17165,4.091568,1.4309578,4.8993416,3.4934616
1972-09-01,2.2972412,4.45076,5.4194374,1.6487465,2.6109238,3.7388802,1.3496933,4.619789,3.3195534
1972-10-01,2.3199959,5.5429573,7.19751,1.7072601,3.0139961,4.5970345,1.1757889,6.261341,4.2004623
1972-11-01,3.2464142,6.490505,8.343346,2.783207,4.1712074,5.503952,1.7868996,7.2869034,4.8652115
1972-12-01,3.5227165,6.6091537,8.512375,3.2512894,4.9285965,5.663231,1.8860397,7.504692,5.3511734
1973-01-01,3.9720612,7.359993,9.051498,3.4251938,5.4730644,6.910019,1.9964485,8.535835,5.3498955
1973-02-01,4.2331734,8.264866,8.764107,4.2348175,7.8263893,9.215721,2.2362137,9.964581,5.8869057
1973-03-01,3.4974518,6.6259155,6.0166435,3.0836105,5.3433266,6.412422,2.339676,6.2416306,4.913059
1973-04-01,3.274109,5.223442,4.449951,2.0818443,4.272587,4.809601,2.3873024,4.592823,4.244671
1973-05-01,4.0262527,4.7504807,3.8209724,2.3019028,3.2363358,3.4793892,2.0424309,4.157631,4.152706
1973-06-01,4.210182,4.049244,3.3989182,1.8634262,2.8635483,3.1969223,2.2132225,3.1788597,3.1131706
1973-07-01,3.078682,3.6928787,2.9900017,1.9816666,2.9538727,3.0310593,1.9931641,2.9752197,3.3627892
1973-08-01,2.4529915,3.6173363,3.1969223,1.8305817,2.6714096,3.152584,1.4216652,3.26754,2.934166
1973-09-01,2.2723427,4.4088936,3.679741,2.1573868,3.057335,3.5401497,0.8862953,3.9539948,3.600914
1973-10-01,2.3741646,4.492649,4.0410347,1.927475,2.8931084,3.5532875,1.1309891,3.9030838,3.6961632
1973-11-01,3.5910606,4.949192,5.3515396,1.9438972,3.1016731,4.0180435,2.035862,5.0165215,4.3711243
1973-12-01,3.6846695,5.3071976,5.5289,2.3248978,4.029537,4.5090714,2.3922272,5.100277,4.665085
1974-01-01,4.681553,5.8333893,5.9936905,1.9118538,3.0967445,4.2287483,2.3877945,4.831936,4.4981194
1974-02-01,3.3694153,5.468174,5.331009,1.7581673,2.9347916,3.9692955,1.7383347,4.9542274,4.127945
1974-03-01,4.015568,6.0002975,6.557213,2.667076,3.6222572,4.704689,2.235756,5.954029,4.394005
1974-04-01,2.7976303,4.95092,6.1258926,1.7465973,3.580944,4.7113,1.8259201,5.5309715,3.708191
1974-05-01,2.64394,4.1775208,5.547497,1.5433311,2.7827568,3.599121,2.0952873,4.1857834,3.4933586
1974-06-01,2.4588547,3.7660332,4.5823975,1.8209648,2.8951302,3.154583,1.8093948,3.466919,3.0719528
1974-07-01,2.2853355,3.0901337,4.668331,2.1217308,3.0570831,3.3380165,1.6970215,3.6156502,2.7298737
1974-08-01,2.288639,3.3908997,5.0401573,1.9895248,3.0256844,3.5660706,1.8903694,4.127945,2.2803764
1974-09-01,2.2208824,3.947815,6.0482216,1.892025,3.0207253,3.8222198,0.94179916,4.627018,2.9066963
1974-10-01,2.5381775,4.3411255,6.7505646,2.258892,3.2900925,3.9031944,1.1698532,5.5194016,3.328102
1974-11-01,3.227295,5.474785,7.8743057,2.2258415,3.298355,4.235359,1.862278,5.8267784,4.481594
1974-12-01,3.6966248,6.0250893,8.224651,2.8984337,3.756115,5.012066,2.1613922,6.527466,4.7608757
1975-01-01,3.557434,5.8654785,6.884506,3.3648262,4.392082,4.6242065,2.0725212,5.6942673,4.5632935
1975-02-01,3.5310974,5.478607,6.711647,2.4083557,3.1722145,4.0513115,1.8733215,5.472023,4.0513115
1975-03-01,3.1623344,5.1806374,5.83255,2.8693047,3.4767685,4.0941124,2.0741653,5.1296043,3.916317
1975-04-01,3.0289917,4.288372,5.1987457,2.624012,4.1418533,3.9031487,2.207512,4.2406273,3.4207954
1975-05-01,3.3286057,3.5409737,3.297329,2.008316,2.9088135,3.140934,1.8568611,3.3878708,3.0471
1975-06-01,3.562374,3.4109192,2.9104614,1.9177704,2.8972893,2.9466782,2.054409,3.1063652,3.2199554
1975-07-01,2.9614944,3.201847,2.7441902,2.1284904,3.0833168,3.402687,1.8832016,3.0042953,3.0833168
1975-08-01,2.7260818,3.5442657,2.9269218,2.0247765,2.940094,3.145874,1.2395172,3.4257355,3.300621
1975-09-01,2.735958,4.3608055,3.5936546,2.0856895,3.1903229,3.5376816,1.3448792,3.8718681,4.0496635
1975-10-01,2.8495483,3.815895,3.1047173,2.0214844,3.1228256,3.298973,2.0445328,3.4158592,3.404335
1975-11-01,2.930214,3.9047928,3.4965248,2.2947617,3.1590424,3.4306755,2.0758133,4.169842,3.812603
1975-12-01,3.9459496,5.042351,4.3558655,2.5861473,3.608471,4.6291428,2.5120697,4.4118385,4.699932
1976-01-01,3.7651672,5.2690926,4.6229134,2.4121284,3.9111328,5.164131,1.9512749,4.5294304,4.6688347
1976-02-01,3.8652115,5.3970184,4.4671097,2.1218414,3.8061714,4.6376762,1.9873581,4.8164406,4.522873
1976-03-01,3.49292,5.0411263,4.932884,1.7889099,3.0763474,4.380188,2.0923195,4.7426376,4.3047447
1976-04-01,3.2403526,5.1313286,5.1067276,2.198925,4.5556717,5.1657715,2.238285,5.0312843,4.675396
1976-05-01,3.5355606,4.370346,4.7278786,1.7659492,3.2518349,4.088257,2.2481232,4.1112175,3.465042
1976-06-01,2.9730263,3.6421661,3.622486,1.6314659,2.7729416,3.2485542,2.489212,2.8992233,2.7581787
1976-07-01,2.0431175,3.0779877,3.5601616,1.8085899,2.7532578,3.0041885,1.8053131,2.843464,2.3924484
1976-08-01,1.8167915,3.202633,3.5601616,1.7872696,2.5367737,2.9877853,1.0836906,2.902504,2.5056114
1976-09-01,1.9709549,3.7750092,4.380188,1.6068649,2.5892563,3.465042,1.0935326,3.5798454,2.8172226
1976-10-01,2.326847,4.906643,5.7135468,2.1595612,2.9287453,3.8652115,1.4018593,4.3096657,3.7077675
1976-11-01,3.4092789,6.4499283,8.440945,2.9254646,4.611435,5.84639,1.7610321,6.9911423,5.477379
1976-12-01,4.842682,7.93581,9.816948,3.182953,4.8804016,6.5106087,2.3006058,8.370422,6.408928
1977-01-01,5.008877,10.537075,10.126076,2.9587479,6.63501,9.1042595,2.1042557,10.100082,7.7900352
1977-02-01,4.3200874,7.931366,7.2360764,2.702076,5.31266,6.509922,2.0603943,7.19709,6.0193214
1977-03-01,3.4298553,5.97546,5.9267235,2.4535255,3.9074593,4.859421,2.4908905,5.1534576,4.424053
1977-04-01,3.0042343,5.086853,5.423126,1.9190636,3.6719055,4.5442696,2.8856468,4.8236847,3.827858
1977-05-01,2.9993591,3.9188309,5.142086,1.8881989,2.612728,3.181305,1.9710464,4.15926,3.2349129
1977-06-01,2.9295082,3.405487,4.1966248,1.8037224,2.6013565,2.8612785,2.019783,3.6280441,2.978241
1977-07-01,2.6695862,3.236538,4.1738815,2.0246544,3.0107307,2.9944878,2.2017288,3.5988045,2.5753632
