,r1000_cluster1,r1000_cluster2,r1000_cluster3,r1000_cluster4,r1000_cluster5,r1000_cluster6,r1000_cluster7,r1000_cluster8,r1000_cluster9
1972-01-01,84.01715,34.257072,31.757366,76.282364,20.726479,82.673035,77.20066,77.04138,84.03015
1972-02-01,83.56857,35.172115,28.49052,79.388306,23.128668,80.786064,74.715576,80.94047,84.30646
1972-03-01,83.29715,44.18276,30.253967,72.50192,27.27805,82.235825,74.49129,78.63417,83.24838
1972-04-01,82.55276,23.655264,30.122318,76.16697,29.187773,76.93899,77.65574,81.57596,83.7571
1972-05-01,81.46544,29.611975,40.933792,70.27527,32.283962,75.89067,77.766266,81.28828,84.30971
1972-06-01,77.27867,33.46718,46.385036,74.6782,65.474144,77.89141,73.64613,77.25592,82.33984
1972-07-01,75.7704,29.057749,46.724724,73.81679,74.180855,72.287384,69.84132,72.67096,82.55113
1972-08-01,78.29611,30.20846,43.581398,70.48656,69.06767,76.058075,69.44799,74.17598,79.56221
1972-09-01,74.03133,21.048286,34.902313,78.07019,44.844254,80.085556,72.620575,79.15589,79.26316
1972-10-01,74.9285,23.512238,28.610792,77.322556,29.641232,73.19592,77.303055,79.10388,81.56296
1972-11-01,81.66698,30.203583,36.592625,79.443565,28.204468,76.51966,78.10595,79.55734,84.0399
1972-12-01,84.58438,32.147438,20.209637,76.28074,22.158365,78.19046,80.49838,76.84472,84.60063
1973-01-01,84.1789,69.58598,37.467117,82.727165,29.815939,82.613846,75.21393,79.48046,84.569756
1973-02-01,85.1002,49.123714,50.07457,81.602234,23.593504,81.79437,72.23327,78.85313,85.31204
1973-03-01,84.876854,35.590042,36.209167,80.817245,33.678482,76.363495,74.16618,80.3295,86.46654
1973-04-01,83.33479,32.717773,37.13703,71.540245,45.885223,74.53733,74.7344,83.5023,83.56963
1973-05-01,84.12799,39.75968,41.49881,70.94904,59.264526,73.21204,70.98024,73.798325,82.144165
1973-06-01,84.463005,49.701782,69.84053,71.78822,70.99174,80.21947,69.31666,73.34178,82.11789
1973-07-01,80.15378,39.469006,74.445366,73.48958,71.589516,74.11363,74.42894,74.686775,79.12902
1973-08-01,81.84364,40.738457,58.205284,72.21192,62.16636,72.184006,72.45169,79.19471,77.71834
1973-09-01,82.91766,24.077963,40.974937,73.37627,46.034668,68.915955,74.279495,75.0415,81.066864
1973-10-01,80.342636,20.44205,32.602814,79.74158,34.08247,74.42073,75.73945,79.987915,80.57255
1973-11-01,83.507225,36.28471,25.9107,76.70016,30.99178,70.21168,75.93323,73.46166,80.882935
1973-12-01,84.461365,49.370052,27.705664,78.34239,24.174856,77.99752,72.50095,80.651375,83.085175
1974-01-01,82.13395,79.508026,55.117825,79.12959,29.69477,82.79828,75.21962,76.383026,85.04907
1974-02-01,84.83424,70.84859,55.435116,75.7881,32.15544,86.58596,75.89221,80.95402,85.07882
1974-03-01,83.65266,51.877144,41.53705,77.06223,39.188755,83.246124,72.96222,78.50492,83.34363
1974-04-01,81.06474,60.83735,71.987206,77.84555,50.601364,72.940735,75.48403,77.68359,83.102356
1974-05-01,82.71731,49.87754,70.863464,70.761,59.526867,78.17441,72.20369,76.95151,80.162445
1974-06-01,78.50492,37.156097,62.149487,70.190865,61.969357,72.38217,77.04901,75.95006,77.171295
1974-07-01,80.76728,33.60309,51.888714,74.51728,74.657745,74.988266,71.80212,69.64387,82.08437
1974-08-01,80.27977,37.630386,55.24342,74.452835,62.31309,72.33755,71.76576,72.35077,80.532616
1974-09-01,81.666275,50.51378,55.788765,71.603806,45.921303,73.68439,75.16674,78.703224,76.35658
1974-10-01,82.37027,33.12384,54.433662,76.35658,34.961494,76.925064,70.48833,74.089264,80.08477
1974-11-01,83.58986,38.19226,36.455414,82.923874,27.11677,73.785194,75.09238,76.95481,81.021774
1974-12-01,84.250885,36.861946,31.28619,79.580734,21.443516,73.419975,74.784996,77.227486,82.28433
1975-01-01,84.08534,32.375023,23.093472,78.782776,20.261925,77.33079,79.14989,80.331894,84.82945
1975-02-01,81.88925,54.189465,43.429585,79.19928,42.24593,77.841125,75.042496,77.93825,84.90024
1975-03-01,83.89438,47.70654,38.60772,82.633354,54.69322,71.05693,71.64135,77.46742,81.62091
1975-04-01,83.93224,37.512962,38.836548,77.83948,60.333267,75.73228,75.04579,75.79484,82.501656
1975-05-01,82.429214,25.966175,43.264957,76.62619,49.38242,73.78147,75.84093,75.75203,81.55835
1975-06-01,79.05441,38.32621,52.30945,66.84418,62.743374,76.59656,72.50398,76.448395,83.76103
1975-07-01,81.15831,39.659676,53.759796,75.2384,66.19062,74.90421,68.8098,75.22029,85.01712
1975-08-01,79.61249,30.11637,56.439888,70.43301,48.79306,71.8175,71.61172,73.11639,80.91138
1975-09-01,82.90828,28.82571,60.03859,73.21681,40.99149,74.30169,72.81348,76.08293,81.48921
1975-10-01,83.010345,50.7735,65.494255,76.3809,55.33361,72.74763,73.54112,76.1175,75.76191
1975-11-01,83.87298,39.807835,40.647423,83.703415,39.15263,74.66222,74.77416,75.56436,83.52727
1975-12-01,84.806404,41.89363,34.123337,79.842964,26.135738,75.89032,75.74051,77.21719,83.14698
1976-01-01,82.73348,49.21746,43.952904,80.32425,30.381508,79.02697,73.82802,73.32288,84.29153
1976-02-01,82.56455,54.00148,55.04127,81.55264,33.358192,84.809784,73.96906,78.47427,84.18164
1976-03-01,83.97992,43.852863,31.531181,78.64812,32.976067,78.233185,76.45866,80.430855,84.321045
1976-04-01,80.66046,22.98981,37.832245,73.775536,33.23355,74.21015,76.899826,83.13201,82.049576
1976-05-01,77.4066,26.035381,45.309227,70.91202,39.905266,71.53031,72.601265,80.6703,81.16724
1976-06-01,78.35291,30.630795,54.0638,71.79764,47.295322,75.74852,70.91365,76.14705,84.11604
1976-07-01,77.63785,31.882153,45.973442,74.305275,46.732788,72.4471,69.8755,74.92685,83.61583
1976-08-01,80.42265,21.799137,41.586315,72.4225,45.023857,71.669716,73.44261,72.10105,81.682205
1976-09-01,78.48904,24.519976,40.615406,73.654175,36.88758,74.53324,71.15638,75.474625,85.80693
