,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6
1969-11-01,0.014697969,0.02167499,-0.097087026,0.1499604,-0.11358744,0.17170626
1969-12-01,0.044490337,0.04224956,-0.10228157,0.21336466,-0.1205135,0.27075952
1970-01-01,0.03131318,0.036207914,-0.053109825,0.22827026,-0.16681147,0.3527044
1970-02-01,0.037106037,0.024083316,0.0041002035,0.07559037,-0.17435569,0.23285067
1970-03-01,0.031447887,0.038363397,-0.05598384,0.100198746,-0.26151794,0.28152862
1970-04-01,0.022960663,0.024487495,-0.06267482,0.02354443,0.025026321,0.09229535
1970-05-01,0.028214633,-0.14709783,0.02040106,-0.1760621,-0.06438124,0.0041002035
1970-06-01,0.00926441,-0.024639547,-0.01547873,-0.32384723,-0.08714849,-0.036494672
1970-07-01,0.019996881,-0.073901296,-0.0047462583,-0.39897484,-0.07920015,-0.08764243
1970-08-01,0.0052677393,-0.032093883,-0.048080385,-0.2590481,-0.013233423,-0.06370765
1970-09-01,0.019457996,-0.0012435913,-0.052121937,-0.22640157,-0.079334855,-0.017634213
1970-10-01,0.025385618,-0.017005563,-0.04650867,-0.0903368,-0.09765649,0.08394283
1970-11-01,0.015865564,0.026867509,-0.09684819,0.0727613,-0.058408737,0.084032655
1970-12-01,0.017077982,0.04954493,-0.0092817545,0.34367833,-0.22720987,0.2835494
1971-01-01,0.024015903,0.044789076,-0.060948133,0.016670465,-0.1206007,0.3183489
1971-02-01,0.027758837,0.051760256,-0.02071184,0.19511363,-0.20177507,0.3150271
1971-03-01,0.023360908,0.04591191,-0.060994923,0.044929445,-0.10960591,0.16250354
1971-04-01,0.027805626,0.057702124,-0.08485597,-0.10764092,-0.12551332,0.0008099079
1971-05-01,0.02743131,-0.01210314,-0.021413624,-0.1861952,-0.03750813,-0.025998712
1971-06-01,0.022799492,-0.01645428,-0.0024183989,-0.28645837,-0.030958056,-0.08920705
1971-07-01,0.01746583,-0.00938952,-0.0057402253,-0.21740168,-0.030770898,-0.06703037
1971-08-01,0.017231882,-0.028899431,-0.05996561,-0.24350852,-0.039566755,-0.11348921
1971-09-01,0.020787656,-0.039753914,-0.076153696,-0.19667536,-0.08686775,-0.036338508
1971-10-01,0.017746568,-0.0037283897,-0.036759555,-0.16373777,-0.118495345,0.02738452
1971-11-01,0.006049931,0.033700705,-0.060714185,0.113565,-0.07390791,0.21672893
1971-12-01,0.036086798,0.048906267,-0.10216689,0.40434223,-0.08527702,0.2646382
1972-01-01,0.034314334,0.05676508,0.009962678,0.35828325,-0.27018362,0.4248135
1972-02-01,0.026710868,0.02789247,0.0022565126,0.16896743,-0.3208391,0.451888
1972-03-01,0.019621134,0.059282422,-0.0013911128,0.11959636,-0.14724392,0.21576983
1972-04-01,0.016281784,0.057227433,-0.032010436,-0.08451539,-0.11164123,0.051113844
1972-05-01,0.02655673,-0.036685526,0.0054417253,-0.062424302,-0.030315101,-0.015056789
1972-06-01,0.011760831,-0.032061815,-0.0036002398,-0.21356869,-0.057081282,-0.07917243
1972-07-01,0.032464802,-0.01962912,-0.031548083,-0.50568527,-0.088368535,-0.09191334
1972-08-01,0.020443141,-0.007145107,-0.0051928163,-0.16229671,-0.036582768,-0.06196189
1972-09-01,0.02455312,-0.08816302,-0.052149355,-0.28015035,-0.061550915,-0.06324625
1972-10-01,-0.015416443,-0.029441714,-0.054255724,-0.06817824,-0.080354035,0.12165135
