,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6
1972-04-01,29.852264,12.6006775,27.04306,23.44046,28.677704,28.968475
1972-05-01,29.714996,18.230988,28.193726,26.517944,29.752289,30.082275
1972-06-01,29.15451,22.8154,29.112427,29.752289,30.040192,28.73462
1972-07-01,28.487366,24.546173,28.799164,32.011047,29.0531,25.996185
1972-08-01,28.580597,26.01532,26.905823,33.244904,28.535645,25.273102
1972-09-01,28.692047,22.674347,27.341492,33.14496,28.884308,26.632263
1972-10-01,28.90152,19.801056,28.264984,31.591125,29.56961,28.444305
1972-11-01,28.927338,16.653748,27.259216,28.019165,29.054077,28.284576
1972-12-01,28.850342,12.589661,26.138702,23.747986,27.151154,27.299896
1973-01-01,28.588806,9.553589,24.484467,20.254913,26.421844,25.803406
1973-02-01,28.692688,9.24823,24.086914,19.960266,26.729584,25.992218
1973-03-01,29.69461,9.801147,25.122345,21.378204,27.864532,27.053864
1973-04-01,30.23877,12.259369,26.964539,23.936432,29.031982,29.114044
1973-05-01,29.516937,18.36853,28.849945,27.655304,29.802856,30.114502
1973-06-01,28.702393,23.07721,29.245087,29.085876,30.152374,27.632996
1973-07-01,28.336853,26.411163,28.358704,32.132935,29.218872,25.377197
1973-08-01,28.111603,26.929108,27.64804,33.998444,29.125214,24.68689
1973-09-01,28.213074,24.461182,27.304352,33.289215,29.622284,25.427185
1973-10-01,28.248993,22.114594,27.915009,32.17224,29.814514,27.402405
1973-11-01,28.151917,18.081635,26.836395,27.833466,28.855286,27.361145
1973-12-01,27.817932,15.096222,25.474274,23.913605,27.371826,25.701935
1974-01-01,27.513397,11.732269,24.025879,21.618652,26.268158,25.322021
1974-02-01,27.957336,10.8967285,23.836456,20.216309,26.157532,25.364594
1974-03-01,28.816864,10.703888,24.780151,21.548676,27.430176,26.52121
1974-04-01,29.459045,12.942261,26.519257,24.335724,28.61911,28.899078
1974-05-01,29.373383,18.22464,28.09195,26.974976,29.733643,29.348907
1974-06-01,28.963684,21.962769,29.044952,29.678802,29.671967,27.61911
1974-07-01,28.74881,25.42627,28.04544,31.684174,28.957825,25.944122
1974-08-01,28.116913,26.534912,27.75763,34.009674,28.781128,25.171753
1974-09-01,28.039093,24.720947,27.4747,33.82025,29.456116,25.478638
1974-10-01,28.177124,21.908417,27.810486,31.556915,29.58435,27.345978
1974-11-01,28.3685,18.157593,27.32837,28.782593,28.41745,27.265228
1974-12-01,27.822723,14.918732,25.500671,24.809052,26.953918,26.240753
1975-01-01,27.708893,12.110352,24.154968,21.42752,25.797546,25.664124
1975-02-01,28.139801,10.703491,23.755157,19.932953,26.476929,25.713165
1975-03-01,29.075195,10.626648,24.094604,21.246948,27.697083,26.17566
1975-04-01,29.40805,13.980194,25.97342,23.543945,28.588654,28.103516
1975-05-01,29.123291,19.372375,28.408539,27.904541,29.671143,29.381195
1975-06-01,28.747528,25.33081,28.040802,28.462769,29.268982,28.103973
1975-07-01,28.60608,28.428345,28.395813,32.040253,29.027588,26.098816
1975-08-01,27.89087,28.434937,27.403381,33.006775,28.865387,24.891846
1975-09-01,28.001678,25.513245,27.566956,33.480133,29.063873,25.462341
1975-10-01,28.045502,21.558105,27.55423,30.531555,29.171387,26.710297
1975-11-01,27.947906,18.160248,26.931427,27.882843,28.429749,26.838562
1975-12-01,28.10257,14.644501,25.56369,23.853699,27.111542,25.888062
1976-01-01,27.631073,12.711395,23.868317,20.45169,25.742493,25.230804
1976-02-01,28.094025,9.942688,23.661469,19.971344,26.247711,25.864807
1976-03-01,29.067627,9.988922,25.033417,20.288574,27.594269,26.98761
1976-04-01,29.696167,12.963013,26.843903,23.320343,28.731506,28.655426
1976-05-01,29.190948,17.727234,28.442078,27.14325,29.519135,29.643463
1976-06-01,29.010956,22.469055,29.119354,29.487823,29.68573,27.951813
1976-07-01,28.696686,25.372528,28.890106,31.08252,28.970184,26.240753
1976-08-01,28.496307,27.44461,27.973663,32.982544,28.336182,25.028442
1976-09-01,28.423187,26.192505,27.553986,32.804016,29.103455,25.160217
1976-10-01,28.437622,21.980255,28.11142,31.45694,29.1651,27.109436
1976-11-01,28.600708,18.075287,27.28299,27.207916,28.725525,27.173584
1976-12-01,28.3143,13.642273,25.585846,23.656006,27.20691,26.19101
1977-01-01,28.19284,10.531982,24.825897,20.143341,25.93039,26.332764
1977-02-01,28.188477,9.304871,24.379242,19.228607,26.183868,25.775665
1977-03-01,29.079346,10.1310425,25.4234,21.964508,28.08435,27.067932
1977-04-01,30.066559,14.090118,26.821747,24.103882,29.336243,28.979126
1977-05-01,29.277374,18.917206,28.264862,27.128265,29.811615,30.325409
1977-06-01,28.608368,24.36612,28.933868,29.522614,30.014008,28.200165
1977-07-01,28.739258,25.709015,28.455109,30.579895,29.346466,25.815552
1977-08-01,28.519318,26.01944,27.090332,32.66281,28.856018,25.492004
1977-09-01,28.548523,23.543854,27.190063,32.49301,28.98108,25.507568
1977-10-01,28.689636,19.497192,28.548035,31.057678,29.319702,27.848877
1977-11-01,28.395264,17.055176,27.988007,27.81723,28.67746,27.919403
1977-12-01,28.456573,13.632294,26.101166,24.235718,26.848022,27.161377
1978-01-01,28.155243,11.449341,24.778381,21.561523,26.126343,26.339935
1978-02-01,28.555908,11.199493,23.905548,20.950623,26.4859,25.680237
1978-03-01,29.2388,12.183502,24.708801,21.329529,27.819824,26.934418
1978-04-01,29.97876,15.267944,27.06781,24.03363,28.717316,29.154724
1978-05-01,29.342712,19.548065,28.684937,26.868195,29.805725,29.37799
1978-06-01,28.775787,24.32071,29.218994,29.52008,29.895142,27.40274
1978-07-01,27.943542,27.81839,27.896667,31.968018,29.27069,25.361267
1978-08-01,27.569489,26.448212,26.816498,32.588593,28.60617,25.208038
1978-09-01,27.913116,24.279144,27.44815,32.464874,28.78595,25.832
1978-10-01,28.096771,21.39914,27.910217,30.813416,29.075928,27.14029
1978-11-01,28.324402,17.534637,26.446747,26.948425,28.231598,27.420135
1978-12-01,28.056152,14.434235,25.107056,23.624756,26.958588,26.4888
1979-01-01,27.960815,11.538666,24.427185,21.403168,25.89325,26.378723
1979-02-01,28.477234,12.224304,24.18637,20.562317,26.081818,25.736084
1979-03-01,29.412872,11.726257,25.121521,21.986786,27.36319,26.904785
1979-04-01,29.908966,15.066986,26.785858,24.447968,28.980103,28.989777
1979-05-01,29.346619,19.31189,28.619385,27.02472,29.984406,30.084015
1979-06-01,29.1474,24.56546,29.618866,30.012451,30.128021,29.140656
1979-07-01,28.683228,25.942078,28.019318,31.35617,29.477173,25.877777
1979-08-01,28.305084,26.295532,26.81726,32.964417,28.767365,24.74582
1979-09-01,28.084595,24.125458,27.500519,33.128326,29.504242,25.969147
1979-10-01,28.310425,20.84082,27.879578,31.811676,29.42688,27.417816
1979-11-01,28.42694,17.499146,27.2128,28.358765,28.908539,27.393646
1979-12-01,28.219025,14.514313,25.444519,24.344025,27.452637,26.300385
1980-01-01,28.178131,11.930023,24.138885,20.440582,26.459381,26.078339
1980-02-01,28.29889,10.975372,23.694458,19.232574,27.058716,26.525208
1980-03-01,28.906128,11.0224,24.964844,20.306458,28.09253,27.194305
1980-04-01,29.641998,13.430511,27.071075,24.037903,28.764069,29.024872
1980-05-01,29.862244,17.785522,29.3154,27.353668,29.923096,30.73471
1980-06-01,29.31836,23.299042,29.916168,29.754852,30.117096,28.343933
1980-07-01,28.760132,27.319519,27.804993,32.85977,29.263916,26.300049
1980-08-01,28.406769,27.686218,26.816193,33.730255,28.707672,25.102417
1980-09-01,28.337494,23.778107,27.053253,33.79361,29.19809,25.779907
1980-10-01,28.45578,20.47522,28.212769,31.913544,29.261444,27.566956
1980-11-01,28.567596,18.373444,28.058868,28.456268,28.445862,27.926239
1980-12-01,28.114777,15.102234,25.737854,23.67566,27.113129,26.687042
1981-01-01,27.909576,12.367462,24.346619,21.118439,26.09375,26.155273
1981-02-01,28.168457,10.835144,24.089264,20.765228,26.527954,26.243439
1981-03-01,28.776978,11.014038,25.188904,21.735687,27.957245,27.619415
1981-04-01,29.570557,14.980957,27.239532,24.694702,29.400879,29.350128
1981-05-01,29.503906,19.691223,28.529358,26.926819,30.085785,30.27649
1981-06-01,28.4581,25.256073,29.159424,29.284485,29.86737,28.035156
1981-07-01,28.32019,28.12384,27.63733,31.321777,29.209656,25.686188
1981-08-01,28.355072,28.352997,26.654602,33.538483,28.9487,25.302216
1981-09-01,28.13974,26.641785,27.628113,33.325226,29.205048,26.114258
1981-10-01,28.424774,23.634033,28.49347,31.751892,30.048859,27.628113
1981-11-01,28.064392,19.627136,26.917053,28.339172,29.01178,27.417938
1981-12-01,28.202301,16.207214,25.560577,24.777771,27.189789,26.21524
1982-01-01,27.529755,14.165436,24.308838,22.092316,25.759338,25.816925
1982-02-01,27.889252,11.973419,24.087555,19.960388,26.613007,26.684113
1982-03-01,29.147491,11.420654,24.881622,19.970398,28.331879,27.498718
1982-04-01,30.234985,14.4328,26.898895,23.084167,28.579712,28.88211
1982-05-01,30.28656,19.914307,28.778473,27.535767,29.454407,30.135345
1982-06-01,28.913666,25.508484,29.685211,30.328613,29.591583,28.809021
1982-07-01,28.440521,26.984528,28.89563,31.97638,29.359283,26.786255
1982-08-01,28.66684,27.277405,27.699005,32.252747,29.039825,25.522522
1982-09-01,28.541656,26.301575,27.932312,33.547516,29.206573,26.42926
1982-10-01,29.181519,21.979645,28.662811,32.04297,30.228455,27.951843
1982-11-01,29.174011,17.585114,27.276917,26.596985,28.907654,27.761078
1982-12-01,28.565674,13.588135,25.42987,21.570587,27.2659,26.90741
1983-01-01,28.12564,11.336456,24.04483,19.594543,26.077759,25.909912
1983-02-01,28.511017,10.231964,23.597229,17.847137,26.927094,25.764252
1983-03-01,29.382538,10.484222,24.404144,18.612091,27.824188,27.175507
1983-04-01,29.832062,14.116486,25.219727,21.891785,29.387848,28.289154
1983-05-01,29.584625,19.545837,28.020508,27.260864,30.664032,29.924652
1983-06-01,29.282715,24.43985,29.308746,30.051025,30.780762,28.933014
1983-07-01,29.20456,28.006042,29.005371,32.17993,29.942993,27.18515
1983-08-01,28.934967,27.579193,27.625977,33.09488,29.313568,26.693665
1983-09-01,28.741058,24.997864,28.538025,32.57013,29.452972,25.97165
1983-10-01,28.802795,21.746124,28.216797,30.32016,29.482391,27.366974
1983-11-01,28.275635,18.97815,26.824371,27.907654,28.749268,27.642853
1983-12-01,28.200409,14.97403,25.682251,24.303345,26.718262,26.280823
1984-01-01,27.739227,11.979645,23.914764,20.789185,26.105408,25.600555
1984-02-01,28.153473,9.904327,23.155518,19.757233,26.365234,24.90268
1984-03-01,29.096344,9.810303,24.508698,21.53012,27.47342,26.190521
1984-04-01,29.561127,12.955658,27.487793,24.329529,28.804352,28.581604
1984-05-01,29.186432,17.055817,29.004303,26.78247,29.229492,30.002106
1984-06-01,28.617249,23.106506,28.456879,28.98352,30.153076,27.173004
1984-07-01,28.108948,27.067566,27.164581,32.099182,28.854828,25.29715
1984-08-01,27.953033,27.083893,26.858215,32.234314,28.37967,24.61612
1984-09-01,27.863953,25.877716,26.130646,31.988342,29.353241,25.280334
1984-10-01,27.746155,23.5,26.528076,30.337677,29.357208,27.149231
1984-11-01,28.524689,19.149933,26.742401,28.071808,28.549438,27.315033
1984-12-01,27.974304,14.330627,26.006409,24.06424,27.121521,26.643402
1985-01-01,27.993713,11.906677,23.945099,21.841644,25.972443,25.817139
1985-02-01,28.296722,10.619995,24.415527,20.585724,26.286041,25.699677
1985-03-01,29.293,9.688263,25.789917,20.629578,27.238953,26.98233
1985-04-01,29.938873,12.958405,26.930908,23.934021,28.619415,29.40091
1985-05-01,29.389313,19.47348,28.400085,27.75827,29.90509,29.568787
1985-06-01,28.352692,25.338684,28.53421,30.090637,29.6893,26.65915
1985-07-01,28.445465,25.410767,27.396759,31.178162,28.724792,25.471283
1985-08-01,27.892883,27.755249,26.85376,33.84024,28.111694,25.19751
1985-09-01,28.14447,25.135986,26.982819,33.79892,28.522614,26.057648
1985-10-01,28.120758,21.576965,27.519287,31.175629,28.70816,27.257599
1985-11-01,27.73053,18.445953,27.311554,28.195404,27.496094,27.50113
1985-12-01,28.020935,14.50473,25.508575,23.974365,26.988861,26.302185
1986-01-01,27.792145,12.252869,23.691467,20.737518,26.035309,25.481354
1986-02-01,28.184021,10.138275,23.550354,19.765991,26.460754,25.43518
1986-03-01,28.93576,9.831909,24.433746,20.61319,28.00882,27.065613
1986-04-01,29.648651,12.9201355,26.762909,23.74234,28.909515,29.114624
1986-05-01,29.37326,18.59143,28.00409,27.558197,29.72525,30.70047
1986-06-01,28.600006,24.450012,29.438293,30.698883,29.91568,28.263245
1986-07-01,28.161987,26.854187,27.70874,32.163544,28.2753,25.208557
1986-08-01,27.667297,28.36972,26.41565,34.44864,28.13733,24.810944
1986-09-01,27.77591,27.730255,26.290802,33.20169,28.978241,25.662872
1986-10-01,28.519226,22.045837,26.43924,31.996185,29.115173,27.793732
1986-11-01,28.267426,17.782013,26.621796,28.000946,28.45996,27.530914
1986-12-01,28.125275,12.42807,25.040192,23.413452,27.292236,26.618134
1987-01-01,28.006287,10.388092,23.389526,20.600098,26.410736,25.743958
1987-02-01,28.267273,9.268951,23.624908,20.58783,26.247498,25.67743
1987-03-01,28.897217,9.711609,25.296722,21.833862,27.519653,26.650238
1987-04-01,29.393066,10.869629,26.717255,23.158722,28.54718,28.634186
1987-05-01,30.878113,17.153625,28.290314,27.568787,29.877167,30.662659
1987-06-01,29.784546,23.262604,29.674011,30.008179,30.311615,28.18283
1987-07-01,29.284576,27.015076,28.827606,31.831451,29.558868,26.412262
1987-08-01,29.032806,27.635284,27.789337,34.23758,28.963226,26.428131
1987-09-01,29.010803,24.343872,27.572357,32.80374,29.251343,26.83905
1987-10-01,28.800507,20.46756,28.312317,31.601685,30.016357,28.239136
1987-11-01,28.7836,16.851715,27.620453,28.075378,28.763641,28.198212
1987-12-01,29.027191,13.991669,25.310028,24.219543,27.611237,27.004333
1988-01-01,28.367676,11.142853,24.99466,21.103119,26.955353,26.823822
1988-02-01,28.900848,9.024841,24.935455,19.862762,27.153137,26.965454
1988-03-01,29.870087,10.248993,25.345703,20.94629,28.064178,27.894196
1988-04-01,30.358215,14.034821,27.196136,23.430542,29.607025,29.54834
1988-05-01,29.563538,18.369995,28.691437,27.218903,29.654083,29.67685
1988-06-01,29.081451,25.616333,29.09967,29.14975,29.702118,27.967041
1988-07-01,28.552826,28.128937,28.995972,32.306763,29.463867,26.508667
1988-08-01,28.447601,27.583618,28.0318,34.647858,29.454254,25.71347
1988-09-01,28.25943,25.011353,28.823975,34.462738,29.608032,25.9664
1988-10-01,28.740509,22.075378,28.349976,32.15451,29.462341,27.304901
1988-11-01,28.655518,17.987549,27.44754,29.126984,28.512878,27.27655
1988-12-01,28.249817,14.532074,26.068085,24.311249,26.9422,26.287628
1989-01-01,27.658875,11.376831,24.541046,20.250732,25.667877,25.381897
1989-02-01,28.068848,10.198456,24.433105,18.964417,25.9086,25.612915
1989-03-01,28.651459,10.74411,24.72052,20.629578,27.4021,26.957123
1989-04-01,29.843414,14.277252,26.432373,22.891449,28.602325,28.325134
1989-05-01,28.932068,19.587402,28.006592,26.707611,29.061432,29.86969
1989-06-01,28.357727,23.481354,29.268585,28.88684,29.112488,27.386047
1989-07-01,28.264832,27.582031,28.444275,32.628113,28.871277,25.426178
1989-08-01,27.91272,27.795532,27.45169,34.512115,28.075653,25.059967
1989-09-01,28.222015,26.020935,27.825684,33.583252,28.754059,26.068604
1989-10-01,28.382996,22.232971,28.521118,31.530487,29.021057,27.899597
1989-11-01,28.404877,19.133179,27.79358,28.752106,28.164642,28.094116
1989-12-01,28.24002,15.1822815,26.432373,24.16806,26.822388,27.000885
