,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7,r400_cluster8,r400_cluster9,r400_cluster10,r400_cluster11
1972-11-01,52.84884,26.707571,47.311455,37.445904,61.017582,32.784554,11.181114,50.93099,15.78883,42.139763,64.11702
1972-12-01,46.906757,16.796513,33.3209,45.3611,64.14628,24.173733,6.625408,22.08035,14.680374,20.666344,64.16903
1973-01-01,43.078644,4.435169,39.82373,39.50021,46.200535,9.764229,4.1839066,6.215355,8.594955,12.173389,53.77289
1973-02-01,52.601974,11.702068,30.627203,32.046097,59.914852,10.940071,6.433773,12.91404,14.198269,9.678833,42.316643
1973-03-01,48.997265,9.46534,33.059357,70.86693,40.740097,6.773716,5.592945,28.873295,14.779617,22.85614,62.905365
1973-04-01,52.39505,9.644344,45.27924,59.320362,46.89356,43.728966,7.8477364,33.102055,24.764418,20.931438,59.78512
1973-05-01,51.217567,24.271748,58.64212,49.34706,40.165314,61.878967,21.274666,59.882008,36.711693,31.878588,69.89801
1973-06-01,54.98486,35.320717,62.12366,60.420662,34.17279,59.188984,28.117867,60.77046,25.362192,59.432037,69.865166
1973-07-01,60.024883,77.86778,50.299557,53.9289,27.25405,53.29664,37.992638,59.143,44.812843,69.48745,64.17646
1973-08-01,55.85196,74.02824,44.83748,47.956085,19.10363,58.63555,54.464268,69.17214,43.124626,69.044044,75.81171
1973-09-01,56.44152,56.14428,41.993126,42.49893,16.407074,61.9463,42.420105,67.33448,38.76777,73.52571,82.85033
1973-10-01,49.688644,45.02305,34.811623,35.688576,26.25557,60.343475,34.97749,42.948906,17.464676,65.65611,62.68695
1973-11-01,40.193233,28.805964,54.329605,48.448757,41.07183,28.093233,11.294792,38.68566,17.242973,59.03954,75.834694
1973-12-01,40.29669,41.661392,28.674583,58.50253,20.26633,25.460728,11.344059,13.030636,16.106548,58.653614,75.11868
1974-01-01,47.491238,28.797428,15.107582,43.723392,9.315342,23.631512,12.955944,8.308933,24.228086,39.922493,67.738464
1974-02-01,48.823204,13.486416,26.578033,61.404182,13.75909,16.67752,4.5460434,7.441334,18.222668,42.379856,68.199524
1974-03-01,57.854473,17.247654,25.184921,65.37199,18.049149,43.539955,24.094229,31.15068,19.842182,32.21328,46.256775
1974-04-01,58.667534,23.086164,39.70105,62.992294,35.174675,59.43102,22.939087,44.34145,21.901276,34.545048,53.952766
1974-05-01,53.081863,25.692259,35.174675,64.230064,26.179766,57.72392,35.824135,53.6206,23.570366,53.090126,67.42282
1974-06-01,46.668262,43.766357,47.67963,62.308132,24.472666,57.776802,36.243885,59.26411,33.80635,52.56296,62.465126
1974-07-01,51.288834,50.41793,34.23767,64.24164,40.960304,54.919518,43.59449,46.028717,39.09456,62.23542,70.688286
1974-08-01,51.316925,74.3041,43.164825,60.331665,27.617496,57.79663,57.500824,64.52918,47.218567,70.20078,69.73807
1974-09-01,43.467243,51.816,35.98774,41.034668,18.021053,48.54888,45.162773,52.83233,44.07704,44.95951,78.02072
1974-10-01,39.34244,58.83775,28.02568,58.96334,22.30946,61.3199,42.20964,47.38878,25.178312,79.43036,79.50638
1974-11-01,40.37199,40.942123,45.256973,66.52217,34.799545,54.93274,18.931618,25.78976,18.151608,49.667667,75.951706
1974-12-01,45.329685,27.533216,34.467377,61.200916,47.347466,30.762327,7.9965973,22.919256,12.607254,45.866768,58.56838
1975-01-01,45.11534,16.60231,26.040257,56.10076,26.443588,11.826546,7.0458374,24.943855,13.699974,29.205994,55.116302
1975-02-01,45.32606,6.242466,38.461205,57.463856,10.634659,3.564022,6.7379875,13.36414,17.646034,11.431446,62.047012
1975-03-01,50.421204,8.85342,45.126865,70.32106,18.189297,9.653496,7.8640213,25.271458,28.87016,30.412693,66.477066
1975-04-01,57.23832,17.697067,40.558525,45.535133,42.98345,32.783295,11.875931,32.365143,17.706944,33.28869,51.0369
1975-05-01,55.23319,21.221687,62.746666,58.996513,28.223183,47.364117,27.321037,55.384644,26.537424,52.536633,70.34411
1975-06-01,52.18269,35.986893,35.540756,70.77707,27.902164,62.15731,31.27862,63.938553,43.78682,72.73117,73.31723
1975-07-01,51.476448,54.839733,37.573875,58.825302,30.420925,59.230278,55.659565,51.36615,38.066105,72.44472,73.745255
1975-08-01,47.281807,75.80801,44.094666,47.232418,24.153656,56.318066,35.542404,66.402985,47.856346,69.409035,62.32852
