,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8,zgu250_cluster9,zgu250_cluster10,zgu250_cluster11
1972-04-01,0.5362482,-0.049923707,-0.109889224,0.25076562,0.25965995,-0.21920471,0.47284013,-0.60252607,-0.9419489,0.028117752,-0.6447029
1972-05-01,0.36381093,-0.1230875,0.20744094,0.13198166,-0.111036874,0.11304474,0.8550129,-0.70839846,-0.29064673,0.0060253143,-0.6481453
1972-06-01,0.030413056,-0.2923687,0.30298463,0.4470169,0.18133163,-0.122226715,0.5913364,-0.70639,-0.49866217,0.19424286,-0.52993584
1972-07-01,0.43267098,-0.24101028,0.06943397,-0.2163353,-0.06168709,-0.23268966,-0.23584576,-0.09210034,-0.49521884,0.5351006,0.8142708
1972-08-01,0.45045966,-0.19797286,0.009754944,0.21518783,0.3316761,-0.48288155,0.359507,0.021805573,0.23326378,0.3032711,-0.40656167
1972-09-01,0.17731476,-0.36295015,0.122513965,0.026683044,0.0051643373,0.36983603,-0.57985955,-0.119931415,-0.42004663,0.2585121,-0.33253708
1972-10-01,-0.014919663,-0.32966787,0.48747215,0.06943397,-0.055088043,0.2722847,-0.12280121,0.041316222,-0.54543,-0.0645565,-0.17817536
1972-11-01,-0.08607483,-0.6062557,0.19510345,0.09238739,-0.31589586,0.38762513,0.52850115,-0.5135819,-0.714711,0.14116326,-0.04934921
1972-12-01,0.24617462,-0.62232363,0.40570068,-0.23871498,-0.0791893,0.59592664,0.92301255,-0.5942055,-0.65904844,-0.19912033,0.031848144
1973-01-01,0.19017677,-0.28701782,0.20801583,0.23031464,-0.52211,0.63647157,0.7645302,-0.17679748,-0.2239441,-0.006371307,0.11276779
1973-02-01,0.14334908,-0.11977615,0.47496414,-0.102256015,-0.39468917,-0.12200622,0.9645813,-0.4536209,-0.21948394,0.015608978,-0.27586824
1973-03-01,0.02962532,0.22330666,0.16819687,0.27809793,-1.0681121,-0.06944428,1.1767387,-0.30644837,-0.43100357,0.09301834,-0.09652176
1973-04-01,0.14557914,-0.40105972,0.20706025,0.6291443,-0.09938888,0.19718476,0.7482834,-0.4918476,-0.28701705,0.14908333,-0.45553285
1973-05-01,0.37302685,-0.24783516,-0.10098152,0.6584511,-0.31282005,-0.14972076,0.36665648,-1.2455467,-0.58805084,0.14812736,-0.92317045
1973-06-01,0.28223914,-0.3478611,0.34435692,0.4182617,-0.45871773,0.9384605,0.38768044,-0.48738784,-0.48452073,0.31377563,-0.13411102
1973-07-01,0.26408118,0.34340134,-0.059888076,0.11659088,0.06562195,0.24656066,-0.93814164,0.4042452,-1.0251071,0.46445197,0.7814131
1973-08-01,0.24050827,-0.22649193,-0.11404228,0.46986693,0.42144737,-0.22043952,-0.28096467,-0.0035037994,-0.23572998,0.56129265,0.36442605
1973-09-01,0.20196342,-0.15672874,0.008919525,0.30135232,-0.0015930176,-0.4561699,0.28032762,-0.55014306,-0.1525875,0.33639297,-0.7450981
1973-10-01,0.38449478,-0.5689381,0.39373285,0.17074509,-0.011149597,-0.25993958,0.6498505,-0.8413013,-0.6883957,-0.020706177,-1.0884998
1973-11-01,0.2140686,-0.1866726,0.57626456,0.06402969,-0.9046936,0.41921693,0.81677246,-0.8330185,-0.95821077,0.12455444,-0.19973373
1973-12-01,0.06785202,-0.3242882,0.58199847,0.042049408,-0.3332077,1.3990898,0.4141205,-1.1716423,-0.60143125,0.039182283,0.27809754
1974-01-01,-0.11307792,0.12063827,0.13411598,-0.08415146,-0.39774552,-0.09992981,0.8398682,-0.20709077,-0.3487671,0.401033,0.01775055
1974-02-01,0.33003044,0.020380402,0.5289032,0.044705965,-0.8595909,-0.031227876,0.94341433,-0.9144867,-0.48945695,0.23042908,-0.18835373
1974-03-01,0.18079376,-0.12293968,0.46020165,-0.23207322,-0.2744774,0.16041413,1.129467,-0.10518799,-0.20544663,-0.030899048,0.27677917
1974-04-01,0.84775734,-0.5473114,0.45625725,0.1952568,-0.19690076,0.12754135,0.74848557,-0.55881613,-0.52857435,0.06541443,-0.4302887
1974-05-01,0.12458305,-0.07494736,0.4434372,0.23075828,-0.566048,0.00361557,-0.017093277,-0.43982124,-0.20413208,0.077905275,-0.37769395
