,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9,zgv50_cluster10,zgv50_cluster11
1974-02-01,-0.061039783,0.0046306076,0.16080827,-0.030870724,0.018382097,0.16445664,-0.050655983,0.12979719,0.08587668,-0.0827896,0.07535257
1974-03-01,-0.07030103,-0.020767558,0.052059222,-0.050936602,0.026801372,0.17961136,-0.0697397,0.16796467,0.12614891,-0.043780267,-0.010383797
1974-04-01,0.004349947,-0.013891816,0.036202908,-0.07044132,0.020346593,0.27980074,-0.0063144444,-0.08924439,0.1511261,-0.017259527,0.042096425
1974-05-01,-0.06356557,-0.00561285,-0.060057543,-0.041254472,-0.016417598,0.10594261,-0.00112257,0.042377047,-0.040833473,-0.0112257125,0.08868309
1974-06-01,0.06959938,-0.0050515654,-0.021048212,0.040973853,0.01094507,0.089244366,0.02189014,-0.028204596,-0.05388341,0.013891811,0.06188171
1974-07-01,0.02750299,-0.005472541,-0.018803049,0.102013625,0.014733744,-0.022872388,0.0360626,-0.020907879,0.036202896,0.009401524,-0.061460756
1974-08-01,0.03985126,0.0036483526,-0.083210565,0.034378745,-0.011366034,0.017540168,0.04644637,-0.031431984,-0.05135762,0.0023854612,-0.058233358
1974-09-01,0.027643299,0.008419287,-0.039289974,-0.05977688,-0.020767564,0.057531714,-0.01782081,-0.028064262,0.13793588,-0.0043499647,-0.12797303
1974-10-01,0.06637199,0.012909567,0.017680502,-0.08784117,-0.010524106,0.1832597,-0.045885086,-0.01866274,0.11941347,0.01894338,-0.006174183
1974-11-01,-0.16333404,-0.040552866,0.0046305894,-0.10762646,-0.023433661,0.006454778,-0.112678036,0.10103138,0.07352839,-0.022872377,-0.013190198
1974-12-01,0.077317074,0.017540157,0.13344562,-0.033396482,-0.016978884,0.027081966,-0.20964012,0.0075773476,0.2957974,-0.018522417,-0.040693186
1975-01-01,-0.080399275,-0.012616897,0.0315423,-0.21032667,-0.058789443,-0.014227581,-0.04214587,0.025636483,0.049393892,-0.01905961,0.06107118
1975-02-01,-0.17261013,0.022817826,0.0704668,-0.12536374,-0.03140807,0.18213992,-0.052480984,0.2185142,-0.031810712,-0.019462252,0.16026166
1975-03-01,-0.09650598,-0.02067027,0.15073185,-0.018522644,-0.034763623,0.15516117,-0.03355565,0.12831669,0.037850738,-0.010335135,0.03261609
1975-04-01,-0.10268021,-0.0037582398,0.056104995,0.057178784,-0.0061742305,0.034092523,-0.13274606,-0.01879115,0.12590067,0.010737801,-0.03610587
1975-05-01,0.00456357,-0.0036240101,-0.027381396,-0.05087032,0.0012080192,0.029126287,-0.014764476,0.04576986,-0.061473917,0.0008053303,0.048588537
1975-06-01,0.06456103,-0.0036240101,-0.06040013,0.015435601,0.0016106606,0.0005368948,-0.010737801,0.04187741,-0.08348636,0.007516456,0.033958267
1975-07-01,0.061205458,-0.003221345,-0.062010787,0.04993079,0.01637516,-0.08563395,-0.0049662353,0.009529805,-0.021609832,0.01355648,-0.03597164
1975-08-01,0.047246315,-0.017851591,-0.01624093,0.02254939,0.026978731,-0.0375823,-0.00550313,0.019059587,-0.027515601,0.0057715653,-0.024831152
1975-09-01,0.014630246,0.00738225,0.016509365,-0.011677337,-0.025904942,-0.0010737658,-0.0128853675,0.034360956,-0.03650856,-0.0052346946,-0.048454307
1975-10-01,-0.017314697,0.055165432,-0.017851591,-0.055165432,0.0049662115,0.043756533,-0.049125433,0.006845355,-0.03664274,-0.0208045,-0.01100626
1975-11-01,-0.1981124,0.030468512,0.057178784,-0.15730874,-0.026307607,0.25757295,-0.052212525,0.00026845932,-0.018388461,-0.026039172,-0.039058782
1975-12-01,-0.15905365,0.01892538,0.12308204,-0.011408901,0.052883625,0.06254768,-0.026173402,0.062413454,0.08523128,-0.08563395,0.03382411
1976-01-01,-0.12377268,0.08662746,0.003754753,-0.13570738,0.043984223,0.15260379,0.008582282,0.10312154,-0.02132163,-0.09748943,0.044118334
1976-02-01,-0.12605233,0.017432768,0.0378157,0.029501628,0.04009537,0.06570816,-0.051493715,0.12538186,0.056321263,-0.04089997,-0.01756687
1976-03-01,-0.123504475,-0.072278954,0.11747005,-0.03325639,0.028562922,0.14294872,-0.08488419,0.06369667,0.16950016,-0.027356053,0.031244898
1976-04-01,-0.0610147,-0.0839455,0.09775762,-0.046397995,-0.028562922,0.08448191,-0.091320895,0.07174256,0.3115102,-0.03298817,-0.13114807
1976-05-01,0.03473146,0.012337041,-0.0096550705,0.024003576,0.029099297,0.0989645,-0.039827157,0.009923267,-0.0032183647,-0.050018646,0.020651126
1976-06-01,0.044654716,0.03271997,-0.059941906,-0.0009387016,0.035670113,0.11130154,0.0075094937,0.020517016,-0.026283264,-0.011666542,-0.013812125
1976-07-01,0.029903913,0.0021455525,-0.046532083,0.033658646,0.0230649,-0.059405513,-0.03741343,0.015555382,0.0014750839,0.026953746,-0.06490354
1976-08-01,0.0021455646,0.015555394,-0.03741342,0.058600932,0.03567014,-0.04049766,-0.085554674,0.03593831,-0.0071072103,0.005095744,-0.061819293
1976-09-01,0.01153245,-0.020651126,-0.019846534,-0.051627807,-0.009923267,0.11492219,0.01153245,0.0067049144,0.017030478,0.022126209,-0.020919323
1976-10-01,0.0461298,-0.018639648,0.020651126,-0.13584152,-0.018505573,0.12068842,-0.051225524,-0.020919323,-0.00026819707,0.021321613,-0.008045912
1976-11-01,-0.13409825,-0.008448184,0.17754607,-0.22488275,-0.08796845,0.33752525,0.036608815,-0.021187544,0.2871043,-0.013678002,0.100707814
1976-12-01,0.03312226,-0.033792745,0.10513302,-0.06731732,-0.05498027,0.57125854,0.012873459,-0.044922926,-0.00040229558,-0.037279297,0.26055282
1977-01-01,-0.005408895,0.013175517,0.27252513,-0.1084553,-0.083907224,0.21219516,-0.08543281,-0.08584889,0.26961267,-0.009430897,-0.009569597
1977-02-01,-0.00027737618,-0.005131513,0.23036349,-0.15477768,-0.13924439,0.082520336,-0.0011095047,-0.04826398,-0.03550458,-0.0065184115,0.08668103
1977-03-01,-0.06962218,0.016226685,0.12190819,-0.07974653,-0.063797235,0.08418461,0.042855106,0.07697277,0.03592062,-0.00332855,0.14784314
1977-04-01,0.001802969,0.03647538,0.045074128,-0.0682353,0.021496892,-0.00027737618,-0.037307512,0.034117647,0.13009086,-0.013591588,0.020526063
1977-05-01,-0.028015304,0.00332855,0.01927786,0.05492109,0.012759447,-0.08876137,-0.072257295,0.06906744,0.026351029,0.019971311,-0.018168354
1977-06-01,0.05006696,-0.00027738215,0.05408896,0.05242469,0.016226685,0.0536729,-0.011511242,-0.029956961,0.07974653,0.012898135,-0.0066571026
1977-07-01,0.020526063,0.021358203,-0.002080345,0.05838834,0.045351516,-0.08349116,0.023022508,0.021219492,-0.051315166,-0.009985653,-0.07905312
1977-08-01,0.023577232,0.0066571026,0.0024964153,0.022190344,0.0058249594,0.032592066,0.016781438,-0.023161162,-0.013314212,0.013591582,0.009430897
1977-09-01,0.009846973,0.036197998,-0.022051651,-0.07891438,-0.013452888,0.06504543,-0.01567192,-0.004022002,-0.05145385,0.016087998,0.05228599
1977-10-01,-0.06560018,-0.01913917,0.021496892,-0.037584893,-0.047847923,0.060052633,-0.05311812,-0.0074892403,0.07849834,-0.0067958,-0.03855572
1977-11-01,-0.08571019,-0.016226685,0.12204689,-0.18112867,-0.0348111,0.43049264,-0.014562416,-0.2579627,0.3574032,-0.0074892403,0.02857008
1977-12-01,-0.038694404,-0.007073164,0.109287456,0.014007616,0.0029124855,-0.06033001,-0.12135341,-0.011927319,0.12870398,-0.0013868988,0.012759447
1978-01-01,-0.11884451,-0.032094993,0.09849445,-0.11477451,-0.023024678,0.12349597,-0.023373555,0.14500895,0.09884329,-0.023838675,0.09302898
1978-02-01,-0.20559406,-0.032327574,0.10791361,-0.066748284,-0.044072438,0.18943028,0.09163354,0.24803849,-0.058375694,0.035118442,0.30839106
1978-03-01,-0.10675073,-0.07151602,0.14838123,-0.028838968,-0.21094322,-0.019652367,-0.100471295,0.16721961,0.0050003054,0.01988492,0.1255891
1978-04-01,-0.11523966,0.024768973,0.015349793,0.021861792,-0.022908384,0.01267519,-0.020582665,0.13570604,0.051282216,0.006395745,0.14314833
1978-05-01,0.07616748,0.027559841,-0.05465453,-0.10744848,0.017326653,0.06919031,-0.016163826,0.07407431,-0.046979666,-0.03267643,0.14198546
1978-06-01,0.020117521,0.029420424,0.04500276,0.0012791157,0.0011628628,0.08233066,-0.0034885884,0.017791796,0.016861487,-0.010698331,0.019768666
1978-07-01,0.044886492,-0.023489822,-0.03360672,0.029653002,0.050817072,-0.0073260306,-0.054654527,-0.018373251,0.059189677,0.013954347,-0.050700806
1978-08-01,0.035699874,0.04930537,0.011628622,0.027676105,0.020350087,-0.065585434,-0.012326336,0.029304147,-0.066050574,-0.011163473,-0.019303512
1978-09-01,0.006046891,0.047328494,0.0070934654,-0.021396672,-0.016861498,0.04907279,-0.0498868,-0.010814619,0.03430444,-0.013256627,-0.07814435
1978-10-01,-0.039886188,0.0027908802,0.009302902,-0.13349658,-0.04325847,0.15687014,-0.09814557,0.018256938,0.024187516,0.0008140087,0.073841766
1978-11-01,-0.047909934,0.012093765,0.14059004,0.0073260306,-0.065818004,0.015582323,-0.13663632,0.07849322,0.13524088,-0.041049045,0.005116558
1978-12-01,-0.12907773,-0.0388396,0.12628685,-0.12384482,-0.10942534,0.12454257,-0.029536724,0.19036055,0.09570356,-0.017675519,0.07791176
1979-01-01,-0.05963874,0.082096204,0.13652956,-0.03732996,-0.07391633,0.23275466,-0.058746386,0.097712375,0.1356372,-0.05725912,0.05844898
1979-02-01,-0.06915712,0.06469538,0.13950405,-0.1463454,-0.09503528,0.21550255,0.07629593,0.12597008,0.034950376,-0.0678186,0.046104766
1979-03-01,-0.00847733,-0.005800271,0.13340633,0.042089164,-0.010856924,0.19557337,-0.033314396,0.0062464597,0.027811576,-0.018293178,0.08655796
1979-04-01,-0.042981528,0.021267677,-0.0098158475,-0.103363894,-0.051012658,0.12953949,0.028257752,0.071834184,0.14113998,-0.022308756,-0.006692624
