,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7,r50_cluster8,r50_cluster9
1973-01-01,2.7124634,8.897129,5.970661,4.3875465,8.519413,7.6753044,5.77195,2.0703506,4.114933
1973-02-01,3.8653145,8.750969,9.677189,8.187679,8.916836,9.021938,7.7853317,3.0294151,5.794941
1973-03-01,2.774868,5.969021,7.2614594,5.533825,6.2646217,6.062626,6.2334175,3.2905312,5.954239
1973-04-01,3.0343437,4.4072533,5.5798073,4.977108,4.3859024,4.781681,5.454998,4.0525284,5.91975
1973-05-01,2.7124634,3.751999,4.3727646,4.042675,3.8209724,4.244671,4.5189247,2.8931084,4.289009
1973-06-01,2.7863655,3.35458,3.9507103,4.159275,3.390709,3.564785,3.5992699,2.5383873,3.9901237
1973-07-01,2.4037247,2.9177437,3.4465446,3.5023804,3.0688286,3.2067757,3.1345177,2.159031,3.129593
1973-08-01,2.4546318,3.1427307,3.4711761,3.2363358,3.3151665,3.4449005,3.3217354,2.0966263,3.0524063
1973-09-01,2.3068314,3.6534653,3.7306519,3.188713,3.7372208,3.6961632,3.702732,2.3495293,3.0885353
1973-10-01,2.4004402,4.0180435,3.6583939,3.2724648,4.0163994,3.985199,3.426838,2.3889427,3.2133446
1973-11-01,1.876564,5.3416862,4.9163437,3.9424973,5.325264,5.274353,4.4729424,1.9077682,3.687954
1973-12-01,2.0703506,5.5091934,5.5371094,3.955635,5.346611,5.376171,5.3416862,2.3922272,4.200329
1974-01-01,2.1960945,5.935848,4.800537,3.268608,5.51775,5.828434,5.3029175,2.0721512,3.7478523
1974-02-01,1.549942,5.312832,4.496464,2.8323326,5.418598,5.210373,4.5460434,1.9019394,3.2157288
1974-03-01,2.9827156,6.514248,6.104412,4.77079,6.578697,6.724121,5.719364,2.7497063,4.736088
1974-04-01,2.1399078,6.124241,4.898037,3.7032356,5.919323,5.5805473,4.1841316,3.5545044,4.584053
1974-05-01,2.2621994,5.616905,4.1560364,3.7478523,5.1888885,4.7327805,4.4320145,2.8620796,4.446888
1974-06-01,2.386139,4.4848976,3.6487007,3.838745,4.0585365,3.5941658,3.3628044,2.6753387,3.9973907
1974-07-01,2.2341042,4.6286697,3.3859406,3.2818298,4.0816727,3.5313683,3.0686493,2.144867,3.1496239
1974-08-01,2.0704994,5.0252876,3.592514,3.2487793,4.567524,4.0420113,3.377678,2.1994019,3.1826782
1974-09-01,2.0027466,6.1820793,3.7148018,2.9694939,5.365715,4.608841,3.719761,2.055626,2.9612312
