,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8,vo500_cluster9,vo500_cluster10,vo500_cluster11,vo500_cluster12
1993-08-01,-4.883531246599798e-06,-2.2607161744692645e-06,-1.6994804868736073e-06,-3.185166825029515e-06,-5.325399494419496e-05,-1.3937607453347786e-05,-1.9627186258908406e-05,-1.7557238544245122e-05,-2.41467273554008e-05,2.319740360690048e-05,-6.801738283712666e-07,-7.079332249304571e-05
1993-09-01,-4.267640012652165e-06,-5.52067196918489e-06,-1.1028009794245008e-06,-8.010472715556572e-06,-2.0404174089586984e-05,-1.1540584902528888e-05,-1.893463044458569e-05,-3.1236639439031995e-05,-2.1686028048861772e-05,5.338396476872731e-05,1.1828441159877912e-05,7.791952612024033e-05
1993-10-01,-7.19545346882802e-07,-1.013728822642385e-05,-1.5653583055289479e-06,-8.334487383284508e-06,-1.2341569496735854e-05,-3.274360551586142e-05,8.427039618964489e-06,-2.893983601724954e-05,-9.259711930553749e-07,9.655209396441933e-06,6.028647447919866e-06,-3.155131196308503e-05
1993-11-01,-4.456540953070522e-06,-1.7157836462205905e-05,-1.3939946560033907e-06,-3.4419345315415594e-06,-4.9042613075774476e-05,-3.297070255333286e-05,1.8000698063832074e-05,-3.807775509154328e-05,1.335504595800785e-07,-3.304698793726857e-05,1.7077795178011e-05,-4.5378379809335456e-05
1993-12-01,-6.500708212381763e-06,-1.3440575098367083e-05,-3.7829278988334004e-06,1.5646130099125195e-06,-1.9027258228258386e-05,8.766813645403698e-06,7.143658300131991e-06,-5.427434095101239e-05,2.7882049380423268e-05,-1.344644374512427e-05,-5.2666473493445665e-05,-3.835700397303299e-05
1994-01-01,-6.882835184181359e-06,-9.050331014847426e-06,-4.3409836528688305e-06,-6.561161793988982e-06,6.553221586121558e-05,3.076822281400382e-05,6.801296765887656e-06,-1.1868836861986925e-05,1.9331614566908684e-05,-5.536093794944463e-05,7.466970153302555e-07,-2.2902041507677495e-05
1994-02-01,-1.8403062401885997e-06,-1.6737584341764127e-05,-3.897876139389054e-06,-1.8598671515160516e-06,-4.264539711584803e-05,-7.955126572293619e-06,1.9482858322856086e-05,-1.4945041177019575e-05,1.2155209105912945e-06,3.078289182667504e-05,-2.270176509000521e-05,1.135829563736479e-05
1994-03-01,-6.846959500185998e-06,-1.0590030458758498e-05,-4.357261176395426e-06,-3.870918649944973e-06,4.22355810769659e-06,1.060124645846372e-05,1.0028024251635256e-05,-2.8259653155491208e-05,1.1249096587562235e-05,-8.209528914449038e-06,-1.7579385769295186e-05,-1.6643781464154017e-05
1994-04-01,-2.076443645752833e-06,-6.499526217487793e-06,-4.668399334925063e-06,-1.4181170483521112e-06,-4.5542844115213185e-05,-1.0785756406524646e-05,2.113817417255898e-05,-6.0660681026939566e-05,-2.1475268567883177e-05,-9.183470979223785e-06,-3.558976686690585e-05,-3.274311097811733e-05
1994-05-01,-1.7451296992853382e-06,-8.715569281268346e-06,-3.478539206803867e-06,1.4685283351929302e-06,-6.0753324457133814e-05,-4.250996804936828e-05,1.4202945438716221e-05,-5.33469260674259e-05,2.528435913973226e-06,1.3943206340627512e-05,-5.01060696933564e-05,-7.303515303647146e-05
