,r500_cluster1,r500_cluster2,r500_cluster3,r500_cluster4,r500_cluster5,r500_cluster6
1982-04-01,28.728352,43.900864,25.767878,63.664917,41.373566,33.59691
1982-05-01,24.157234,48.723186,21.316244,53.794964,24.478388,35.342113
1982-06-01,15.535847,37.18414,17.501656,54.647938,30.941296,30.717669
1982-07-01,14.029863,38.194633,11.787911,44.70649,26.03633,28.008114
1982-08-01,8.020706,45.84291,10.285945,36.73132,16.315968,25.478842
1982-09-01,17.159285,42.633083,17.007532,38.26149,17.226503,31.873863
1982-10-01,30.926893,55.045902,19.643015,44.088985,20.21586,35.27607
1982-11-01,38.91662,59.975784,24.793268,48.484123,21.755457,39.42519
1982-12-01,45.667114,64.034325,26.195412,64.6237,49.644123,36.10993
1983-01-01,45.83502,65.0553,25.817125,63.00427,47.148037,33.174725
1983-02-01,50.31312,51.245445,34.73936,52.773197,62.77958,34.66237
1983-03-01,45.82497,43.336464,28.61992,56.565857,60.588943,31.724125
1983-04-01,38.876213,54.62176,21.163385,63.033066,63.5452,34.804787
1983-05-01,21.744658,49.46332,17.02772,68.35546,46.098984,31.786867
1983-06-01,17.032003,45.132504,18.575232,60.876812,36.349102,35.203545
1983-07-01,13.342284,45.805058,12.638524,65.49205,39.471703,32.753162
1983-08-01,12.641329,47.549107,10.946781,62.559902,26.174553,30.79181
1983-09-01,15.815706,59.271225,14.425987,57.959118,25.721466,35.68206
1983-10-01,21.442234,52.33236,18.090126,66.02586,43.750774,30.7475
1983-11-01,28.568632,45.18053,23.778242,67.411804,43.616425,33.33973
1983-12-01,43.807983,60.04172,22.717436,68.97688,44.020844,35.033146
1984-01-01,54.437054,61.65057,26.523588,72.13977,71.075516,31.13083
1984-02-01,44.954987,51.44437,32.716976,77.759865,70.76278,27.598272
1984-03-01,42.14603,43.031834,20.984373,73.019745,56.622234,29.227215
1984-04-01,30.398283,48.876526,22.61304,73.372894,57.360466,33.184418
1984-05-01,19.976822,45.957767,19.581383,72.159515,45.376575,35.55324
1984-06-01,11.678318,39.99053,11.839932,69.102684,39.446373,28.773075
1984-07-01,11.537007,35.80578,14.701965,63.30613,33.192245,28.271124
1984-08-01,11.536017,38.518986,12.699408,63.082176,34.70682,28.9155
1984-09-01,15.635017,36.788094,16.449474,67.73728,43.727512,35.433365
1984-10-01,21.926785,39.366783,16.687016,54.24506,29.77211,31.201797
1984-11-01,32.20982,52.454464,21.950718,61.170864,41.646263,35.542534
1984-12-01,41.03482,43.053032,20.283949,75.743675,52.85485,33.3981
1985-01-01,44.020016,53.66379,25.531626,64.727196,53.39716,31.676888
1985-02-01,52.211643,52.259666,28.901564,69.08383,68.21459,32.252502
1985-03-01,38.614494,45.11228,21.565248,59.69961,36.111465,30.628267
1985-04-01,29.903572,43.85009,21.3275,61.99277,41.54165,30.476328
1985-05-01,20.792635,49.100147,20.098164,64.03432,43.17801,37.17428
1985-06-01,11.350811,11.751944,16.991673,56.20512,33.580284,28.21218
1985-07-01,12.0113535,30.048409,15.502269,61.318157,35.804855,30.948935
1985-08-01,10.541575,45.340324,13.138052,65.96715,32.586685,28.425722
1985-09-01,13.310176,41.252075,13.255719,65.95638,36.778587,28.797564
1985-10-01,19.89452,48.494102,15.2446165,64.6026,35.33555,33.02382
1985-11-01,31.140484,51.474426,19.858925,68.62342,40.486458,31.818153
1985-12-01,44.039818,50.057167,24.71405,64.35866,39.519337,32.982655
1986-01-01,52.18232,60.570866,23.66144,75.257965,63.282036,26.773209
1986-02-01,45.529877,39.48567,29.716795,69.28034,66.761566,28.155645
1986-03-01,40.450367,54.370506,24.729149,77.437065,59.511623,30.348906
1986-04-01,31.748863,45.67448,21.56189,63.908203,39.75016,29.690609
1986-05-01,19.915565,35.60199,17.84779,50.130104,29.185501,35.756256
1986-06-01,19.041765,37.64557,14.940956,67.454475,40.251232,32.566143
1986-07-01,14.354757,32.266563,15.020321,57.934093,34.26835,28.721163
1986-08-01,9.145766,30.839024,11.73889,51.257454,25.557032,33.42075
1986-09-01,11.157965,34.853107,11.480103,53.07561,23.5924,28.192348
1986-10-01,20.687193,51.86178,18.270786,66.05821,29.013783,31.414953
1986-11-01,28.84599,37.119965,18.113165,63.56232,41.721233,30.698006
1986-12-01,43.787373,62.992798,29.643219,58.305943,38.729256,37.009647
1987-01-01,52.558487,62.795258,25.634388,76.70282,66.14949,33.683613
1987-02-01,45.35089,49.20982,25.186214,60.66004,56.128857,25.72519
1987-03-01,37.060295,47.169605,33.330246,58.419918,47.430016,31.638342
1987-04-01,33.51799,56.860348,32.75585,59.18812,37.445477,33.977737
1987-05-01,30.807451,43.270687,25.165632,60.568096,39.4241,35.077587
1987-06-01,18.10061,45.623806,16.266111,54.57511,35.309254,34.589626
1987-07-01,10.506175,35.404243,17.01077,44.451096,23.109018,30.27459
1987-08-01,12.43345,42.053783,13.284668,54.270035,23.819788,28.205544
1987-09-01,12.058794,57.87722,12.78856,48.264023,19.700356,31.425255
1987-10-01,20.743292,63.50747,19.150877,54.0865,24.013618,37.585854
1987-11-01,30.817019,48.2671,19.537663,67.2976,43.92679,32.750793
1987-12-01,32.58746,44.452614,20.98217,73.73628,56.948498,34.37203
1988-01-01,48.665524,67.939674,24.632158,72.08251,56.526947,33.67638
1988-02-01,43.77696,44.785233,24.102045,60.22446,45.35141,26.231728
