,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11
1970-10-01,1023.08203,1009.00916,1014.6242,1021.4082,1016.433,1018.8858,1014.90826,1018.23694,1020.83295,1014.85956,1018.647
1970-11-01,1024.5128,1009.2444,1015.0105,1021.96075,1018.8953,1018.86084,1013.21954,1020.88403,1022.00055,1020.6916,1020.5032
1970-12-01,1020.3956,1008.80945,1014.1655,1020.07306,1017.9018,1015.9279,1008.4232,1021.0754,1018.34686,1018.30945,1016.5506
1971-01-01,1022.8158,1009.33575,1015.2042,1010.2509,1017.59827,1016.10333,1007.2796,1018.7182,1018.3329,1016.7855,1016.2307
1971-02-01,1021.4265,1008.35736,1014.96606,1009.275,1016.12634,1016.9135,1008.25616,1016.79,1019.38116,1021.81366,1018.09357
1971-03-01,1020.59454,1009.65704,1014.86053,1021.8406,1016.53467,1013.75214,1014.80804,1013.4904,1020.718,1022.98096,1017.6641
1971-04-01,1018.40845,1008.955,1015.4,1025.046,1015.96643,1015.1236,1017.38,1012.7659,1022.87146,1021.3413,1015.9261
1971-05-01,1015.5293,1008.42456,1015.9107,1019.89185,1015.4768,1015.3904,1016.4054,1010.7271,1019.4932,1025.5868,1019.82916
1971-06-01,1023.99524,1009.37103,1016.97626,1021.80273,1017.2873,1019.1662,1022.86505,1014.55975,1018.8999,1024.9053,1021.0623
1971-07-01,1015.05,1008.9838,1016.3401,1019.55524,1017.89526,1014.2897,1021.17365,1013.8897,1024.9148,1024.2134,1023.22345
1971-08-01,1022.9348,1009.3915,1016.10846,1020.65405,1017.39154,1021.12115,1017.62775,1013.4936,1022.8497,1026.1749,1023.14734
1971-09-01,1024.6193,1009.2718,1015.4941,1019.4279,1015.3642,1019.952,1015.7379,1016.1891,1019.5143,1016.73944,1022.49713
1971-10-01,1018.8462,1010.0263,1015.41156,1018.63116,1016.68756,1017.5835,1012.43896,1019.2001,1023.2715,1017.725,1021.97876
1971-11-01,1021.0246,1010.14087,1015.0429,1020.4556,1018.157,1013.3745,1009.12335,1018.72845,1021.63446,1020.7782,1021.60956
1971-12-01,1020.7117,1009.1893,1014.8497,1017.4229,1017.9797,1016.33563,1007.81464,1022.96936,1018.91595,1017.5708,1017.78064
1972-01-01,1014.399,1010.2324,1015.0065,1017.0813,1017.4,1012.3298,1008.8276,1016.16516,1018.69617,1022.8502,1016.5288
1972-02-01,1017.12006,1008.8938,1015.4902,1013.59216,1017.7488,1014.07153,1012.7023,1017.24634,1017.37,1023.66266,1019.65735
