,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6
1973-07-01,0.15035744,0.25484353,-0.044916153,-0.15418014,-0.2691782,0.00095558167
1973-08-01,0.1548172,-0.0041412353,-0.07613449,-0.37270832,0.14207515,-0.17074509
1973-09-01,0.105122946,0.112449646,-0.10990105,-0.06530361,0.1487648,0.049375914
1973-10-01,-0.02612114,-0.13315544,-0.13028832,0.4953516,0.046827316,0.17647895
1973-11-01,-0.26057738,0.23700447,0.066259004,0.06944504,-0.20674172,-0.055746842
1973-12-01,0.23573036,0.05606575,-0.03695221,0.28415012,-0.24847221,-0.19782218
1974-01-01,0.36125833,-0.22911453,-0.10749016,0.22812843,0.08908157,0.07067375
1974-02-01,0.1393753,-0.19821548,0.03911705,0.39117163,-0.008875275,-0.03813095
1974-03-01,-0.13970414,-0.009532547,-0.25804138,0.22484131,-0.08908196,-0.17191811
1974-04-01,-0.12129593,0.06903038,0.039774705,-0.25574034,0.11176338,0.0723175
1974-05-01,-0.0026298524,0.004602051,-0.04108963,-0.12359695,0.024653625,0.16731605
1974-06-01,0.38196754,-0.009204102,-0.08053513,-0.22451249,-0.5788681,0.20216027
1974-07-01,0.22484168,0.029255677,-0.051937103,0.28368148,0.04667778,0.0049308776
1974-08-01,0.2738201,0.17849235,-0.062127687,-0.3997181,0.347781,-0.26790315
1974-09-01,0.1768486,-0.0111763,-0.09960022,-0.41878358,-0.14825058,-0.09236908
1974-10-01,-0.028598214,0.06475715,0.07757683,-0.13806038,-0.06738663,-0.018408203
1974-11-01,0.1768488,-0.0032871247,0.0476635,0.5713078,-0.40925103,-0.058840178
1974-12-01,0.33134538,0.31523818,-0.0026298524,0.20478973,-0.55092734,0.1656723
1975-01-01,0.15296173,0.15422821,0.063654706,0.17259637,-0.13554382,-0.050670624
1975-02-01,0.0072841644,0.15644531,0.06523819,0.29008904,-0.17228012,0.016151046
1975-03-01,0.06270447,0.16689606,-0.04116974,-0.0060173036,-0.26126975,0.04750366
1975-04-01,-0.025968552,0.0962738,0.007600403,-0.2042656,-0.06872177,-0.038319398
1975-05-01,0.2834383,-0.11432533,-0.06365509,-0.14092751,-0.14346084,0.19413146
1975-06-01,0.1947647,0.20553283,-0.1640461,-0.1887478,-0.36166078,0.62388074
1975-07-01,0.16246262,0.46775207,0.007917786,-0.13934402,-0.1887478,-0.25366935
1975-08-01,-0.29040566,-0.13522682,-0.06745529,0.21091613,-0.09944077,0.1368103
1975-09-01,0.08233967,-0.09500732,-0.027552415,-0.26665363,0.3106739,0.012667847
1975-10-01,-0.30402336,0.0066505433,0.10799141,0.09880753,-0.016784668,-0.18336372
1975-11-01,0.31130713,-0.014250946,-0.06460495,0.00063323975,0.08202286,-0.092157364
1975-12-01,0.11369209,-0.050354004,-0.092473984,0.07220574,-0.040219497,-0.20014839
