,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9
1973-05-01,0.04723375,0.22010095,-0.08768024,-0.13616061,-0.12646456,-0.028672695,-0.067734025,0.046402644,-0.05346694
1973-06-01,-0.03449034,-0.02299354,0.06870364,-0.09516007,-0.06565629,-0.09751484,0.16372518,-0.082832195,0.011081232
1973-07-01,0.054436553,-0.036845066,-0.01925366,-0.007618344,0.01592927,-0.056237243,0.14599523,-0.13879243,-0.049034454
1973-08-01,0.034351815,-0.21234405,0.13325182,0.10416357,0.04238572,0.08269367,0.08186259,-0.20167843,-0.014959669
1973-09-01,0.052220304,0.00055407285,-0.007202792,-0.090035,-0.028118622,0.0049865483,-0.018284034,-0.0746598,-0.04141612
1973-10-01,0.028811205,0.0055406215,0.007064283,-0.013020444,-0.039338373,-0.04751078,0.023547601,-0.016344821,-0.009003496
1973-11-01,0.022439491,-0.01385154,-0.023270583,0.03227409,-0.012743415,0.05845349,0.00013851523,0.004709524,-0.01038866
1973-12-01,0.017591456,0.0055406215,0.052358817,-0.016483331,-0.012466384,0.08172407,0.010942714,-0.055960216,-0.029088233
1974-01-01,0.12811342,0.0023854733,0.0893847,-0.053322114,0.021188522,0.018382097,-0.03199327,-0.0019644976,-0.15673894
1974-02-01,0.042377044,0.03957062,-0.021048212,-0.07675578,-0.0040693283,0.05472533,0.02988844,-0.058794647,0.06258333
1974-03-01,0.010103131,0.01866274,0.047849573,-0.06567039,0.031431973,0.010103131,0.018803071,0.009541845,-0.060338177
1974-04-01,0.024696564,-0.060057543,0.06875746,0.05430436,0.013891816,0.05065601,0.060478497,-0.016277289,-0.075071916
1974-05-01,-0.090366945,0.010383785,-0.024135267,0.08798148,-0.058093034,0.013891816,-0.05598823,-0.01992563,0.019083703
1974-06-01,-0.08180735,0.22647867,-0.08489441,-0.072826765,0.010804748,-0.07886062,0.15196808,-0.08573637,-0.010383785
1974-07-01,-0.09541851,0.048972152,0.07928157,-0.17133237,0.00561285,0.07408967,-0.07310744,-0.007717669,-0.02736268
1974-08-01,0.004349947,-0.2490704,0.19294186,0.04939313,-0.023153031,-0.035922267,-0.00898056,0.06861715,-0.046306036
1974-09-01,-0.057110786,-0.034659386,0.144531,0.07829931,-0.009962821,-0.01894338,0.044201218,-0.01796112,-0.08335088
1974-10-01,0.03760613,-0.04083351,0.08742027,0.110011935,0.02357397,-0.051217306,0.023714328,-0.13625209,0.046586704
1974-11-01,0.025959456,0.007016075,-0.14551325,0.10692487,-0.009401524,0.04307866,-0.10538133,0.07577352,0.08292995
