,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv850_cluster9
1975-09-01,0.050205827,0.11244089,-0.27662867,0.50064313,-0.46619424,-0.14017528,0.14499691,0.27257907,-0.07566508
1975-10-01,0.04251226,0.081675865,-0.24902295,0.4423531,-0.40765977,-0.1909721,0.058500074,0.21910782,-0.021522231
1975-11-01,0.0038482742,0.09268755,-0.2167525,0.46878594,-0.76492715,-0.23398986,0.03045184,0.21884024,-0.13405465
1975-12-01,-0.02745308,0.03985688,-0.019897068,0.39385664,-0.64954185,-0.28768545,-0.048734874,0.17856336,-0.055734355
1976-01-01,-0.03768255,0.05192731,-0.058495015,0.52270806,-0.8206152,-0.36326778,-0.13490637,0.18561727,-0.09764119
1976-02-01,-0.03989905,0.13314849,-0.057902258,0.35021383,-0.8616166,-0.2914664,-0.09301555,0.14650804,-0.12138623
1976-03-01,-0.031139765,0.14826149,-0.083230294,0.18064894,-0.49722764,-0.23923966,-0.10850383,0.115793176,-0.06488552
1976-04-01,-0.04437977,0.13992837,-0.14963837,0.29798505,-0.30414784,-0.16553394,0.019583445,0.15993658,-0.10942416
1976-05-01,0.0015047202,0.05152742,-0.14010113,0.4546253,-0.14751175,-0.09592176,0.15436006,0.12848082,-0.096267834
1976-06-01,0.02148694,-0.05803856,-0.25250766,0.29115072,-0.22340783,-0.028046183,0.15808526,0.17844735,-0.03684098
1976-07-01,-0.061149836,0.049148016,-0.36968666,0.46330976,-0.05689181,0.023380524,0.1636239,0.14645863,-0.039555755
1976-08-01,0.05057897,0.058625247,-0.34490037,0.28583875,-0.28280485,-0.035737973,0.10413019,0.18702023,-0.027556049
1976-09-01,-0.07423501,0.089199506,-0.2638499,0.38008216,-0.3991383,-0.06521435,0.08874544,0.29726458,-0.09719413
1976-10-01,0.052872524,0.0033126979,-0.11773315,0.31964493,-0.3883712,-0.15738134,0.08000748,0.17097409,-0.05044488
1976-11-01,0.015842343,0.06711603,-0.14295913,0.43144327,-0.70669216,-0.21408273,0.06243935,0.18334523,-0.031772878
1976-12-01,-0.12497283,0.017540313,-0.09972975,0.54149663,-0.82708335,-0.24359636,-0.0080218185,0.19902241,-0.012226094
1977-01-01,-0.11605592,0.02873054,-0.041488588,0.6020959,-0.90978897,-0.2938735,-0.0699914,0.19795586,-0.04968125
1977-02-01,-0.08164845,0.112914205,-0.048020124,0.33236504,-0.5826002,-0.24666302,-0.05313353,0.11732763,-0.13209201
1977-03-01,-0.052266277,0.106746666,-0.16423412,0.359942,-0.41525403,-0.23298924,-0.07205848,0.16730808,-0.16715305
1977-04-01,-0.01304464,-0.060920868,-0.14065054,0.5373455,-0.37180728,-0.1732627,-0.021267321,0.1457733,-0.08869523
1977-05-01,0.015419101,-0.06618172,-0.25670782,0.36734855,-0.15517764,-0.052886598,0.1479618,0.16920647,-0.01347226
1977-06-01,-0.07059301,-0.005188132,-0.36013576,0.3635154,-0.08920236,-0.06918243,0.1261722,0.15424554,-0.01053748
1977-07-01,-0.06386459,0.058111668,-0.43861547,0.39705384,-0.46746856,-0.12021882,0.14361796,0.20705758,-0.049710643
1977-08-01,-0.11751262,0.12921531,-0.38492376,0.57746917,-0.38742325,-0.11547801,0.19489802,0.27275068,-0.11296727
