,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9
1984-12-01,43.65709767197117,37.7735017656206,21.617983564545835,37.61417269706726,42.67398163124367,41.6715779698881,38.56719744087446,42.74117966328771,33.532818688286675
1985-01-01,43.499154755563445,40.14674521781303,23.27329176890699,39.41378891468048,45.34002586647316,41.93616881406397,41.17598014302773,43.79289958102644,35.912840101453995
1985-02-01,43.59324773152669,41.79002572824289,24.14805255358732,40.63507914543152,46.3110605875651,42.25681419659378,42.463597212687574,44.543278906956196,37.59732564290365
1985-03-01,43.406473506580696,41.61697250228744,23.600619352316553,41.20154082775116,45.690442897655345,42.583647706454855,41.12556381980971,45.146146096473885,36.87366485595703
1985-04-01,43.78009564948804,40.269753739640514,22.43965728373467,40.40262997150421,44.25298902723524,42.52313742960306,38.25929660608273,44.81526366935289,35.32472822401259
1985-05-01,44.0183755123254,37.52276446368243,20.6873374649241,39.17708247900009,42.42058683324743,41.96740774283732,35.602378845214844,44.05115773855162,32.247509426540795
1985-06-01,43.606237931685015,35.16648094933312,19.098122512237936,37.45774179697037,40.134279816238966,40.82532036573367,33.19713479221457,42.523566947495645,29.292500813802082
1985-07-01,43.26184012673118,32.82562462059227,17.793628837488875,35.66910922527313,37.838829888237846,40.083099307870505,31.318313296478575,41.24426408247514,27.096000247531467
1985-08-01,42.79279275373979,31.80230974077104,17.239314694947833,34.701426327228546,36.79749524151837,39.427610985318516,30.354143841431874,40.39984773998418,26.372619205051
1985-09-01,43.074674317331024,31.375917658075554,16.818467876579188,34.629060328006744,36.69537085073965,39.69302213281617,29.733527532898552,40.48954829696782,25.558346642388237
1985-10-01,43.313309640595406,32.269505337551905,17.292792887627325,35.1196825504303,37.65629839014124,40.211942859162065,30.702720302166323,40.92281909028361,26.119331783718533
1985-11-01,43.80574081883286,33.91231330665382,18.366959728772127,36.16972267627716,38.838501329775205,40.93658045718544,31.951469950156635,41.63877313787287,27.97602335611979
1985-12-01,44.070766911362156,36.538096591159025,20.537765116631228,37.623898684978485,41.37937227884928,41.79479842795465,35.986875779557934,42.87479495214037,31.66028552585178
1986-01-01,44.02073513377796,40.086125897931616,22.751520857026303,39.70242440700531,45.03230695371274,42.08889294387703,40.7132365916035,43.9905324258095,34.84593285454644
1986-02-01,43.936489567612156,41.62748869474943,24.08357209797147,40.886205434799194,46.140072080824105,42.12187143196737,41.895975924954556,44.483591505318635,37.542410956488716
1986-03-01,44.21123157848011,41.69466688826277,24.052578889870944,41.3269117474556,46.17745788009078,42.48230009150684,41.60832697802251,45.03413271312871,37.56693098280165
1986-04-01,44.31229938160289,40.26926745165575,22.63673951354208,40.6648725271225,44.63307945816605,42.52416567694872,39.17977739088606,44.876270451821576,35.56298573811849
1986-05-01,44.35859448982007,37.01638230332383,20.79186499873294,39.08655494451523,42.64544734248408,41.722915764141796,36.15959469634708,43.72119430668098,32.16512468126085
1986-06-01,43.747277693314985,34.12773029224292,18.936531453192988,37.505365908145905,40.17082850138346,40.93655320934783,33.03213025083636,42.84835374059756,29.133152431911892
