,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6
1972-03-01,1014.8921,1018.3343,1008.8407,1009.58185,1014.2846,1015.252
1972-04-01,1021.0354,1015.4183,1009.27313,1023.6958,1017.46564,1014.3021
1972-05-01,1018.27625,1008.7126,1008.42633,1017.6987,1011.4561,1011.6611
1972-06-01,1015.8795,1004.33417,1008.61194,1017.0845,1009.2619,1010.5018
1972-07-01,1014.82837,1001.0769,1008.9007,1016.0508,1009.66315,1001.6931
1972-08-01,1015.4358,1004.18414,1010.2131,1016.7132,1011.01807,1009.66565
1972-09-01,1013.2447,1013.1648,1009.3575,1014.1778,1011.8536,1009.3787
1972-10-01,1017.635,1017.92,1010.03,1020.37726,1015.53265,1011.32983
1972-11-01,1019.7417,1022.2372,1009.2394,1016.1733,1015.27576,1014.92334
1972-12-01,1018.99115,1024.4126,1009.7525,1013.9891,1015.89764,1015.7939
1973-01-01,1017.4124,1025.2688,1009.87897,1012.21967,1016.5025,1015.41766
1973-02-01,1019.40533,1021.0901,1010.3625,1011.39276,1014.19006,1017.51404
1973-03-01,1015.82666,1019.5082,1009.5594,1008.0732,1013.5142,1016.09155
1973-04-01,1021.87213,1011.758,1008.97095,1019.4567,1014.428,1014.55334
1973-05-01,1017.633,1010.01917,1009.48083,1018.4793,1012.90845,1012.16956
1973-06-01,1016.2941,1004.90936,1009.07446,1013.7328,1009.0121,1010.702
1973-07-01,1016.29156,1004.00525,1009.2352,1017.4986,1011.0737,1009.7722
1973-08-01,1017.3179,1006.95294,1008.9684,1018.59314,1014.11414,1009.3343
1973-09-01,1018.3616,1013.637,1009.63904,1017.91077,1012.17664,1012.3554
1973-10-01,1016.1713,1019.276,1008.4913,1017.7597,1016.4536,1010.50977
1973-11-01,1015.6588,1023.2688,1007.7736,1014.4801,1014.0962,1012.06024
1973-12-01,1016.9302,1026.8475,1007.6314,1011.94,1012.5528,1013.68396
1974-01-01,1007.2258,1024.0382,1007.41943,997.20416,1012.10095,1013.27673
1974-02-01,1015.87354,1024.3466,1006.8591,1010.47,1014.05853,1014.0877
1974-03-01,1015.7614,1020.10736,1007.4398,1006.7952,1015.77905,1014.73846
1974-04-01,1020.83276,1012.25854,1007.7048,1019.6834,1013.9627,1012.556
1974-05-01,1018.80585,1009.66034,1008.4282,1021.2484,1014.8505,1011.0453
1974-06-01,1013.3025,1004.9177,1008.5362,1012.6104,1008.24475,1008.9927
1974-07-01,1012.20416,1003.6143,1009.08295,1013.5593,1009.49054,1008.5382
1974-08-01,1014.6406,1003.97833,1008.91583,1014.08435,1007.9819,1005.2445
1974-09-01,1013.8242,1011.28314,1009.0694,1017.30194,1012.2429,1009.7779
1974-10-01,1017.1287,1017.8753,1008.08374,1014.7901,1014.1984,1009.83014
1974-11-01,1015.8538,1022.319,1006.9677,1018.12866,1017.4352,1010.84357
1974-12-01,1017.37946,1027.3828,1007.17834,1008.5382,1018.4071,1015.0896
1975-01-01,1015.49963,1025.4716,1008.12787,1008.71045,1013.0018,1016.2047
1975-02-01,1015.85876,1022.40356,1008.7347,1008.4074,1011.76117,1015.68365
1975-03-01,1016.1867,1018.52814,1008.62054,1014.7157,1012.76166,1013.96216
1975-04-01,1019.04224,1012.73126,1008.25104,1020.5915,1015.411,1014.22095
1975-05-01,1015.67126,1010.0577,1008.5887,1018.5538,1012.12646,1010.76135
1975-06-01,1015.85736,1004.69525,1008.96094,1015.19244,1007.90784,1011.46643
1975-07-01,1016.2455,1003.87463,1008.9098,1016.0421,1010.277,1009.2322
1975-08-01,1015.13776,1003.2166,1008.88,1017.5899,1012.2303,1007.56116
1975-09-01,1015.5647,1010.23065,1008.61914,1018.3808,1012.78455,1009.6183
1975-10-01,1015.575,1016.94995,1008.47107,1016.27875,1015.3647,1010.19604
1975-11-01,1016.41156,1023.3792,1006.6817,1019.5398,1017.0246,1008.79834
1975-12-01,1014.9115,1027.4312,1007.56116,1007.575,1014.7254,1013.71234
1976-01-01,1014.5556,1026.0858,1006.7969,1004.95795,1012.4029,1014.91327
1976-02-01,1015.9554,1019.8644,1007.85565,1014.02594,1015.6958,1014.5821
1976-03-01,1017.4829,1019.51166,1007.0503,1016.5906,1015.3055,1014.01544
1976-04-01,1018.97955,1013.9883,1008.3379,1020.02167,1016.72314,1012.742
1976-05-01,1016.45123,1008.5839,1008.34216,1017.7634,1012.2672,1010.19775
1976-06-01,1015.2654,1004.8168,1008.8596,1013.01337,1010.4567,1009.65076
1976-07-01,1017.3731,1004.51337,1009.20795,1017.5982,1012.0606,1008.3108
1976-08-01,1015.8839,1006.46014,1009.7223,1015.87646,1009.6551,1009.2049
1976-09-01,1015.2315,1011.72516,1009.3936,1016.20276,1011.1739,1007.09467
1976-10-01,1017.00006,1016.9865,1008.8251,1018.295,1013.6639,1012.34735
1976-11-01,1019.1429,1025.6117,1007.6429,1017.85657,1017.26953,1011.5408
1976-12-01,1014.2818,1024.3456,1007.60834,1006.04456,1014.03577,1013.4641
1977-01-01,1011.9883,1027.1234,1007.8095,999.0769,1014.31085,1013.5397
1977-02-01,1016.43854,1026.2152,1008.27234,1005.65405,1014.464,1016.11
1977-03-01,1021.1803,1020.9903,1008.6524,1019.38116,1017.67523,1016.8791
1977-04-01,1020.6005,1012.70306,1008.26196,1019.80225,1014.2204,1013.9997
1977-05-01,1015.19617,1008.9412,1009.0985,1017.3002,1011.9437,1010.86774
1977-06-01,1016.1677,1004.2287,1008.6726,1012.346,1008.145,1010.7522
1977-07-01,1015.5574,1003.20764,1007.7915,1017.8326,1008.8125,1008.4436
1977-08-01,1013.9997,1004.6386,1008.7735,1017.70526,1005.6478,1006.34515
1977-09-01,1015.9966,1011.4851,1009.4472,1018.9378,1012.14,1007.6411
1977-10-01,1016.71204,1018.34827,1008.9559,1019.5705,1017.5472,1010.03674
1977-11-01,1019.0735,1024.3123,1008.4777,1020.75854,1017.5312,1012.0349
1977-12-01,1015.7439,1023.349,1008.80756,1009.07904,1016.6752,1014.6428
1978-01-01,1014.2129,1024.6455,1008.6383,1002.0153,1009.79803,1015.8391
1978-02-01,1014.4428,1024.8601,1009.76135,1003.44366,1012.1114,1017.38275
1978-03-01,1015.9018,1017.7766,1009.2481,1008.8396,1012.6433,1014.6068
1978-04-01,1018.2732,1013.14044,1008.9682,1014.83673,1012.568,1013.5597
1978-05-01,1018.1932,1009.68536,1007.6459,1021.91095,1012.8592,1010.30786
1978-06-01,1017.52673,1005.71173,1008.33307,1018.43713,1011.11163,1009.84796
1978-07-01,1015.7812,1003.4523,1007.99646,1019.6301,1010.68646,1004.74866
1978-08-01,1015.04,1004.04016,1008.6936,1016.3003,1011.2603,1008.2351
1978-09-01,1014.30884,1011.9761,1008.76227,1015.36127,1012.0114,1009.46606
1978-10-01,1017.12616,1019.4149,1007.98987,1018.15656,1016.1451,1009.3002
1978-11-01,1016.7382,1023.42584,1007.39667,1013.0778,1016.5083,1011.0803
1978-12-01,1019.5569,1025.6179,1008.38837,1018.3805,1018.2932,1015.5545
1979-01-01,1016.7272,1024.6284,1008.6738,1008.6102,1015.6897,1015.9274
1979-02-01,1017.4917,1019.7991,1008.8745,1015.1831,1011.353,1014.8194
1979-03-01,1015.7707,1017.2095,1009.0879,1007.72076,1013.9282,1014.46204
1979-04-01,1021.16907,1014.90436,1008.8583,1018.3343,1015.3769,1013.43964
1979-05-01,1018.9981,1010.9893,1009.30304,1016.82086,1011.48553,1010.9471
1979-06-01,1017.6889,1006.76483,1009.13763,1019.2364,1014.24634,1011.9626
1979-07-01,1017.18524,1004.4973,1010.35376,1017.65356,1008.80505,1009.82
1979-08-01,1014.3371,1005.2046,1010.01953,1017.5079,1009.6529,1007.49585
1979-09-01,1017.0053,1013.7646,1009.2429,1016.9903,1014.4007,1009.56036
1979-10-01,1017.3055,1018.7466,1009.04456,1017.4246,1013.9016,1007.3206
1979-11-01,1020.1183,1025.5133,1007.72656,1025.5381,1018.86804,1012.50037
1979-12-01,1017.36273,1024.8853,1008.6223,1013.2661,1018.83624,1014.2527
1980-01-01,1013.2665,1025.1448,1008.4124,1002.62744,1011.9802,1015.509
1980-02-01,1014.70825,1026.1831,1008.98413,1001.6666,1015.20935,1017.1482
1980-03-01,1018.6492,1020.67413,1008.91064,1011.87463,1015.58185,1015.9854
1980-04-01,1022.0861,1015.2174,1008.719,1022.4752,1017.604,1014.3714
1980-05-01,1020.65857,1010.37024,1008.9176,1020.1713,1013.674,1011.83844
1980-06-01,1018.70825,1008.50085,1009.40826,1018.26685,1011.1457,1012.7568
1980-07-01,1015.2512,1004.9824,1009.6223,1014.539,1008.29474,1010.75366
1980-08-01,1013.77325,1007.1291,1009.8192,1014.05914,1009.16833,1009.1253
1980-09-01,1015.4246,1014.1958,1009.4606,1016.467,1012.6495,1007.0056
1980-10-01,1018.1067,1018.2646,1009.22577,1018.95905,1015.51587,1011.41547
1980-11-01,1017.05005,1020.7286,1008.59607,1014.6635,1016.5335,1012.3987
1980-12-01,1012.35046,1024.5657,1008.0371,1003.1119,1009.54083,1013.057
1981-01-01,1011.9709,1027.658,1008.6259,998.60565,1012.4981,1016.36163
1981-02-01,1014.1297,1022.1655,1008.84564,1001.72296,1012.8695,1015.8258
1981-03-01,1019.91095,1017.9919,1010.3759,1014.3646,1016.40686,1017.0533
1981-04-01,1019.2247,1014.123,1009.1431,1018.6582,1013.43536,1014.2954
1981-05-01,1016.0834,1010.9144,1008.8443,1015.5042,1011.0343,1011.4071
1981-06-01,1015.3558,1005.6584,1009.7542,1014.5603,1010.8879,1010.2621
1981-07-01,1017.454,1004.69385,1009.0,1021.8401,1012.33765,1009.70764
1981-08-01,1010.6881,1003.28326,1009.7196,1016.4968,1007.4357,1003.4517
1981-09-01,1016.8689,1012.8136,1009.1838,1017.1178,1012.9075,1009.23364
1981-10-01,1015.9529,1018.81195,1008.9408,1017.26697,1014.93713,1010.0518
1981-11-01,1017.8647,1024.3057,1008.343,1015.4643,1017.67163,1013.0293
1981-12-01,1017.426,1028.1998,1008.07404,1014.794,1017.1997,1014.7601
1982-01-01,1015.6591,1025.2892,1008.6131,1007.32416,1014.18445,1015.5696
1982-02-01,1013.9158,1023.4178,1008.90936,1003.6644,1016.2547,1016.04553
1982-03-01,1018.8616,1018.32367,1008.2514,1015.99146,1016.32733,1015.2547
1982-04-01,1018.4775,1016.06775,1009.4761,1020.3602,1016.70233,1013.82263
1982-05-01,1019.67755,1009.34033,1009.264,1019.031,1013.3425,1012.6611
1982-06-01,1018.6993,1006.8482,1009.7266,1017.07794,1007.663,1010.0993
1982-07-01,1015.25354,1002.88745,1009.43524,1014.0889,1010.5025,1008.1715
1982-08-01,1015.24634,1005.14874,1009.8373,1017.11523,1012.2903,1007.8577
1982-09-01,1015.6964,1013.54266,1010.83,1019.7034,1012.97235,1008.4263
1982-10-01,1013.01385,1017.64764,1009.99225,1015.38873,1015.6976,1008.9785
1982-11-01,1018.5935,1021.92505,1009.38116,1015.944,1018.4613,1015.0089
1982-12-01,1021.8074,1026.1665,1010.1714,1016.7835,1016.88385,1014.9464
1983-01-01,1017.12463,1028.488,1011.4018,1005.6205,1017.9459,1018.3733
1983-02-01,1016.6619,1023.84546,1012.3568,1003.72656,1014.7134,1017.1021
1983-03-01,1018.40607,1020.01276,1012.29126,1009.2875,1015.7873,1016.92737
1983-04-01,1021.12714,1012.69806,1010.86194,1022.5782,1016.87915,1015.69086
