,vo500GLB_cluster1,vo500GLB_cluster2,vo500GLB_cluster3,vo500GLB_cluster4,vo500GLB_cluster5,vo500GLB_cluster6,vo500GLB_cluster7,vo500GLB_cluster8,vo500GLB_cluster9,vo500GLB_cluster10,vo500GLB_cluster11,vo500GLB_cluster12
1983-02-01,-1.4748341e-05,-3.9658698e-07,4.4018198e-06,-1.3852983e-05,2.946306e-05,1.3398832e-05,0.00026071668,3.2978387e-06,-6.6727625e-06,-3.5259836e-06,9.217612e-06,4.4936183e-05
1983-03-01,-1.6860682e-05,2.1851629e-06,2.5154877e-06,-1.9598901e-05,2.4256095e-05,7.461673e-06,0.00023340402,3.509922e-07,-7.45511e-06,-6.055576e-06,2.3764042e-06,4.6327023e-05
1983-04-01,-1.0853986e-05,6.4620035e-06,4.6712958e-06,-1.7260547e-05,-1.440063e-05,7.5051357e-06,0.0001811779,2.6284943e-06,-1.7277936e-05,-4.1518615e-06,8.617812e-06,5.1507912e-05
1983-05-01,-1.4049474e-06,8.226634e-06,3.1500604e-06,-1.5556765e-05,-8.159226e-06,1.3833469e-05,0.00010026563,1.9765394e-06,-1.6060945e-05,-4.9429036e-06,-1.7926868e-07,4.981282e-05
1983-06-01,-6.2260006e-07,1.4711437e-05,4.8538423e-06,-8.759027e-06,1.2625176e-05,1.1634198e-05,9.2546456e-05,4.332276e-06,-7.2551775e-06,1.4028155e-06,-6.29028e-06,2.8306922e-05
1983-07-01,-2.9261828e-06,1.9301217e-05,-2.7610185e-06,-5.7947946e-06,5.6014214e-06,4.306199e-06,4.110267e-05,4.662601e-06,-5.1949937e-06,-1.0746226e-06,-3.951929e-06,4.112875e-05
1983-08-01,-2.3142275e-07,1.8631876e-05,-1.9438994e-06,-3.5955236e-06,-3.5607518e-06,4.7321446e-06,-1.1306005e-05,3.6977071e-06,-5.5687815e-06,7.50857e-07,-2.5089284e-06,3.7816808e-05
1983-09-01,-4.7690482e-06,1.8918738e-05,-3.2999706e-06,-9.776082e-06,9.5079304e-07,3.0718256e-06,3.760818e-05,5.3058684e-06,-7.1769427e-06,-1.1615484e-06,-3.6389865e-06,3.6008714e-05
1983-10-01,-6.9596244e-06,1.5041762e-05,-4.325717e-06,-1.222744e-05,-1.2711098e-07,4.7582216e-06,6.489477e-05,4.410511e-06,-1.3974688e-05,-1.1093944e-06,-6.4641354e-06,4.5388206e-05
1983-11-01,-9.106738e-06,5.384103e-06,6.2915933e-07,-1.517429e-05,1.9788014e-05,3.509922e-07,0.00013602767,4.2922693e-07,-1.2618617e-05,-1.6135746e-06,-5.890415e-06,5.2394575e-05
1983-12-01,-1.2114437e-05,2.5502595e-06,3.828096e-06,-1.4218083e-05,1.8814422e-05,5.9404374e-06,0.00025088515,5.3667172e-06,-1.9352046e-06,6.8131703e-07,3.6020865e-06,4.920433e-05
1984-01-01,-2.0376763e-05,1.1017757e-05,8.098861e-06,-2.0450556e-05,2.6423946e-05,1.6011036e-05,0.00028030222,4.5814304e-06,-7.684488e-06,1.5389378e-07,1.181307e-05,5.407146e-05
1984-02-01,-1.6719947e-05,8.123461e-06,6.336042e-06,-2.0147192e-05,3.0638308e-05,1.6437389e-05,0.00025713144,1.2033779e-06,-1.2677767e-05,4.4905755e-07,6.5410204e-06,7.012538e-05
1984-03-01,-1.552287e-05,6.959177e-06,2.1380838e-06,-2.3722016e-05,2.9301846e-05,6.0080783e-06,0.00016603078,1.7035272e-06,-1.7761238e-05,-5.8970763e-06,-2.3386456e-06,6.455816e-05
1984-04-01,-1.1226519e-05,1.1468706e-05,6.9503585e-07,-1.1300312e-05,3.3597535e-06,8.721996e-06,0.00015682312,2.974397e-06,-8.160037e-06,-4.4458284e-06,-2.3304528e-06,5.7720077e-05
1984-05-01,-9.627685e-06,1.2509998e-05,2.4086548e-06,-1.633459e-05,1.5264915e-05,1.2255827e-05,6.99122e-05,4.655223e-06,-2.3385852e-05,-3.1667587e-06,-2.478031e-06,5.243163e-05
1984-06-01,9.648502e-06,7.4019335e-06,-4.118483e-07,-1.030002e-05,-1.21940175e-05,9.1401525e-06,1.81832e-06,4.7372087e-06,-7.397517e-06,-2.6338166e-06,-3.4701297e-06,2.5874604e-05
1984-07-01,-2.6584166e-06,9.623902e-06,3.78611e-06,-5.2903415e-06,-4.052272e-06,8.066061e-06,4.9602924e-05,7.770897e-06,-6.6923967e-06,-1.6335252e-06,-1.0537791e-05,5.2464427e-05
1984-08-01,3.269568e-06,1.2223027e-05,-2.1828673e-06,-4.3966356e-06,7.82829e-06,4.966787e-06,-1.7138103e-05,2.2446693e-06,-4.4130356e-06,-3.2159587e-06,-7.3237316e-06,3.302426e-05
1984-09-01,-1.3301542e-06,1.796243e-05,-4.035872e-06,-8.324023e-06,-1.5850834e-05,3.6959245e-06,7.393798e-05,-1.1005759e-06,-7.791081e-06,1.539549e-06,-3.1831587e-06,4.813528e-05
1984-10-01,-9.947456e-06,1.2764176e-05,-1.7893035e-06,-1.7925224e-05,-1.1382304e-05,6.0326784e-06,0.00011225259,1.9085055e-06,-4.4376284e-06,7.524286e-07,-6.880975e-06,5.4087857e-05
1984-11-01,-1.3407494e-05,9.295938e-06,1.1295924e-06,-1.6432976e-05,6.0326784e-06,-5.9284503e-08,0.00012917562,-7.890121e-07,-1.0980548e-05,-5.749491e-06,-7.5369026e-06,4.5806722e-05
1984-12-01,-1.7113503e-05,6.7705987e-06,4.4830376e-06,-2.2639731e-05,4.2124666e-06,1.0353622e-05,0.00022851644,-1.3629542e-06,4.376452e-06,-2.7486094e-06,-6.0043385e-07,4.544596e-05
1985-01-01,-1.9590887e-05,-5.092581e-06,4.878246e-06,-2.4731824e-05,1.4261532e-05,7.841845e-06,0.00021498269,1.9524305e-07,1.4826364e-06,-4.8420115e-06,6.027396e-06,3.9957573e-05
1985-02-01,-6.509581e-06,4.1611056e-06,4.342546e-06,-4.3581604e-06,2.8362385e-05,8.64538e-06,0.00021531103,5.828668e-06,-7.831535e-06,1.7936836e-06,1.3371588e-05,4.5245393e-05
1985-03-01,-1.0933378e-05,-5.532638e-08,4.6536006e-06,-2.1249805e-05,-1.8459017e-05,5.4571356e-06,0.00019495464,1.551758e-06,-1.3231678e-05,-3.8138242e-06,2.4330584e-06,4.3093976e-05
