,abs_vo500GLB_cluster1,abs_vo500GLB_cluster2,abs_vo500GLB_cluster3,abs_vo500GLB_cluster4,abs_vo500GLB_cluster5,abs_vo500GLB_cluster6,abs_vo500GLB_cluster7,abs_vo500GLB_cluster8,abs_vo500GLB_cluster9,abs_vo500GLB_cluster10,abs_vo500GLB_cluster11,abs_vo500GLB_cluster12
1973-03-01,1.7087898e-05,-6.5081374e-05,9.709909e-05,-2.542519e-05,6.7634726e-05,7.202348e-06,-4.437938e-05,-8.826955e-05,3.4600544e-05,-8.737945e-06,0.00021349487,8.0988975e-05
1973-04-01,2.8209912e-05,-6.8629444e-05,8.844568e-05,-2.432803e-05,6.674107e-05,1.0697333e-05,-4.5803918e-05,-9.867488e-05,3.3521075e-05,-5.950802e-06,0.00019342746,7.4308686e-05
1973-05-01,3.635013e-05,-6.88418e-05,9.177255e-05,-2.5858742e-05,7.6880955e-05,1.02637805e-05,-4.936084e-05,-8.2518316e-05,3.428201e-05,-3.853711e-07,0.00014066647,7.896277e-05
1973-06-01,2.9855653e-05,-7.4840784e-05,9.550643e-05,-2.0231375e-05,4.5196044e-05,9.060446e-06,-4.8139806e-05,-9.132214e-05,4.8279642e-05,-4.729769e-06,0.00011142363,8.276744e-05
1973-07-01,2.7183536e-05,-6.4028456e-05,9.6568205e-05,-1.6055092e-05,5.1805546e-05,7.9898255e-06,-4.938738e-05,-8.787139e-05,4.3581324e-05,-1.0967655e-05,3.3790733e-05,7.829916e-05
1973-08-01,3.1200558e-05,-6.8390545e-05,9.101162e-05,-2.2770771e-05,5.6220728e-05,4.7514345e-06,-4.4768694e-05,-9.062314e-05,4.9757273e-05,-9.481177e-06,7.27399e-05,6.332825e-05
1973-09-01,3.0572344e-05,-7.01867e-05,0.00010406251,-1.9222698e-05,5.4203367e-05,3.4773125e-06,-4.4184722e-05,-9.686987e-05,4.2475313e-05,-1.4719233e-05,9.288694e-05,7.8016026e-05
1973-10-01,3.0970506e-05,-6.7788875e-05,9.7045995e-05,-2.3779448e-05,6.258248e-05,6.4945066e-06,-4.328222e-05,-9.732112e-05,4.865126e-05,-1.0596035e-05,0.00014976229,6.658433e-05
1973-11-01,2.5997897e-05,-5.134918e-05,9.575418e-05,-2.5009329e-05,5.4875818e-05,6.582982e-06,-4.7555834e-05,-8.314653e-05,4.4687335e-05,-9.012234e-06,0.00017046675,6.616847e-05
1973-12-01,2.2060505e-05,-6.478939e-05,0.00010002779,-2.4372268e-05,6.741352e-05,6.2998456e-06,-3.8636987e-05,-8.939326e-05,4.126313e-05,-1.1436598e-05,0.00030616063,7.348582e-05
