,ssta30GLB_cluster1,ssta30GLB_cluster2,ssta30GLB_cluster3,ssta30GLB_cluster4,ssta30GLB_cluster5,ssta30GLB_cluster6,ssta30GLB_cluster7,ssta30GLB_cluster8,ssta30GLB_cluster9,ssta30GLB_cluster10,ssta30GLB_cluster11,ssta30GLB_cluster12
1990-10-01,-4.360199,2.6271057,-9.980103,-4.5515137,-0.70480347,-2.0376587,-7.1343994,0.8529358,-7.2759094,1.632019,3.5822754,-12.264191
1990-11-01,-4.2929993,2.2574158,-8.765961,-6.100708,-2.3146667,-0.7697449,-6.210205,1.0641174,-9.826141,0.5586853,3.7431335,-11.547089
1990-12-01,-2.9021301,1.4658203,-7.1132507,-7.8612976,-3.9297485,-0.38085938,-4.493866,1.5570374,-13.005859,-0.6767273,2.8879395,-9.955017
1991-01-01,-1.7228394,0.3658142,-5.6938477,-9.255005,-4.8518066,-0.24557495,-3.5098572,1.9450684,-14.6604,-1.691864,2.7456665,-8.742737
1991-02-01,-1.234314,0.016601562,-4.976593,-9.709076,-5.1767273,0.234375,-2.7521057,2.27063,-16.128052,-1.9324646,2.7342834,-8.141754
1991-03-01,-1.6126709,-0.058685303,-5.9677734,-10.387665,-5.709961,0.3034973,-2.5490723,1.9704285,-16.74945,-2.1868896,2.4507751,-7.747162
1991-04-01,-1.9617615,0.00491333,-6.9835205,-9.847534,-6.028076,0.19741821,-3.6768188,1.9815979,-16.09256,-2.58078,2.8007507,-8.712891
1991-05-01,-3.1120605,1.0971985,-8.783844,-8.169586,-4.83667,-0.29049683,-5.0249023,1.5089111,-12.779144,-1.2478638,2.9142456,-10.572754
1991-06-01,-3.7447815,1.6153259,-9.614807,-4.7312317,-1.9058228,-1.0213623,-6.4763184,0.82141113,-10.099426,0.07562256,2.8686218,-11.368927
1991-07-01,-4.0240784,1.7739563,-10.363953,-2.000702,0.48968506,-1.9430542,-7.4732666,0.47491455,-8.098022,1.8130188,3.276947,-12.535553
1991-08-01,-4.4418945,2.793396,-10.431519,-0.77493286,2.3811646,-2.8454895,-7.682373,0.027557373,-5.082855,2.8448486,3.0597534,-12.602142
1991-09-01,-4.9547424,3.0920715,-10.566956,-2.041687,1.7658691,-2.8008118,-8.196167,-0.01449585,-5.7896423,3.076355,2.850006,-13.474304
1991-10-01,-4.892334,2.5783691,-10.444977,-3.7924805,-0.8412781,-2.2885437,-7.9088135,0.24188232,-7.387024,2.0474854,2.9886475,-13.235107
1991-11-01,-3.835846,1.967926,-9.847839,-5.5985413,-2.588745,-1.4474182,-6.8771057,0.28240967,-9.263611,0.5116272,3.163086,-12.157166
1991-12-01,-2.7410583,0.866333,-8.098297,-7.2691345,-4.3865356,-0.60235596,-4.7958984,1.3671875,-11.918701,-1.1308289,3.2971497,-10.941345
1992-01-01,-1.4138184,0.20257568,-6.554535,-8.362244,-5.230255,0.14395142,-3.730133,1.840271,-13.430328,-2.4000244,2.9964905,-9.709808
1992-02-01,-0.8986206,-0.17398071,-5.937622,-8.861847,-5.7191772,0.055145264,-3.273529,1.6167603,-14.861847,-2.7121277,2.910553,-9.937653
1992-03-01,-1.0995178,-0.20629883,-7.176056,-8.883026,-6.0440674,0.1133728,-3.975769,1.8406982,-16.410309,-3.0186157,2.74115,-10.73819
1992-04-01,-1.7799683,0.38909912,-7.9674377,-8.479919,-5.693756,-0.493927,-4.6702576,1.544342,-15.80423,-3.2771912,2.933075,-11.358093
1992-05-01,-2.913269,0.90802,-9.077484,-8.116486,-4.9927063,-0.6759033,-5.8379517,1.362854,-14.079224,-2.2046204,3.2020264,-12.3315735
1992-06-01,-3.8782349,1.9255981,-9.8758545,-6.373291,-3.1681519,-1.3497925,-6.80777,0.8730469,-10.041016,0.09075928,3.089569,-12.704163
1992-07-01,-4.358124,2.3461914,-10.221069,-3.5700378,-0.29174805,-1.839325,-7.524994,0.44256592,-7.191742,2.0894775,3.1575317,-13.350159
1992-08-01,-4.5586243,2.692047,-10.932587,-1.857727,0.5583801,-2.405548,-8.086853,0.38058472,-3.9691467,2.1209717,3.0224,-13.749268
1992-09-01,-4.684143,2.5597534,-11.012573,-2.503479,0.4769287,-2.7069092,-8.415802,0.32724,-5.2368164,2.0753784,3.3381653,-13.462585
1992-10-01,-4.3796997,2.9542847,-10.839905,-4.464966,-0.9217224,-2.2009583,-7.8623962,0.5861511,-8.007721,1.4914551,3.562683,-13.1562195
1992-11-01,-3.353119,2.168335,-9.117706,-5.788574,-2.6585083,-1.7541504,-6.2036743,0.8833008,-10.289429,0.16348267,3.4887695,-11.709656
1992-12-01,-2.3471375,1.3898621,-7.6462708,-6.6401978,-3.6060486,-0.94485474,-3.1773682,1.3356018,-13.032562,-1.0465698,2.878357,-9.812897
1993-01-01,-0.7074585,0.09921265,-5.8330994,-8.431,-4.8305054,-0.06359863,-1.3693848,1.3494263,-14.441803,-2.2803345,2.6844482,-9.001282
1993-02-01,-0.25442505,-0.12475586,-5.8153076,-8.884552,-5.8172607,0.8135071,-2.169464,1.7493286,-15.574799,-2.750946,2.631073,-8.869934
1993-03-01,-0.5798645,-0.29275513,-6.358124,-9.457123,-6.4980164,1.4677734,-2.382782,1.8284607,-15.695984,-3.1533813,2.739441,-8.24588
1993-04-01,-1.5983276,0.3859253,-7.256714,-9.304321,-5.5985413,0.77633667,-3.952057,1.6361389,-16.261658,-2.7281494,3.0832825,-10.31427
1993-05-01,-2.0942993,1.2171936,-8.892242,-8.882477,-5.5095825,0.05178833,-5.720642,1.4633484,-14.531128,-2.4559326,3.1254272,-11.487213
1993-06-01,-3.1832275,1.7913208,-9.901245,-6.4713135,-2.1698914,-0.642334,-7.466614,1.0441284,-11.168518,-0.058410645,3.1370544,-12.422638
1993-07-01,-4.19046,2.2409668,-10.366455,-3.5646057,-0.55093384,-1.2011414,-7.570648,0.757782,-7.829468,1.9762878,3.0798035,-12.321472
1993-08-01,-4.348358,2.58609,-10.330841,-1.2976379,0.5979309,-1.7635803,-7.95813,0.53796387,-5.908081,2.2288208,3.116394,-12.241028
