,mgv200GLB_cluster1,mgv200GLB_cluster2,mgv200GLB_cluster3,mgv200GLB_cluster4,mgv200GLB_cluster5,mgv200GLB_cluster6,mgv200GLB_cluster7,mgv200GLB_cluster8,mgv200GLB_cluster9,mgv200GLB_cluster10,mgv200GLB_cluster11,mgv200GLB_cluster12
1985-10-01,0.3384739,-0.31655064,-0.046119083,-0.23273425,0.5828382,0.7428514,0.2263176,-0.8353567,-0.73429596,-0.4094572,-0.26067305,-0.44314417
1985-11-01,0.40745202,-0.4630623,-0.21174672,-0.31708533,0.26642132,0.50289845,-0.0065502524,-0.53631806,-0.4210872,-0.3144118,-0.30612373,-0.47255343
1985-12-01,0.54540837,-0.7190565,-0.18207006,-0.31855577,1.3994801,0.7098327,0.4447483,-0.5125233,0.057882786,-0.25091457,-0.90032464,0.24877568
1986-01-01,0.20347977,-0.32906708,-0.3428053,-0.23393711,1.7749407,0.6748532,0.29848033,-0.13841815,0.3698927,-0.5232155,-1.0814241,0.2047759
1986-02-01,0.6497099,-1.0039203,-0.2800764,-0.10860898,0.825195,0.40747815,0.8210478,-0.52982527,0.66604006,-0.135178,-1.0609466,0.3784466
1986-03-01,0.1445096,-0.20140609,-0.029031515,-0.07322683,1.1048826,0.2904448,0.68107426,-0.39918342,-0.14736089,-0.18779764,-0.8100313,-0.18028054
1986-04-01,-0.1995917,-0.7369339,-0.38272357,-0.20270224,0.3549881,0.15448916,0.13738129,0.10731296,0.13660374,-0.016589403,-0.05508213,-0.33969468
1986-05-01,0.3009428,-0.2830573,0.14386158,0.08359523,0.22227268,0.07918868,-0.297962,-0.25311857,-1.1210835,0.4273077,-0.023976922,-0.48874044
1986-06-01,0.23497388,-0.21812522,0.6013672,0.044972945,0.5011827,-0.10588727,-0.003240204,-0.36859664,0.50442255,-0.011275649,-0.572595,-0.09603729
1986-07-01,0.6406374,-0.5947574,0.57363176,-0.32025397,1.2510772,-0.4183649,0.091630556,-0.042251207,0.51012534,-0.43417674,0.36639333,-0.407867
1986-08-01,0.20931211,-0.43845373,0.20011011,-0.41058865,-0.14852731,-0.03214202,-0.022032738,-0.70142233,0.06143278,-0.27126327,0.40825576,-0.46618924
1986-09-01,0.39620247,-0.5353983,0.28305733,-0.3625052,0.37481767,0.2833166,-0.12260647,-0.44959974,0.45659852,-0.24780479,0.13025303,-0.08203993
1986-10-01,0.3836308,-0.052101184,0.060007095,-0.34319407,1.1731845,0.48770356,0.31429213,-0.039918326,-0.88442457,-0.45491356,-0.14412077,-0.6184751
1986-11-01,0.69079465,-0.45491347,-0.07672615,-0.3367138,0.7790556,0.7126979,0.28551984,-0.81042016,-0.6891099,-0.35563612,-0.56585544,-0.42199397
1986-12-01,0.4361208,-0.9900528,0.16343188,-0.19479632,0.8883127,0.71049464,-0.06259923,-0.03577099,-0.35667297,-0.4870556,-1.1742214,-0.044713687
1987-01-01,0.32323226,-0.7033308,0.024201583,-0.012175036,1.1774148,0.5285746,0.39672774,0.10363624,0.0031179904,-0.28655863,-0.7897438,0.27928334
1987-02-01,0.4823985,-0.3857407,0.17520161,0.031773876,1.3012438,0.37594128,0.47571737,0.34030703,0.18321939,-0.036525153,-1.0261177,-0.14045835
1987-03-01,0.665024,-0.35010642,0.14699125,-0.14491257,0.352779,0.47126284,0.06636878,0.09190674,-0.21321163,-0.00534513,-0.7763809,-0.3893041
1987-04-01,0.44275546,-0.10749664,0.15337572,-0.204006,0.6705176,0.44839755,-0.070377626,-0.8102336,-0.75173414,-0.35604545,-0.5184782,-0.23592837
1987-05-01,0.40890294,0.2807681,0.39940047,0.041573286,0.10749664,0.3486216,0.26413885,-0.25463635,0.101260565,0.080770925,0.06132059,-0.20727253
1987-06-01,-0.071120024,0.012917399,0.47586566,0.35604545,0.027022649,-0.2982883,0.18633747,-0.35678786,0.037861444,0.25656655,0.43013495,-0.559606
1987-07-01,0.5852924,-0.08522525,0.22419874,0.0693383,0.60207015,0.24691562,0.07334709,-0.87571156,0.32649875,0.36272687,0.3446128,-0.18024978
1987-08-01,0.21915054,0.031625368,0.30600905,-0.2004426,0.4296896,-0.24543075,0.0054935454,-0.4164753,0.87749326,-0.40771514,0.60489124,-0.09992437
1987-09-01,0.29769439,-0.693086,0.3083847,-0.20519385,0.15248485,0.19598827,0.12650147,-0.38737386,-0.5042244,-0.1701535,0.20742097,-0.3753473
1987-10-01,0.48046836,-0.13288602,0.2933886,-0.038603734,0.6617576,0.5080849,0.18203154,-0.26532665,-0.75856394,-0.0693383,-0.6308745,-0.09383683
1987-11-01,0.4619089,-0.32887435,0.019153405,-0.073198654,1.2259665,0.3658449,0.020341206,-0.37490192,-0.50006723,-0.29249778,-0.8301293,-0.072901726
1987-12-01,0.11699915,-0.54312533,0.026428724,0.17252907,0.8864018,0.4559698,0.2665144,-0.10185452,-0.45953313,-0.40608191,-0.7321352,0.26740536
1988-01-01,0.13382483,-0.5907545,-0.1335537,-0.21693993,0.78410214,0.24514207,0.062099077,-0.21965167,-0.13545187,-0.21680431,-0.7180711,0.11755433
1988-02-01,0.11375789,-0.8569126,0.19253416,-0.1241981,1.6880636,0.57814485,0.4310325,0.24026099,-0.4025591,-0.11091051,-0.3631031,0.032812167
1988-03-01,0.3795093,-0.315512,-0.28636068,-0.113757834,0.8319646,0.28459805,0.019660186,0.048133563,0.05965843,-0.34968,-0.69217384,0.7523747
1988-04-01,0.45231968,-0.94233274,0.03945594,-0.26480228,0.49584326,0.4898774,-0.3209355,-0.39822036,0.32093555,-0.012745214,-0.47008172,-0.17911105
1988-05-01,0.2820219,-0.67576784,0.29002154,-0.0017626286,0.7980677,-0.19158506,0.061149932,-0.79210186,-1.0025337,0.04786239,-0.66058207,-0.45774326
1988-06-01,0.40188116,-0.17558566,0.25544673,-0.03389686,1.3882799,0.070776656,0.033354472,-0.83169335,-0.55658644,-0.016812842,-0.2448709,-0.14724794
1988-07-01,0.34100237,-0.5235031,0.40689793,0.07430191,0.17843309,-0.30235997,0.22236338,-0.47997957,0.49421626,0.15307823,0.17206046,-0.183043
1988-08-01,0.2384983,-0.026846314,0.27673402,-0.2957162,-0.057353497,-0.3225626,0.16961995,-0.4112367,0.37422138,-0.17924662,0.26656494,-0.40133888
1988-09-01,0.31442723,-0.43157488,0.39903387,0.31781697,0.54357004,-0.028337765,-0.13328242,-0.65800583,0.24080324,0.1297572,0.2121944,-0.52445227
1988-10-01,0.2897504,-0.118910216,0.056404375,-0.2409389,1.1952034,0.34493446,0.005287933,-0.6878351,-0.4749628,-0.37611955,0.09409771,-0.48201337
1988-11-01,0.28066602,0.14019737,-0.0059658466,-0.52974015,0.6376678,0.23592214,-0.021422815,-0.18046689,-0.16094227,-0.29300448,-0.6718358,0.20772
1988-12-01,0.21232995,-0.5804499,-0.44594708,-0.49611443,1.7996521,0.581399,0.5182152,-0.064539626,0.25015885,-0.6463454,-0.45530266,0.051116467
1989-01-01,0.21344872,-0.39175943,-0.120303154,-0.05896034,0.7593391,0.35221422,0.53886276,0.27312383,-1.5525061,0.2022522,-0.63045996,-0.19951262
1989-02-01,0.14079037,-0.6766754,-0.021082878,-0.32184067,1.3011796,0.724082,0.39997807,-0.741115,-0.96171033,-0.5074172,-0.57757413,0.4769245
1989-03-01,0.48085517,-0.6112828,-0.05157547,-0.3648401,0.14912824,0.49622065,0.48788276,-0.28015146,-0.06956144,-0.22285858,-0.28956127,-0.21392517
1989-04-01,0.09850563,-0.18200314,-0.19927439,-0.1360259,0.91668606,0.14579311,0.2388196,-0.25859216,-0.30075783,-0.0913589,-0.07504062,-0.47811565
1989-05-01,0.19689217,-0.20618287,0.16306433,-0.23071997,0.48931217,0.03644829,-0.014174318,-0.64284754,-0.41450977,-0.18402806,-0.46644264,-0.28217635
1989-06-01,0.25156456,-0.025132561,0.4073631,0.23238754,0.28443947,-0.37222502,-0.0013103485,-0.9135891,0.05360031,0.003811586,-0.0590796,-0.3590036
1989-07-01,0.44845667,-0.4099835,0.53028667,-0.109106615,0.30623698,-0.2227395,0.052409172,-0.72741705,0.9159714,0.03382782,0.15532206,-0.2724091
1989-08-01,0.04919324,-0.3104059,0.37413085,0.010720086,0.44142905,-0.4900269,0.27633992,-0.93979377,0.16175404,0.07801837,0.18664853,-0.40938798
1989-09-01,0.37556022,-0.123281,0.1038657,-0.15984833,0.06956144,0.032398604,0.15020028,-0.42308584,0.16282615,-0.17473733,0.40247947,-0.17676239
1989-10-01,0.30528408,-0.46918225,0.06682186,-0.23870048,0.3999781,0.089095786,0.22023806,-0.29897112,-0.4920517,-0.27062246,-0.26728734,-0.2512072
1989-11-01,0.18116932,-0.66285837,-0.021440148,-0.14591222,1.1575305,0.4492905,0.16032478,-0.19665384,-0.40855414,-0.2777692,-0.78554374,-0.5757874
1989-12-01,0.59687024,-0.83402234,0.0004764557,-0.027038574,0.93788797,0.9153757,0.16294527,-0.3993826,-0.38735232,-0.047049332,-0.47227913,0.30194896
1990-01-01,0.24471608,-0.20347175,-0.16366777,-0.34959432,0.9664254,0.3477613,0.005499077,-0.42291746,-0.5212491,-0.3870415,-0.6193188,0.37984014
1990-02-01,0.4345707,-0.62429446,0.68085784,0.32903767,0.3710676,0.44556913,-0.15424052,0.3158133,-1.0470809,0.46311435,-1.1875734,-0.061146308
1990-03-01,0.5698257,-0.14153989,0.002487755,-0.25741667,0.8690103,0.34003612,0.11247244,0.05119524,-1.3347433,-0.33885774,-0.122161485,0.041898966
1990-04-01,-0.10880633,-0.3198723,-0.03692341,-0.004713631,0.7650486,0.25820225,-0.2105422,-0.7501221,-0.027103376,0.020949459,-0.53381884,-0.4861587
1990-05-01,0.11024662,-0.15856133,0.16445336,0.02592497,0.3126709,0.0058920383,-0.36831796,-0.3306088,-0.553459,0.06559803,-0.12451844,-0.15777573
1990-06-01,0.0014402628,-0.120590374,0.37355527,0.037709046,0.61958075,-0.23044424,0.0130933765,-0.7794514,0.87189084,-0.03823278,0.038363717,-0.3392504
1990-07-01,0.4599719,-0.501478,0.44386697,-0.13001767,0.1301486,-0.09073754,-0.016235733,-0.4928364,0.49165788,-0.27810425,0.45565104,-0.5666833
1990-08-01,0.4415102,-0.31712264,0.33021608,0.0041899206,0.35391513,0.24366856,0.29564935,-0.5365684,0.9068502,0.08327415,0.57480115,-0.11901913
1990-09-01,0.12870836,-0.27771145,0.2622612,-0.1945682,1.5221102,0.025270319,0.28687686,-0.42684555,0.9402386,-0.060360692,0.29853,-0.38573208
1990-10-01,0.069264196,-0.25702387,0.24785848,-0.0788224,0.5734919,0.368187,0.15057436,-0.6060945,-0.79725844,-0.31424212,-0.18553376,0.02409191
1990-11-01,0.117971756,-0.69984335,-0.6935585,-0.5084175,0.44412884,0.38795805,0.28491288,-0.46795887,0.15568078,-0.66436017,-0.7513005,-0.15149088
1990-12-01,0.27443808,-0.66724074,-0.21892199,-0.2540124,0.61041534,0.31306368,-0.13512401,0.23437223,0.6165692,-0.31424206,-0.9204674,-0.0051064016
1991-01-01,0.3577528,-0.76383275,0.20320491,0.09500494,1.2723398,0.46892175,0.28451985,0.11958082,-1.0927212,-0.17038211,-1.1293378,0.32064152
1991-02-01,0.3958537,-0.91508186,-0.31602317,-0.65563273,0.8603221,0.30200344,0.45374736,0.31008545,0.1642793,-0.4532525,-0.763008,0.24740858
1991-03-01,0.26060373,-0.5464431,-0.14135274,-0.2259665,0.4738699,0.14168265,0.13871375,0.0491518,0.08477867,-0.1550427,-0.8423438,0.2657168
1991-04-01,0.22926529,-0.6610758,-0.07669668,-0.3956888,0.66948766,0.19858663,-0.038100887,-0.6383141,0.2731391,-0.28583938,-0.2810563,0.23602779
1991-05-01,0.0750473,-0.44813937,-0.08147991,0.13277595,0.8073767,0.0696043,0.5231867,-0.13030188,0.68284774,0.041894507,-0.59823394,-0.23223421
1991-06-01,-0.00016493797,-0.19198905,0.5205477,-0.044038724,0.81578857,-0.14003326,-0.2909525,-0.28748876,-0.13986826,0.1439918,-0.1030869,-0.07356282
1991-07-01,0.24608907,-0.3290534,0.57827634,-0.11133385,0.28583938,-0.46116957,0.10127258,-0.6617355,0.26010895,0.010556102,0.43791324,-0.22910032
1991-08-01,0.4001422,-0.47288027,0.49069375,0.04783233,0.1401982,-0.26043883,-0.010061264,-0.6191813,0.7620184,0.055584453,0.26769608,-0.26835585
1991-09-01,0.3500007,-0.3099205,0.5134553,-0.0,0.39882264,0.39255494,-0.020452404,-0.33202237,0.80341804,-0.07191342,-0.010721063,0.04453354
1991-10-01,0.14217746,-0.52566075,0.3015086,-0.030513715,0.7392567,0.376226,0.092530824,-0.64276755,-0.42950124,-0.03183323,-0.21738967,-0.1123235
1991-11-01,0.6407882,-1.1522642,-0.30810618,-0.30002412,0.9884796,0.6091199,-0.036616467,-0.066305496,0.03843081,-0.7202889,-0.45226288,0.09220095
1991-12-01,0.6637146,-0.34059912,-0.010226059,-0.043214034,1.2581551,0.99474734,0.15190887,-0.5635967,-1.0184988,-0.033317756,-0.3866171,0.43049097
1992-01-01,0.3822151,-0.31155342,0.048713684,0.19726364,1.1210839,0.56328535,0.17437892,0.31489915,-0.6297983,0.15055741,-0.6300659,0.29241592
1992-02-01,0.48901042,0.2874643,0.22831193,0.13021536,1.342838,0.5199249,0.020341968,0.2086391,-0.999032,-0.03519697,-0.60383546,0.56676495
1992-03-01,0.54227424,-0.10465412,0.105992414,-0.5478951,1.3265111,0.35290655,-0.42664623,-0.056341935,-0.122319505,-0.5298282,-0.873099,0.15657969
1992-04-01,0.47067586,0.2797022,0.079092816,-0.2086391,1.0284742,0.2901408,0.06490698,-0.43574658,0.3155683,-0.25333792,-0.57613295,-0.17063174
1992-05-01,0.3894418,-0.07855749,0.48044538,-0.026230443,0.15002207,0.16715217,0.10987345,-0.5351814,-0.5239398,-0.012713718,-0.60744894,0.04804454
1992-06-01,0.025962781,-0.45595473,0.5547204,0.23634167,1.0955225,0.06664674,0.046973895,-1.331998,-0.509754,0.3309586,-0.36642325,-0.5021256
1992-07-01,0.052193213,-0.33109245,0.5163115,-0.0037472069,0.6624526,-0.19030456,-0.19124126,-0.27381372,1.4108232,0.2890702,0.17143469,-0.4171444
1992-08-01,0.33256453,-0.6520139,0.49463123,-0.4140663,0.13797751,-0.17250529,0.12954617,-0.40871316,0.019806683,-0.14761315,0.40068346,-0.41259423
1992-09-01,0.15577674,-0.36976895,0.45247516,-0.03345721,0.015791798,-0.18535289,-0.034393977,-0.13663921,0.116029546,-0.15082505,0.29616308,0.10077305
1992-10-01,0.102780506,-0.7525193,0.22871342,0.18923393,0.73164207,0.26926357,0.29536018,-0.5513746,-0.26511484,-0.047107734,-0.48847508,-0.28933787
1992-11-01,0.55659395,-0.37632656,-0.34260172,-0.35237128,0.9303778,0.5185866,0.0060222866,-0.12994775,-0.31369478,-0.40135255,-0.5484303,0.057947874
1992-12-01,0.34487686,-1.091106,-0.207167,-0.044029713,0.7584077,0.56622964,0.24115948,-0.32694373,-0.39680228,-0.24450517,-0.7857089,0.016460944
1993-01-01,0.5193033,-0.36179453,0.14334813,-0.15565172,0.9296157,0.67193735,0.093901634,0.19058922,-0.8816782,0.0060358047,-0.8992052,0.114678524
1993-02-01,0.2273838,-0.88608897,-0.20173207,0.056875087,1.03733,0.48529443,0.5761784,0.1517053,-0.61494637,-0.09297333,-0.7312498,-0.17294636
1993-03-01,0.55331236,-0.30294627,-0.113866046,-0.31130347,1.0513747,0.54216945,0.1277946,-0.04271426,-0.385473,-0.45685697,-1.009705,-0.170741
