,zgu600GLB_cluster1,zgu600GLB_cluster2,zgu600GLB_cluster3,zgu600GLB_cluster4,zgu600GLB_cluster5,zgu600GLB_cluster6,zgu600GLB_cluster7,zgu600GLB_cluster8,zgu600GLB_cluster9,zgu600GLB_cluster10,zgu600GLB_cluster11,zgu600GLB_cluster12
1971-09-01,-0.1469799,0.30081862,-0.05585251,-0.07381668,0.8351719,0.23418769,-0.1727829,0.25313187,-0.43440706,-0.14469337,-0.310944,-0.10451889
1971-10-01,-0.16135101,0.33348083,-0.09537353,-0.105825424,0.74829024,0.17506905,-0.038541414,-0.04736023,-0.43375358,0.022209931,-0.47850075,0.13652763
1971-11-01,-0.14665298,0.2795883,-0.029069519,0.02253685,0.90474206,0.29036674,0.008818817,0.08753471,-0.83582497,0.21720353,-0.052259445,-0.15089913
1971-12-01,-0.0026130676,0.23745385,0.091127396,-0.25378495,1.4991939,0.18552132,-0.12901536,0.122809984,-1.2395298,0.18944053,-0.14077397,-0.031028748
1972-01-01,-0.094969556,0.40484008,0.06369553,-0.17473221,0.9987583,0.08091049,-0.3061405,-0.12681732,-1.3008821,0.18936539,-0.13456401,-0.014919663
1972-02-01,0.03012619,0.4295147,-0.19166069,-0.06340866,0.78127515,0.23871498,-0.5250584,-0.073163986,-1.2584184,0.169281,-0.07172928,0.16354294
1972-03-01,-0.09898643,0.43640098,0.056235887,-0.20485878,0.74368894,0.17100258,-0.40311852,-0.18592224,-0.9189955,0.23498535,-0.12624359,-0.08320618
1972-04-01,-0.30814895,0.34028396,-0.030987168,-0.25736466,0.78701365,-0.03270874,-0.090378955,-0.0034431457,-0.71757966,0.1486229,-0.14804916,0.054801177
1972-05-01,-0.33167648,0.34200516,0.094969556,-0.13399048,0.67970693,0.21977882,-0.07603302,0.16382942,-0.47054443,0.09984741,-0.32593784,0.023814391
1972-06-01,-0.18907814,0.29839364,0.059965514,-0.08865776,0.5715389,0.26195526,-0.020371247,0.47197837,-0.45046005,-0.10415077,-0.74081993,-0.041028976
1972-07-01,-0.19940758,0.20744133,0.07574616,-0.07832833,0.75430524,0.10558548,-0.10099487,0.519894,-0.26740685,-0.2407238,-0.7984905,0.07459831
1972-08-01,-0.15636978,0.12251358,0.0622612,-0.074885175,0.5979355,0.063121416,-0.03127403,0.4955059,0.20170288,-0.2476097,-0.61199415,0.027544022
1972-09-01,-0.15866509,0.27945748,0.014059067,0.019797135,0.7729546,0.3018368,-0.026396561,0.104437634,-0.30040208,-0.17042884,-0.35606423,-0.013484955
1972-10-01,-0.09439583,0.3549164,-0.054227065,0.02639618,0.8314861,0.3322502,0.15206642,0.33224982,-0.5982224,0.038446806,-0.28978616,-0.0014347077
1972-11-01,-0.14632797,0.1839138,0.022092437,0.017501831,1.1146733,0.18735695,0.0846405,-0.0791893,-1.0461,0.1801838,-0.17559338,0.03328247
1972-12-01,0.057957076,0.19969444,-0.15837821,-0.2008419,1.3031776,0.10931549,-0.080049515,0.102429196,-1.2021828,0.19280854,-0.18190555,0.10099487
1973-01-01,0.06052513,0.3822647,-0.24369392,0.05096855,0.95215833,0.20323753,-0.10161896,-0.019431686,-1.3621376,0.17106362,-0.39819258,0.07517891
1973-02-01,0.16086999,0.24241944,-0.0031852722,0.035040665,1.1079315,0.17297478,-0.07167473,0.014653397,-1.4137434,0.24210091,-0.25356904,-0.020705795
1973-03-01,-0.13825265,0.3182354,0.011786652,-0.021343231,0.85245097,0.14080124,-0.27491227,0.05829544,-1.0754387,0.20196342,-0.11499806,-0.039500427
1973-04-01,0.010830688,0.34467584,-0.0958847,0.09652214,1.013958,0.056383897,-0.2360485,0.093336485,-0.7871475,0.15577278,-0.56638926,-0.08728371
1973-05-01,-0.16915207,0.49503326,-0.023572922,-0.004460144,1.0002601,-0.031536866,-0.017201614,-0.05956955,-0.53294104,0.0054157255,-0.5268885,-0.018157577
1973-06-01,-0.26248854,0.35391387,0.044916153,-0.06657791,0.95789224,0.13506699,-0.010512161,0.6979519,-0.844487,-0.14334945,-0.31632423,0.02006874
1973-07-01,-0.13251877,0.20610467,0.21247558,-0.044916533,1.0034459,0.14844628,0.14685325,0.53931236,-0.19240685,-0.22967759,-0.7033676,0.07581558
1973-08-01,-0.08632813,0.12710342,0.16118851,0.066259764,0.8062607,0.10544129,-0.037589647,0.33957863,-0.015609359,-0.25165787,-0.1707447,-0.05925102
1973-09-01,-0.22266921,0.28351325,0.093336485,-0.06880798,0.9594849,0.12455444,-0.03344803,0.14048234,0.0407753,-0.12742195,-0.7017746,-0.043323517
1973-10-01,-0.08919487,0.39978522,-0.016883468,-0.070718765,0.94100875,0.23031464,-0.035041045,0.18985824,-0.3857689,0.06307373,-0.47878686,-0.09875145
1973-11-01,-0.08664665,0.27459335,0.124873355,-0.06912651,1.0330712,0.12965164,-0.016564941,0.20355645,-0.93973464,0.12901458,-0.46317768,0.042049028
1973-12-01,-0.107989885,0.30421907,-0.026758576,-0.04619026,1.1079315,0.1315628,-0.14175645,0.2911583,-0.78746605,0.11117516,-0.29944077,0.03217392
1974-01-01,-0.006245804,0.3448227,-0.22582778,-0.056210328,0.8464424,-0.0147918705,-0.26724586,-0.10387421,-1.3947399,0.18079376,-0.0042736055,0.07165985
1974-02-01,-0.0437191,0.44475213,0.0,-0.031227876,0.8257332,0.09499893,-0.51476824,0.07100296,-1.3819199,0.21958199,-0.12129593,-0.023338318
1974-03-01,-0.08119278,0.30570564,-0.10190163,-0.064099506,1.0624088,0.2307579,-0.2961727,-0.39610213,-0.99239236,0.20807686,-0.08316536,-0.098286435
1974-04-01,-0.04569168,0.35534135,-0.08710937,-0.039446257,0.7879311,0.146278,-0.0039447783,0.18868294,-0.697863,0.0752758,-0.47072068,-0.014792633
1974-05-01,-0.062784575,0.42535782,0.0874382,0.050950624,0.64954185,0.086452104,-0.0223526,0.04634895,-0.3599434,-0.018079376,-0.299131,0.072646335
1974-06-01,-0.11373596,0.26428756,0.16271362,0.0729744,0.57558095,0.06968765,-0.0082180025,0.26034278,-0.18539543,-0.15778351,-0.4434372,0.091711804
1974-07-01,-0.13707428,0.18539543,0.26198655,0.014792633,0.68898773,0.154496,0.053251646,0.30077475,-0.12458305,-0.2698757,-0.7524296,-0.01676445
1974-08-01,-0.08612366,0.1475933,0.28565368,-0.08678055,0.6022068,-0.026296997,-0.06640053,0.3185253,-0.2442356,-0.25146714,-0.62686044,0.07231712
1974-09-01,-0.23305969,0.33989182,0.15186691,-0.054566957,0.9095558,0.24160576,-0.07231712,0.28795472,-0.3297016,-0.15811196,-0.6015495,0.12754174
1974-10-01,-0.19394226,0.3796665,0.028269196,-0.047992706,0.88260114,0.08743858,-0.34613723,0.16928864,-0.5440239,-0.085466385,-0.28269538,-0.049636077
1974-11-01,-0.14923707,0.50687903,0.07922058,0.04733505,0.781028,0.23766136,-0.37572175,0.16994591,-1.0357826,-0.04010315,-0.3283867,-0.0762619
1974-12-01,0.26198655,0.38919908,-0.35731354,0.044376753,0.79779243,0.098285675,-0.459544,-0.031227876,-1.2944816,0.17356186,-0.16337165,-0.038459778
1975-01-01,0.28628883,0.37654534,-0.10799141,0.18019715,0.79489404,-0.15549508,-0.35722733,0.06207161,-1.202475,0.18368073,-0.2410017,0.13332672
1975-02-01,0.059220888,0.33252525,-0.2505024,-0.12857667,0.72585565,0.036102675,-0.31827432,0.076955415,-1.0615479,0.2159832,-0.44400063,0.089307025
1975-03-01,-0.08772354,0.40979806,0.118442535,0.059220888,0.7078041,0.28977203,-0.36387786,0.12889329,-0.7901436,0.21661682,-0.30370656,0.05732117
1975-04-01,-0.15517846,0.31985778,0.010767746,-0.150745,1.0058101,0.16689606,-0.28660506,-0.0965908,-0.7473904,0.22073364,0.01963501,-0.0965908
1975-05-01,-0.30972403,0.5003716,0.09500732,-0.0731556,0.8005947,0.13554344,-0.14219399,0.14314422,-0.5269737,0.11527558,-0.3660946,-0.14409485
1975-06-01,-0.18653107,0.35374373,0.15422821,-0.012034607,0.652383,0.20173225,0.011717605,0.7993275,-0.3296753,-0.12604293,-0.7831764,-0.028818894
1975-07-01,-0.08899002,0.20236512,0.19761506,0.12287597,0.6910194,-0.02153473,0.0063339234,0.3239746,-0.2020485,-0.20838241,-0.44495088,-0.018684769
1975-08-01,-0.12445984,0.06840515,0.105141446,-0.0006340027,0.39966354,-0.04116974,-0.079806134,0.09754066,-0.26222,-0.24226876,-0.343293,0.15137824
1975-09-01,-0.10229111,0.29420584,0.052886963,0.017734528,0.83194697,0.25335234,-0.10387459,0.39998016,-0.2739376,-0.19983177,-0.6660007,-0.13807717
1975-10-01,-0.20363235,0.4145485,0.09975739,-0.14821091,0.64446604,0.13522682,-0.24986915,-0.049720384,-0.5314072,-0.025651932,-0.17227975,-0.016467666
1975-11-01,-0.09500694,0.36767808,-0.016151046,-0.06998863,0.8075619,-0.017417908,-0.41771546,0.14821129,-1.1052513,0.090573505,-0.16847973,-0.037369538
1975-12-01,-0.16689606,0.27900466,-0.08550644,-0.027868653,1.0726318,0.061437987,-0.4706028,0.055421066,-1.3440361,0.07125511,-0.09880753,0.035786055
1976-01-01,0.043395232,0.33303338,-0.043395232,0.050123215,1.1403878,0.15877914,-0.436644,0.14532395,-0.99304545,0.08309021,-0.35355377,0.027921295
1976-02-01,-0.02657547,0.35792693,-0.08981781,-0.023547744,0.76395875,0.18602829,-0.5271347,0.0040367125,-1.1911834,0.19712906,-0.035321616,-0.0790535
1976-03-01,-0.10159187,0.3485077,0.08813629,-0.1961197,1.0895916,0.16281661,-0.5109879,0.07602616,-1.0606617,0.28190118,0.012783051,0.0040367125
1976-04-01,-0.074007414,0.34985352,-0.023210907,-0.15238838,1.0206302,0.103947066,-0.23076859,-0.10192833,-0.9610878,0.152388,-0.27012712,-0.069970705
1976-05-01,-0.111010745,0.39795837,0.026239013,-0.07737122,0.8019718,0.22673225,0.043395232,0.047431946,-0.6045063,-0.027584458,-0.40872306,0.041713335
1976-06-01,-0.15507889,0.28661042,0.18636474,-0.040703584,0.8127365,0.21159363,0.09890099,0.61560744,-0.3666733,-0.19578362,-0.80533564,-0.20755768
1976-07-01,-0.22202225,0.21394882,-0.0006729126,-0.048441313,0.8507496,0.010091782,-0.0050460817,0.3145317,-0.35187188,-0.2092392,-0.2808918,0.092173
1976-08-01,-0.13724975,0.20587501,-0.011773681,-0.03700409,0.8884258,0.17189904,-0.07468033,-0.09049072,-0.5964325,-0.1984745,0.06828842,0.1836731
1976-09-01,-0.1705536,0.24624291,0.0790535,-0.030612182,0.859832,0.12614898,-0.03935852,0.24220657,-0.2536438,-0.15171547,-0.5675026,-0.022538757
1976-10-01,-0.11336593,0.37777406,0.05382309,-0.089481734,0.76665,0.19780198,-0.18064538,0.11067505,-0.6896149,-0.032966994,-0.34985334,0.034985352
1976-11-01,-0.08443604,0.31083146,0.07669868,0.04104004,1.1629261,0.051805116,-0.45918235,0.07232551,-1.0098652,0.06156082,0.054496385,0.063243106
1976-12-01,-0.016819764,0.28526536,-0.06324272,0.06795235,1.1989205,0.1234581,-0.49685898,-0.0773716,-1.3089225,0.115047835,-0.22202225,0.15844345
1977-01-01,-0.03396759,0.3446331,-0.13445625,-0.07430496,1.2104619,0.048121642,-0.49713477,-0.1241951,-1.3551792,0.1910698,0.00035362242,0.09765778
1977-02-01,-0.03396835,0.33189505,0.040690612,-0.12561111,1.1043117,0.21619186,-0.5537483,-0.15993233,-1.0735283,0.21796112,-0.2027462,-0.013445282
1977-03-01,-0.01946106,0.26502076,0.05873642,-0.059797667,0.94827193,0.14365539,-0.38603172,-0.092350006,-0.9535793,0.19319268,-0.2055767,0.073243715
1977-04-01,0.2055767,0.41327667,0.10862656,0.071474455,1.0176227,0.2430832,-0.22680703,-0.009907532,-1.0024083,0.03927536,-0.19283867,0.065459445
1977-05-01,-0.26891327,0.47236672,0.012384033,-0.09128876,0.82619935,0.11393432,-0.061566927,0.14754829,-0.29615784,0.015568542,-0.22468376,0.004246521
1977-06-01,-0.23176041,0.28625068,0.09128876,-0.09376602,1.0547752,0.052366637,0.17691651,0.4263687,-0.42176858,-0.15250206,-0.74835587,0.109687805
1977-07-01,-0.19566956,0.14330253,0.05873642,-0.07253571,0.50173455,0.10898056,-0.2636055,0.45290604,-0.6011616,-0.2519291,-0.5250877,0.13481025
1977-08-01,-0.2282219,0.117472455,0.11287308,-0.08598175,0.81240004,0.050952148,0.1217186,0.08916588,-0.06758194,-0.21548423,-0.3088959,0.07784309
1977-09-01,-0.16736221,0.16594772,0.059797667,-0.101550296,0.7246494,0.15674743,-0.09942703,0.28518945,-0.22256088,-0.1939003,-0.63052976,-0.015215302
1977-10-01,-0.31632692,0.24839059,0.02830658,-0.13233337,0.65635985,0.081027985,-0.1532093,0.19956169,-0.7879856,-0.062274553,-0.13197975,-0.0668747
1977-11-01,-0.1914238,0.24485207,0.020168304,-0.30181962,1.2366455,0.22786789,-0.09199639,0.2367138,-1.0017006,0.014506912,-0.1157032,0.10827255
1977-12-01,-0.06828995,0.2402523,-0.16064033,0.024768066,1.1460644,0.17337799,-0.18293151,0.0067222593,-1.6601833,0.10791893,-0.27988166,0.18116227
1978-01-01,-0.024145508,0.29144555,0.05577316,-0.072776414,1.0477753,0.3060692,-0.18534164,0.13501053,-1.343642,0.1754795,-0.26900062,0.027546693
1978-02-01,-0.13637085,0.35708046,0.14657287,0.032987215,0.88487893,0.34075624,-0.2989273,0.20438614,-1.0719208,0.14929351,-0.19588394,-0.09828186
1978-03-01,0.1445324,0.48086816,-0.10848465,-0.035367966,0.8525715,0.43971938,-0.27614212,0.04284935,-0.6192791,0.24825554,-0.14181176,0.07753754
