,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12
1983-04-01,101351.29,101045.58,101269.805,101624.29,101805.45,101131.18,101532.84,101821.07,100951.82,102510.57,101338.44,101414.21
1983-05-01,101387.6,101057.6,100912.74,101631.36,101867.86,100808.766,101667.86,102112.77,100958.375,102317.91,101474.74,101015.766
1983-06-01,101536.89,101276.23,100591.61,101591.39,101971.13,100286.22,101905.9,102120.61,100992.625,102030.26,101650.64,101112.61
1983-07-01,101793.56,101324.69,100471.44,101512.92,102093.17,100147.54,101989.58,102214.44,101010.17,102451.195,101725.19,100937.04
1983-08-01,101890.22,101421.73,100704.66,101547.75,102151.52,100283.98,102110.97,102191.625,101043.14,102462.5,101736.625,101039.35
1983-09-01,101735.6,101300.91,101057.6,101381.75,102455.37,100566.74,101893.76,102036.49,101016.016,101993.88,101609.38,101216.4
1983-10-01,101808.8,101212.16,101850.95,101360.414,102206.664,101077.586,101848.7,101947.805,100956.06,102166.05,101405.336,101576.54
1983-11-01,101734.57,101253.805,102445.54,101584.06,102166.43,101561.83,101856.414,101714.195,101107.47,101406.43,101323.08,101740.03
1983-12-01,101921.0,101184.84,102710.375,101458.484,101924.86,101558.23,101641.9,102082.76,101034.016,101035.11,101077.13,101859.24
1984-01-01,101895.14,101103.85,102626.516,101587.76,101843.87,101493.85,101398.72,102463.73,100947.64,100661.35,100919.52,102030.91
1984-02-01,101598.59,101006.46,102525.195,101566.34,101740.805,101450.445,101269.664,101985.305,100850.445,101470.44,100885.664,101594.2
1984-03-01,101541.19,101048.06,101834.195,101696.305,101758.22,101272.57,101356.22,101906.81,100980.34,101131.97,101150.67,101210.33
1984-04-01,101432.195,101102.56,101366.8,101777.305,101965.055,100885.92,101464.57,101916.164,100885.664,102261.086,101274.83,101126.81
1984-05-01,101606.01,101094.37,100997.76,101623.62,102058.63,100680.24,101591.76,102051.734,100891.14,102066.766,101490.88,100909.85
1984-06-01,101697.79,101250.19,100368.414,101584.92,102005.3,100011.56,101765.31,102215.42,100921.195,102139.836,101791.69,101101.59
1984-07-01,101723.91,101260.38,100356.35,101429.875,102026.65,100203.76,101851.48,102031.484,100924.75,102201.234,101750.02,100965.89
1984-08-01,101771.31,101299.08,100411.945,101409.555,102273.086,100258.836,101844.06,102058.96,100955.06,101987.05,101775.18,101096.05
1984-09-01,101563.83,101196.336,101216.586,101347.32,102052.31,100840.32,101781.56,101853.54,100994.914,101947.19,101529.97,101128.555
1984-10-01,101728.29,101114.3,101845.09,101457.22,102190.08,101198.79,101791.17,101956.67,101077.8,101457.28,101458.57,101407.81
1984-11-01,101871.086,101098.43,102216.71,101579.695,102182.92,101484.56,101622.586,102008.72,100995.56,101994.66,101279.34,101715.45
1984-12-01,101811.75,100965.12,102576.53,101422.91,101886.11,101428.77,101459.48,102005.875,100885.016,101405.234,101031.36,101785.5
1985-01-01,101858.305,101038.44,102580.78,101517.195,101891.66,101545.664,101365.67,101995.83,101068.58,100500.3,101039.93,101570.086
1985-02-01,101750.14,101126.11,101870.39,101466.39,101831.38,101186.51,101345.59,102174.99,100684.41,101683.73,100834.98,101951.875
1985-03-01,101677.3,101033.195,102328.305,101522.08,101737.336,101209.914,101365.55,102082.91,100949.04,102673.05,101118.79,101262.57
1985-04-01,101666.336,101106.04,101257.33,101533.695,102041.81,100938.195,101491.7,102152.95,100809.06,102418.18,101245.055,101285.555
1985-05-01,101607.73,101170.37,100880.6,101544.0,102021.5,100544.26,101648.88,102112.39,100796.38,102361.6,101465.734,100971.73
1985-06-01,101667.945,101362.93,100414.29,101474.19,101752.58,100266.695,101958.305,102106.555,100971.67,102012.805,101771.46,101023.19
1985-07-01,101830.31,101357.45,100425.19,101406.055,102121.33,100260.92,101949.08,102110.664,101023.19,102393.164,101770.03,100960.414
1985-08-01,101790.64,101312.0,100338.47,101365.73,102372.85,100337.1,101956.875,102000.77,100976.13,102185.89,101813.87,100921.76
1985-09-01,101724.83,101199.555,101346.07,101225.46,102183.57,100748.555,101857.71,101802.914,100996.69,101879.086,101552.93,101175.55
1985-10-01,101636.14,101083.11,101791.234,101274.78,102014.89,101095.375,101725.78,101751.625,101007.23,102151.64,101473.59,101539.35
1985-11-01,101732.445,101052.555,102173.68,101234.81,102088.33,101385.32,101569.664,101687.66,100963.69,101576.336,101272.57,101607.97
1985-12-01,101938.0,101076.62,102648.51,101413.5,102049.734,101543.52,101461.98,102122.76,100996.266,100958.625,101107.88,101849.484
1986-01-01,101931.52,101141.39,102569.484,101382.99,101937.41,101565.23,101455.98,102507.64,100984.984,100874.34,101092.27,101891.516
1986-02-01,101675.11,101126.266,102480.49,101402.11,101776.89,101465.16,101357.99,101997.85,101051.89,99865.15,100981.51,101482.75
1986-03-01,101786.445,101157.79,101809.805,101597.57,101924.055,101223.68,101452.81,102436.305,100928.72,101391.54,101129.43,101332.42
