,mgu500GLB_cluster1,mgu500GLB_cluster2,mgu500GLB_cluster3,mgu500GLB_cluster4,mgu500GLB_cluster5,mgu500GLB_cluster6,mgu500GLB_cluster7,mgu500GLB_cluster8,mgu500GLB_cluster9,mgu500GLB_cluster10,mgu500GLB_cluster11,mgu500GLB_cluster12
1967-09-01,-1.8890575,0.8646889,0.06204338,-0.14498596,0.15412903,1.4880613,-1.2425003,-1.0560436,-0.60247386,0.39348525,-0.019592285,0.31544152
1967-10-01,-0.5446758,0.83856505,0.19821243,-0.12473984,0.7138252,0.095351025,-1.293441,-0.22531548,0.9113846,0.21486588,-0.30303305,0.24947968
1967-11-01,-0.048002243,0.091105655,1.3819348,-0.84411657,1.8900372,-0.021878432,-0.6148823,0.052900314,1.933794,-0.5218174,-0.3827099,-0.3765053
1967-12-01,-0.51365393,-0.89636385,1.3636478,-0.42058867,1.2686237,-1.9690609,-0.6207603,0.28899154,2.6534972,0.13159752,-0.8261566,-0.8467289
1968-01-01,-0.056889724,-0.8044777,1.3606106,-0.13894196,1.3737389,-1.885381,-0.70783806,-0.14149475,2.684753,-0.026985932,-0.95545423,-1.0094261
1968-02-01,0.21771201,-1.1086185,0.9623829,-0.1754097,1.1024189,-3.4815726,-0.41500244,0.20348969,2.3306515,0.30778733,-1.056105,0.08424034
1968-03-01,0.015681077,0.061994933,0.65058404,-0.38400573,0.8004662,-0.37962875,-1.2056224,-0.60171735,2.5447166,0.028809357,-0.5368042,-0.4707985
1968-04-01,-0.08460502,-0.029903794,1.390514,0.6090107,1.8179153,-0.9332088,-0.40369758,-0.34462014,1.2063519,-0.15681115,-0.27277833,-0.4784561
1968-05-01,-1.5484192,-0.09116936,0.8245346,-0.0040115356,0.8828834,-0.699086,-0.18379745,-0.71841395,0.8588146,0.4580349,0.39385146,-0.03683243
1968-06-01,-1.4663665,1.7869174,0.09226303,-0.1582695,0.45475236,-1.0028617,-0.888718,-0.8697548,0.94852483,0.022245025,0.09992142,0.83985174
1968-07-01,-1.6636566,0.52805215,-0.15024719,-0.21734695,0.5586853,0.22500572,-0.013857651,-1.0407887,0.594059,0.10794449,0.05506592,1.1126301
1968-08-01,-2.0892353,0.91461027,-0.17431565,-0.23157044,0.50799483,0.8190651,-0.31143418,-0.9828049,-0.17577438,0.24615708,0.24980393,-0.2902832
1968-09-01,-2.0286987,1.2344322,-0.07402954,-0.3037758,1.6158844,0.23995781,-0.86100274,-0.4430828,-0.20093688,0.2129715,-0.16264573,0.28845978
1968-10-01,-1.243549,0.9197155,0.020057678,-0.22610016,1.2865807,-0.8599087,-1.0984077,-0.4664219,1.5013759,-0.0,0.13420105,0.18051529
1968-11-01,0.095910266,0.18306771,0.98791045,-0.28845978,1.2450078,-0.2629322,-0.72461355,-0.2129715,2.3601902,-0.27204895,-0.87084883,-0.23485184
1968-12-01,-0.9817108,-0.2680374,1.5874398,-0.43980026,1.2519367,0.48027954,-1.175719,0.31726915,2.3970227,-0.14623566,-0.58020175,-0.44527054
1969-01-01,0.09918632,0.35362166,1.6175045,-0.13965721,0.88405454,-0.8336319,-0.8966602,0.19737816,2.5367222,0.592466,-1.6184998,-0.47138518
1969-02-01,0.76396906,-0.26869926,0.9394531,-0.10217209,0.8741024,0.73776245,-1.0290191,0.05174942,2.9201996,0.44451523,-1.80858,-0.40570298
1969-03-01,-0.3313961,0.40902025,0.96101534,-0.5778698,0.84590566,-0.9580299,-1.1630375,0.007629776,2.1223938,-0.24614182,-1.2068256,-0.14264297
1969-04-01,0.4189724,0.30154055,0.81770897,0.03615837,0.50488967,-0.30386275,-0.40769348,-0.6876713,1.454958,0.08757591,-0.6611336,0.42560655
1969-05-01,-1.4708809,0.24746895,0.42494315,-0.047104646,-0.061369322,0.28760797,-0.4050396,-0.39409256,1.1331822,0.40570337,-0.2060028,0.298555
1969-06-01,-2.218595,1.476852,-0.5848358,-0.10283585,0.76927644,-0.21363278,-0.35461712,-0.6180088,0.42925566,0.32542497,-0.13634034,0.4571205
1969-07-01,-1.4615924,0.9437653,-0.27798766,-0.3456604,0.3997318,0.027201463,-0.75766623,-0.39276543,-0.4193039,0.3582657,-0.21462822,0.8100792
1969-08-01,-1.5418705,0.824012,0.0076301573,-0.26869965,0.448164,0.91291505,-1.0024811,-0.60838854,0.15325813,0.5284424,-0.083595276,0.11776352
1969-09-01,-2.1061397,1.553149,-0.28760758,-0.37816924,0.8147236,0.46607742,-1.1978691,-0.18842164,-0.027864838,0.38082352,-0.054403685,0.40769348
1969-10-01,-1.750859,0.72316664,0.3649006,-0.12373428,1.4755249,0.76363754,-1.2051668,-0.6196674,1.0907208,-0.08326378,0.011278534,0.014927673
1969-11-01,-1.6105381,-0.44849586,0.949073,-0.037485503,1.5843315,0.01924019,-1.1481098,-0.1728302,2.3151278,0.034167863,-0.3599251,-0.25742072
1969-12-01,-0.73577195,0.37485236,0.9311596,-0.45148164,1.3607476,-1.1637008,-0.452145,0.36689073,2.5297556,-0.053076554,-0.753022,-0.24348792
1970-01-01,-0.5344669,-1.048301,1.2599579,-0.50185317,0.7278204,-1.3042198,-0.83730924,0.1401062,2.6653466,0.034943007,-1.2949005,-0.29186058
1970-02-01,-0.015308762,-0.5311392,1.4390011,-0.3201477,0.8642658,-0.9810764,-0.46857375,-0.046591185,2.552529,-0.030284118,-1.2849175,-0.8273258
1970-03-01,-0.84995574,-0.70219517,1.4549748,-0.10183487,0.67490613,-3.3625495,-0.44927177,-0.101502225,2.469331,0.041599274,-0.52115554,-0.2149849
1970-04-01,-0.6123409,0.5913746,0.72615623,0.048921205,2.1441913,-0.69154584,-0.7161728,-0.515498,1.6719567,0.15275268,-0.49053842,-0.15175399
1970-05-01,-1.4822643,1.4769394,0.31282616,-0.08785782,-0.07754097,-0.54911023,-0.8336487,-0.84329987,1.3185295,0.24160843,0.06090088,0.6226574
1970-06-01,-1.657314,1.5890907,-0.22130814,-0.086193845,0.66791725,-1.745504,-0.7141758,-0.74079895,0.1361126,0.28087845,0.06722488,0.8815708
1970-07-01,-1.6396755,1.2646167,0.1946846,-0.06755753,-0.08918877,0.026623536,-0.2735567,-0.96077615,0.57340395,0.5038498,-0.08386383,0.72249526
1970-08-01,-1.3910786,1.0802491,-0.34211272,0.13944015,0.72183037,1.0343235,-0.5511068,-1.2772633,-0.90253717,0.703859,-0.06522751,0.8835678
