,r700GLB_cluster1,r700GLB_cluster2,r700GLB_cluster3,r700GLB_cluster4,r700GLB_cluster5,r700GLB_cluster6,r700GLB_cluster7,r700GLB_cluster8,r700GLB_cluster9,r700GLB_cluster10,r700GLB_cluster11,r700GLB_cluster12
1986-11-01,26.931782,39.13677,36.523872,10.230911,27.496021,70.95076,73.79493,21.3353,74.12625,58.314392,27.177816,48.433617
1986-12-01,41.925167,38.077175,31.452269,17.259315,38.764435,70.65716,78.407265,32.71853,68.70692,67.227425,16.032421,44.795578
1987-01-01,33.080982,45.542213,41.893967,23.906548,42.808037,76.91297,64.05173,34.112324,57.842804,60.258904,12.992325,27.808615
1987-02-01,33.760513,50.42743,42.93816,15.691162,39.111595,72.847046,67.36745,29.066463,62.74408,58.34723,14.622871,33.6079
1987-03-01,27.442343,44.637783,48.61214,17.61087,42.64257,73.815735,66.83892,36.79831,57.65324,54.983322,27.938736,42.14136
1987-04-01,43.432945,48.750298,40.67949,23.129025,36.05613,73.605286,68.35541,26.017422,65.380264,61.4782,17.281548,38.62484
1987-05-01,34.025574,55.89257,34.40309,24.578043,43.786366,71.90245,60.583405,32.464104,63.629234,42.822495,22.504116,49.176006
1987-06-01,51.67564,53.94234,32.65206,18.444618,33.329983,74.96274,53.800976,20.272758,70.89521,30.282547,26.18128,61.08783
1987-07-01,46.08198,55.07971,29.890574,25.3395,39.259388,60.989838,57.320705,23.591682,66.15618,33.77497,29.129116,63.25975
1987-08-01,43.59841,48.319767,32.219925,15.871086,32.949253,73.476776,56.45965,11.697529,67.24214,19.973957,33.03118,70.21568
1987-09-01,48.87078,50.61217,49.106926,16.256634,39.746143,68.181915,50.957558,23.628632,65.25175,26.782093,41.532516,59.84926
1987-10-01,56.04358,40.957405,41.121265,14.765846,33.82959,70.2462,60.185005,43.379932,70.37793,32.414307,29.32671,55.74317
1987-11-01,37.301125,41.256207,41.54858,19.594833,38.342106,70.93216,62.503113,26.470442,69.72893,51.090893,28.11384,52.976864
1987-12-01,29.21747,46.79364,40.93813,21.604504,39.67225,71.952255,69.648605,37.1196,62.390663,61.274178,13.657394,40.08189
1988-01-01,19.415081,41.778778,36.000565,20.561604,40.803257,75.15821,74.2918,34.50064,56.59888,65.031685,18.662674,44.483856
1988-02-01,34.588585,45.60432,56.41974,29.181692,27.554737,74.00517,66.22055,26.707874,55.252045,61.225685,22.99145,39.1649
1988-03-01,17.895615,48.27031,56.214535,26.582474,34.02184,73.637115,63.580616,28.68986,55.36116,56.71777,22.273243,37.862038
1988-04-01,28.08077,42.7315,42.979042,14.885994,33.842697,74.84715,66.4176,29.777752,60.421165,50.470524,20.411774,49.426605
1988-05-01,53.333572,46.98536,42.29504,19.568169,37.256203,73.09154,73.25277,28.17197,68.35399,52.81894,17.39075,58.740467
1988-06-01,60.25831,44.744427,37.459778,12.327488,38.76753,70.28712,62.365692,37.787125,65.85574,34.085354,23.87251,63.634357
1988-07-01,49.024345,57.642803,27.15899,12.167889,39.86194,71.03138,42.607727,23.054964,72.48896,23.512594,27.17202,72.430336
1988-08-01,48.345222,48.335453,37.393005,19.72614,42.736385,62.295662,37.20246,23.39208,69.34905,24.300829,31.925854,77.565254
1988-09-01,50.100838,39.550877,28.70126,13.537525,40.384712,67.07718,52.559998,13.931644,68.546165,36.22857,34.567413,67.728615
1988-10-01,51.869476,40.26257,37.839237,14.338787,41.635464,72.76419,60.261562,23.973484,69.593346,46.18084,31.404707,54.997986
1988-11-01,34.6179,40.278854,41.959553,20.317314,36.391426,72.54759,71.19587,28.921118,73.205536,53.96058,29.575808,50.8565
1988-12-01,25.405008,37.90764,37.11126,10.829193,40.18928,69.65197,76.90405,27.491222,65.92089,62.58718,18.297874,56.885513
1989-01-01,20.554775,35.609413,53.435734,17.758678,33.493626,72.163704,65.997,25.575699,42.14394,58.261356,16.262981,28.041405
1989-02-01,28.20904,49.946312,58.684513,24.794485,31.703344,70.55408,65.18649,35.60453,48.364353,67.31204,12.993275,29.932592
1989-03-01,33.24787,46.146034,48.304134,13.844475,36.060238,68.76543,65.12302,50.09767,60.70753,60.897953,25.053263,35.54757
1989-04-01,45.79774,49.598022,51.50711,23.140917,32.76124,73.24113,66.74403,26.900507,60.137897,68.33413,15.144867,46.059772
1989-05-01,37.918877,48.68498,31.963749,15.820293,38.203693,73.835175,69.27647,39.13464,66.176025,43.330406,21.264378,63.633827
1989-06-01,41.03885,55.468517,28.153704,18.497578,40.389465,72.76427,48.172306,19.057446,65.27763,26.586393,25.64731,61.54896
1989-07-01,44.096973,56.298557,28.186255,13.929104,35.46619,68.91679,40.327618,17.661026,70.20741,27.012806,30.349241,65.34924
1989-08-01,47.776817,53.434105,31.524317,17.621967,37.699158,68.79797,48.08279,18.30553,66.43155,27.304134,36.17091,69.54664
1989-09-01,52.08,46.95166,37.55268,23.01397,42.492233,63.858425,60.38691,21.780304,64.77635,42.8926,26.594532,63.5199
1989-10-01,49.396206,37.87493,33.877724,12.06884,35.633827,69.15603,61.492,25.648937,67.77426,46.99072,35.178116,55.614994
1989-11-01,32.785652,39.99723,49.733105,14.196018,37.466423,69.51083,68.53432,16.90097,69.219505,57.83494,31.125572,50.42806
1989-12-01,40.522923,47.786583,40.880978,14.397831,35.63871,70.05443,69.50921,13.437592,63.956078,52.3046,20.323666,46.4455
1990-01-01,23.82247,39.095245,44.377876,18.004036,37.88764,73.70435,71.30554,24.412342,55.937733,61.997032,23.527534,33.450493
1990-02-01,18.534924,43.124397,41.82668,21.974205,47.582848,72.77367,69.983246,37.09787,58.79042,59.888237,14.2747345,41.779163
1990-03-01,29.17556,50.517464,46.327732,12.965546,38.71019,70.62883,67.76139,25.642881,47.943325,65.747635,22.940939,30.273378
1990-04-01,35.88208,42.40836,49.472076,23.511148,35.33153,75.05287,67.13711,35.482277,59.032925,62.717987,24.220634,46.909412
1990-05-01,42.53125,46.952015,29.81295,20.994362,38.711826,72.20018,68.184135,26.485088,66.71273,40.407707,23.080215,61.523495
1990-06-01,53.12437,40.723946,33.135895,16.611282,44.449974,70.86641,58.37751,20.612583,64.09435,35.41018,23.511148,60.550205
1990-07-01,52.90972,50.348694,26.283548,15.724838,40.771465,72.85396,40.933678,13.375179,68.16611,21.089397,33.25715,69.35568
1990-08-01,56.9143,44.708862,32.469013,6.732563,40.08,69.17217,56.961815,28.99696,67.323906,31.379389,33.439026,63.869873
1990-09-01,56.214645,42.86715,31.928297,13.457108,33.581577,71.45628,59.724384,25.026793,64.720276,44.38443,31.213896,62.026524
1990-10-01,43.50454,36.76197,34.46147,10.412708,32.955658,71.7545,63.709297,20.340588,65.632935,47.47798,29.966972,56.753723
1990-11-01,31.969261,32.187187,31.307293,18.11382,41.462925,65.54937,70.564926,22.650919,66.76025,58.63312,25.587172,59.204967
1990-12-01,22.093819,46.0967,42.468987,12.91803,40.701008,70.56001,68.93786,22.43791,67.33373,54.136986,18.625042,46.994614
1991-01-01,24.509035,46.991524,44.663986,10.0938,37.704453,71.12571,76.105515,29.157515,57.424232,61.251812,17.186855,42.51448
1991-02-01,33.415325,49.457527,48.763554,20.15232,34.57415,73.92634,68.57399,23.861214,46.49206,60.503437,17.165424,26.604147
1991-03-01,31.08614,45.66951,46.917347,14.099407,42.938118,73.99557,68.79982,37.62533,54.27909,63.24472,19.199547,41.332577
1991-04-01,35.76264,48.033314,45.219498,19.705605,38.350624,73.46478,63.12274,25.888742,66.8102,52.452667,21.924347,54.326893
1991-05-01,34.120842,61.007847,28.293755,17.259384,31.173506,70.413605,59.674294,28.008581,65.93326,28.590466,46.15579,62.9068
