,sstGLB_cluster1,sstGLB_cluster2,sstGLB_cluster3,sstGLB_cluster4,sstGLB_cluster5,sstGLB_cluster6,sstGLB_cluster7,sstGLB_cluster8,sstGLB_cluster9,sstGLB_cluster10,sstGLB_cluster11,sstGLB_cluster12
1983-01-01,297.02457,299.30975,292.5415,289.8449,293.8929,299.6165,296.70526,300.9057,285.57166,296.6204,301.879,288.92706
1983-02-01,298.17392,299.2215,293.01657,289.3703,292.92783,299.88852,296.72168,301.18256,284.744,295.84,301.50955,289.69925
1983-03-01,297.74176,299.81183,293.07974,289.4282,292.8256,300.23676,296.04355,301.70248,282.89578,295.9302,301.7073,290.22592
1983-04-01,296.86588,299.88272,292.24197,289.88736,293.27606,300.1345,295.96637,301.60794,283.981,296.1569,301.61517,290.41788
1983-05-01,295.63022,300.56567,290.7965,290.46515,293.98312,299.25137,294.4548,301.08176,285.67148,297.01395,301.83078,288.43512
1983-06-01,294.99213,301.1864,289.44748,291.95502,295.6162,298.38177,292.99728,300.23434,286.9911,298.90317,302.02853,287.06537
1983-07-01,294.15146,301.06824,288.85233,293.89246,297.1953,297.52713,291.7187,299.7824,290.01083,300.2382,301.30362,285.94928
1983-08-01,293.37396,301.2877,288.51517,295.47055,298.0601,296.49884,291.38443,299.3112,294.7167,300.2136,301.5742,285.8456
1983-09-01,293.4145,301.75748,288.34106,296.1323,298.9379,296.38406,290.6147,299.19302,292.65485,300.5541,301.8766,285.41055
1983-10-01,293.90982,301.32483,288.9126,293.8365,297.476,296.45352,290.67157,299.63724,290.0933,300.1557,302.3208,285.25623
1983-11-01,294.62604,301.10538,289.9433,291.83588,295.66687,297.64432,291.43555,300.03128,288.22388,299.40332,302.3213,287.02823
1983-12-01,296.3175,300.33417,291.3251,290.70825,294.13263,298.66296,293.7791,300.37805,285.33292,297.94238,301.64075,288.55377
1984-01-01,298.26303,299.59543,292.30338,289.83557,293.271,300.03296,295.46906,300.9303,283.93234,296.84897,301.91275,289.2535
1984-02-01,299.30438,299.13266,292.94336,289.11295,292.64935,301.00156,296.7663,301.6336,282.62372,296.13623,301.4772,289.91476
1984-03-01,298.90942,298.8218,293.1032,288.93774,292.33356,301.05106,296.36984,301.8385,281.46753,296.13525,301.58957,290.25232
1984-04-01,298.19077,299.39,292.54987,289.43863,293.14084,300.25024,295.45322,301.89594,281.99515,296.61633,302.35275,289.92517
1984-05-01,296.87372,299.87457,290.8601,290.5879,293.85306,299.27914,294.63358,301.1629,283.4686,297.4919,302.14835,288.0107
1984-06-01,295.86353,300.19083,289.85388,292.9577,295.13745,298.37537,293.38434,300.64423,289.1793,298.70847,301.61877,287.05597
1984-07-01,294.96173,300.6447,289.10553,294.66724,296.96677,297.5498,292.10938,299.8894,292.5439,298.75104,301.16095,285.35928
1984-08-01,294.6138,300.8412,288.90012,296.28372,298.03088,297.08752,291.66043,299.2544,296.70047,299.88248,301.70093,285.24347
1984-09-01,294.49945,300.92337,288.5873,296.64307,298.75253,296.63416,291.12146,299.1861,293.48383,300.6165,301.80734,284.52878
1984-10-01,294.5143,301.15204,288.8754,295.23495,297.80322,296.77374,290.73984,299.71024,290.67056,300.43683,302.01025,285.04153
1984-11-01,295.27057,300.11115,290.40427,292.48355,296.91577,297.57803,293.07153,300.1151,287.24207,299.1564,302.1914,287.0233
1984-12-01,296.43668,299.392,292.42712,290.92593,295.79227,298.2249,294.4252,300.70163,284.69556,298.03534,301.5658,288.6586
1985-01-01,298.24716,298.98074,293.86377,289.6866,294.47787,299.30292,295.27097,301.3469,282.28366,297.1193,301.2647,288.86176
1985-02-01,298.75235,298.72412,293.99637,288.7972,293.228,300.42978,295.50137,301.73764,280.35162,296.4825,301.73663,290.0355
1985-03-01,297.79037,298.52396,293.51437,288.73874,293.05054,300.00424,295.60977,301.57178,281.32166,296.77393,302.07846,289.99063
1985-04-01,296.99326,298.88293,292.59778,288.71957,293.5517,299.6584,295.0713,301.52032,283.09286,296.7578,302.21762,289.49603
1985-05-01,296.30405,299.60745,291.3272,290.64557,294.2631,299.129,293.79318,301.11246,284.4708,297.8428,302.3956,288.3364
1985-06-01,295.57196,300.44794,290.09045,292.6013,296.27026,298.58246,293.40598,300.6461,287.0825,299.97046,302.36182,287.3003
1985-07-01,294.53333,300.8301,289.33014,294.80005,297.73944,297.07343,292.04315,299.552,290.9052,300.54474,301.75177,286.22485
1985-08-01,294.03217,301.1553,288.4236,296.84857,298.6611,296.17395,291.29092,298.75388,294.36545,300.30576,301.65344,285.4363
1985-09-01,293.64447,301.19412,288.5542,296.51428,299.0947,296.42554,290.2634,298.8779,293.13574,300.9501,301.80368,284.31702
1985-10-01,293.93488,300.7681,289.0241,293.97015,297.3724,297.4304,290.11868,299.74158,289.98105,299.89032,302.02905,284.49753
1985-11-01,294.39114,300.18323,290.00323,291.83646,295.26492,298.37473,291.6267,300.16156,288.17154,298.04147,302.18585,285.52103
1985-12-01,295.3254,299.4552,291.42505,289.81366,293.98074,298.77655,294.36948,300.42676,285.32037,297.4682,301.86066,288.42413
1986-01-01,297.48828,298.99857,293.8912,289.3357,293.55652,298.97128,296.55136,300.98203,283.48236,296.96945,301.68338,290.18448
1986-02-01,297.4316,298.8968,294.56372,289.01202,293.21606,299.9633,296.94534,301.29416,282.40643,296.32843,301.4573,291.0238
1986-03-01,298.03806,298.8417,293.9851,288.97424,293.11115,300.32996,297.00146,301.2695,282.27792,296.5115,301.5192,291.06525
1986-04-01,297.5166,299.57822,292.799,289.13004,292.9611,300.0173,295.89038,301.2548,283.1482,296.60855,302.2578,289.65253
1986-05-01,296.5115,300.24496,291.88464,291.26196,294.73264,299.6779,295.12186,300.94162,285.30685,297.48618,302.22476,288.61542
1986-06-01,295.48645,300.4396,290.17032,293.28162,296.09497,298.40524,292.72766,300.0089,287.7934,298.7599,302.55472,286.80405
1986-07-01,294.48764,300.6594,288.79117,296.29694,298.27097,297.32147,291.1665,299.37418,290.228,300.1128,301.76102,285.60852
1986-08-01,293.82037,300.78687,288.10135,296.79214,299.42084,296.80264,290.76572,298.92773,294.33395,300.49887,301.6388,285.25598
1986-09-01,293.53027,300.87134,288.0069,295.12503,299.32172,296.7628,291.2373,299.00906,294.45248,301.11737,301.4153,285.1369
1986-10-01,294.00555,301.27368,288.91183,294.12622,298.1519,297.40067,291.20532,299.5153,289.83038,300.48105,302.16757,285.31894
1986-11-01,294.37958,300.9007,289.62527,292.76123,296.93433,297.83554,291.70578,299.84418,286.74582,299.4109,302.22318,286.72903
1986-12-01,295.20792,299.98425,291.00073,291.22314,295.15387,298.26938,293.55334,300.15106,283.74884,298.10413,302.09833,288.74658
1987-01-01,296.7268,299.30026,292.77576,290.49908,293.9466,298.88217,295.65576,300.56473,283.34875,297.1674,301.70743,289.37994
1987-02-01,298.0706,299.2199,293.47684,289.7443,293.11758,299.91638,296.07538,300.83698,283.33136,296.71707,301.60764,289.18088
1987-03-01,298.26196,299.42154,292.6166,289.30984,293.31512,300.78683,296.43103,301.54263,283.27405,296.4479,302.16644,289.99762
1987-04-01,297.68475,300.34982,291.55173,289.4383,293.79666,300.5975,295.89832,301.57233,283.56625,297.06146,302.4484,289.67267
1987-05-01,296.14087,301.07596,290.41107,290.19257,294.2209,299.66718,295.0606,301.31134,286.0128,297.63766,302.6316,288.00955
1987-06-01,295.15427,301.43057,289.6834,292.79266,296.36502,299.17642,293.89645,300.56833,288.8718,299.11093,302.32407,287.07874
1987-07-01,294.33704,301.1691,288.6318,295.5928,298.5869,298.1233,292.5373,300.03918,290.75803,300.66095,301.9991,286.06448
1987-08-01,293.98138,301.4357,288.4394,296.78616,299.19333,297.3992,291.6433,299.66513,294.18967,301.2392,301.8067,285.61725
1987-09-01,293.90002,301.71152,288.04077,296.13474,299.5556,297.16687,291.42633,299.73422,294.0817,301.80823,301.84814,285.54868
1987-10-01,294.36978,301.74478,288.76895,293.84732,297.893,297.85977,291.8178,299.9036,292.39505,300.6676,302.98776,285.9038
1987-11-01,295.61328,301.2832,289.8369,291.9918,296.11325,298.79672,292.7292,300.52533,289.21927,299.29874,302.4617,286.92572
1987-12-01,296.2852,300.35287,290.96988,290.7442,294.75818,299.12115,294.24133,300.8979,286.59976,298.219,302.26776,288.33142
1988-01-01,297.75513,299.74213,292.57315,289.34985,293.74017,299.91412,295.4611,301.44028,285.17303,297.3631,302.55164,289.94827
1988-02-01,298.5276,299.17508,293.62988,288.88297,293.1731,300.53076,297.14963,301.97952,283.3666,296.8871,301.9689,290.7258
1988-03-01,298.77798,299.08957,292.83066,289.09543,292.66827,300.93594,296.3453,302.10092,283.32666,296.5173,301.9603,290.36966
1988-04-01,298.15375,299.5509,291.80273,289.82434,293.55957,300.766,294.72507,302.1829,283.5902,296.58813,302.5901,289.29016
1988-05-01,296.7854,300.6653,290.85983,290.8386,294.66537,299.73706,294.2455,301.41852,286.13617,297.6752,302.06805,288.9477
1988-06-01,295.96088,301.26727,289.86887,293.7078,296.21634,298.8073,292.85797,300.71387,288.93707,298.80325,302.3574,287.2627
1988-07-01,294.52982,301.29916,289.3266,295.9958,297.23007,297.59528,292.10574,299.73505,292.02786,299.42902,302.236,286.72498
1988-08-01,294.08212,301.47366,288.86728,297.4324,299.23627,296.74292,291.59586,298.908,294.80298,300.46802,301.95422,286.56464
1988-09-01,293.77658,301.53336,288.79596,296.53552,299.0218,296.42523,291.2114,299.1791,295.6447,300.6653,302.33615,285.63385
1988-10-01,293.68048,301.4949,289.27448,295.19553,298.3475,296.924,291.62216,299.7072,291.26553,300.00113,302.33008,286.21307
1988-11-01,294.50858,301.12665,290.45212,291.8837,296.31244,297.3368,292.948,300.03705,288.4469,298.997,302.09335,287.4509
1988-12-01,296.0069,299.7922,292.473,291.1173,294.83536,298.21042,293.88132,300.36838,285.7836,297.7455,301.80704,289.92603
1989-01-01,297.942,299.0474,293.6823,290.23282,293.30103,299.3606,295.6461,300.9927,283.28085,296.80206,301.62637,290.48767
1989-02-01,299.14954,298.42978,293.92206,289.76547,292.86722,300.13092,296.95526,301.22174,282.8213,296.43732,301.12888,291.827
1989-03-01,298.57275,298.3617,294.03586,289.2845,292.8181,300.78067,296.86868,301.74454,282.22894,296.23404,301.80923,291.5882
1989-04-01,297.63416,298.7279,292.88522,289.3735,292.88135,300.4339,295.33533,301.639,282.35684,296.33472,302.32666,290.5081
1989-05-01,296.53458,299.6271,291.69666,290.56158,293.76498,299.68207,294.05484,301.21204,283.56778,297.40363,302.76678,289.08414
1989-06-01,295.14517,299.82114,290.33154,293.40317,296.56134,298.55136,292.53506,300.38528,287.70007,299.27988,302.08353,287.53763
1989-07-01,294.15988,300.91098,289.22516,295.8435,298.18906,297.61032,291.3971,299.78613,290.57373,300.05362,301.9775,286.21387
1989-08-01,293.9522,301.497,288.86917,297.13666,299.37228,297.00876,291.0119,299.2677,296.30844,300.65033,301.78296,286.31647
1989-09-01,293.88364,301.2626,288.8264,295.88098,298.8378,296.70236,290.87186,299.4924,296.08765,300.73737,302.07135,285.8224
1989-10-01,294.00473,301.3088,289.21884,293.60254,297.60742,297.12497,291.2322,299.9471,292.54578,300.12607,302.37384,286.15744
1989-11-01,294.87915,300.87015,290.4142,291.83087,296.1144,297.61227,292.06042,300.3916,290.18274,298.9307,302.37384,287.62128
1989-12-01,296.56668,300.10028,291.40973,290.0563,294.49448,298.12827,293.74457,300.42905,287.4107,298.28485,302.15695,289.1605
1990-01-01,297.75754,299.37494,292.68842,289.43243,293.80826,298.3404,296.26147,300.91095,284.24005,297.47745,301.39716,290.53207
1990-02-01,298.3049,298.88083,294.61893,289.06952,292.9256,299.7423,296.7462,301.23346,283.23163,296.49716,301.85278,291.25003
1990-03-01,298.43262,298.79306,294.44043,288.81064,292.64847,300.14664,296.33295,301.38876,282.8692,296.2304,301.64273,291.1514
1990-04-01,297.92865,299.3567,293.11987,289.16617,292.7042,300.30197,295.95624,301.62595,283.39536,296.4873,302.3163,290.4882
1990-05-01,296.55783,300.18066,291.66522,290.32397,293.8339,299.1496,294.52524,300.94647,285.24695,297.55783,302.40506,289.12424
1990-06-01,295.54697,300.62643,290.5079,293.04987,296.11847,298.29208,293.08438,300.19446,288.0256,298.94345,302.27487,287.69473
1990-07-01,294.53116,300.6511,289.39053,296.6589,298.04257,297.49374,291.81808,299.69003,291.34814,299.62988,302.14423,286.24402
1990-08-01,294.05087,301.55594,288.73962,296.02377,299.1782,296.79105,291.2239,299.46417,294.3783,300.9095,302.0589,286.18878
1990-09-01,294.06223,302.08554,288.74603,296.48877,299.75757,296.2506,291.11197,299.2349,294.50256,301.5515,302.2818,286.3658
1990-10-01,294.47345,301.46075,288.85355,294.28214,298.12885,296.796,291.69925,299.68658,291.55774,300.46567,302.41592,286.56946
1990-11-01,294.55383,301.10425,290.08087,292.74612,296.53217,298.0771,292.63663,299.91095,289.0207,299.40552,302.58997,287.29974
1990-12-01,296.04547,300.41342,291.83435,291.0863,295.01785,298.56674,294.45374,300.50464,285.94174,298.27087,301.83554,288.99258
1991-01-01,297.26086,299.34952,293.28986,289.7287,294.1319,298.73813,295.47385,300.92877,284.3233,297.29184,301.72937,290.24097
1991-02-01,297.84558,299.0965,294.1033,289.37082,293.90317,299.31427,296.3278,301.35052,282.95184,297.14743,301.81418,290.93814
1991-03-01,297.6397,299.1937,293.2846,288.86472,293.54242,299.55588,296.7033,301.2228,282.50293,297.0655,301.70316,291.50522
1991-04-01,297.4715,299.43817,292.44974,289.58572,293.40518,299.63068,295.75644,301.41486,283.3407,296.85248,302.234,290.72037
1991-05-01,296.2506,300.45987,290.57883,291.19308,294.526,299.07217,294.33777,300.87158,286.58353,298.1148,302.27692,288.78992
1991-06-01,295.4381,300.79822,289.56808,294.45166,297.27707,298.16153,292.70657,300.0043,289.08347,299.2585,302.0515,287.81396
1991-07-01,294.85483,300.65286,288.51495,296.8782,299.3686,296.93585,291.40564,299.35382,290.78088,300.69193,302.15585,286.34335
1991-08-01,294.09045,301.32574,288.10083,297.75742,300.9135,295.68686,290.84998,298.5599,293.4495,301.3772,301.5921,285.9302
1991-09-01,293.6449,301.6917,288.03268,296.55795,300.3655,295.79883,290.40347,298.58514,292.81,301.676,301.44965,285.12534
1991-10-01,293.7769,301.2476,288.22424,294.87674,297.82794,296.38068,290.7604,298.9111,291.2822,300.7167,301.65787,285.4341
1991-11-01,294.8934,300.69717,288.8814,293.1307,296.1405,297.28183,291.85214,299.01166,289.46564,299.24088,301.89233,286.57208
1991-12-01,296.0395,299.64688,290.68225,291.5114,294.394,298.1782,293.98465,300.14774,286.86185,297.64972,302.0777,287.8392
1992-01-01,297.39233,299.00873,292.25162,290.4439,293.5759,298.9501,295.07602,300.64642,285.37582,296.40613,301.80264,289.09634
1992-02-01,298.10147,298.8261,293.06247,290.13824,293.2809,299.05524,295.72656,300.61685,284.13824,296.28796,301.91064,289.06244
1992-03-01,298.0322,298.9254,291.95566,290.2487,293.08765,299.2451,295.15594,300.9724,282.7214,296.1131,301.87286,288.39352
1992-04-01,297.55557,299.72464,291.3681,290.85562,293.64178,298.8416,294.66528,300.87988,283.5313,296.05835,302.26862,287.97745
1992-05-01,296.34753,300.16882,290.18332,291.14432,294.2681,298.5849,293.42285,300.62366,285.18158,297.05618,302.46283,286.92923
1992-06-01,295.14774,300.95157,289.15012,292.65268,295.85782,297.67618,292.2182,299.89902,288.98495,299.11673,302.11554,286.3218
1992-07-01,294.31894,301.02325,288.456,295.10703,298.3853,296.83774,291.15207,299.11963,291.48532,300.76654,301.8346,285.3269
1992-08-01,293.95325,301.20392,287.57928,296.65414,299.07025,296.10632,290.42502,298.89246,294.54272,300.63284,301.53427,284.7626
1992-09-01,293.8278,301.0717,287.49936,296.00845,298.98886,295.80502,290.09613,298.83917,293.27512,300.5873,301.8501,285.04935
1992-10-01,294.1964,301.5304,287.7362,294.11115,297.6544,296.37515,290.7137,299.16226,290.5684,300.06757,302.1388,285.4199
1992-11-01,295.2809,300.80237,289.51633,292.84546,295.97552,296.87988,292.43036,299.51733,288.3446,298.79752,302.1228,286.92438
1992-12-01,296.3209,300.0579,291.02176,292.02783,295.06198,297.72318,295.49066,300.00363,285.63547,297.62146,301.5464,288.85513
1993-01-01,298.1138,298.92047,292.98816,290.39026,293.99075,298.75766,297.45187,300.1707,284.37946,296.54092,301.5057,289.81998
1993-02-01,298.68845,298.8181,293.12756,290.05832,293.1256,299.75638,296.7734,300.6922,283.36807,296.19193,301.57394,290.07294
1993-03-01,298.59973,298.88684,292.82147,289.72247,292.68158,300.64737,296.7968,301.00806,283.4836,296.0262,301.91904,290.93372
1993-04-01,297.78772,299.77197,292.12933,290.08173,293.7875,300.16238,295.434,301.0222,283.1244,296.6579,302.46933,289.07178
1993-05-01,297.21158,300.52307,290.41364,290.4234,293.7963,299.35767,293.58524,300.76923,284.77475,296.84995,302.4313,287.81866
1993-06-01,295.8439,300.81845,289.1259,292.55582,296.85724,298.3848,291.56052,300.07126,287.8586,298.96872,302.16418,286.6045
1993-07-01,294.4884,300.91983,288.3124,295.11426,298.12793,297.47772,291.10822,299.43665,290.8494,300.65515,301.75867,286.3574
1993-08-01,294.16232,301.09677,288.17984,297.21304,299.1086,296.7471,290.55255,299.04865,292.6026,300.7395,301.62708,286.26965
1993-09-01,293.9776,301.43698,287.94928,296.49167,299.84314,297.0532,290.75336,299.20413,293.8421,301.5481,301.43796,286.12927
1993-10-01,294.3417,301.22446,288.66284,293.90497,298.06702,297.27887,291.4762,299.61893,290.5048,300.35248,301.92535,286.08005
1993-11-01,294.8535,300.7926,289.24677,292.2585,296.112,297.88763,291.7126,300.11707,288.5644,299.46637,302.03992,286.67468
1993-12-01,296.19876,299.95282,290.87766,290.9917,294.44504,298.81616,293.76266,300.66687,285.82123,298.07382,301.8737,288.4547
1994-01-01,297.84665,299.36877,293.2076,290.32025,293.68134,299.3845,296.3701,301.06503,283.43726,297.16696,301.84915,290.5115
1994-02-01,297.87164,298.76807,293.66956,289.36694,292.91193,299.86603,296.2382,301.41467,281.87784,296.46082,302.35522,291.3319
1994-03-01,297.88586,298.91223,293.1115,289.6592,293.0713,300.2951,295.26672,301.50195,282.65802,296.81342,301.90506,290.588
1994-04-01,297.63135,298.97943,292.0361,290.52426,293.4072,300.19998,295.15494,301.62454,282.78308,297.00565,302.48026,289.85928
1994-05-01,296.36423,300.00385,290.88272,290.8062,294.10797,299.18243,293.70193,301.05817,284.77402,297.4774,302.32776,288.5446
1994-06-01,295.48987,300.4344,289.6298,292.30435,296.07196,298.2056,292.37396,300.61682,288.46268,299.33838,302.0203,286.67868
1994-07-01,294.48703,300.3569,288.58823,294.50616,297.48474,296.8443,291.53247,299.61102,292.65497,299.88123,301.5005,285.90094
1994-08-01,293.90643,300.93655,288.17972,295.92288,298.79407,296.44366,291.24805,298.94754,297.21405,300.3069,301.6525,285.9328
1994-09-01,293.5362,301.1057,287.96005,296.89383,299.27365,296.31372,290.34085,298.90244,296.17984,300.6722,301.6368,285.83618
1994-10-01,293.8927,301.18466,287.95514,295.56195,298.83133,296.54517,290.99942,299.3781,291.99048,300.74725,302.2228,286.2991
1994-11-01,294.9333,300.93704,289.23993,293.44104,297.26553,297.32977,292.05524,299.87976,289.16296,299.48795,302.20468,286.43936
1994-12-01,296.5324,300.16028,291.2559,291.62613,295.10394,298.21393,294.29724,300.16614,285.92004,297.98248,301.9114,287.6457
1995-01-01,297.58005,299.45123,292.8066,291.1445,294.14444,298.93057,295.32498,300.73825,283.13376,296.63593,301.7322,289.62402
1995-02-01,298.60233,299.26465,293.6521,290.2751,293.51532,299.9763,295.63464,301.4489,282.5242,296.2144,301.49384,290.33762
1995-03-01,298.88416,299.43463,293.2472,290.44653,293.4572,300.93167,295.808,301.82648,281.47894,296.19046,301.76297,290.64288
1995-04-01,298.2536,299.62854,292.63422,291.271,294.09412,300.39877,295.03387,301.6355,281.94296,296.6022,302.41354,290.10022
1995-05-01,297.07843,300.7905,290.97403,292.7221,296.38535,299.55722,293.40005,301.3776,284.0642,298.22232,302.35983,288.9739
1995-06-01,295.78214,301.00247,289.39444,294.4829,298.03186,298.52713,292.40707,300.5077,286.34372,300.16678,302.2636,287.3494
1995-07-01,294.89563,301.53732,288.31744,295.9096,299.12445,297.0159,291.19284,299.6261,291.3262,301.1153,301.8196,286.5635
1995-08-01,293.69067,302.03455,287.8647,296.98758,300.00314,296.27838,290.5247,298.83728,294.83508,301.52853,301.46893,285.35464
1995-09-01,293.56808,301.61203,288.25348,296.4547,299.7526,296.01804,290.67902,298.71808,293.77762,301.14023,302.07263,285.44598
1995-10-01,294.28607,301.51678,288.86157,294.93668,298.04797,296.60074,291.17673,299.2412,290.68048,300.7939,302.37888,285.6233
1995-11-01,294.72763,301.1378,289.5654,292.1697,296.06934,296.9529,292.48328,299.47565,288.24323,299.03314,302.33493,286.59964
1995-12-01,296.3668,300.68842,291.98898,291.23633,294.66266,298.15494,294.01157,300.05933,284.3846,298.0475,301.7361,289.3544
1996-01-01,297.39456,299.98053,293.16507,289.6289,293.4281,299.16418,295.0577,300.86844,282.851,297.01315,301.58133,290.45145
1996-02-01,297.45993,299.46786,294.20584,288.81924,292.7461,299.9893,296.56534,301.3322,282.22873,296.3986,301.17883,290.54205
1996-03-01,297.85217,299.47818,293.42966,288.7127,292.7538,300.47366,295.47156,301.7275,281.25745,296.16696,301.7831,290.75977
1996-04-01,297.5531,299.6192,292.78058,289.6876,293.17435,300.40158,293.91605,301.727,283.22882,296.44388,302.5305,289.2151
1996-05-01,296.48505,300.0449,290.9528,289.701,293.38333,299.40973,293.22324,300.87,284.9439,297.09448,302.58557,287.8943
1996-06-01,295.32794,300.451,289.8132,292.23703,295.5884,298.17953,292.47122,300.10306,287.46964,298.5702,302.40283,286.52615
1996-07-01,294.52292,300.53748,289.15436,295.7073,297.05795,297.47385,291.38104,299.385,290.52197,299.65472,302.181,285.59964
1996-08-01,293.6865,301.23648,288.50888,297.6231,298.52438,296.89066,290.31042,298.97476,294.29697,299.91107,302.1398,285.45193
1996-09-01,293.4039,301.3317,288.50424,297.4965,299.28876,296.6791,290.02115,298.98096,293.46515,300.7691,302.24585,284.83942
1996-10-01,294.19608,301.30133,289.15228,295.94974,298.69528,297.23398,290.42725,299.55075,291.16486,300.4685,302.5166,285.00568
1996-11-01,295.63986,301.10263,289.80392,293.76678,297.04044,297.98856,291.35788,300.1787,288.15372,299.55023,302.35754,286.188
1996-12-01,296.8217,299.97076,291.13037,291.7784,295.208,298.50998,292.74814,300.7053,284.81882,298.01892,301.78827,287.59113
1997-01-01,297.92877,299.74518,292.00195,289.66623,293.58997,298.68057,294.41196,300.9883,284.2674,297.00302,301.49698,289.24915
