,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9
1982-01-01,1014.23553,1021.9918,1012.9994,1006.8331,1020.17334,1011.1293,1020.5369,1016.44037,1015.86584
1982-02-01,1014.3845,1018.4144,1012.42303,1009.45447,1019.4666,1010.35583,1012.84314,1017.65967,1015.25287
1982-03-01,1013.4363,1019.8452,1021.7112,1026.3522,1018.0539,1009.4797,1023.6113,1012.7902,1015.42596
1982-04-01,1013.2662,1019.16986,1019.37775,1024.2297,1016.7114,1010.4177,1024.4286,1011.8498,1015.01013
1982-05-01,1012.46515,1022.05133,1019.00397,1020.16736,1016.1976,1010.3775,1026.3564,1010.92975,1015.44885
1982-06-01,1011.8384,1020.31036,1019.4643,1019.24194,1013.90796,1010.07587,1019.7791,1011.31195,1015.093
1982-07-01,1010.4737,1020.2863,1019.8561,1021.7148,1017.209,1009.90515,1024.2664,1014.68744,1013.1761
1982-08-01,1011.42975,1021.42633,1019.00397,1022.2989,1016.9175,1009.92975,1025.3198,1014.8274,1013.9314
1982-09-01,1009.9701,1018.76117,1016.9235,1019.61633,1015.43616,1010.711,1023.2285,1013.1898,1012.4249
1982-10-01,1011.6923,1017.5761,1015.60864,1020.31885,1017.48,1009.9724,1017.9313,1014.82385,1013.3203
1982-11-01,1011.461,1018.9811,1016.87244,1015.4752,1019.96484,1008.3175,1018.4475,1016.0701,1013.86237
1982-12-01,1012.21875,1019.9835,1021.0886,1013.54626,1020.34344,1008.9136,1014.39594,1016.0335,1015.3515
1983-01-01,1012.6807,1016.8579,1014.96533,1000.39703,1018.5404,1008.35944,1008.2078,1017.2294,1014.7609
1983-02-01,1013.49945,1017.0572,1014.9332,997.60077,1014.3246,1009.85175,1003.64044,1012.7417,1016.23456
1983-03-01,1013.8728,1018.8977,1018.3553,1005.80237,1011.2636,1010.78357,1010.0561,1009.8922,1016.99994
1983-04-01,1013.30084,1020.4407,1022.13794,1025.0094,1013.9968,1010.193,1025.6744,1010.12164,1016.03345
1983-05-01,1012.28735,1022.5338,1022.10516,1021.69257,1015.65485,1010.1075,1023.9624,1010.0535,1016.59766
1983-06-01,1011.8889,1022.6103,1021.19006,1018.05774,1014.6125,1010.5715,1025.0576,1010.7225,1016.03595
