,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5,zgu200_cluster6,zgu200_cluster7,zgu200_cluster8,zgu200_cluster9
1972-11-01,0.0054512024,0.15723038,-0.2625292,-0.16526452,-0.119644545,-0.37643546,0.046193697,0.27658805,-0.004590607
1972-12-01,-0.041889954,-0.07488556,-0.055948637,0.34573516,-0.052505873,-0.25822526,0.23842812,-0.06484375,0.10185547
1973-01-01,0.51669466,-0.029306794,0.38991013,0.52211034,-0.10002594,-0.074222565,-0.053198624,-0.3112274,-0.1917698
1973-02-01,0.30772322,-0.68075025,0.5683006,-0.2742752,-0.3099533,-0.30485612,0.005415344,0.010512543,-0.28032762
1973-03-01,-0.043323517,-0.123599246,0.74095726,0.23541145,-0.22904053,-0.018795013,0.101300046,-0.23764153,0.15354308
1973-04-01,-0.51191634,-0.07868309,-0.13602257,0.13251857,0.2213951,-0.033766557,0.12869605,0.4829281,-0.20068932
1973-05-01,-0.14940186,-0.18731003,0.15832138,0.07390461,0.51828766,-0.23286323,0.14844628,0.19877777,0.057977296
1973-06-01,-0.49375877,-0.22330627,0.04523468,0.44310874,0.11977653,-0.30485612,0.021980286,-0.04969444,0.58932495
1973-07-01,-0.087602995,-0.19973297,0.07167511,0.22681046,0.2835129,-0.53294104,0.1793457,0.10480423,0.08855744
1973-08-01,-0.11690903,-0.16660385,-0.256118,0.33257046,0.08505402,-0.83907163,0.3835388,0.28829154,-0.107990265
1973-09-01,0.029306794,-0.38322067,-0.28829116,0.2984852,0.32811052,-0.7893772,-0.0031852722,-0.24018936,0.38640672
1973-10-01,-0.022298431,0.032811355,0.11690941,0.0035039901,0.2608959,-0.31664276,0.10544129,0.105760194,0.32874793
1973-11-01,-0.24114533,0.28000945,-0.042049408,0.16469231,-0.04650917,0.08027573,0.07358589,0.40647468,-0.66705245
1973-12-01,-0.7667599,-0.115953825,0.59028053,-0.00095558167,-0.005096817,0.35741767,0.025165558,-0.58167994,0.40997925
1974-01-01,0.112091824,-0.457901,-0.0049308776,0.21399383,-0.66696393,0.30833513,-0.35041046,-0.6774826,-0.22779998
1974-02-01,-0.1952568,-0.2176098,0.4394928,0.09499893,0.1295143,0.41911164,0.09960022,-0.6764963,0.3589573
