,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9
1971-10-01,0.946228,-9.899506,-4.981415,-13.975616,-3.1219788,-12.000092,-1.640564,2.8016968,-7.1279297
1971-11-01,2.2312012,-9.086426,-4.031433,-12.6076355,-1.8439026,-10.700287,0.212677,2.658142,-6.5520325
1971-12-01,3.080017,-7.5256042,-2.8125305,-11.649628,-0.6260071,-9.774384,1.4157715,3.1911926,-5.854431
1972-01-01,3.2124634,-5.9138184,-1.6560364,-11.07785,0.276062,-8.349976,1.9527893,2.9379578,-3.2347107
1972-02-01,3.0336304,-5.6947327,-1.3068848,-10.81958,0.80599976,-7.573761,1.720398,2.5855408,-2.699524
1972-03-01,3.0578308,-6.3405457,-1.8388672,-11.537109,0.50115967,-8.199005,2.123352,2.4189148,-2.7556458
1972-04-01,3.2450867,-6.7669067,-2.8204346,-12.880249,-0.74823,-9.189667,1.6248169,2.3153992,-4.440735
1972-05-01,2.79245,-8.063141,-3.4466858,-13.563873,-1.5973206,-10.548553,0.6135864,2.572937,-5.350067
1972-06-01,1.4663696,-9.53363,-4.445648,-13.732117,-2.053955,-11.4729,0.37454224,2.6490784,-6.5637817
1972-07-01,0.5887146,-10.398865,-4.9531555,-13.525604,-2.998108,-11.603577,-0.62124634,3.0377808,-6.9239807
1972-08-01,0.4515686,-9.942047,-5.413574,-13.115631,-3.2017212,-11.766052,-1.0299988,2.6070251,-7.68808
1972-09-01,0.8929138,-10.377289,-5.7330933,-13.510254,-2.6556091,-12.286438,-1.2319031,2.4897766,-7.8277893
1972-10-01,1.2878723,-10.456299,-4.9445496,-14.578247,-2.575348,-12.836975,-1.351532,2.186493,-7.6193542
1972-11-01,2.3260803,-10.211029,-3.5907288,-13.45636,-1.6887512,-11.90448,0.40496826,2.8014526,-7.396576
1972-12-01,2.7435303,-7.928894,-2.3287048,-12.530548,0.06680298,-10.443024,1.634491,2.6889954,-5.3540344
1973-01-01,3.4964905,-6.169403,-1.5670166,-11.859131,0.54800415,-8.646088,2.4319458,2.9290466,-4.3490295
1973-02-01,2.9599915,-5.280182,-1.3612976,-11.25293,0.6027527,-7.471924,2.5265198,2.9706726,-3.2433167
1973-03-01,3.2070007,-5.4365845,-1.7298279,-11.353485,0.5701599,-8.019562,2.381775,3.176422,-3.0841675
1973-04-01,3.3188171,-7.4820557,-2.9427795,-12.339264,-0.1534729,-9.267944,2.1498718,3.5726929,-4.7349854
1973-05-01,2.412384,-8.471466,-3.450653,-12.902985,-0.9390564,-10.340393,1.0609436,2.8822632,-5.871521
1973-06-01,1.3607483,-9.0260315,-4.4527893,-12.687134,-1.6460266,-10.81485,-0.0154418945,2.9908142,-7.1634216
1973-07-01,1.0649719,-9.676178,-5.312134,-12.838257,-2.58255,-11.1315,-0.7054138,3.256195,-7.4830017
1973-08-01,0.6211853,-10.328186,-5.719513,-12.879639,-2.7870178,-11.442261,-1.3661804,2.9745483,-7.9835815
