,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8,mgu850_cluster9
1971-06-01,-0.62515414,0.7780129,0.06826439,-0.70484984,-0.447472,0.7270603,-1.322818,0.82014734,0.32204896
1971-07-01,-1.5318562,1.0317981,0.2717491,-0.98345816,-0.059771728,0.8279861,-0.8028366,1.0128543,-0.26750335
1971-08-01,-0.7757267,1.0442097,0.17245635,-0.7130154,-0.054545976,0.4357136,-0.43995935,0.9236862,-1.2718647
1971-09-01,-1.0360444,1.605346,0.0663044,-0.4866665,-0.74339104,0.83092576,-0.7509033,1.0308182,-1.2264645
1971-10-01,-0.90670204,0.9599415,0.30408478,-0.50822335,-0.2975525,1.0513954,-0.8724068,0.5996777,-0.89429015
1971-11-01,-0.077409364,0.9321785,0.0032661438,-1.1428493,-0.215897,0.9690868,-0.43375358,-0.34164658,-0.584
1971-12-01,-1.0317981,0.56930196,0.76756096,-1.1797578,-0.16690369,1.367892,-0.24921227,-0.71628153,0.31355706
1972-01-01,-1.4179443,-0.03586464,0.7873009,-1.4647119,-0.075172424,0.5919102,-0.3316761,-0.6992172,0.2854824
1972-02-01,-0.94395715,0.058244325,0.5439949,-0.9815437,0.0077468874,0.67138636,-0.34659576,-0.8142708,1.0922935
1972-03-01,-0.7801277,-0.06168747,0.64958036,-0.8667768,0.19022599,0.85042226,-0.7769718,-0.6025257,1.1330357
1972-04-01,-1.0785215,0.7893089,0.13571167,-1.0260156,-0.415456,0.8647682,-0.7520096,-0.004877853,-0.040455244
1972-05-01,-1.2205454,0.7910305,-0.040168382,-0.9910116,-0.48402938,0.7686512,-0.871941,0.6733948,0.4794384
1972-06-01,-0.06340866,0.80135953,-0.44156533,-0.67196006,-0.3747139,0.59908295,-0.5692436,0.38647765,0.18477479
1972-07-01,-1.4902477,1.5794789,0.052505873,-1.2546886,-0.11505356,0.87366295,-0.9095272,0.8423885,0.0068862913
1972-08-01,-0.9875687,1.3040386,-0.27974433,-0.3925026,-0.44357413,0.6696644,-0.93764514,0.64958036,-1.2199714
1972-09-01,-0.2740059,1.174065,-0.060252763,-0.571826,-0.72159654,0.43496627,-0.9169868,0.7109806,-0.63609505
1972-10-01,-1.025729,0.62088853,0.2100235,-0.81312335,-0.42607194,0.13542481,-0.63293916,0.43181038,-0.32364273
1972-11-01,-0.25707778,1.0283111,0.19280815,-0.8182875,-0.28806496,0.30441895,-0.25535622,0.19280854,-0.5666615
1972-12-01,-0.8897303,0.24502715,0.4917759,-0.77324164,-0.24359283,0.7947601,-0.42435035,-0.69749564,-0.1646904
1973-01-01,-1.3306007,0.009875107,1.7358017,-1.5210962,-0.048101805,1.0620598,-0.30294532,-0.99898607,1.0209659
1973-02-01,-0.71483535,-0.6151279,1.444006,-1.338246,-0.16787796,0.76516724,-0.4501171,-0.80371207,0.87092704
1973-03-01,-0.70973855,0.089832306,0.8053047,-0.8569107,0.18890266,0.9419643,-0.22649193,-0.8349304,1.0008972
1973-04-01,-0.7298077,0.22553635,0.37207144,-0.53325975,-0.83716047,1.4427315,-0.83238184,0.32460672,-0.446294
1973-05-01,-0.88844717,0.6992264,-0.17616042,-0.3357559,-0.11786537,0.73203737,-0.98178405,0.76007,-0.46700057
1973-06-01,-1.1104797,1.02893,0.13984528,-0.5826357,-0.44374618,0.51064265,-0.75529176,0.8263294,-0.35582504
1973-07-01,-0.80912745,1.2977893,0.16915207,-0.6234104,-0.19909629,0.80657923,-1.0308411,0.72725904,-0.48420182
1973-08-01,-0.97318304,1.1359638,0.042049028,-0.9785984,0.036315154,0.6899883,-0.8989601,0.97190857,-1.1971264
1973-09-01,-0.9617149,1.3102131,0.119457625,-0.6415678,-0.63519704,1.3790207,-1.072572,0.9613964,-0.55619544
1973-10-01,-1.0869068,1.1496617,0.2542061,-0.4781498,-0.20451164,1.0091797,-0.7667595,0.67055666,-0.7081459
1973-11-01,-1.15667,0.6804317,0.27300072,-1.3395202,0.1277401,0.72948915,-0.7046421,-0.36761132,0.18348694
1973-12-01,-0.9830578,0.5517359,0.48898047,-1.4303081,0.050331496,1.5883106,-0.3414898,-0.61512834,0.6205433
1974-01-01,-1.3444465,-1.2146037,0.8480862,-1.895045,0.5476402,0.5318619,-0.11274948,-0.90100896,1.4023002
1974-02-01,-0.9194172,-0.5440243,0.9664234,-1.6679027,0.1637001,1.0916641,0.26724586,-0.6252171,1.3316265
1974-03-01,-0.89180565,-0.28762627,0.37046242,-1.5715885,0.50490683,0.35369796,-0.7580177,-0.5289032,2.1820133
1974-04-01,-0.8099548,0.6594032,0.5091804,-1.0864048,-0.12063827,1.0624081,-0.1922985,0.0233387,-0.542709
1974-05-01,-0.41878358,0.7678795,-0.07100258,-0.46809083,-0.71561354,0.95952034,-0.67813987,0.52002794,-0.4546135
1974-06-01,-0.15581131,0.92073214,-0.2688896,-0.31195107,-0.44113618,0.60648,-0.67090833,0.46513253,0.14167634
1974-07-01,-1.0351254,1.216576,-0.00723114,-0.04667778,-0.3467949,0.92007446,-1.0154022,0.8503872,-0.6663063
1974-08-01,-1.1840332,0.96905327,-0.06541443,-0.70345116,-0.73303527,0.6419815,-0.8756981,1.0768719,-0.7468418
1974-09-01,-0.8756981,1.1712135,0.14496307,-1.002911,-0.39347267,0.4730217,-0.3773655,1.037426,-1.01343
1974-10-01,-0.8060104,1.0364399,0.2656021,-0.67189425,-0.21399346,0.7682083,-1.2491188,0.6607178,-0.94341314
1974-11-01,-1.3848785,1.2011265,0.2113636,-1.3825775,-0.10190201,1.2915233,-0.5939888,-0.4036625,-0.52200013
1974-12-01,-0.57229346,0.4546135,0.10223045,-1.7375902,-0.32608604,0.9529465,-0.13477364,-0.8181732,-0.09697113
1975-01-01,-1.5340503,0.18051377,0.7758926,-1.7050636,-0.49277115,0.8081951,-0.031668853,-0.7483406,0.27488747
1975-02-01,-0.61913073,-0.63908195,0.44843405,-1.4361928,0.42183226,0.45825157,-0.5035385,-0.58334464,0.9155533
1975-03-01,-0.5431248,-0.16151237,0.86899984,-0.7226883,-0.052887343,0.7961605,-0.242902,-0.8550655,1.1695397
1975-04-01,-1.0637646,0.48327026,0.33094215,-0.990609,-0.17006263,1.0415962,-0.5234898,0.21693306,0.44273376
1975-05-01,-1.0365292,0.9231537,-0.27647096,-1.2417448,-0.45001793,0.9285377,-0.87089956,0.725222,-0.02153473
1975-06-01,-1.0352623,1.2344608,-0.14504471,-0.5561091,-0.48105353,0.96210706,-0.84208107,0.909536,-0.074739076
1975-07-01,-1.1372368,0.9595734,-0.04370346,-1.0558474,-0.4725029,0.8550655,-0.5874615,0.9918758,-1.0732654
1975-08-01,-1.0710484,1.8076713,0.016783904,-0.49213752,-0.6105801,0.71002084,-0.6979866,1.0406463,-0.79521066
1975-09-01,-1.1302696,1.1267856,-0.033885956,-0.83004665,-0.505439,1.1096847,-0.5333077,1.0140442,-0.9494392
1975-10-01,-0.6222973,0.83194697,0.41613197,-0.8423977,-0.40156403,1.0374794,-0.26538697,0.71698797,-0.7372562
1975-11-01,-1.4567779,0.98364145,0.34170952,-1.2062753,0.20363197,1.2908322,-0.5168396,-0.2641201,-0.38097915
1975-12-01,-1.0691483,0.998843,0.6783516,-1.4456937,-0.0057003023,1.0184777,-0.14156075,-0.5839779,0.60519636
1976-01-01,-1.223478,-0.07299843,1.0317314,-1.2604816,0.3010761,0.457164,0.054496,-0.5614475,1.390667
1976-02-01,-1.0270218,0.123457715,0.67683184,-1.3795662,-0.0040367125,0.73368263,0.11302986,-0.59172326,1.9601883
1976-03-01,-1.3038769,-0.45346373,1.5595391,-0.85882264,-0.06492539,0.9937183,-0.6233444,-0.64689255,1.3940312
1976-04-01,-0.31655008,0.9647881,-0.03263092,-0.0040367125,-0.9150017,1.0263485,-0.18501854,0.03767662,0.04810486
1976-05-01,-1.1858013,0.88001597,-0.21193047,-1.5184984,-0.050795745,0.7834694,-0.19208297,0.5866772,0.41847914
1976-06-01,-1.2436615,1.0717624,-0.052814484,-1.0068376,-0.41646042,0.94359475,-0.8712696,0.88237035,0.22471389
1976-07-01,-1.017939,1.4428089,-0.024221038,-1.3358345,-0.24994317,0.67750436,-0.536554,0.8685783,-0.078380585
1976-08-01,-1.0657074,0.9725254,-0.032966614,-0.2882927,-0.43529814,0.65160215,-0.6869236,0.84704894,-0.393248
1976-09-01,-0.89179003,0.84032094,-0.3094856,-0.972525,-0.39593965,0.2472519,-0.49282226,0.86454165,-0.7955799
1976-10-01,-1.006501,1.063689,-0.12143936,-0.96310616,-0.13825913,0.29872093,-0.34278908,0.468602,-0.73267365
1976-11-01,-0.14195976,0.98631746,0.6206535,-0.8430122,-0.1012558,0.6095524,-0.60181504,-0.020856475,-0.81912804
1976-12-01,-1.2402977,0.9546963,0.09183655,-0.9546959,-0.16584396,1.0889187,-1.146106,-0.833593,0.0016819
1977-01-01,-1.1103271,0.14471741,1.1704785,-1.0215149,-0.3502945,0.71969604,-0.3909851,-0.7699398,0.98507005
1977-02-01,-0.34923285,0.09978104,0.13516426,-1.2345222,-0.0672287,0.8587521,-0.69811213,-0.64432985,0.9489792
1977-03-01,-0.74163324,-0.3184494,0.43521422,-1.2263839,0.014860535,0.833276,-0.25758973,-0.6192074,1.8431145
1977-04-01,-1.0629135,0.30854186,0.1425949,-1.4701751,-0.23812942,0.84778327,-0.26325148,0.6567135,0.06828995
1977-05-01,-1.0618519,0.88670504,0.2296379,-1.0968815,-0.4628128,0.68926585,-0.6078846,0.7770168,-0.35984725
1977-06-01,-1.3438568,0.8339836,0.004953766,-1.1775551,-0.11004181,0.9436714,-0.41858405,0.8491985,0.6545906
1977-07-01,-1.4666367,1.9641254,0.046351623,-1.0699902,-0.4889969,0.619561,-0.69421995,0.8778591,0.38107833
1977-08-01,-0.7204037,1.119173,-0.10048904,-0.5848854,-0.3478176,0.67369765,-1.0250534,0.9585327,-0.57780915
1977-09-01,-0.8690132,1.12165,0.04458313,-0.43946037,-0.19814682,0.66272813,-0.49607354,0.8244301,-0.48439637
1977-10-01,-0.70731163,1.147126,-0.17833176,-0.79364663,-0.20380744,0.34498748,-0.36267853,0.88776624,-0.5788704
1977-11-01,-0.9249188,0.90475047,-0.16205521,-0.9737476,-0.24803695,0.4889969,-0.51022685,0.4295532,-0.5112888
1977-12-01,-0.85485995,0.49536553,0.32269517,-0.90793496,-0.3793087,0.6308834,0.26785126,-0.74906385,-0.13728714
1978-01-01,-1.0777023,-0.12378807,0.92568815,-1.703783,0.6859344,0.2553974,0.2523361,-0.7723133,0.8947414
1978-02-01,-1.0096871,-0.043189622,1.2620239,-1.0630791,0.19418335,0.47304648,0.13773116,-0.49583167,1.042334
1978-03-01,-0.72096217,-0.51725656,1.5650318,-1.103548,0.12854919,0.5223576,-0.8746769,-0.7128006,-0.807341
1978-04-01,-0.77707446,0.5784699,-0.2730812,-1.2746063,0.119026184,0.8049606,-0.3179718,0.34993896,-0.27988282
1978-05-01,-0.72300225,0.6475056,0.1421524,-0.5060337,-0.3948288,0.53732073,-0.79883957,0.9423515,-0.7485077
1978-06-01,-1.0749817,1.4337623,0.016323853,-0.9913227,-0.36728287,1.5269432,-0.71552086,0.83352697,-0.6396839
1978-07-01,-0.8107422,1.329359,-0.12174682,-0.5635067,-0.45876312,1.1987698,-0.75667,0.7093998,-0.2819233
1978-08-01,-1.0783821,1.2324371,0.22853164,-1.5232025,-0.3805458,0.9498337,-0.71041983,1.1916282,-0.5267784
1978-09-01,-0.5492237,1.1712234,0.23907395,-0.6509064,-0.43529814,0.91888654,-0.8801178,1.0130875,-0.64818573
1978-10-01,-0.83420753,1.4854538,0.1203865,-0.9596958,-0.09590149,0.9369106,-0.811422,0.5526245,-0.45604247
1978-11-01,-1.3395611,1.2477405,0.26832047,-0.9998245,-0.03740845,1.0158085,-0.5277985,-0.23023148,-0.4784878
1978-12-01,-0.77877504,0.17275886,0.4451599,-1.1892471,-0.10984497,0.6032955,-0.41251296,-0.6781124,-0.5094345
1979-01-01,-0.81672704,-0.17036209,0.98352087,-1.3429762,0.026461411,0.7227753,-0.44983903,-0.7982933,0.9460594
1979-02-01,-0.8283226,-0.23041992,0.7200993,-1.1199894,-0.063031,0.5235733,-0.44389305,-0.7296131,1.0887711
1979-03-01,-1.0831223,-0.29136962,0.6674744,-1.1116645,-0.099600986,0.6746098,-0.3169388,-0.5402233,0.66806906
1979-04-01,-0.2732334,0.14360352,0.17036209,-0.8003746,-0.07076111,0.88154185,-0.19979629,0.08562698,-0.44151458
1979-05-01,-0.74210054,1.2166169,-0.28512573,-1.2273203,-0.22417602,0.61484945,-0.8648922,1.0239563,-0.52178955
