,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6,zgu500_cluster7,zgu500_cluster8,zgu500_cluster9,zgu500_cluster10
1977-11-01,-0.117472455,-0.22397614,0.33826408,-0.0721817,-0.052013397,-0.660252,-0.25935936,-0.021229934,0.24202195,0.33932573
1977-12-01,0.13799515,-0.23883705,0.2894352,-0.037506104,0.08350468,-1.0908664,-0.64892924,0.0173378,-0.073243715,0.10331917
1978-01-01,0.16425666,-0.051351547,0.60805666,0.030266572,0.13535042,-1.3018128,-0.54208165,-0.06291409,0.13500977,-0.009862137
1978-02-01,-0.08467903,-0.15031357,0.37782517,-0.31729126,0.12548809,-0.6798126,-0.20268555,0.08297863,0.0010204315,-0.031967353
1978-03-01,0.08671951,-0.059853364,0.414213,-0.19010238,0.14351197,-0.80938184,-0.40639153,0.10168266,0.123787686,-0.049650956
1978-04-01,0.029586792,-0.12582818,0.34211692,0.054751586,0.10168304,-0.4349575,-0.6815134,-0.35061875,-0.024485398,0.04114952
1978-05-01,-0.06631508,-0.04420967,0.29246598,-0.2557377,-0.27954292,-0.55466497,-0.40503082,0.2156084,0.39380836,0.4920906
1978-06-01,-0.28294334,-0.7508888,0.41659355,-0.4822281,0.26661986,-0.41285285,-0.26491967,0.09454155,0.8535919,0.056792833
1978-07-01,-0.06461449,-0.09113999,0.24553528,-0.31967202,0.16357689,0.35027847,0.06699486,-0.34007645,0.20472603,-0.11018486
1978-08-01,0.089099884,-0.17752036,0.2190094,-0.21288796,-0.302668,-0.045570374,0.060193636,-0.44277954,0.5461628,0.023125459
1978-09-01,0.036048125,-0.08059845,0.3251129,-0.22173004,0.5652069,0.39686927,-0.1931633,-0.28804475,0.20744666,-0.030606842
1978-10-01,-0.020744706,0.047950745,0.25335693,0.04591026,0.24451485,-0.4315571,-0.37272376,0.097602084,0.2224102,-0.121407315
1978-11-01,0.07243653,-0.45536193,0.23771362,0.22173004,-0.08535919,-1.3399013,-0.55738527,0.48392868,0.008161927,0.41455346
