,r850_cluster1,r850_cluster2,r850_cluster3,r850_cluster4,r850_cluster5,r850_cluster6,r850_cluster7,r850_cluster8,r850_cluster9,r850_cluster10
1971-08-01,83.38974,90.94301,75.959885,68.68048,72.13591,31.209986,18.015434,70.13602,61.38755,59.4519
1971-09-01,76.818665,90.540665,80.02052,50.703434,73.41226,33.963852,15.486408,64.57926,66.05002,43.648872
1971-10-01,77.01815,81.48114,82.54109,37.098083,79.38827,46.67153,19.753296,56.94654,62.276768,51.47769
1971-11-01,45.16865,71.804565,70.07009,37.775986,79.222595,64.25976,34.602867,58.508587,70.834206,53.87486
1971-12-01,41.469784,69.16735,80.634186,24.219662,76.712166,66.14131,37.66103,48.835403,74.20512,55.85446
1972-01-01,43.279095,79.88565,69.6544,37.04283,70.37766,78.54803,48.884743,31.152756,65.30349,34.268448
1972-02-01,46.75723,78.76419,55.307915,30.43275,76.518036,66.19903,42.07475,31.468063,72.760345,64.18529
1972-03-01,30.959347,80.127815,56.988472,30.473383,76.08571,74.2995,38.260178,33.454178,46.13149,26.756329
1972-04-01,36.01402,78.44401,75.393326,29.540462,79.388306,54.912968,41.665176,46.40779,60.9867,31.219393
1972-05-01,42.45507,83.69859,76.24661,19.479877,72.931,65.428635,20.445301,58.16681,58.77955,21.8008
1972-06-01,63.36126,88.26405,76.012566,42.74437,70.09649,52.791954,13.937614,58.964832,74.19223,49.892426
1972-07-01,85.14186,92.28666,78.51227,63.94474,70.98227,32.383106,13.246864,74.71883,66.88653,57.519943
1972-08-01,80.25622,86.57211,73.8558,66.576096,70.36304,33.75648,16.58685,76.00444,57.033978,60.266693
1972-09-01,66.76788,88.186035,82.131805,42.41931,81.64909,39.100456,16.879402,65.448135,58.478867,59.25901
1972-10-01,55.676857,79.7605,79.437065,30.031301,84.615265,42.152763,20.586704,68.508575,81.59546,53.50871
1972-11-01,55.678482,69.13756,81.85063,36.147293,84.35521,51.44296,42.121883,72.724594,82.913574,65.82196
1972-12-01,53.399815,71.47474,73.85742,38.575485,81.70598,79.40456,58.517876,60.650265,77.004,61.96025
1973-01-01,42.78304,77.77089,56.067093,39.283432,81.15883,70.85708,38.271816,54.02579,73.918205,39.161907
1973-02-01,46.954323,78.99928,64.4967,34.985703,70.95068,70.20183,31.08703,55.943924,60.658787,32.61431
1973-03-01,33.118477,71.830925,64.82185,26.8205,77.92854,65.69717,23.3406,41.896233,43.719116,21.200764
1973-04-01,33.414078,75.77393,64.5903,20.803345,78.84492,62.691875,20.905163,48.62776,60.980663,19.959232
1973-05-01,33.939594,84.13949,79.72844,25.519848,76.723145,58.330093,18.504211,58.30546,72.94107,39.24238
1973-06-01,78.47377,89.35687,80.08481,49.74284,74.328766,46.24816,10.618191,52.449245,70.44652,66.62503
1973-07-01,87.92976,87.41575,79.283394,69.873375,73.22847,40.08156,15.114635,56.49079,70.300354,62.55393
1973-08-01,91.04345,87.979034,77.10743,79.459114,76.76749,37.26184,15.019386,62.823254,63.59839,60.36154
1973-09-01,84.9097,88.59323,78.24057,67.04052,74.102135,48.749287,18.21025,61.38301,68.21964,62.01199
1973-10-01,78.78908,78.81864,80.30486,32.344982,78.867905,44.175655,20.816483,66.781044,63.013756,40.639923
1973-11-01,58.17737,67.85014,80.37055,30.129606,78.13054,42.267376,30.568083,54.31975,69.67138,57.081993
1973-12-01,55.424976,75.938156,80.39191,32.27765,82.18687,53.027313,36.384888,47.66541,74.16618,64.5164
1974-01-01,42.45918,79.532814,77.98271,27.209314,72.575516,76.801125,36.75783,37.97412,68.573006,32.87265
1974-02-01,44.37285,79.1048,68.20779,33.55516,83.25769,71.99381,43.184654,35.052383,69.602554,37.769203
1974-03-01,28.881708,72.44827,66.956795,27.771185,77.51338,70.693245,48.92897,37.729538,55.026936,21.939285
1974-04-01,37.868355,78.38924,76.57803,25.29234,81.52251,67.31375,20.703167,46.70462,64.06976,35.53328
1974-05-01,51.68875,79.69972,78.36941,27.214272,77.772835,44.544716,21.641823,64.8002,67.776474,34.374832
1974-06-01,75.02132,87.34448,74.728806,42.58147,74.10579,47.35738,12.45026,73.05476,64.17883,56.31428
1974-07-01,88.78883,93.00452,77.10685,59.880516,67.77482,51.148365,13.027004,72.96718,64.826645,57.249634
1974-08-01,88.41205,88.71116,78.76437,60.207726,77.587746,36.876816,16.469296,74.00829,68.63911,59.472332
1974-09-01,84.92183,88.75578,81.30437,41.915485,78.44543,44.306747,18.7928,64.02515,76.87053,71.398895
1974-10-01,77.16799,83.78817,78.47848,28.703232,77.20435,32.332264,20.283417,39.993553,67.95329,50.24276
1974-11-01,51.887062,65.53063,83.1949,28.924675,79.0734,54.230396,31.077967,37.342842,69.69675,57.927185
1974-12-01,46.831863,76.3037,73.56871,38.697945,64.59198,66.26437,51.38303,46.20389,74.67262,48.494347
1975-01-01,48.992256,72.996216,76.80563,41.14788,65.138664,71.776344,46.05535,53.799305,70.197586,47.12706
1975-02-01,51.12415,80.50475,58.54544,39.939537,73.160835,74.84824,36.97958,44.07985,63.554977,35.507835
1975-03-01,40.621082,69.688896,59.877254,24.40553,67.97515,60.254246,24.683748,36.441257,57.28112,19.562267
1975-04-01,30.391293,71.819145,72.88262,18.84615,82.45227,53.88162,40.747845,45.842983,43.302822,20.205952
1975-05-01,42.275562,80.834,79.064285,25.855877,74.03993,43.31764,15.991554,53.730164,78.30701,52.442795
