,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10,mgu600_cluster11
1969-07-01,-0.6299511,0.54104805,-0.5284424,0.68866694,-1.2904209,-0.45413512,-1.2439789,-0.16984463,-0.047768783,-1.1494366,-1.4751934
1969-08-01,-0.2272335,0.51749533,-0.7865265,0.4737072,-0.84424704,-0.3270836,-1.0469328,-0.48100528,0.17117158,-0.6203308,-1.5521542
1969-09-01,0.16851768,0.65980643,-0.20169067,0.5758793,-1.1301963,-1.312315,-1.1202446,0.30983353,0.049095917,-1.3182862,-0.17017631
1969-10-01,-1.1603836,0.13600846,-1.1915661,-0.13600846,-1.1059803,-1.1729895,-0.41333276,-0.46508256,-0.5831772,-0.77591133,-0.28329545
1969-11-01,-1.7681087,0.53275454,-1.4214535,0.15060425,-1.1189178,-1.170667,-0.48929864,-0.68634474,-0.48896676,-0.10582123,-0.4312462
1969-12-01,-0.8432518,0.1847721,-1.2376763,-0.035494614,-0.2982231,-1.0728076,-1.2861084,-0.05340805,-0.67108536,-0.31580505,0.57952845
1970-01-01,-1.8969253,-0.4066742,-1.6376789,-0.7098492,-0.3530945,-1.0872376,-0.7780722,0.02862053,0.3853756,-0.5347992,0.05025177
1970-02-01,-0.9168472,-0.24427108,-0.39036712,-0.19202232,-0.41998595,-1.6370132,-1.0319939,-0.589711,-0.06755714,-0.26423836,0.5607578
1970-03-01,-1.1933991,-0.4173233,-0.71650505,-0.4206516,-0.09451332,-0.566748,-0.2752207,-0.7607666,-0.025957871,0.096177675,-0.44195062
1970-04-01,-1.1118644,-0.22896233,-0.6825603,-0.029286195,-0.79071844,-0.6625927,-1.4513142,-0.74279594,-0.48887444,-0.1431015,-0.1587429
1970-05-01,-0.4263092,-0.084862515,-0.37905198,0.09451332,-0.6140049,-0.4738985,-0.5554333,-0.70219535,-0.48587912,-0.68721926,-0.5594265
1970-06-01,-0.9005402,0.6975361,-0.74312896,0.54178846,-0.67656976,0.5427868,-0.56708086,-0.35775375,0.3530945,-1.7185478,-0.6798981
1970-07-01,-0.43995363,0.85361636,-1.4243581,1.1068726,-1.0027081,-0.61067694,-0.90420115,-0.85960674,0.06556015,-1.517873,-0.8862301
1970-08-01,-0.64761674,0.67091256,-0.8173416,0.7930477,-0.968763,-0.50651205,-1.1671083,0.008985519,-0.027621841,-1.2310047,-1.1727661
1970-09-01,-0.21731433,0.46757585,-1.861982,1.0067017,-1.0273349,-0.06522789,-0.80802345,0.039935302,-0.12013855,-2.1112447,-0.98307306
1970-10-01,-1.8380209,0.7710835,-1.4280186,0.5361309,-1.0386498,-0.74312896,-0.45193404,-0.94946116,-0.4319664,-0.7118462,-0.7667572
1970-11-01,-0.6422924,0.38670653,-1.5494887,0.77773935,-0.3980213,-1.0592829,-1.8433454,-0.86759377,-0.41133347,-0.5740692,-0.050917435
1970-12-01,-1.3877506,-0.32746926,-1.3118737,0.15341797,-0.5457821,-0.77008516,-0.91019154,-0.74778783,0.022629928,0.49619597,-0.006323242
1971-01-01,-1.6837353,0.013391495,-0.48960608,-0.6130692,0.35601768,-0.7368587,-1.3489478,-0.63919866,0.43440706,0.0058792112,-0.15775833
1971-02-01,-1.4325631,-0.38476068,-0.51116294,-0.90278244,0.07708283,-1.3855295,-1.1412163,-0.40174484,0.6862324,1.1519947,1.0657669
1971-03-01,-1.2202587,-0.23288155,-0.23157462,0.08753471,-0.48078728,-1.1382768,-0.49385223,-0.66761476,-0.18486825,0.472295,-0.3243355
1971-04-01,-0.5193287,0.14730644,-1.3358831,0.58106005,-0.9857445,-0.47882766,-0.7861786,0.0738163,0.22144966,-0.55133784,-0.46380273
1971-05-01,-0.055199433,0.06891708,-1.109534,-0.41415635,-0.47752112,-0.8400713,-1.1813908,-0.5696281,-0.10778542,-1.1686528,-0.1593914
1971-06-01,-0.37169534,0.64736444,-0.39096603,0.5265144,-0.44975814,-0.6349529,-0.94785655,-1.0670731,-0.52782094,-1.4129658,-0.43832627
1971-07-01,-0.7505766,0.5993511,-1.053682,0.6231941,-1.0902637,-0.88416517,-1.0353911,-0.5670153,0.37267533,-1.8993057,-0.3981518
1971-08-01,0.62842023,0.6780666,-0.5405592,1.0216728,-1.2774178,-0.29167327,-0.74437106,0.2619505,0.0016330719,-2.3154216,-1.2503083
1971-09-01,-1.2921158,0.8955967,-1.6605453,0.2034851,-0.97169954,0.6640221,-0.25215226,-0.62972677,-0.39945832,-1.5592922,-0.673494
1971-10-01,-1.0860173,1.1552613,-0.4099106,0.54676515,-0.9374043,-0.22340927,-0.76298845,-0.0816555,-0.3494854,-1.5801964,-1.475024
1971-11-01,-0.79532397,0.39488563,-0.3321743,-0.096026994,-0.2629307,-0.85378915,-0.6614092,0.08328857,-0.7551495,-1.3192253,-0.32139587
