,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6,mgv250_cluster7,mgv250_cluster8,mgv250_cluster9,mgv250_cluster10
1971-04-01,-0.7205109,0.21867254,0.09976306,-0.13114595,-0.3522658,1.1765708,-0.4433914,-0.4855711,-0.020729994,0.16396847
1971-05-01,-0.020873953,0.43144283,-0.047362257,0.11660616,0.34492394,0.5853342,-0.23033313,-1.0036768,0.03498187,-0.04937773
1971-06-01,-0.6481,-0.12366009,0.25610167,0.004174781,-0.44094405,1.0976815,-0.413592,-0.73922557,0.059454728,0.39127848
1971-07-01,-0.8516569,0.27323264,0.29554623,-0.03195877,-0.575689,-0.3410371,0.18124339,-0.8027112,-0.13388109,0.62636226
1971-08-01,-0.56057334,0.4635455,0.20701194,0.20989104,-0.117757894,-0.39257407,0.102210306,-0.13445702,0.34377232,0.38480037
1971-09-01,-0.15518697,0.5453137,0.31483668,0.052112866,-0.26934582,-0.34218875,-0.14712532,-1.113229,-0.0048945425,-0.007629776
1971-10-01,-0.14381425,0.2671865,0.49003386,-0.010221029,-0.18412256,-0.8243049,0.20931527,-1.5996639,0.03570161,0.25624564
1971-11-01,-0.12020513,0.45159692,0.1749092,-0.3013046,-0.4347539,1.2180306,-0.76269066,-0.33239955,0.5955552,-0.32620928
1971-12-01,-0.41618323,0.6527066,0.115022585,-0.3506822,-0.5759769,1.3203849,-1.1194192,-1.199604,0.13359323,-0.6656629
1972-01-01,-0.2654162,0.26962495,0.1412572,-0.23529705,-0.28264594,0.27435988,-1.089811,-0.3765543,0.45204931,-0.45218086
1972-02-01,0.041693114,-0.1961029,-0.07733631,-0.07246985,0.26304874,1.2322519,-0.86503583,0.27699035,0.4586255,-0.82834053
1972-03-01,-0.22306535,-0.1430985,0.23529716,0.111927226,-0.4433686,0.8117684,-0.5293855,1.0464079,0.4578364,-0.028409194
1972-04-01,-0.5751561,0.17597961,0.099432446,-0.16098583,-0.41469637,1.1814835,-0.5421434,-0.45783633,0.048927046,0.06589379
1972-05-01,-0.23911133,0.17400675,-0.1979442,0.06497306,-0.07365362,0.96302146,-0.58068013,0.37786955,0.1365223,0.10955982
1972-06-01,-0.20465192,-0.12757865,0.43179458,0.19452453,-0.25449964,0.7512673,-0.30171692,-0.025384236,-0.43666086,0.1797938
1972-07-01,-0.53622484,0.24779196,0.48440418,0.10350971,-0.3139487,0.064446926,-0.06142187,0.06918182,0.0511631,-0.054451086
1972-08-01,-0.2614705,0.30829316,0.37103027,0.19163103,-0.14572902,0.50045025,0.06300018,-0.5708158,0.37747496,0.018413413
1972-09-01,-0.20557258,0.15072694,0.2042574,0.009469748,-0.21569996,-0.31158122,-0.14612357,-0.7941443,-0.20925531,-0.31973574
1972-10-01,-0.06523607,0.45349607,0.26462707,0.27357072,0.028277755,-0.041430186,0.30684638,-0.7916452,-0.18702765,-0.067472
1972-11-01,0.15638247,0.038668156,0.5291226,0.304742,-0.1686143,1.6128833,-1.2193625,-0.56936896,-0.040772535,-0.6597263
1972-12-01,-0.2464767,0.16598377,0.067472026,-0.3177629,-0.5572688,0.19136795,-0.9393471,0.13231352,0.4123289,-0.9204076
1973-01-01,0.02146988,0.16455631,-0.008864975,0.10901165,-0.13920803,1.1419208,-1.5254699,1.5023378,0.5859201,-1.06269
1973-02-01,-0.08864985,0.1738368,0.10610275,0.05166621,0.024378682,1.4765741,-0.99966544,0.38812009,0.4248267,-0.8298457
1973-03-01,-0.26816577,0.36678877,0.18284026,-0.3886742,-0.2076346,0.6083596,-0.44463435,-1.3176969,0.5780247,-0.047372244
1973-04-01,-0.21830025,0.55641633,-0.25445276,-0.07950784,-0.27052054,0.6123765,-0.14322491,-0.24143228,0.28852755,0.008310938
1973-05-01,-0.15527578,0.0008310795,-0.34822768,0.28589576,-0.17272866,-0.070919886,-0.14613374,0.463888,0.40363383,-0.24780402
1973-06-01,-0.15208991,0.14599523,0.26151702,-0.04266274,-0.35529193,0.19793849,-0.017175913,0.2983621,-0.067595504,0.2935141
1973-07-01,-0.62705916,0.19599934,0.5270511,-0.14294791,-0.69202286,-0.5276051,0.17813084,-0.5763626,-0.052220296,0.47081384
1973-08-01,-0.52552736,0.5187401,0.17993148,-0.016067792,-0.396154,0.567082,0.18145515,-0.53702414,-0.013158942,0.211513
1973-09-01,-0.038922824,0.4954695,0.040446497,0.14377896,0.20929675,0.76474345,0.028949713,0.086572126,0.4467121,0.53536195
1973-10-01,-0.15582982,0.20167843,0.2015399,0.078538224,-0.21386775,1.0233517,-0.3250956,-0.6102988,0.12341721,-0.43812418
1973-11-01,0.020500278,0.4582089,0.14627227,0.10568728,-0.25639197,0.9592191,-0.31941646,-0.4594555,0.4807869,-0.2601319
1973-12-01,0.009557557,-0.15056626,0.44809732,-0.616809,-0.5168009,0.396708,-0.47039828,0.78427416,0.44906688,0.0383688
1974-01-01,-0.2149723,0.30519885,-0.04097376,-0.0029467582,-0.35487264,-0.012769222,-1.3823056,-0.29172808,0.35627586,-0.77864325
1974-02-01,-0.20500949,0.32736966,-0.16964856,-0.45407993,-0.4042658,1.1177999,-1.1009613,-0.20136109,0.45983306,-0.6753666
1974-03-01,-0.456746,0.38742724,0.39584655,-0.5076826,-0.6377605,0.68883747,-0.8642391,0.32091483,0.54500806,-0.20669337
1974-04-01,-0.38419983,0.23812532,-0.051217295,-0.10959097,-0.29748124,0.43878484,-0.99347514,-0.95194006,0.0068757413,-0.20150137
1974-05-01,-0.55623376,0.31375855,-0.28387007,-0.07408969,-0.39486426,0.5430436,-0.281204,-0.19757243,-0.18157582,-0.23559956
1974-06-01,-0.31572303,0.21384971,0.117449,0.103978135,-0.23938823,-0.37535962,-0.13204241,-0.47105876,-0.2076756,0.3057602
1974-07-01,-0.53700984,-0.03395777,-0.12376342,0.24023017,-0.29144746,0.4351365,0.15421316,-0.7369677,0.05500593,0.03353679
1974-08-01,-0.38869014,0.07408972,0.41128188,-0.19252086,-0.5162422,-0.14467129,0.39219815,-0.7626465,-0.1415843,0.19013539
1974-09-01,-0.16515824,0.444117,-0.032414235,-0.026801348,-0.1551954,-0.12067642,-0.20599174,-0.3965481,0.059776854,0.021469165
1974-10-01,-0.03241422,0.19757245,0.25608644,-0.051638257,-0.24766716,1.0863678,-0.15954538,-0.14972286,0.08419285,-0.45351857
1974-11-01,-0.29762155,0.6547394,0.1379359,-0.24640429,-0.5674595,0.92191124,-0.08966534,0.25117522,0.31039083,-0.3228794
1974-12-01,-0.038307738,0.25117517,0.10117169,0.0008419991,-0.21356912,0.79014945,-1.3473656,0.09345417,0.6634394,-0.8775697
1975-01-01,-0.30549037,0.6026589,0.14589986,-0.110599324,-0.38588962,0.8039926,-1.7962996,-0.4571618,0.5700429,-0.51729333
