,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10
1992-05-01,-5.0853474422799964e-05,3.4206120356209825e-05,8.885832854006863e-05,-0.00010352142943212618,-8.557776964845942e-06,0.00010939950934024872,-2.813179176001827e-05,-6.427866105323269e-05,1.7262758996395707e-05,6.178947442225422e-05
1992-06-01,-5.0148651312524545e-05,3.7972021208959436e-05,8.695051457669416e-05,-0.00010330733689075405,-9.047988447363764e-06,0.0001136734634336015,-2.6866830452802225e-05,-6.390761703440775e-05,1.3250330605791802e-05,6.0263700885455755e-05
1992-07-01,-4.9603752654419406e-05,3.98269896689005e-05,8.508894924571821e-05,-0.00010338764796373333,-1.0660146365637502e-05,0.00011228645032840884,-2.8086642848083744e-05,-6.179463495948871e-05,1.1133933539822851e-05,6.218900091242199e-05
1992-08-01,-4.991347276804734e-05,4.045954431121926e-05,8.289289987508461e-05,-0.00010443088825639609,-9.065296424637381e-06,0.0001081264592896871,-2.7665511484667155e-05,-6.471050031994637e-05,9.577180528854247e-06,6.456696543310848e-05
1992-09-01,-5.177676055835571e-05,3.973857077924368e-05,8.459903421515429e-05,-0.00010463743360623114,-8.796371542274528e-06,0.00010664978213349564,-2.8001242244955434e-05,-6.47456694363815e-05,1.2201075035299296e-05,6.204372799317428e-05
1992-10-01,-5.21423164529291e-05,3.822176445290516e-05,8.361329574571838e-05,-0.00010198475722971149,-8.69624844357375e-06,0.00010664293734374007,-2.8478806710312054e-05,-6.572671602461029e-05,1.5949694234729602e-05,5.950058225305714e-05
1992-11-01,-5.308122397356591e-05,3.678042956660604e-05,8.30624412628822e-05,-0.00010225228141879394,-7.1282418412366155e-06,9.86692881539326e-05,-2.8940520524791012e-05,-6.626581751811127e-05,1.776531344172804e-05,5.8001787888715495e-05
1992-12-01,-5.3573195178416015e-05,3.315413753559589e-05,8.667051423055288e-05,-0.00010051472964182246,-2.781831343057206e-06,0.00010301630633572736,-3.099686336192732e-05,-6.570021618185297e-05,1.866001739544641e-05,5.765363070432471e-05
1993-01-01,-5.408841998753947e-05,3.217258776982067e-05,8.750723778079687e-05,-9.751761919052819e-05,-3.233239387334663e-06,0.00010470993368437996,-3.042566613221273e-05,-6.397657313352626e-05,1.8132468491739565e-05,5.8032853745803555e-05
1993-02-01,-5.70487563874092e-05,3.177933180200443e-05,8.88630562588911e-05,-9.729331734689427e-05,-2.6530297070337383e-06,0.00010829176365708311,-2.9604451846958883e-05,-6.719607702760813e-05,1.7310549203672047e-05,5.779994537872454e-05
1993-03-01,-5.398282337067351e-05,3.299812333768253e-05,8.972572190528311e-05,-9.941600981357652e-05,-5.139456105140994e-06,0.00010892702751637746,-2.985843802092107e-05,-6.59929728350167e-05,1.8151464145006835e-05,5.737578382847673e-05
1993-04-01,-5.206071610870314e-05,3.338616548477185e-05,8.774721043829975e-05,-0.00010167893165349593,-6.674657138105999e-06,0.00011031707227057605,-3.007635598944399e-05,-6.516783749427052e-05,1.8987071448958674e-05,5.818004493143483e-05
1993-05-01,-5.11967824669397e-05,3.419342590308813e-05,8.811465456594966e-05,-0.00010126371270034616,-8.636901105418815e-06,0.00010795581383044244,-2.8170668766109588e-05,-6.519617496361788e-05,1.709510969093492e-05,5.948176012141212e-05
1993-06-01,-5.0930395408221324e-05,3.6930890768441776e-05,8.720459597746164e-05,-0.00010277946831849523,-1.0406906181259501e-05,0.00011382568455128758,-2.7574044798713737e-05,-6.373103118318393e-05,1.4160727444285495e-05,6.0708699498160054e-05
1993-07-01,-5.031241516831723e-05,3.892841505918135e-05,8.542129514601335e-05,-0.00010007831713008368,-9.23503207239662e-06,0.00011458047622538826,-2.7264693561996797e-05,-6.446691900162507e-05,1.1217396927747965e-05,6.290234650838016e-05
1993-08-01,-5.0639337920338244e-05,3.972339098950038e-05,8.515611956351097e-05,-0.00010145726465368441,-9.586146720863553e-06,0.00011250045510543578,-2.6757444252866653e-05,-6.430691055505971e-05,1.018736402233025e-05,6.344948349879215e-05
1993-09-01,-5.06329245268141e-05,3.895028786814115e-05,8.348183903515084e-05,-0.00010270708617368526,-8.980604171426876e-06,0.00010924927428951142,-2.7110489969489812e-05,-6.674797196999444e-05,1.2002374446867169e-05,6.20190452540183e-05
1993-10-01,-5.1897668886777165e-05,3.8902133586225545e-05,8.50817906956019e-05,-0.00010096877235854944,-8.80677000214547e-06,0.00010601688969742368,-2.7868951208931288e-05,-6.637995090282172e-05,1.4618125236429527e-05,5.878572007060164e-05
1993-11-01,-5.26230092383588e-05,3.5627146271985595e-05,8.481714758090674e-05,-0.0001014061205555672,-6.568675423035408e-06,0.00010371290921250841,-2.9186705360796676e-05,-6.629255964429324e-05,1.8299504551701172e-05,5.8386222971645074e-05
1993-12-01,-5.364649188739867e-05,3.421470623241986e-05,8.513679362791166e-05,-9.874119846971386e-05,-4.185130419998018e-06,0.00010336640116292982,-3.109683942461448e-05,-6.592980320956635e-05,1.9527575706637562e-05,5.7402486070410366e-05
1994-01-01,-5.5650937366132716e-05,3.2679307125898806e-05,8.617190277701327e-05,-9.703172729681273e-05,-2.6588624968404417e-06,0.00010318119570405946,-3.008401701078577e-05,-6.568980097654276e-05,1.7496835189424974e-05,5.779956786494528e-05
1994-02-01,-5.653550540445208e-05,3.2191275654525326e-05,8.696546336233784e-05,-9.634133937623521e-05,-2.978178369195117e-06,0.00010905701654135353,-2.9359272201965992e-05,-6.740445866450843e-05,1.696275891220464e-05,5.755445365442876e-05
1994-03-01,-5.376114302929561e-05,3.27095928377954e-05,8.72384622529022e-05,-0.00010023707508098488,-6.131748175874918e-06,0.00010500551003065926,-3.055024829873959e-05,-6.605816422245985e-05,1.7478346392488855e-05,5.911350522681074e-05
1994-04-01,-5.2536879576262085e-05,3.376851644183394e-05,8.77326700984585e-05,-9.664281085868323e-05,-7.765058374076261e-06,0.00010732987936568894,-2.9318652725545203e-05,-6.626069974669515e-05,1.7586882161013584e-05,5.9575227438681215e-05
1994-05-01,-5.096097635399031e-05,3.5880443470354794e-05,8.49693953403568e-05,-0.00010165202065602429,-9.501378039900032e-06,0.00011081533793239267,-2.775530044719993e-05,-6.395495548814756e-05,1.5566431478685537e-05,6.016917875027401e-05
