,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10
1982-03-01,5.519013985640188,8.515740785399963,3.632194956798407,3.8083647965342595,4.3879049540402395,8.463459864316125,7.451623476619092,8.265982479017874,4.733038657767028,6.832303753528925
1982-04-01,6.1371361842378205,8.50262026081399,3.817630692847828,2.767226621648506,4.999016641731051,8.641532507794837,7.545907425137165,7.907787245067826,4.790418005947274,6.963620513170944
1982-05-01,5.91117848065858,8.565577087613617,3.6210399041285166,0.0,5.169494171527029,7.942507168754235,6.069486363645526,7.4057668819368345,4.017580761654316,6.548787888796701
1982-06-01,5.278451783947476,8.667412996508759,3.339131509056248,0.0,4.531904445207224,7.507365651023693,4.954061271348994,6.515438249118845,4.422907007712961,7.735542708222848
1982-07-01,5.330339340702384,8.158513509100361,3.7740652519278277,0.0,4.150132289038661,7.176743765601144,2.935794136597227,5.900078099542937,6.687420586008176,8.009902654272043
1982-08-01,5.334331725327516,8.143981297199755,3.038499804395564,0.0,3.9815182402657596,6.88901866044113,3.1460128239840417,5.452120269805779,7.305898785210201,7.769009309176788
1982-09-01,4.721207656409537,7.92563424927391,4.33119280889158,0.0,3.751593028118205,6.718541363898426,3.2102755499940385,6.2234224804299405,7.433023887261726,8.129188270418158
1982-10-01,4.028136897810292,8.14547183086608,3.628486371249969,2.4749490089707207,3.422242224736442,7.665695184898791,3.348337640111504,5.930636156430615,7.272664209721178,8.154328509042683
1982-11-01,3.584762067274102,8.257884681071891,4.653435597392033,3.771247176409705,2.792322947371451,7.4293926509599615,3.3058910681189855,6.57011024537837,6.713094132025212,7.958882511061021
1982-12-01,4.882944787308112,8.448063313830215,3.768139450854798,3.0060182905464194,3.366716168605658,7.772909967578954,4.953904276186776,6.787738347499045,5.901027470190153,7.706782610232714
1983-01-01,5.250937101797164,8.297549504972073,3.8380366548404665,2.2423822955277295,3.042379105419452,7.913401473085285,5.868564215901365,7.506680986734114,5.5848880760156225,6.635763717081411
1983-02-01,5.659043335519089,8.331431055368338,4.58557645667068,2.8257979620253635,3.9084611595452667,7.9709991506656355,7.866098184448337,7.5116241452038395,5.616898663216663,6.479082006248219
1983-03-01,3.826838595983427,8.50291393236686,3.097196892656749,3.8617139770639177,3.891747386545704,8.202841081927119,7.9747044343787925,8.238885955701186,4.840827020763032,6.4649473362876035
1983-04-01,4.604621994102872,8.617054242602432,4.826945066156385,4.259962560262375,4.019087375512169,8.153643603391991,8.13486231459842,8.110271534399116,5.366746450969708,6.421285257067652
1983-05-01,5.586746063986978,8.450346600163062,3.9815106800646713,0.0,4.021539974268235,7.470675211662473,7.786490291169996,6.865513922603147,4.646547338808536,6.362315084163132
1983-06-01,5.0372561672090646,8.56342859229409,2.63740301212454,0.0,3.928492856967626,7.44062669655156,7.174064135157621,6.939036038747727,5.328750045827739,7.457852249240443
1983-07-01,5.267530289284918,8.022598014826691,3.3054972271208642,0.0,4.147291207255099,7.122629259501095,5.913157372085259,6.415750244744819,6.677779272801938,8.018710021359794
1983-08-01,4.668906308624954,7.92374943464175,4.226092168192972,0.0,4.141560583496964,6.826815376128647,4.729130415190952,5.011663568108571,7.103978241653005,7.891644108967642
1983-09-01,4.103896058449101,8.077107268880626,4.3548225023393,0.0,4.122705825665173,6.786494247481457,3.5719768827714113,5.466065306394368,7.140757293962424,8.054574285412842
1983-10-01,3.4599882866042124,8.27407540126423,5.88198296058631,2.7347466798516806,3.863814906982526,7.361857579882105,3.3301034662949456,5.25707974590306,6.85025059176234,8.272761338833881
1983-11-01,3.9707004485917086,8.34364283178454,5.162499639071945,3.659539993401746,3.3006676642334165,7.510195124255852,3.3790601688261215,6.197292146191943,6.347665600822288,8.13663164420303
1983-12-01,4.7863946910964765,8.376558772287343,4.499393612006784,3.151935027018105,3.018620212649658,8.151870918481723,4.212931764448589,7.011239887420774,5.596054622765991,7.594459045101248
1984-01-01,5.222249574478459,8.38544448359177,3.72053551616496,2.7571006381372127,3.1477827635093183,8.565586410672111,5.991724924759549,7.862780387120652,4.89081456919509,7.273683668969257
1984-02-01,5.733725221542637,8.291208458270708,3.761543125432825,3.430179358998119,3.355555536201107,8.416358680574001,7.43082267023258,8.09814858496491,5.9809967347627815,7.087419564070551
1984-03-01,4.852820035453448,8.366741086766027,4.338185672574343,2.4554308044984805,3.6745451948039274,8.521853401748118,8.300123656710182,8.232201911848769,5.638898419840101,6.561156452594835
1984-04-01,6.048073919346907,8.472026185217224,2.344103880592669,3.3709720728474446,4.266000397542417,8.681752653092115,7.88678302177215,7.362351808919214,4.558954201644642,6.323180668713501
1984-05-01,5.437733109409791,8.451945154021272,3.8887633384847664,0.0,3.6130974039912904,8.393167607246516,7.223159376008923,6.849116423994403,5.520141801604962,7.124005994116076
1984-06-01,5.241883870191173,8.29058005804991,2.530780707956341,0.0,4.694388360743345,7.972595466596053,5.796812079422351,5.865779149315744,5.585819223010944,7.203982266649857
1984-07-01,5.042881976301038,8.659654169372862,3.7374868020470373,0.0,3.6458281899031553,7.5319291057252045,3.124694567253535,5.564464194966434,6.248199388654447,7.023226145159552
1984-08-01,5.12501833029123,8.521004878837621,4.311017611006999,0.0,3.4378380759751472,6.886737973765342,3.239150489813495,5.676811273443906,7.332033590482898,7.730204704518697
1984-09-01,5.333710102400464,8.63134311253627,5.506392280130538,0.0,3.8110741438108793,7.3623706415335475,3.26676848575253,6.0446561588768954,7.448461110238409,7.995403033701375
1984-10-01,4.913673318656161,8.441673648023018,4.739874932676954,2.9390719525295506,3.43784094951816,7.181499677670828,3.0676323618477532,5.123826518010538,7.2158943543657355,8.231601536253631
1984-11-01,4.31817251742442,8.441286218630761,4.948783629174539,3.689942343076028,3.0585839829024732,8.007694814361903,3.304030544177649,5.832489308242977,5.711837853171175,7.782623629172995
1984-12-01,4.90084107483303,8.639096361688493,4.079137708180562,4.213466769990281,2.8205330291422843,8.108244050030965,3.1982174019556244,7.754239367781343,5.740137942332014,7.8120916425454805
1985-01-01,6.022450775183431,8.67413044246572,4.459642374041513,2.8531563289394373,3.194694904589364,8.336482678181786,5.195724355001464,7.723866765764921,5.246472842745662,6.7532221160802175
